event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784586036889.8047,1784586064199,1784586064227.0,1784586065370.5742,27309.195,28.0,1143.574,,28480.77
e-1,1784586036939.873,1784586064199,1784586064242.0,1784586065370.5771,27259.127,43.0,1128.577,,28430.704
e-2,1784586036989.8735,1784586064199,1784586064242.0,1784586065370.578,27209.126,43.0,1128.578,,28380.704
e-3,1784586037039.8901,1784586064199,1784586064243.0,1784586065370.5786,27159.11,44.0,1127.579,,28330.688
e-4,1784586037089.8809,1784586064199,1784586064243.0,1784586065370.579,27109.119,44.0,1127.579,,28280.698
e-5,1784586037139.8704,1784586064199,1784586064243.0,1784586065370.5796,27059.13,44.0,1127.58,,28230.709
e-6,1784586037189.8708,1784586064199,1784586064243.0,1784586065370.5803,27009.129,44.0,1127.58,,28180.709
e-7,1784586037239.875,1784586064199,1784586064243.0,1784586065370.5845,26959.125,44.0,1127.584,,28130.709
e-8,1784586037289.872,1784586064199,1784586064243.0,1784586065370.5854,26909.128,44.0,1127.585,,28080.713
e-9,1784586037339.8657,1784586064199,1784586064243.0,1784586065370.5862,26859.134,44.0,1127.586,,28030.72
e-10,1784586037389.8704,1784586064199,1784586064243.0,1784586065370.5864,26809.13,44.0,1127.586,,27980.716
e-11,1784586037439.8638,1784586064199,1784586064243.0,1784586065370.587,26759.136,44.0,1127.587,,27930.723
e-12,1784586037489.869,1784586064199,1784586064244.0,1784586065370.5872,26709.131,45.0,1126.587,,27880.718
e-13,1784586037539.8652,1784586064199,1784586064244.0,1784586065370.5874,26659.135,45.0,1126.587,,27830.722
e-14,1784586037589.871,1784586064199,1784586064244.0,1784586065370.5928,26609.129,45.0,1126.593,,27780.722
e-15,1784586037639.8752,1784586064199,1784586064244.0,1784586065370.5933,26559.125,45.0,1126.593,,27730.718
e-16,1784586037689.8682,1784586064199,1784586064245.0,1784586065370.5935,26509.132,46.0,1125.594,,27680.725
e-17,1784586037739.869,1784586064199,1784586064245.0,1784586065370.5972,26459.131,46.0,1125.597,,27630.728
e-18,1784586037789.8787,1784586064199,1784586064245.0,1784586065370.5977,26409.121,46.0,1125.598,,27580.719
e-19,1784586037839.8813,1784586064199,1784586064245.0,1784586065370.598,26359.119,46.0,1125.598,,27530.717
e-20,1784586037889.873,1784586064199,1784586064245.0,1784586065370.5981,26309.127,46.0,1125.598,,27480.725
e-21,1784586037939.8616,1784586064199,1784586064245.0,1784586065370.5986,26259.138,46.0,1125.599,,27430.737
e-22,1784586037989.8694,1784586064199,1784586064245.0,1784586065370.6018,26209.131,46.0,1125.602,,27380.732
e-23,1784586038039.8672,1784586064199,1784586064246.0,1784586065370.6753,26159.133,47.0,1124.675,,27330.808
e-24,1784586038089.8735,1784586064199,1784586064246.0,1784586065370.6758,26109.126,47.0,1124.676,,27280.802
e-25,1784586038139.8574,1784586064199,1784586064246.0,1784586065370.6765,26059.143,47.0,1124.677,,27230.819
e-26,1784586038189.8667,1784586064199,1784586064246.0,1784586065370.6768,26009.133,47.0,1124.677,,27180.81
e-27,1784586038239.8674,1784586064199,1784586064246.0,1784586065370.6772,25959.133,47.0,1124.677,,27130.81
e-28,1784586038289.8765,1784586064199,1784586064246.0,1784586065370.6775,25909.124,47.0,1124.677,,27080.801
e-29,1784586038339.8582,1784586064199,1784586064246.0,1784586065370.6777,25859.142,47.0,1124.678,,27030.82
e-30,1784586038389.8694,1784586064199,1784586064246.0,1784586065370.6782,25809.131,47.0,1124.678,,26980.809
e-31,1784586038439.8577,1784586064199,1784586064247.0,1784586065370.6785,25759.142,48.0,1123.678,,26930.821
e-32,1784586038489.8718,1784586064199,1784586064247.0,1784586065370.6787,25709.128,48.0,1123.679,,26880.807
e-33,1784586038539.8901,1784586064199,1784586064247.0,1784586065370.6797,25659.11,48.0,1123.68,,26830.79
e-34,1784586038589.8892,1784586064199,1784586064247.0,1784586065370.68,25609.111,48.0,1123.68,,26780.791
e-35,1784586038639.8723,1784586064199,1784586064247.0,1784586065370.8813,25559.128,48.0,1123.881,,26731.009
e-36,1784586038689.8887,1784586064199,1784586064247.0,1784586065370.882,25509.111,48.0,1123.882,,26680.993
e-37,1784586038739.8894,1784586064199,1784586064247.0,1784586065370.8826,25459.111,48.0,1123.883,,26630.993
e-38,1784586038789.8718,1784586064199,1784586064247.0,1784586065370.8828,25409.128,48.0,1123.883,,26581.011
e-39,1784586038839.8706,1784586064199,1784586064248.0,1784586065370.8833,25359.129,49.0,1122.883,,26531.013
e-40,1784586038889.8713,1784586064199,1784586064248.0,1784586065370.8835,25309.129,49.0,1122.884,,26481.012
e-41,1784586038939.8748,1784586064199,1784586064248.0,1784586065370.8845,25259.125,49.0,1122.885,,26431.01
e-42,1784586038989.875,1784586064199,1784586064248.0,1784586065370.8914,25209.125,49.0,1122.891,,26381.016
e-43,1784586039039.911,1784586064199,1784586064248.0,1784586065370.8918,25159.089,49.0,1122.892,,26330.981
e-44,1784586039089.8706,1784586064199,1784586064248.0,1784586065370.892,25109.129,49.0,1122.892,,26281.021
e-45,1784586039139.863,1784586064199,1784586064248.0,1784586065370.8923,25059.137,49.0,1122.892,,26231.029
e-46,1784586039189.866,1784586064199,1784586064248.0,1784586065370.8928,25009.134,49.0,1122.893,,26181.027
e-47,1784586039239.8708,1784586064199,1784586064248.0,1784586065370.893,24959.129,49.0,1122.893,,26131.022
e-48,1784586039289.8845,1784586064199,1784586064249.0,1784586065370.8933,24909.115,50.0,1121.893,,26081.009
