event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784567464348.8594,1784567466777,1784567466799.0,1784567467853.116,2428.141,22.0,1054.116,,3504.257
e-1,1784567464398.9175,1784567466777,1784567466810.0,1784567467853.1204,2378.083,33.0,1043.12,,3454.203
e-2,1784567464448.915,1784567466777,1784567466811.0,1784567467853.1216,2328.085,34.0,1042.122,,3404.207
e-3,1784567464498.9224,1784567466777,1784567466811.0,1784567467853.1228,2278.078,34.0,1042.123,,3354.2
e-4,1784567464548.9104,1784567466777,1784567466811.0,1784567467853.1238,2228.09,34.0,1042.124,,3304.213
e-5,1784567464598.909,1784567466777,1784567466811.0,1784567467853.1248,2178.091,34.0,1042.125,,3254.216
e-6,1784567464648.9111,1784567466777,1784567466811.0,1784567467853.1257,2128.089,34.0,1042.126,,3204.215
e-7,1784567464698.9102,1784567466777,1784567466811.0,1784567467853.1323,2078.09,34.0,1042.132,,3154.222
e-8,1784567464748.9082,1784567466777,1784567466811.0,1784567467853.1335,2028.092,34.0,1042.134,,3104.225
e-9,1784567464798.91,1784567466777,1784567466811.0,1784567467853.1348,1978.09,34.0,1042.135,,3054.225
e-10,1784567464848.9155,1784567466777,1784567466811.0,1784567467853.1353,1928.084,34.0,1042.135,,3004.22
e-11,1784567464898.9177,1784567466777,1784567466811.0,1784567467853.1357,1878.082,34.0,1042.136,,2954.218
e-12,1784567464948.9204,1784567466777,1784567466811.0,1784567467853.1362,1828.08,34.0,1042.136,,2904.216
e-13,1784567464998.9219,1784567466777,1784567466811.0,1784567467853.137,1778.078,34.0,1042.137,,2854.215
e-14,1784567465048.9177,1784567466777,1784567466811.0,1784567467853.1438,1728.082,34.0,1042.144,,2804.226
e-15,1784567465098.9158,1784567466777,1784567466811.0,1784567467853.1443,1678.084,34.0,1042.144,,2754.229
e-16,1784567465148.9075,1784567466777,1784567466812.0,1784567467853.1448,1628.093,35.0,1041.145,,2704.237
e-17,1784567465198.919,1784567466777,1784567466812.0,1784567467853.1455,1578.081,35.0,1041.146,,2654.227
e-18,1784567465248.9219,1784567466777,1784567466812.0,1784567467853.1465,1528.078,35.0,1041.146,,2604.225
e-19,1784567465298.922,1784567466777,1784567466812.0,1784567467853.1472,1478.078,35.0,1041.147,,2554.225
e-20,1784567465348.916,1784567466777,1784567466812.0,1784567467853.1477,1428.084,35.0,1041.148,,2504.232
e-21,1784567465398.9155,1784567466777,1784567466812.0,1784567467853.1484,1378.084,35.0,1041.148,,2454.233
e-22,1784567465448.917,1784567466777,1784567466812.0,1784567467853.149,1328.083,35.0,1041.149,,2404.232
e-23,1784567465498.9192,1784567466777,1784567466812.0,1784567467853.1497,1278.081,35.0,1041.15,,2354.23
e-24,1784567465548.9155,1784567466777,1784567466812.0,1784567467853.2227,1228.084,35.0,1041.223,,2304.307
e-25,1784567465598.9165,1784567466777,1784567466812.0,1784567467853.2249,1178.083,35.0,1041.225,,2254.308
e-26,1784567465648.909,1784567466777,1784567466812.0,1784567467853.2256,1128.091,35.0,1041.226,,2204.317
e-27,1784567465698.917,1784567466777,1784567466812.0,1784567467853.226,1078.083,35.0,1041.226,,2154.309
e-28,1784567465748.918,1784567466777,1784567466812.0,1784567467853.2268,1028.082,35.0,1041.227,,2104.309
e-29,1784567465798.913,1784567466777,1784567466812.0,1784567467853.2273,978.087,35.0,1041.227,,2054.314
e-30,1784567465848.9148,1784567466777,1784567466813.0,1784567467853.245,928.085,36.0,1040.245,,2004.33
e-31,1784567465898.9155,1784567466777,1784567466813.0,1784567467853.2456,878.084,36.0,1040.246,,1954.33
e-32,1784567465948.9507,1784567466777,1784567466813.0,1784567467853.2463,828.049,36.0,1040.246,,1904.296
