event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784577286309.0576,1784577288849,1784577288874.0,1784577289953.3127,2539.942,25.0,1079.313,,3644.255
e-1,1784577286359.1162,1784577288849,1784577288891.0,1784577289953.3176,2489.884,42.0,1062.318,,3594.201
e-2,1784577286409.119,1784577288849,1784577288891.0,1784577289953.319,2439.881,42.0,1062.319,,3544.2
e-3,1784577286459.1453,1784577288849,1784577288891.0,1784577289953.3203,2389.855,42.0,1062.32,,3494.175
e-4,1784577286509.1162,1784577288849,1784577288891.0,1784577289953.3213,2339.884,42.0,1062.321,,3444.205
e-5,1784577286559.1165,1784577288849,1784577288891.0,1784577289953.3228,2289.884,42.0,1062.323,,3394.206
e-6,1784577286609.1125,1784577288849,1784577288892.0,1784577289953.3237,2239.887,43.0,1061.324,,3344.211
e-7,1784577286659.1155,1784577288849,1784577288892.0,1784577289953.3303,2189.885,43.0,1061.33,,3294.215
e-8,1784577286709.1116,1784577288849,1784577288892.0,1784577289953.3318,2139.888,43.0,1061.332,,3244.22
e-9,1784577286759.117,1784577288849,1784577288892.0,1784577289953.333,2089.883,43.0,1061.333,,3194.216
e-10,1784577286809.1216,1784577288849,1784577288892.0,1784577289953.3337,2039.878,43.0,1061.334,,3144.212
e-11,1784577286859.122,1784577288849,1784577288892.0,1784577289953.3342,1989.878,43.0,1061.334,,3094.212
e-12,1784577286909.2078,1784577288849,1784577288892.0,1784577289953.3347,1939.792,43.0,1061.335,,3044.127
e-13,1784577286959.1184,1784577288849,1784577288892.0,1784577289953.3494,1889.882,43.0,1061.349,,2994.231
e-14,1784577287009.7852,1784577288849,1784577288892.0,1784577289953.3567,1839.215,43.0,1061.357,,2943.572
e-15,1784577287059.129,1784577288849,1784577288892.0,1784577289953.3577,1789.871,43.0,1061.358,,2894.229
e-16,1784577287109.1223,1784577288849,1784577288892.0,1784577289953.3584,1739.878,43.0,1061.358,,2844.236
e-17,1784577287159.1213,1784577288849,1784577288893.0,1784577289953.4167,1689.879,44.0,1060.417,,2794.295
e-18,1784577287209.1206,1784577288849,1784577288893.0,1784577289953.4177,1639.879,44.0,1060.418,,2744.297
e-19,1784577287259.1772,1784577288849,1784577288893.0,1784577289953.4185,1589.823,44.0,1060.418,,2694.241
e-20,1784577287309.1199,1784577288849,1784577288893.0,1784577289953.5833,1539.88,44.0,1060.583,,2644.463
e-21,1784577287359.1191,1784577288849,1784577288893.0,1784577289953.585,1489.881,44.0,1060.585,,2594.466
e-22,1784577287409.1199,1784577288849,1784577288893.0,1784577289953.5857,1439.88,44.0,1060.586,,2544.466
e-23,1784577287459.13,1784577288849,1784577288893.0,1784577289953.5864,1389.87,44.0,1060.586,,2494.457
e-24,1784577287509.1204,1784577288849,1784577288893.0,1784577289953.598,1339.88,44.0,1060.598,,2444.478
e-25,1784577287559.123,1784577288849,1784577288894.0,1784577289953.5994,1289.877,45.0,1059.599,,2394.476
e-26,1784577287609.119,1784577288849,1784577288894.0,1784577289953.6,1239.881,45.0,1059.6,,2344.481
e-27,1784577287659.12,1784577288849,1784577288894.0,1784577289953.6008,1189.88,45.0,1059.601,,2294.481
e-28,1784577287709.129,1784577288849,1784577288894.0,1784577289953.6016,1139.871,45.0,1059.602,,2244.473
e-29,1784577287759.119,1784577288849,1784577288894.0,1784577289953.6023,1089.881,45.0,1059.602,,2194.483
e-30,1784577287809.1216,1784577288849,1784577288894.0,1784577289953.603,1039.878,45.0,1059.603,,2144.481
e-31,1784577287859.1187,1784577288849,1784577288895.0,1784577289953.6926,989.881,46.0,1058.693,,2094.574
e-32,1784577287909.123,1784577288849,1784577288895.0,1784577289953.6938,939.877,46.0,1058.694,,2044.571
e-33,1784577287959.1157,1784577288849,1784577288895.0,1784577289953.6956,889.884,46.0,1058.696,,1994.58
e-34,1784577288009.1147,1784577288849,1784577288895.0,1784577289953.6963,839.885,46.0,1058.696,,1944.582
e-35,1784577288059.122,1784577288849,1784577288895.0,1784577289953.7078,789.878,46.0,1058.708,,1894.586
e-36,1784577288109.1223,1784577288849,1784577288895.0,1784577289953.7087,739.878,46.0,1058.709,,1844.586
e-37,1784577288159.126,1784577288849,1784577288895.0,1784577289953.7095,689.874,46.0,1058.709,,1794.583
e-38,1784577288209.12,1784577288849,1784577288895.0,1784577289953.71,639.88,46.0,1058.71,,1744.59
e-39,1784577288259.1223,1784577288849,1784577288895.0,1784577289953.711,589.878,46.0,1058.711,,1694.589
e-40,1784577288309.1167,1784577288849,1784577288896.0,1784577289953.7114,539.883,47.0,1057.711,,1644.595
e-41,1784577288359.1199,1784577288849,1784577288896.0,1784577289953.7644,489.88,47.0,1057.764,,1594.645
e-42,1784577288409.1167,1784577288849,1784577288896.0,1784577289953.7654,439.883,47.0,1057.765,,1544.649
e-43,1784577288459.1213,1784577288849,1784577288896.0,1784577289953.7883,389.879,47.0,1057.788,,1494.667
e-44,1784577288509.1233,1784577288849,1784577288896.0,1784577289953.789,339.877,47.0,1057.789,,1444.666
e-45,1784577288559.121,1784577288849,1784577288896.0,1784577289953.7898,289.879,47.0,1057.79,,1394.669
e-46,1784577288609.1182,1784577288849,1784577288896.0,1784577289953.7905,239.882,47.0,1057.791,,1344.672
e-47,1784577288659.1167,1784577288849,1784577288896.0,1784577289953.8408,189.883,47.0,1057.841,,1294.724
e-48,1784577288709.1206,1784577288849,1784577288896.0,1784577289953.9312,139.879,47.0,1057.931,,1244.811
e-49,1784577288759.12,1784577288849,1784577288896.0,1784577289953.9326,89.88,47.0,1057.933,,1194.812
e-50,1784577288809.124,1784577288849,1784577288896.0,1784577289953.9336,39.876,47.0,1057.934,,1144.81
e-51,1784577288859.1245,1784577289861,1784577289875.0,1784577290894.1738,1001.875,14.0,1019.174,,2035.049
e-52,1784577288909.1191,1784577289861,1784577289877.0,1784577290894.1782,951.881,16.0,1017.178,,1985.059
e-53,1784577288959.114,1784577289861,1784577289877.0,1784577290894.1807,901.886,16.0,1017.181,,1935.067
e-54,1784577289009.116,1784577289861,1784577289877.0,1784577290894.1814,851.884,16.0,1017.181,,1885.065
e-55,1784577289059.1267,1784577289861,1784577289877.0,1784577290894.1824,801.873,16.0,1017.182,,1835.056
e-56,1784577289109.0952,1784577289861,1784577289877.0,1784577290894.1833,751.905,16.0,1017.183,,1785.088
e-57,1784577289159.1204,1784577289861,1784577289878.0,1784577290894.2002,701.88,17.0,1016.2,,1735.08
e-58,1784577289209.1257,1784577289861,1784577289878.0,1784577290894.2014,651.874,17.0,1016.201,,1685.076
e-59,1784577289259.1199,1784577289861,1784577289878.0,1784577290894.3333,601.88,17.0,1016.333,,1635.213
e-60,1784577289309.119,1784577289861,1784577289878.0,1784577290894.3345,551.881,17.0,1016.334,,1585.216
e-61,1784577289359.1238,1784577289861,1784577289878.0,1784577290894.3352,501.876,17.0,1016.335,,1535.211
e-62,1784577289409.1235,1784577289861,1784577289878.0,1784577290894.336,451.876,17.0,1016.336,,1485.212
e-63,1784577289459.1223,1784577289861,1784577289878.0,1784577290894.3367,401.878,17.0,1016.337,,1435.214
e-64,1784577289509.1313,1784577289861,1784577289878.0,1784577290894.3372,351.869,17.0,1016.337,,1385.206
e-65,1784577289559.1226,1784577289861,1784577289878.0,1784577290894.3386,301.877,17.0,1016.339,,1335.216
e-66,1784577289609.1233,1784577289861,1784577289879.0,1784577290894.339,251.877,18.0,1015.339,,1285.216
e-67,1784577289659.1228,1784577289861,1784577289879.0,1784577290894.3398,201.877,18.0,1015.34,,1235.217
e-68,1784577289709.1206,1784577289861,1784577289879.0,1784577290894.3403,151.879,18.0,1015.34,,1185.22
e-69,1784577289759.1216,1784577289861,1784577289879.0,1784577290894.349,101.878,18.0,1015.349,,1135.228
e-70,1784577289809.116,1784577289861,1784577289879.0,1784577290894.3499,51.884,18.0,1015.35,,1085.234
e-71,1784577289859.1267,1784577289861,1784577289879.0,1784577290894.3591,1.873,18.0,1015.359,,1035.232
