event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784554928520.0242,1784554930915,1784554930943.0,1784554931997.463,2394.976,28.0,1054.463,,3477.439
e-1,1784554928570.0942,1784554930915,1784554930959.0,1784554931997.4683,2344.906,44.0,1038.468,,3427.374
e-2,1784554928620.0876,1784554930915,1784554930960.0,1784554931997.4695,2294.912,45.0,1037.469,,3377.382
e-3,1784554928670.1064,1784554930915,1784554930960.0,1784554931997.4702,2244.894,45.0,1037.47,,3327.364
e-4,1784554928720.2668,1784554930915,1784554930960.0,1784554931997.4712,2194.733,45.0,1037.471,,3277.204
e-5,1784554928770.0857,1784554930915,1784554930960.0,1784554931997.4722,2144.914,45.0,1037.472,,3227.386
e-6,1784554928820.0884,1784554930915,1784554930960.0,1784554931997.473,2094.912,45.0,1037.473,,3177.385
e-7,1784554928870.083,1784554930915,1784554930960.0,1784554931997.478,2044.917,45.0,1037.478,,3127.395
e-8,1784554928920.0876,1784554930915,1784554930960.0,1784554931997.4792,1994.912,45.0,1037.479,,3077.392
e-9,1784554928970.0906,1784554930915,1784554930961.0,1784554931997.4949,1944.909,46.0,1036.495,,3027.404
e-10,1784554929020.0864,1784554930915,1784554930961.0,1784554931997.503,1894.914,46.0,1036.503,,2977.417
e-11,1784554929070.088,1784554930915,1784554930961.0,1784554931997.5037,1844.912,46.0,1036.504,,2927.416
e-12,1784554929120.0903,1784554930915,1784554930961.0,1784554931997.5044,1794.91,46.0,1036.504,,2877.414
e-13,1784554929170.0955,1784554930915,1784554930962.0,1784554931997.5051,1744.905,47.0,1035.505,,2827.41
e-14,1784554929221.5486,1784554930915,1784554930962.0,1784554931997.512,1693.451,47.0,1035.512,,2775.963
e-15,1784554929270.0898,1784554930915,1784554930962.0,1784554931997.5127,1644.91,47.0,1035.513,,2727.423
e-16,1784554929320.0837,1784554930915,1784554930962.0,1784554931997.5132,1594.916,47.0,1035.513,,2677.429
e-17,1784554929370.0916,1784554930915,1784554930962.0,1784554931997.5186,1544.908,47.0,1035.519,,2627.427
e-18,1784554929420.099,1784554930915,1784554930963.0,1784554931997.519,1494.901,48.0,1034.519,,2577.42
