event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784583360122.1802,1784583362493,1784583362516.0,1784583363365.4714,2370.82,23.0,849.471,,3243.291
e-1,1784583360172.2507,1784583362493,1784583362527.0,1784583363365.4756,2320.749,34.0,838.476,,3193.225
e-2,1784583360222.24,1784583362493,1784583362527.0,1784583363365.4766,2270.76,34.0,838.477,,3143.237
e-3,1784583360272.2512,1784583362493,1784583362527.0,1784583363365.4773,2220.749,34.0,838.477,,3093.226
e-4,1784583360322.238,1784583362493,1784583362527.0,1784583363365.478,2170.762,34.0,838.478,,3043.24
e-5,1784583360372.2437,1784583362493,1784583362527.0,1784583363365.479,2120.756,34.0,838.479,,2993.235
e-6,1784583360422.249,1784583362493,1784583362527.0,1784583363365.4797,2070.751,34.0,838.48,,2943.231
e-7,1784583360472.2466,1784583362493,1784583362528.0,1784583363365.4844,2020.753,35.0,837.484,,2893.238
e-8,1784583360524.5605,1784583362493,1784583362528.0,1784583363365.4854,1968.439,35.0,837.485,,2840.925
e-9,1784583360572.2456,1784583362493,1784583362528.0,1784583363365.4863,1920.754,35.0,837.486,,2793.241
e-10,1784583360622.2468,1784583362493,1784583362528.0,1784583363365.5261,1870.753,35.0,837.526,,2743.279
e-11,1784583360672.2463,1784583362493,1784583362528.0,1784583363365.527,1820.754,35.0,837.527,,2693.281
e-12,1784583360722.2415,1784583362493,1784583362528.0,1784583363365.5276,1770.759,35.0,837.528,,2643.286
e-13,1784583360772.24,1784583362493,1784583362528.0,1784583363365.5283,1720.76,35.0,837.528,,2593.288
e-14,1784583360822.2415,1784583362493,1784583362528.0,1784583363365.5356,1670.759,35.0,837.536,,2543.294
e-15,1784583360872.2502,1784583362493,1784583362528.0,1784583363365.573,1620.75,35.0,837.573,,2493.323
e-16,1784583360922.2456,1784583362493,1784583362528.0,1784583363365.574,1570.754,35.0,837.574,,2443.328
e-17,1784583360972.251,1784583362493,1784583362528.0,1784583363365.575,1520.749,35.0,837.575,,2393.324
e-18,1784583361022.2466,1784583362493,1784583362528.0,1784583363365.5757,1470.753,35.0,837.576,,2343.329
e-19,1784583361072.2524,1784583362493,1784583362529.0,1784583363365.5764,1420.748,36.0,836.576,,2293.324
e-20,1784583361122.243,1784583362493,1784583362529.0,1784583363365.5771,1370.757,36.0,836.577,,2243.334
e-21,1784583361172.25,1784583362493,1784583362529.0,1784583363365.5776,1320.75,36.0,836.578,,2193.328
e-22,1784583361222.2446,1784583362493,1784583362529.0,1784583363365.5842,1270.755,36.0,836.584,,2143.34
e-23,1784583361272.2437,1784583362493,1784583362529.0,1784583363365.614,1220.756,36.0,836.614,,2093.37
e-24,1784583361322.2476,1784583362493,1784583362529.0,1784583363365.6492,1170.752,36.0,836.649,,2043.402
e-25,1784583361372.2458,1784583362493,1784583362529.0,1784583363365.6506,1120.754,36.0,836.651,,1993.405
e-26,1784583361422.2473,1784583362493,1784583362529.0,1784583363365.657,1070.753,36.0,836.657,,1943.41
e-27,1784583361472.247,1784583362493,1784583362529.0,1784583363365.7642,1020.753,36.0,836.764,,1893.517
e-28,1784583361522.2466,1784583362493,1784583362529.0,1784583363365.7654,970.753,36.0,836.765,,1843.519
e-29,1784583361572.2456,1784583362493,1784583362529.0,1784583363365.7659,920.754,36.0,836.766,,1793.52
e-30,1784583361622.2488,1784583362493,1784583362529.0,1784583363365.7664,870.751,36.0,836.766,,1743.518
e-31,1784583361672.2512,1784583362493,1784583362529.0,1784583363365.7822,820.749,36.0,836.782,,1693.531
e-32,1784583361722.2393,1784583362493,1784583362530.0,1784583363365.7827,770.761,37.0,835.783,,1643.543
e-33,1784583361772.2493,1784583362493,1784583362530.0,1784583363365.8035,720.751,37.0,835.803,,1593.554
e-34,1784583361822.2383,1784583362493,1784583362531.0,1784583363365.804,670.762,38.0,834.804,,1543.566
e-35,1784583361872.2449,1784583362493,1784583362531.0,1784583363365.8623,620.755,38.0,834.862,,1493.617
e-36,1784583361922.262,1784583362493,1784583362531.0,1784583363365.8635,570.738,38.0,834.864,,1443.602
e-37,1784583361972.2485,1784583362493,1784583362531.0,1784583363365.8716,520.751,38.0,834.872,,1393.623
e-38,1784583362022.2346,1784583362493,1784583362531.0,1784583363365.8723,470.765,38.0,834.872,,1343.638
e-39,1784583362072.262,1784583362493,1784583362531.0,1784583363365.9382,420.738,38.0,834.938,,1293.676
e-40,1784583362122.2417,1784583362493,1784583362531.0,1784583363365.9392,370.758,38.0,834.939,,1243.698
e-41,1784583362172.2544,1784583362493,1784583362531.0,1784583363365.9673,320.746,38.0,834.967,,1193.713
e-42,1784583362222.246,1784583362493,1784583362531.0,1784583363365.968,270.754,38.0,834.968,,1143.722
e-43,1784583362272.2441,1784583362493,1784583362531.0,1784583363365.9766,220.756,38.0,834.977,,1093.732
e-44,1784583362322.2449,1784583362493,1784583362531.0,1784583363365.977,170.755,38.0,834.977,,1043.732
