event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784529078491.0503,1784529080871,1784529080992.0,1784529082101.6194,2379.95,121.0,1109.619,,3610.569
e-1,1784529078541.1113,1784529080871,1784529081011.0,1784529082101.6223,2329.889,140.0,1090.622,,3560.511
e-2,1784529078591.1133,1784529080871,1784529081011.0,1784529082101.623,2279.887,140.0,1090.623,,3510.51
e-3,1784529078641.1204,1784529080871,1784529081011.0,1784529082101.6235,2229.88,140.0,1090.624,,3460.503
e-4,1784529078691.1074,1784529080871,1784529081012.0,1784529082101.624,2179.893,141.0,1089.624,,3410.517
e-5,1784529078741.111,1784529080871,1784529081013.0,1784529082101.6245,2129.889,142.0,1088.625,,3360.513
e-6,1784529078791.1108,1784529080871,1784529081013.0,1784529082101.6248,2079.889,142.0,1088.625,,3310.514
e-7,1784529078841.1062,1784529080871,1784529081013.0,1784529082101.6401,2029.894,142.0,1088.64,,3260.534
e-8,1784529078891.1062,1784529080871,1784529081013.0,1784529082101.6409,1979.894,142.0,1088.641,,3210.535
e-9,1784529078941.1157,1784529080871,1784529081013.0,1784529082101.6416,1929.884,142.0,1088.642,,3160.526
e-10,1784529078991.1165,1784529080871,1784529081013.0,1784529082101.6418,1879.884,142.0,1088.642,,3110.525
e-11,1784529079041.1106,1784529080871,1784529081013.0,1784529082101.642,1829.889,142.0,1088.642,,3060.531
e-12,1784529079091.1106,1784529080871,1784529081013.0,1784529082101.6423,1779.889,142.0,1088.642,,3010.532
e-13,1784529079141.1143,1784529080871,1784529081013.0,1784529082101.6426,1729.886,142.0,1088.643,,2960.528
e-14,1784529079191.1208,1784529080871,1784529081013.0,1784529082101.646,1679.879,142.0,1088.646,,2910.525
e-15,1784529079241.1133,1784529080871,1784529081013.0,1784529082101.6465,1629.887,142.0,1088.646,,2860.533
e-16,1784529079291.117,1784529080871,1784529081014.0,1784529082101.6465,1579.883,143.0,1087.646,,2810.53
e-17,1784529079342.038,1784529080871,1784529081014.0,1784529082101.647,1528.962,143.0,1087.647,,2759.609
e-18,1784529079391.1194,1784529080871,1784529081014.0,1784529082101.6472,1479.881,143.0,1087.647,,2710.528
e-19,1784529079441.1128,1784529080871,1784529081014.0,1784529082101.6475,1429.887,143.0,1087.647,,2660.535
e-20,1784529079491.1196,1784529080871,1784529081014.0,1784529082101.6597,1379.88,143.0,1087.66,,2610.54
e-21,1784529079541.1157,1784529080871,1784529081014.0,1784529082101.6636,1329.884,143.0,1087.664,,2560.548
e-22,1784529079591.1238,1784529080871,1784529081014.0,1784529082101.6638,1279.876,143.0,1087.664,,2510.54
e-23,1784529079641.1165,1784529080871,1784529081014.0,1784529082101.6829,1229.884,143.0,1087.683,,2460.566
e-24,1784529079691.1116,1784529080871,1784529081014.0,1784529082101.7136,1179.888,143.0,1087.714,,2410.602
e-25,1784529079741.1316,1784529080871,1784529081014.0,1784529082101.7144,1129.868,143.0,1087.714,,2360.583
e-26,1784529079791.1162,1784529080871,1784529081014.0,1784529082101.7146,1079.884,143.0,1087.715,,2310.598
e-27,1784529079841.1135,1784529080871,1784529081015.0,1784529082101.7297,1029.886,144.0,1086.73,,2260.616
e-28,1784529079891.1138,1784529080871,1784529081015.0,1784529082101.73,979.886,144.0,1086.73,,2210.616
e-29,1784529079941.1204,1784529080871,1784529081015.0,1784529082101.7305,929.88,144.0,1086.73,,2160.61
e-30,1784529079991.1252,1784529080871,1784529081015.0,1784529082101.7542,879.875,144.0,1086.754,,2110.629
e-31,1784529080041.092,1784529080871,1784529081015.0,1784529082101.7546,829.908,144.0,1086.755,,2060.663
e-32,1784529080091.1113,1784529080871,1784529081015.0,1784529082101.772,779.889,144.0,1086.772,,2010.661
