event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-41-60000,1784578838662.9822,1784578838915,1784578845320.0,1784578846244.9958,252.018,6405.0,924.996,1784578185320.0,7582.014
ss-19-60000,1784578843162.9846,1784578844165,1784578845337.0,1784578846244.9995,1002.015,1172.0,908.0,1784578185337.0,3082.015
ss-7-60000,1784578842062.9895,1784578842066,1784578845337.0,1784578846245.018,3.01,3271.0,908.018,1784578185337.0,4182.029
ss-54-60000,1784578839762.9788,1784578839966,1784578845337.0,1784578846245.019,203.021,5371.0,908.019,1784578185337.0,6482.04
ss-24-60000,1784578841412.9858,1784578842066,1784578845337.0,1784578846245.0195,653.014,3271.0,908.02,1784578185337.0,4832.034
ss-39-60000,1784578842562.9917,1784578843116,1784578845338.0,1784578846245.0203,553.008,2222.0,907.02,1784578185338.0,3682.029
ss-12-60000,1784578827962.9856,1784578828415,1784578845338.0,1784578846245.021,452.014,16923.0,907.021,1784578185338.0,18282.035
ss-2-60000,1784578842612.9849,1784578843116,1784578845338.0,1784578846245.0256,503.015,2222.0,907.026,1784578185338.0,3632.041
ss-21-60000,1784578840462.9775,1784578841015,1784578845338.0,1784578846245.0493,552.022,4323.0,907.049,1784578185338.0,5782.072
ss-72-60000,1784578843662.9824,1784578844165,1784578845338.0,1784578846245.0503,502.018,1173.0,907.05,1784578185338.0,2582.068
ss-14-60000,1784578844012.9827,1784578844165,1784578845338.0,1784578846245.1257,152.017,1173.0,907.126,1784578185338.0,2232.143
ss-91-60000,1784578843762.9841,1784578844165,1784578845339.0,1784578846245.1267,402.016,1174.0,906.127,1784578185339.0,2482.143
ss-98-60000,1784578836212.9902,1784578836816,1784578845339.0,1784578846245.1274,603.01,8523.0,906.127,1784578185339.0,10032.137
ss-16-60000,1784578843812.9773,1784578844165,1784578845339.0,1784578846245.144,352.023,1174.0,906.144,1784578185339.0,2432.167
ss-28-60000,1784578844262.9856,1784578845215,1784578845339.0,1784578846245.1445,952.014,124.0,906.145,1784578185339.0,1982.159
