event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-88-60000,1784564809705.0864,1784564809758,1784564818353.0,1784564819216.0132,52.914,8595.0,863.013,1784564158353.0,9510.927
ss-4-60000,1784564816555.0925,1784564817107,1784564818369.0,1784564819216.0176,551.907,1262.0,847.018,1784564158369.0,2660.925
ss-6-60000,1784564813205.0862,1784564813958,1784564818370.0,1784564819216.0186,752.914,4412.0,846.019,1784564158370.0,6010.932
ss-17-60000,1784564814205.0957,1784564815008,1784564818370.0,1784564819216.0198,802.904,3362.0,846.02,1784564158370.0,5010.924
ss-71-60000,1784564799905.0984,1784564800308,1784564818370.0,1784564819216.0205,402.902,18062.0,846.021,1784564158370.0,19310.922
ss-23-60000,1784564798455.1118,1784564799258,1784564818370.0,1784564819216.0217,802.888,19112.0,846.022,1784564158370.0,20760.91
ss-29-60000,1784564807655.0918,1784564807658,1784564818370.0,1784564819216.0225,2.908,10712.0,846.022,1784564158370.0,11560.931
ss-65-60000,1784564812455.0864,1784564812908,1784564818371.0,1784564819216.0278,452.914,5463.0,845.028,1784564158371.0,6760.941
ss-31-60000,1784564815255.0955,1784564816057,1784564818371.0,1784564819216.0288,801.905,2314.0,845.029,1784564158371.0,3960.933
ss-8-60000,1784564811855.0803,1784564811858,1784564818371.0,1784564819216.036,2.92,6513.0,845.036,1784564158371.0,7360.956
ss-60-60000,1784564815605.0889,1784564816057,1784564818372.0,1784564819216.0369,451.911,2315.0,844.037,1784564158372.0,3610.948
ss-57-60000,1784564815905.0872,1784564816057,1784564818372.0,1784564819216.0383,151.913,2315.0,844.038,1784564158372.0,3310.951
ss-33-60000,1784564814505.0942,1784564815008,1784564818372.0,1784564819216.0608,502.906,3364.0,844.061,1784564158372.0,4710.967
ss-40-60000,1784564811405.09,1784564811858,1784564818372.0,1784564819216.0613,452.91,6514.0,844.061,1784564158372.0,7810.971
ss-63-60000,1784564814005.0864,1784564815008,1784564818372.0,1784564819216.0618,1002.914,3364.0,844.062,1784564158372.0,5210.975
ss-20-60000,1784564805405.0984,1784564805558,1784564818373.0,1784564819216.0625,152.902,12815.0,843.062,1784564158373.0,13810.964
ss-84-60000,1784564812255.094,1784564812908,1784564818373.0,1784564819216.0632,652.906,5465.0,843.063,1784564158373.0,6960.969
ss-67-60000,1784564816955.0947,1784564817107,1784564818373.0,1784564819216.065,151.905,1266.0,843.065,1784564158373.0,2260.97
ss-28-60000,1784564817105.0935,1784564817107,1784564818373.0,1784564819216.0657,1.906,1266.0,843.066,1784564158373.0,2110.972
ss-55-60000,1784564791605.0896,1784564791909,1784564818373.0,1784564819216.0662,303.91,26464.0,843.066,1784564158373.0,27610.977
ss-24-60000,1784564814255.085,1784564815008,1784564818374.0,1784564819216.0667,752.915,3366.0,842.067,1784564158374.0,4960.982
ss-13-60000,1784564815955.0918,1784564816057,1784564818374.0,1784564819216.0671,101.908,2317.0,842.067,1784564158374.0,3260.975
ss-5-60000,1784564816405.0938,1784564817107,1784564818374.0,1784564819216.0679,701.906,1267.0,842.068,1784564158374.0,2810.974
