event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-88-60000,1784559854631.8699,1784559855634,1784559863091.0,1784559863515.5515,1002.13,7457.0,424.552,1784559203091.0,8883.682
ss-4-60000,1784559861481.8655,1784559861933,1784559863109.0,1784559863515.5562,451.135,1176.0,406.556,1784559203109.0,2033.691
ss-6-60000,1784559858131.862,1784559858785,1784559863109.0,1784559863515.5574,653.138,4324.0,406.557,1784559203109.0,5383.695
ss-17-60000,1784559859131.8672,1784559859834,1784559863110.0,1784559863515.5586,702.133,3276.0,405.559,1784559203110.0,4383.691
ss-71-60000,1784559844831.8618,1784559845135,1784559863110.0,1784559863515.5596,303.138,17975.0,405.56,1784559203110.0,18683.698
ss-23-60000,1784559843381.86,1784559844084,1784559863110.0,1784559863515.561,702.14,19026.0,405.561,1784559203110.0,20133.701
ss-29-60000,1784559852581.8694,1784559853534,1784559863111.0,1784559863515.562,952.131,9577.0,404.562,1784559203111.0,10933.693
ss-65-60000,1784559857381.8604,1784559857734,1784559863111.0,1784559863515.5923,352.14,5377.0,404.592,1784559203111.0,6133.732
ss-31-60000,1784559860181.8733,1784559860883,1784559863111.0,1784559863515.5945,701.127,2228.0,404.594,1784559203111.0,3333.721
ss-8-60000,1784559856781.8687,1784559857734,1784559863111.0,1784559863515.6016,952.131,5377.0,404.602,1784559203111.0,6733.733
ss-60-60000,1784559860531.868,1784559860883,1784559863112.0,1784559863515.603,351.132,2229.0,403.603,1784559203112.0,2983.735
ss-57-60000,1784559860831.864,1784559860883,1784559863112.0,1784559863515.6047,51.136,2229.0,403.605,1784559203112.0,2683.741
ss-33-60000,1784559859431.8657,1784559859834,1784559863112.0,1784559863515.6057,402.134,3278.0,403.606,1784559203112.0,4083.74
ss-40-60000,1784559856331.8572,1784559856683,1784559863112.0,1784559863515.6067,351.143,6429.0,403.607,1784559203112.0,7183.75
ss-63-60000,1784559858931.8594,1784559859834,1784559863113.0,1784559863515.6074,902.141,3279.0,402.607,1784559203113.0,4583.748
ss-20-60000,1784559850331.857,1784559850384,1784559863113.0,1784559863515.6084,52.143,12729.0,402.608,1784559203113.0,13183.751
ss-84-60000,1784559857181.87,1784559857734,1784559863113.0,1784559863515.6096,552.13,5379.0,402.61,1784559203113.0,6333.74
ss-67-60000,1784559861881.8704,1784559861933,1784559863113.0,1784559863515.6108,51.13,1180.0,402.611,1784559203113.0,1633.74
ss-28-60000,1784559862031.861,1784559862984,1784559863113.0,1784559863515.6167,952.139,129.0,402.617,1784559203113.0,1483.756
ss-55-60000,1784559836531.862,1784559836785,1784559863114.0,1784559863515.6177,253.138,26329.0,401.618,1784559203114.0,26983.756
ss-24-60000,1784559859181.8618,1784559859834,1784559863114.0,1784559863515.6277,652.138,3280.0,401.628,1784559203114.0,4333.766
ss-13-60000,1784559860881.8691,1784559860883,1784559863114.0,1784559863515.6287,1.131,2231.0,401.629,1784559203114.0,2633.76
ss-5-60000,1784559861331.866,1784559861933,1784559863114.0,1784559863515.636,601.134,1181.0,401.636,1784559203114.0,2183.77
ss-82-60000,1784559861131.8564,1784559861933,1784559863114.0,1784559863515.637,801.144,1181.0,401.637,1784559203114.0,2383.781
ss-80-60000,1784559855681.8584,1784559856683,1784559863114.0,1784559863515.7607,1001.142,6431.0,401.761,1784559203114.0,7833.902
ss-42-60000,1784559859031.8562,1784559859834,1784559863115.0,1784559863515.7646,802.144,3281.0,400.765,1784559203115.0,4483.908
ss-46-60000,1784559859931.8687,1784559860883,1784559863115.0,1784559863515.766,951.131,2232.0,400.766,1784559203115.0,3583.897
ss-32-60000,1784559861631.8608,1784559861933,1784559863115.0,1784559863515.7932,301.139,1182.0,400.793,1784559203115.0,1883.932
ss-37-60000,1784559855131.862,1784559855634,1784559863115.0,1784559863515.7944,502.138,7481.0,400.794,1784559203115.0,8383.932
ss-44-60000,1784559856281.859,1784559856683,1784559863115.0,1784559863515.7952,401.141,6432.0,400.795,1784559203115.0,7233.936
ss-94-60000,1784559858431.8625,1784559858785,1784559863116.0,1784559863515.8022,353.137,4331.0,399.802,1784559203116.0,5083.94
ss-59-60000,1784559860781.8625,1784559860883,1784559863116.0,1784559863515.8032,101.137,2233.0,399.803,1784559203116.0,2733.941
ss-75-60000,1784559860581.8657,1784559860883,1784559863116.0,1784559863515.8357,301.134,2233.0,399.836,1784559203116.0,2933.97
ss-66-60000,1784559860981.8657,1784559861933,1784559863116.0,1784559863515.837,951.134,1183.0,399.837,1784559203116.0,2533.971
ss-61-60000,1784559858631.8652,1784559858785,1784559863116.0,1784559863515.855,153.135,4331.0,399.855,1784559203116.0,4883.99
ss-74-60000,1784559861931.8662,1784559861933,1784559863116.0,1784559863515.8555,1.134,1183.0,399.855,1784559203116.0,1583.989
ss-25-60000,1784559856581.86,1784559856683,1784559863116.0,1784559863515.856,101.14,6433.0,399.856,1784559203116.0,6933.996
ss-81-60000,1784559861681.857,1784559861933,1784559863117.0,1784559863515.8596,251.143,1184.0,398.86,1784559203117.0,1834.003
ss-0-60000,1784559860631.861,1784559860883,1784559863117.0,1784559863515.944,251.139,2234.0,398.944,1784559203117.0,2884.083
ss-30-60000,1784559859381.871,1784559859834,1784559863117.0,1784559863515.9456,452.129,3283.0,398.946,1784559203117.0,4134.074
ss-2-60000,1784559860381.8677,1784559860883,1784559863117.0,1784559863515.9465,501.132,2234.0,398.947,1784559203117.0,3134.079
ss-97-60000,1784559861181.864,1784559861933,1784559863117.0,1784559863515.9763,751.136,1184.0,398.976,1784559203117.0,2334.112
ss-89-60000,1784559861731.8665,1784559861933,1784559863117.0,1784559863515.9773,201.134,1184.0,398.977,1784559203117.0,1784.111
ss-85-60000,1784559858681.8604,1784559858785,1784559863118.0,1784559863516.0127,103.14,4333.0,398.013,1784559203118.0,4834.152
ss-54-60000,1784559857531.8616,1784559857734,1784559863118.0,1784559863516.0137,202.138,5384.0,398.014,1784559203118.0,5984.152
ss-72-60000,1784559861431.8665,1784559861933,1784559863118.0,1784559863516.0732,501.134,1185.0,398.073,1784559203118.0,2084.207
ss-87-60000,1784559861031.862,1784559861933,1784559863118.0,1784559863516.0742,901.138,1185.0,398.074,1784559203118.0,2484.212
ss-35-60000,1784559859881.856,1784559860883,1784559863118.0,1784559863516.0747,1001.144,2235.0,398.075,1784559203118.0,3634.219
