event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-41-0,1784581482911.291,1784581483113,1784581489496.0,1784581490032.0015,201.709,6383.0,536.001,1784581429496.0,7120.71
tc-19-0,1784581487411.2883,1784581488363,1784581489510.0,1784581490032.006,951.712,1147.0,522.006,1784581429510.0,2620.718
tc-9-0,1784581488312.5344,1784581488363,1784581489511.0,1784581490032.0076,50.466,1148.0,521.008,1784581429511.0,1719.473
tc-64-0,1784581485361.2883,1784581486263,1784581489511.0,1784581490032.009,901.712,3248.0,521.009,1784581429511.0,4670.721
tc-80-0,1784581482161.2886,1784581483113,1784581489511.0,1784581490032.0098,951.711,6398.0,521.01,1784581429511.0,7870.721
tc-59-0,1784581487261.2844,1784581487313,1784581489511.0,1784581490032.0107,51.716,2198.0,521.011,1784581429511.0,2770.726
tc-45-0,1784581477161.2866,1784581477894,1784581489511.0,1784581490032.0117,732.713,11617.0,521.012,1784581429511.0,12870.725
tc-48-0,1784581486211.2861,1784581486263,1784581489512.0,1784581490032.0217,51.714,3249.0,520.022,1784581429512.0,3820.736
tc-58-0,1784581487711.291,1784581488363,1784581489512.0,1784581490032.0232,651.709,1149.0,520.023,1784581429512.0,2320.732
tc-29-0,1784581479061.2886,1784581479962,1784581489512.0,1784581490032.0244,900.711,9550.0,520.024,1784581429512.0,10970.736
tc-84-0,1784581483661.2908,1784581484164,1784581489513.0,1784581490032.025,502.709,5349.0,519.025,1784581429513.0,6370.734
tc-74-0,1784581488411.294,1784581489414,1784581489513.0,1784581490032.0256,1002.706,99.0,519.026,1784581429513.0,1620.732
tc-38-0,1784581488661.2827,1784581489414,1784581489513.0,1784581490032.0261,752.717,99.0,519.026,1784581429513.0,1370.743
tc-1-0,1784581488611.2896,1784581489414,1784581489513.0,1784581490032.0266,802.71,99.0,519.027,1784581429513.0,1420.737
tc-75-0,1784581487061.2805,1784581487313,1784581489514.0,1784581490032.027,251.719,2201.0,518.027,1784581429514.0,2970.747
tc-23-0,1784581469861.2925,1784581470513,1784581489514.0,1784581490032.0276,651.708,19001.0,518.028,1784581429514.0,20170.735
tc-52-0,1784581486111.284,1784581486263,1784581489514.0,1784581490032.028,151.716,3251.0,518.028,1784581429514.0,3920.744
tc-36-0,1784581484811.2898,1784581485213,1784581489514.0,1784581490032.0286,401.71,4301.0,518.029,1784581429514.0,5220.739
tc-60-0,1784581487011.2876,1784581487313,1784581489514.0,1784581490032.0293,301.712,2201.0,518.029,1784581429514.0,3020.742
tc-56-0,1784581472811.2866,1784581473664,1784581489515.0,1784581490032.0298,852.713,15851.0,517.03,1784581429515.0,17220.743
tc-37-0,1784581481611.2866,1784581482064,1784581489515.0,1784581490032.0305,452.713,7451.0,517.031,1784581429515.0,8420.744
tc-32-0,1784581488111.2866,1784581488363,1784581489515.0,1784581490032.031,251.713,1152.0,517.031,1784581429515.0,1920.744
tc-27-0,1784581486561.2847,1784581487313,1784581489515.0,1784581490032.0312,751.715,2202.0,517.031,1784581429515.0,3470.747
tc-22-0,1784581475111.284,1784581475763,1784581489515.0,1784581490032.0317,651.716,13752.0,517.032,1784581429515.0,14920.748
tc-49-0,1784581488461.2966,1784581489414,1784581489515.0,1784581490032.0322,952.703,101.0,517.032,1784581429515.0,1570.736
tc-78-0,1784581480511.3262,1784581481013,1784581489515.0,1784581490032.033,501.674,8502.0,517.033,1784581429515.0,9520.707
tc-25-0,1784581483061.3054,1784581483113,1784581489516.0,1784581490032.0376,51.695,6403.0,516.038,1784581429516.0,6970.732
tc-92-0,1784581487561.2866,1784581488363,1784581489516.0,1784581490032.038,801.713,1153.0,516.038,1784581429516.0,2470.751
tc-30-0,1784581485861.286,1784581486263,1784581489516.0,1784581490032.0386,401.714,3253.0,516.039,1784581429516.0,4170.753
tc-42-0,1784581485511.2817,1784581486263,1784581489516.0,1784581490032.039,751.718,3253.0,516.039,1784581429516.0,4520.757
tc-82-0,1784581487611.2903,1784581488363,1784581489516.0,1784581490032.0396,751.71,1153.0,516.04,1784581429516.0,2420.749
tc-67-0,1784581488361.28,1784581488363,1784581489517.0,1784581490032.0408,1.72,1154.0,515.041,1784581429517.0,1670.761
tc-66-0,1784581487461.291,1784581488363,1784581489517.0,1784581490032.0413,901.709,1154.0,515.041,1784581429517.0,2570.75
tc-94-0,1784581484911.2886,1784581485213,1784581489517.0,1784581490032.046,301.711,4304.0,515.046,1784581429517.0,5120.757
tc-95-0,1784581480761.284,1784581481013,1784581489517.0,1784581490032.0618,251.716,8504.0,515.062,1784581429517.0,9270.778
tc-18-0,1784581482711.2847,1784581483113,1784581489517.0,1784581490032.0625,401.715,6404.0,515.062,1784581429517.0,7320.778
tc-44-0,1784581482761.2888,1784581483113,1784581489518.0,1784581490032.063,351.711,6405.0,514.063,1784581429518.0,7270.774
tc-81-0,1784581488161.2812,1784581488363,1784581489518.0,1784581490032.067,201.719,1155.0,514.067,1784581429518.0,1870.786
tc-3-0,1784581484061.2856,1784581484164,1784581489518.0,1784581490032.0676,102.714,5354.0,514.068,1784581429518.0,5970.782
tc-20-0,1784581476811.2854,1784581476814,1784581489518.0,1784581490032.068,2.715,12704.0,514.068,1784581429518.0,13220.783
tc-26-0,1784581484261.2869,1784581485213,1784581489518.0,1784581490032.0686,951.713,4305.0,514.069,1784581429518.0,5770.782
tc-61-0,1784581485111.2883,1784581485213,1784581489519.0,1784581490032.0696,101.712,4306.0,513.07,1784581429519.0,4920.781
tc-86-0,1784581481161.2903,1784581482064,1784581489519.0,1784581490032.07,902.71,7455.0,513.07,1784581429519.0,8870.78
tc-65-0,1784581483861.3003,1784581484164,1784581489519.0,1784581490032.0706,302.7,5355.0,513.071,1784581429519.0,6170.77
tc-47-0,1784581483961.2979,1784581484164,1784581489519.0,1784581490032.071,202.702,5355.0,513.071,1784581429519.0,6070.773
tc-33-0,1784581485911.2842,1784581486263,1784581489519.0,1784581490032.0764,351.716,3256.0,513.076,1784581429519.0,4120.792
tc-0-0,1784581487111.2927,1784581487313,1784581489520.0,1784581490032.1943,201.707,2207.0,512.194,1784581429520.0,2920.902
tc-4-0,1784581487961.2927,1784581488363,1784581489520.0,1784581490032.198,401.707,1157.0,512.198,1784581429520.0,2070.905
