event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-41-0,1784524118025.312,1784524118278,1784524124669.0,1784524125325.9912,252.688,6391.0,656.991,1784524064669.0,7300.679
tc-19-0,1784524122525.3135,1784524123527,1784524124684.0,1784524125325.9966,1001.687,1157.0,641.997,1784524064684.0,2800.683
tc-9-0,1784524123425.308,1784524123527,1784524124685.0,1784524125325.9978,101.692,1158.0,640.998,1784524064685.0,1900.69
tc-64-0,1784524120475.3123,1784524121428,1784524124685.0,1784524125325.9993,952.688,3257.0,640.999,1784524064685.0,4850.687
tc-80-0,1784524117275.3127,1784524118278,1784524124685.0,1784524125326.0056,1002.687,6407.0,641.006,1784524064685.0,8050.693
tc-59-0,1784524122375.3108,1784524122477,1784524124685.0,1784524125326.0068,101.689,2208.0,641.007,1784524064685.0,2950.696
tc-45-0,1784524112275.3213,1784524113027,1784524124685.0,1784524125326.008,751.679,11658.0,641.008,1784524064685.0,13050.687
tc-48-0,1784524121325.3164,1784524121428,1784524124686.0,1784524125326.0134,102.684,3258.0,640.013,1784524064686.0,4000.697
tc-58-0,1784524122825.314,1784524123527,1784524124686.0,1784524125326.0146,701.686,1159.0,640.015,1784524064686.0,2500.701
tc-29-0,1784524114175.311,1784524115127,1784524124687.0,1784524125326.0156,951.689,9560.0,639.016,1784524064687.0,11150.705
tc-84-0,1784524118775.3105,1784524119327,1784524124687.0,1784524125326.0166,551.689,5360.0,639.017,1784524064687.0,6550.706
tc-74-0,1784524123525.3066,1784524123527,1784524124687.0,1784524125326.017,1.693,1160.0,639.017,1784524064687.0,1800.71
tc-38-0,1784524123775.3083,1784524124578,1784524124687.0,1784524125326.0176,802.692,109.0,639.018,1784524064687.0,1550.709
tc-1-0,1784524123725.313,1784524124578,1784524124688.0,1784524125326.0183,852.687,110.0,638.018,1784524064688.0,1600.705
tc-75-0,1784524122175.3018,1784524122477,1784524124688.0,1784524125326.0188,301.698,2211.0,638.019,1784524064688.0,3150.717
tc-23-0,1784524104975.3137,1784524105678,1784524124688.0,1784524125326.0193,702.686,19010.0,638.019,1784524064688.0,20350.706
tc-33-0,1784524121025.3066,1784524121428,1784524124688.0,1784524125326.0203,402.693,3260.0,638.02,1784524064688.0,4300.714
tc-52-0,1784524121225.535,1784524121428,1784524124688.0,1784524125326.021,202.465,3260.0,638.021,1784524064688.0,4100.486
tc-36-0,1784524119925.3093,1784524120377,1784524124689.0,1784524125326.0217,451.691,4312.0,637.022,1784524064689.0,5400.712
tc-60-0,1784524122125.309,1784524122477,1784524124689.0,1784524125326.0222,351.691,2212.0,637.022,1784524064689.0,3200.713
tc-56-0,1784524107925.3137,1784524108827,1784524124689.0,1784524125326.023,901.686,15862.0,637.023,1784524064689.0,17400.709
tc-37-0,1784524116725.3115,1784524117228,1784524124689.0,1784524125326.0234,502.688,7461.0,637.023,1784524064689.0,8600.712
tc-32-0,1784524123225.3142,1784524123527,1784524124689.0,1784524125326.0242,301.686,1162.0,637.024,1784524064689.0,2100.71
tc-27-0,1784524121675.3142,1784524122477,1784524124690.0,1784524125326.0247,801.686,2213.0,636.025,1784524064690.0,3650.71
tc-22-0,1784524110225.3113,1784524110927,1784524124690.0,1784524125326.0254,701.689,13763.0,636.025,1784524064690.0,15100.714
tc-49-0,1784524123575.3088,1784524124578,1784524124690.0,1784524125326.026,1002.691,112.0,636.026,1784524064690.0,1750.717
tc-78-0,1784524115625.311,1784524116177,1784524124690.0,1784524125326.0261,551.689,8513.0,636.026,1784524064690.0,9700.715
tc-25-0,1784524118175.3105,1784524118278,1784524124690.0,1784524125326.0293,102.689,6412.0,636.029,1784524064690.0,7150.719
tc-92-0,1784524122675.3154,1784524123527,1784524124691.0,1784524125326.0298,851.685,1164.0,635.03,1784524064691.0,2650.714
tc-30-0,1784524120975.3252,1784524121428,1784524124691.0,1784524125326.0303,452.675,3263.0,635.03,1784524064691.0,4350.705
tc-42-0,1784524120625.3113,1784524121428,1784524124691.0,1784524125326.031,802.689,3263.0,635.031,1784524064691.0,4700.72
tc-82-0,1784524122725.311,1784524123527,1784524124692.0,1784524125326.0315,801.689,1165.0,634.031,1784524064692.0,2600.72
tc-67-0,1784524123475.3079,1784524123527,1784524124692.0,1784524125326.0325,51.692,1165.0,634.032,1784524064692.0,1850.725
tc-66-0,1784524122575.3103,1784524123527,1784524124692.0,1784524125326.0332,951.69,1165.0,634.033,1784524064692.0,2750.723
tc-94-0,1784524120025.31,1784524120377,1784524124692.0,1784524125326.0535,351.69,4315.0,634.053,1784524064692.0,5300.743
tc-95-0,1784524115875.3096,1784524116177,1784524124692.0,1784524125326.0544,301.69,8515.0,634.054,1784524064692.0,9450.745
tc-18-0,1784524117825.3105,1784524118278,1784524124692.0,1784524125326.055,452.689,6414.0,634.055,1784524064692.0,7500.744
tc-44-0,1784524117875.3098,1784524118278,1784524124693.0,1784524125326.0552,402.69,6415.0,633.055,1784524064693.0,7450.745
tc-81-0,1784524123275.3103,1784524123527,1784524124693.0,1784524125328.2124,251.69,1166.0,635.212,1784524064693.0,2052.902
tc-3-0,1784524119175.3152,1784524119327,1784524124693.0,1784524125328.2136,151.685,5366.0,635.214,1784524064693.0,6152.898
tc-20-0,1784524111925.312,1784524111978,1784524124693.0,1784524125328.2139,52.688,12715.0,635.214,1784524064693.0,13402.902
tc-26-0,1784524119375.3113,1784524120377,1784524124693.0,1784524125328.2158,1001.689,4316.0,635.216,1784524064693.0,5952.905
tc-61-0,1784524120225.3105,1784524120377,1784524124694.0,1784524125328.2163,151.689,4317.0,634.216,1784524064694.0,5102.906
tc-86-0,1784524116275.315,1784524117228,1784524124694.0,1784524125328.217,952.685,7466.0,634.217,1784524064694.0,9052.902
tc-65-0,1784524118975.311,1784524119327,1784524124694.0,1784524125328.2173,351.689,5367.0,634.217,1784524064694.0,6352.906
tc-0-0,1784524122225.3103,1784524122477,1784524124694.0,1784524125328.2178,251.69,2217.0,634.218,1784524064694.0,3102.907
