event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-41-0,1784530214650.539,1784530214753,1784530221155.0,1784530221956.3633,102.461,6402.0,801.363,1784530161155.0,7305.824
tc-19-0,1784530219150.5242,1784530220003,1784530221170.0,1784530221956.368,852.476,1167.0,786.368,1784530161170.0,2805.844
tc-9-0,1784530220050.5125,1784530221051,1784530221170.0,1784530221956.3694,1000.488,119.0,786.369,1784530161170.0,1905.857
tc-64-0,1784530217100.5242,1784530217901,1784530221171.0,1784530221956.3767,800.476,3270.0,785.377,1784530161171.0,4855.853
tc-80-0,1784530213900.5068,1784530214753,1784530221171.0,1784530221956.378,852.493,6418.0,785.378,1784530161171.0,8055.871
tc-59-0,1784530219000.5117,1784530220003,1784530221172.0,1784530221956.3792,1002.488,1169.0,784.379,1784530161172.0,2955.867
tc-45-0,1784530208900.5256,1784530209503,1784530221172.0,1784530221956.3801,602.474,11669.0,784.38,1784530161172.0,13055.854
tc-48-0,1784530217950.5295,1784530218952,1784530221172.0,1784530221956.387,1001.47,2220.0,784.387,1784530161172.0,4005.857
tc-58-0,1784530219450.512,1784530220003,1784530221172.0,1784530221956.3882,552.488,1169.0,784.388,1784530161172.0,2505.876
tc-29-0,1784530210800.5344,1784530211602,1784530221172.0,1784530221956.3894,801.466,9570.0,784.389,1784530161172.0,11155.855
tc-84-0,1784530215400.4946,1784530215802,1784530221173.0,1784530221956.3901,401.505,5371.0,783.39,1784530161173.0,6555.896
tc-74-0,1784530220150.5308,1784530221051,1784530221173.0,1784530221956.391,900.469,122.0,783.391,1784530161173.0,1805.86
tc-38-0,1784530220400.518,1784530221051,1784530221173.0,1784530221956.3918,650.482,122.0,783.392,1784530161173.0,1555.874
tc-1-0,1784530220350.504,1784530221051,1784530221173.0,1784530221956.3926,700.496,122.0,783.393,1784530161173.0,1605.889
tc-52-0,1784530217850.5288,1784530217901,1784530221173.0,1784530221956.3933,50.471,3272.0,783.393,1784530161173.0,4105.865
tc-36-0,1784530216550.5264,1784530216852,1784530221174.0,1784530221956.394,301.474,4322.0,782.394,1784530161174.0,5405.868
tc-60-0,1784530218751.166,1784530218952,1784530221174.0,1784530221956.3945,200.834,2222.0,782.395,1784530161174.0,3205.229
tc-56-0,1784530204550.523,1784530205402,1784530221174.0,1784530221956.3955,851.477,15772.0,782.396,1784530161174.0,17405.873
tc-37-0,1784530213350.5156,1784530213703,1784530221174.0,1784530221956.3962,352.484,7471.0,782.396,1784530161174.0,8605.881
tc-32-0,1784530219850.4902,1784530220003,1784530221174.0,1784530221956.3967,152.51,1171.0,782.397,1784530161174.0,2105.906
tc-27-0,1784530218300.528,1784530218952,1784530221175.0,1784530221956.3972,651.472,2223.0,781.397,1784530161175.0,3655.869
tc-22-0,1784530206850.5464,1784530207454,1784530221175.0,1784530221956.3977,603.454,13721.0,781.398,1784530161175.0,15105.851
tc-49-0,1784530220200.5266,1784530221051,1784530221175.0,1784530221956.3982,850.473,124.0,781.398,1784530161175.0,1755.872
tc-78-0,1784530212250.5142,1784530212652,1784530221175.0,1784530221956.3987,401.486,8523.0,781.399,1784530161175.0,9705.885
tc-25-0,1784530214800.5085,1784530215802,1784530221175.0,1784530221956.3992,1001.491,5373.0,781.399,1784530161175.0,7155.891
tc-92-0,1784530219300.5269,1784530220003,1784530221175.0,1784530221956.4045,702.473,1172.0,781.405,1784530161175.0,2655.878
tc-30-0,1784530217600.491,1784530217901,1784530221176.0,1784530221956.4053,300.509,3275.0,780.405,1784530161176.0,4355.914
tc-42-0,1784530217250.525,1784530217901,1784530221176.0,1784530221956.4058,650.475,3275.0,780.406,1784530161176.0,4705.881
tc-82-0,1784530219350.514,1784530220003,1784530221176.0,1784530221956.4062,652.486,1173.0,780.406,1784530161176.0,2605.892
tc-67-0,1784530220100.529,1784530221051,1784530221176.0,1784530221956.4075,950.471,125.0,780.407,1784530161176.0,1855.878
tc-66-0,1784530219200.5244,1784530220003,1784530221176.0,1784530221956.408,802.476,1173.0,780.408,1784530161176.0,2755.884
tc-94-0,1784530216650.5256,1784530216852,1784530221177.0,1784530221956.4116,201.474,4325.0,779.412,1784530161177.0,5305.886
tc-95-0,1784530212500.5212,1784530212652,1784530221177.0,1784530221956.412,151.479,8525.0,779.412,1784530161177.0,9455.891
tc-18-0,1784530214450.5295,1784530214753,1784530221177.0,1784530221956.413,302.47,6424.0,779.413,1784530161177.0,7505.884
tc-44-0,1784530214500.5146,1784530214753,1784530221177.0,1784530221956.4136,252.485,6424.0,779.414,1784530161177.0,7455.899
tc-81-0,1784530219900.5217,1784530220003,1784530221177.0,1784530221956.4175,102.478,1174.0,779.417,1784530161177.0,2055.896
tc-3-0,1784530215800.5156,1784530215802,1784530221178.0,1784530221956.418,1.484,5376.0,778.418,1784530161178.0,6155.902
tc-20-0,1784530208550.518,1784530209503,1784530221178.0,1784530221956.4185,952.482,11675.0,778.418,1784530161178.0,13405.9
tc-26-0,1784530216000.5222,1784530216852,1784530221178.0,1784530221956.419,851.478,4326.0,778.419,1784530161178.0,5955.897
tc-61-0,1784530216850.5198,1784530216852,1784530221178.0,1784530221956.4194,1.48,4326.0,778.419,1784530161178.0,5105.9
tc-86-0,1784530212900.5215,1784530213703,1784530221178.0,1784530221956.4197,802.479,7475.0,778.42,1784530161178.0,9055.898
tc-65-0,1784530215600.5054,1784530215802,1784530221179.0,1784530221956.4211,201.495,5377.0,777.421,1784530161179.0,6355.916
tc-47-0,1784530215700.5032,1784530215802,1784530221179.0,1784530221956.4216,101.497,5377.0,777.422,1784530161179.0,6255.918
