event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-88-0,1784557982654.3352,1784557982756,1784557991306.0,1784557991592.841,101.665,8550.0,286.841,1784557931306.0,8938.506
tc-4-0,1784557989504.3335,1784557990107,1784557991321.0,1784557991592.846,602.667,1214.0,271.846,1784557931321.0,2088.512
tc-96-0,1784557986004.3281,1784557986957,1784557991322.0,1784557991592.8472,952.672,4365.0,270.847,1784557931322.0,5588.519
tc-70-0,1784557989304.329,1784557990107,1784557991322.0,1784557991592.849,802.671,1215.0,270.849,1784557931322.0,2288.52
tc-33-0,1784557987454.3303,1784557988007,1784557991322.0,1784557991592.8506,552.67,3315.0,270.851,1784557931322.0,4138.52
tc-28-0,1784557990054.328,1784557990107,1784557991322.0,1784557991592.8516,52.672,1215.0,270.852,1784557931322.0,1538.524
tc-13-0,1784557988904.3196,1784557989057,1784557991322.0,1784557991592.8525,152.68,2265.0,270.853,1784557931322.0,2688.533
tc-5-0,1784557989354.3342,1784557990107,1784557991322.0,1784557991592.8772,752.666,1215.0,270.877,1784557931322.0,2238.543
tc-32-0,1784557989654.3242,1784557990107,1784557991323.0,1784557991592.8787,452.676,1216.0,269.879,1784557931323.0,1938.554
tc-44-0,1784557984304.3137,1784557984856,1784557991323.0,1784557991592.8796,551.686,6467.0,269.88,1784557931323.0,7288.566
tc-75-0,1784557988604.337,1784557989057,1784557991323.0,1784557991592.8801,452.663,2266.0,269.88,1784557931323.0,2988.543
tc-46-0,1784557987954.3264,1784557988007,1784557991323.0,1784557991592.8806,52.674,3316.0,269.881,1784557931323.0,3638.554
tc-59-0,1784557988804.3232,1784557989057,1784557991323.0,1784557991592.8813,252.677,2266.0,269.881,1784557931323.0,2788.558
tc-66-0,1784557989004.3342,1784557989057,1784557991323.0,1784557991592.8823,52.666,2266.0,269.882,1784557931323.0,2588.548
tc-25-0,1784557984604.3323,1784557984856,1784557991323.0,1784557991592.8828,251.668,6467.0,269.883,1784557931323.0,6988.551
tc-61-0,1784557986654.329,1784557986957,1784557991323.0,1784557991592.8833,302.671,4366.0,269.883,1784557931323.0,4938.554
tc-0-0,1784557988654.3308,1784557989057,1784557991324.0,1784557991592.884,402.669,2267.0,268.884,1784557931324.0,2938.553
tc-30-0,1784557987404.3293,1784557988007,1784557991324.0,1784557991592.8853,602.671,3317.0,268.885,1784557931324.0,4188.556
tc-94-0,1784557986454.3262,1784557986957,1784557991324.0,1784557991592.8916,502.674,4367.0,268.892,1784557931324.0,5138.565
tc-37-0,1784557983154.3264,1784557983805,1784557991324.0,1784557991592.8923,650.674,7519.0,268.892,1784557931324.0,8438.566
tc-52-0,1784557987654.325,1784557988007,1784557991324.0,1784557991592.8928,352.675,3317.0,268.893,1784557931324.0,3938.568
tc-36-0,1784557986354.329,1784557986957,1784557991324.0,1784557991592.8933,602.671,4367.0,268.893,1784557931324.0,5238.564
tc-69-0,1784557977254.346,1784557977507,1784557991324.0,1784557991592.8938,252.654,13817.0,268.894,1784557931324.0,14338.548
tc-91-0,1784557989554.3203,1784557990107,1784557991324.0,1784557991592.8943,552.68,1217.0,268.894,1784557931324.0,2038.574
tc-14-0,1784557989804.348,1784557990107,1784557991325.0,1784557991592.9001,302.652,1218.0,267.9,1784557931325.0,1788.552
tc-95-0,1784557982304.338,1784557982756,1784557991325.0,1784557991592.9006,451.662,8569.0,267.901,1784557931325.0,9288.563
tc-43-0,1784557987804.327,1784557988007,1784557991326.0,1784557991593.0205,202.673,3319.0,267.021,1784557931326.0,3788.694
tc-98-0,1784557982004.329,1784557982756,1784557991326.0,1784557991593.024,751.671,8570.0,267.024,1784557931326.0,9588.695
tc-38-0,1784557990204.319,1784557991157,1784557991326.0,1784557991593.0356,952.681,169.0,267.036,1784557931326.0,1388.717
tc-99-0,1784557974854.3296,1784557975407,1784557991326.0,1784557991593.0364,552.67,15919.0,267.036,1784557931326.0,16738.707
tc-7-0,1784557987854.3296,1784557988007,1784557991326.0,1784557991593.0369,152.67,3319.0,267.037,1784557931326.0,3738.707
tc-76-0,1784557990104.3276,1784557990107,1784557991326.0,1784557991593.0562,2.672,1219.0,267.056,1784557931326.0,1488.729
tc-78-0,1784557982054.326,1784557982756,1784557991326.0,1784557991593.0579,701.674,8570.0,267.058,1784557931326.0,9538.732
tc-73-0,1784557963654.3323,1784557963857,1784557991327.0,1784557991593.0703,202.668,27470.0,266.07,1784557931327.0,27938.738
tc-68-0,1784557981304.3271,1784557981706,1784557991327.0,1784557991593.0718,401.673,9621.0,266.072,1784557931327.0,10288.745
tc-45-0,1784557978704.3318,1784557979607,1784557991327.0,1784557991593.073,902.668,11720.0,266.073,1784557931327.0,12888.741
tc-56-0,1784557974354.331,1784557974356,1784557991327.0,1784557991593.15,1.669,16971.0,266.15,1784557931327.0,17238.819
tc-16-0,1784557989604.3552,1784557990107,1784557991327.0,1784557991593.1514,502.645,1220.0,266.151,1784557931327.0,1988.796
tc-26-0,1784557985804.3315,1784557985906,1784557991327.0,1784557991593.1519,101.668,5421.0,266.152,1784557931327.0,5788.82
tc-41-0,1784557984454.3308,1784557984856,1784557991327.0,1784557991593.1523,401.669,6471.0,266.152,1784557931327.0,7138.822
tc-51-0,1784557988254.3276,1784557989057,1784557991327.0,1784557991593.1658,802.672,2270.0,266.166,1784557931327.0,3338.838
tc-50-0,1784557988704.3318,1784557989057,1784557991327.0,1784557991593.1665,352.668,2270.0,266.167,1784557931327.0,2888.835
tc-93-0,1784557985904.331,1784557985906,1784557991327.0,1784557991593.262,1.669,5421.0,266.262,1784557931327.0,5688.931
tc-9-0,1784557989854.3296,1784557990107,1784557991328.0,1784557991593.2627,252.67,1221.0,265.263,1784557931328.0,1738.933
tc-34-0,1784557988154.325,1784557989057,1784557991328.0,1784557991593.2676,902.675,2271.0,265.268,1784557931328.0,3438.943
