event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-41-0,1784531015728.7805,1784531015932,1784531022333.0,1784531023431.87,203.219,6401.0,1098.87,1784530962333.0,7703.09
tc-19-0,1784531020228.7822,1784531021180,1784531022346.0,1784531023431.8743,951.218,1166.0,1085.874,1784530962346.0,3203.092
tc-9-0,1784531021128.7764,1784531021180,1784531022346.0,1784531023431.8762,51.224,1166.0,1085.876,1784530962346.0,2303.1
tc-64-0,1784531018178.7815,1784531019080,1784531022346.0,1784531023431.8777,901.219,3266.0,1085.878,1784530962346.0,5253.096
tc-80-0,1784531014978.7747,1784531015932,1784531022346.0,1784531023431.8787,953.225,6414.0,1085.879,1784530962346.0,8453.104
tc-59-0,1784531020078.7751,1784531020130,1784531022346.0,1784531023431.8796,51.225,2216.0,1085.88,1784530962346.0,3353.104
tc-45-0,1784531009978.7847,1784531010682,1784531022346.0,1784531023431.8804,703.215,11664.0,1085.88,1784530962346.0,13453.096
tc-48-0,1784531019028.792,1784531019080,1784531022346.0,1784531023431.8872,51.208,3266.0,1085.887,1784530962346.0,4403.095
tc-58-0,1784531020528.7847,1784531021180,1784531022346.0,1784531023431.8882,651.215,1166.0,1085.888,1784530962346.0,2903.104
tc-29-0,1784531011878.7764,1784531012780,1784531022347.0,1784531023431.9045,901.224,9567.0,1084.905,1784530962347.0,11553.128
tc-84-0,1784531016478.7952,1784531016981,1784531022347.0,1784531023431.9055,502.205,5366.0,1084.906,1784530962347.0,6953.11
tc-74-0,1784531021228.787,1784531022231,1784531022347.0,1784531023431.9065,1002.213,116.0,1084.906,1784530962347.0,2203.119
tc-38-0,1784531021478.776,1784531022231,1784531022347.0,1784531023431.9148,752.224,116.0,1084.915,1784530962347.0,1953.139
tc-1-0,1784531021428.7732,1784531022231,1784531022347.0,1784531023431.9155,802.227,116.0,1084.916,1784530962347.0,2003.142
tc-75-0,1784531019878.7725,1784531020130,1784531022347.0,1784531023431.9163,251.228,2217.0,1084.916,1784530962347.0,3553.144
tc-23-0,1784531002678.7793,1784531003382,1784531022347.0,1784531023431.9167,703.221,18965.0,1084.917,1784530962347.0,20753.137
tc-52-0,1784531018928.7788,1784531019080,1784531022347.0,1784531023431.9172,151.221,3267.0,1084.917,1784530962347.0,4503.138
tc-36-0,1784531017628.7883,1784531018031,1784531022347.0,1784531023431.9182,402.212,4316.0,1084.918,1784530962347.0,5803.13
tc-60-0,1784531019828.7708,1784531020130,1784531022347.0,1784531023431.9187,301.229,2217.0,1084.919,1784530962347.0,3603.148
tc-56-0,1784531005628.7856,1784531006482,1784531022347.0,1784531023431.9243,853.214,15865.0,1084.924,1784530962347.0,17803.139
tc-37-0,1784531014428.8003,1784531014882,1784531022347.0,1784531023432.0073,453.2,7465.0,1085.007,1784530962347.0,9003.207
tc-32-0,1784531020928.7913,1784531021180,1784531022348.0,1784531023432.0083,251.209,1168.0,1084.008,1784530962348.0,2503.217
tc-27-0,1784531019378.7827,1784531020130,1784531022348.0,1784531023432.0088,751.217,2218.0,1084.009,1784530962348.0,4053.226
tc-22-0,1784531007928.7776,1784531008581,1784531022348.0,1784531023432.0093,652.222,13767.0,1084.009,1784530962348.0,15503.232
tc-49-0,1784531021278.7795,1784531022231,1784531022348.0,1784531023432.0098,952.22,117.0,1084.01,1784530962348.0,2153.23
tc-78-0,1784531013328.7805,1784531013830,1784531022348.0,1784531023432.0103,501.219,8518.0,1084.01,1784530962348.0,10103.23
tc-25-0,1784531015878.7773,1784531015932,1784531022348.0,1784531023432.0168,53.223,6416.0,1084.017,1784530962348.0,7553.24
tc-92-0,1784531020378.7751,1784531021180,1784531022348.0,1784531023432.0596,801.225,1168.0,1084.06,1784530962348.0,3053.284
tc-30-0,1784531018678.7815,1784531019080,1784531022348.0,1784531023432.0605,401.219,3268.0,1084.061,1784530962348.0,4753.279
tc-42-0,1784531018328.7717,1784531019080,1784531022348.0,1784531023432.0654,751.228,3268.0,1084.065,1784530962348.0,5103.294
tc-82-0,1784531020428.7993,1784531021180,1784531022348.0,1784531023432.133,751.201,1168.0,1084.133,1784530962348.0,3003.334
tc-67-0,1784531021178.7778,1784531021180,1784531022348.0,1784531023432.1345,1.222,1168.0,1084.135,1784530962348.0,2253.357
tc-66-0,1784531020278.7747,1784531021180,1784531022348.0,1784531023432.135,901.225,1168.0,1084.135,1784530962348.0,3153.36
tc-94-0,1784531017728.7703,1784531018031,1784531022348.0,1784531023432.141,302.23,4317.0,1084.141,1784530962348.0,5703.371
tc-95-0,1784531013578.787,1784531013830,1784531022348.0,1784531023432.1553,251.213,8518.0,1084.155,1784530962348.0,9853.368
tc-18-0,1784531015528.7764,1784531015932,1784531022349.0,1784531023432.1558,403.224,6417.0,1083.156,1784530962349.0,7903.379
tc-44-0,1784531015578.77,1784531015932,1784531022349.0,1784531023432.2246,353.23,6417.0,1083.225,1784530962349.0,7853.455
tc-81-0,1784531020978.7861,1784531021180,1784531022349.0,1784531023432.233,201.214,1169.0,1083.233,1784530962349.0,2453.447
