timestamp_ms,topic,lag
1784622772772,bench-w3-latency-input,606
1784622779698,bench-w3-latency-input,303
1784622786548,bench-w3-latency-input,1010
1784622793370,bench-w3-latency-input,707
1784622800189,bench-w3-latency-input,303
1784622807108,bench-w3-latency-input,1010
1784622814004,bench-w3-latency-input,706
1784622820966,bench-w3-latency-input,913
1784622827856,bench-w3-latency-input,0
1784622834733,bench-w3-latency-input,0
1784622841640,bench-w3-latency-input,0
1784622848455,bench-w3-latency-input,0
1784622855299,bench-w3-latency-input,0
1784622862165,bench-w3-latency-input,0
1784622869047,bench-w3-latency-input,0
1784622875933,bench-w3-latency-input,0
1784622882810,bench-w3-latency-input,0
1784622889731,bench-w3-latency-input,0
1784622896604,bench-w3-latency-input,0
1784622903411,bench-w3-latency-input,0
1784622910237,bench-w3-latency-input,0
1784622917087,bench-w3-latency-input,0
1784622923936,bench-w3-latency-input,0
1784622930834,bench-w3-latency-input,0
1784622937700,bench-w3-latency-input,0
1784622944529,bench-w3-latency-input,0
1784622951478,bench-w3-latency-input,0
1784622958322,bench-w3-latency-input,0
1784622965197,bench-w3-latency-input,0
