event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-41-0,1784622041209.9517,1784622041743,1784622042992.0,1784622043741.7012,533.048,1249.0,749.701,1784621982992.0,2531.75
tc-19-0,1784622042109.935,1784622042753,1784622043007.0,1784622043741.704,643.065,254.0,734.704,1784621983007.0,1631.769
tc-9-0,1784622042289.9412,1784622042753,1784622043008.0,1784622043741.705,463.059,255.0,733.705,1784621983008.0,1451.764
tc-64-0,1784622041699.9429,1784622041743,1784622043008.0,1784622043741.7058,43.057,1265.0,733.706,1784621983008.0,2041.763
tc-80-0,1784622041059.9502,1784622041743,1784622043008.0,1784622043741.7063,683.05,1265.0,733.706,1784621983008.0,2681.756
tc-59-0,1784622042079.9478,1784622042753,1784622043008.0,1784622043741.707,673.052,255.0,733.707,1784621983008.0,1661.759
tc-45-0,1784622040059.9333,1784622040733,1784622043008.0,1784622043741.7078,673.067,2275.0,733.708,1784621983008.0,3681.774
tc-48-0,1784622041869.9502,1784622042753,1784622043009.0,1784622043741.7124,883.05,256.0,732.712,1784621983009.0,1871.762
tc-58-0,1784622042169.943,1784622042753,1784622043009.0,1784622043741.7134,583.057,256.0,732.713,1784621983009.0,1571.77
tc-29-0,1784622040439.951,1784622040733,1784622043010.0,1784622043741.7144,293.049,2277.0,731.714,1784621983010.0,3301.763
tc-84-0,1784622041359.9617,1784622041743,1784622043010.0,1784622043741.7148,383.038,1267.0,731.715,1784621983010.0,2381.753
tc-74-0,1784622042309.9272,1784622042753,1784622043010.0,1784622043741.7156,443.073,257.0,731.716,1784621983010.0,1431.788
tc-38-0,1784622042359.9514,1784622042753,1784622043010.0,1784622043741.716,393.049,257.0,731.716,1784621983010.0,1381.765
tc-1-0,1784622042349.9497,1784622042753,1784622043010.0,1784622043742.1233,403.05,257.0,732.123,1784621983010.0,1392.174
tc-75-0,1784622042039.9497,1784622042753,1784622043011.0,1784622043742.1235,713.05,258.0,731.124,1784621983011.0,1702.174
tc-23-0,1784622038599.9412,1784622038733,1784622043011.0,1784622043742.124,133.059,4278.0,731.124,1784621983011.0,5142.183
tc-33-0,1784622041809.951,1784622042753,1784622043011.0,1784622043742.125,943.049,258.0,731.125,1784621983011.0,1932.174
tc-0-0,1784622042049.9534,1784622042753,1784622043011.0,1784622043742.1252,703.047,258.0,731.125,1784621983011.0,1692.172
tc-4-0,1784622042219.9497,1784622042753,1784622043011.0,1784622043742.1255,533.05,258.0,731.125,1784621983011.0,1522.176
tc-6-0,1784622041549.9448,1784622041743,1784622043011.0,1784622043742.1257,193.055,1268.0,731.126,1784621983011.0,2192.181
