event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784542822651.3208,1784542825051,1784542825083.0,1784542825846.5942,2399.679,32.0,763.594,,3195.273
e-1,1784542822701.3882,1784542825051,1784542825114.0,1784542825846.5986,2349.612,63.0,732.599,,3145.21
e-2,1784542822753.5923,1784542825051,1784542825115.0,1784542825846.5999,2297.408,64.0,731.6,,3093.008
e-3,1784542822801.3914,1784542825051,1784542825115.0,1784542825846.6006,2249.609,64.0,731.601,,3045.209
e-4,1784542822851.3804,1784542825051,1784542825115.0,1784542825846.6013,2199.62,64.0,731.601,,2995.221
e-5,1784542822901.3823,1784542825051,1784542825116.0,1784542825846.6018,2149.618,65.0,730.602,,2945.219
e-6,1784542822951.3862,1784542825051,1784542825116.0,1784542825846.6028,2099.614,65.0,730.603,,2895.217
e-7,1784542823001.3796,1784542825051,1784542825116.0,1784542825846.6091,2049.62,65.0,730.609,,2845.229
e-8,1784542823051.375,1784542825051,1784542825117.0,1784542825846.6099,1999.625,66.0,729.61,,2795.235
e-9,1784542823101.374,1784542825051,1784542825117.0,1784542825846.6108,1949.626,66.0,729.611,,2745.237
e-10,1784542823151.383,1784542825051,1784542825117.0,1784542825846.6113,1899.617,66.0,729.611,,2695.228
e-11,1784542823201.381,1784542825051,1784542825118.0,1784542825846.6116,1849.619,67.0,728.612,,2645.23
e-12,1784542823251.3887,1784542825051,1784542825118.0,1784542825846.612,1799.611,67.0,728.612,,2595.223
e-13,1784542823301.3767,1784542825051,1784542825118.0,1784542825846.6125,1749.623,67.0,728.613,,2545.236
e-14,1784542823351.3818,1784542825051,1784542825118.0,1784542825846.623,1699.618,67.0,728.623,,2495.241
e-15,1784542823401.3882,1784542825051,1784542825119.0,1784542825846.6235,1649.612,68.0,727.624,,2445.235
e-16,1784542823451.382,1784542825051,1784542825119.0,1784542825846.624,1599.618,68.0,727.624,,2395.242
e-17,1784542823501.3845,1784542825051,1784542825119.0,1784542825846.6245,1549.615,68.0,727.625,,2345.24
e-18,1784542823551.3826,1784542825051,1784542825120.0,1784542825846.625,1499.617,69.0,726.625,,2295.242
e-19,1784542823601.3816,1784542825051,1784542825120.0,1784542825846.6252,1449.618,69.0,726.625,,2245.244
e-20,1784542823651.3804,1784542825051,1784542825120.0,1784542825846.626,1399.62,69.0,726.626,,2195.246
e-21,1784542823701.379,1784542825051,1784542825121.0,1784542825846.6265,1349.621,70.0,725.626,,2145.248
e-22,1784542823751.383,1784542825051,1784542825121.0,1784542825846.627,1299.617,70.0,725.627,,2095.244
e-23,1784542823801.374,1784542825051,1784542825121.0,1784542825846.6277,1249.626,70.0,725.628,,2045.254
e-24,1784542823851.3735,1784542825051,1784542825121.0,1784542825846.6284,1199.626,70.0,725.628,,1995.255
e-25,1784542823901.3882,1784542825051,1784542825121.0,1784542825846.6294,1149.612,70.0,725.629,,1945.241
e-26,1784542823951.382,1784542825051,1784542825122.0,1784542825846.63,1099.618,71.0,724.63,,1895.248
e-27,1784542824001.3816,1784542825051,1784542825122.0,1784542825846.6306,1049.618,71.0,724.631,,1845.249
e-28,1784542824051.3855,1784542825051,1784542825122.0,1784542825846.6309,999.615,71.0,724.631,,1795.245
