event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784545083437.3044,1784545085848,1784545085878.0,1784545086411.015,2410.696,30.0,533.015,,2973.71
e-1,1784545083487.3574,1784545085848,1784545085905.0,1784545086411.019,2360.643,57.0,506.019,,2923.662
e-2,1784545083537.3535,1784545085848,1784545085905.0,1784545086411.02,2310.646,57.0,506.02,,2873.667
e-3,1784545083587.371,1784545085848,1784545085905.0,1784545086411.0205,2260.629,57.0,506.021,,2823.649
e-4,1784545083637.3545,1784545085848,1784545085906.0,1784545086411.021,2210.646,58.0,505.021,,2773.667
e-5,1784545083687.3535,1784545085848,1784545085906.0,1784545086411.0217,2160.646,58.0,505.022,,2723.668
e-6,1784545083737.351,1784545085848,1784545085906.0,1784545086411.0222,2110.649,58.0,505.022,,2673.671
e-7,1784545083787.352,1784545085848,1784545085906.0,1784545086411.028,2060.648,58.0,505.028,,2623.676
e-8,1784545083837.3496,1784545085848,1784545085907.0,1784545086411.029,2010.65,59.0,504.029,,2573.679
e-9,1784545083887.3535,1784545085848,1784545085907.0,1784545086411.034,1960.646,59.0,504.034,,2523.68
e-10,1784545083937.3599,1784545085848,1784545085907.0,1784545086411.0344,1910.64,59.0,504.034,,2473.675
e-11,1784545083987.361,1784545085848,1784545085907.0,1784545086411.0347,1860.639,59.0,504.035,,2423.674
e-12,1784545084037.3616,1784545085848,1784545085908.0,1784545086411.035,1810.638,60.0,503.035,,2373.673
e-13,1784545084087.3665,1784545085848,1784545085908.0,1784545086411.0354,1760.634,60.0,503.035,,2323.669
e-14,1784545084137.3538,1784545085848,1784545085908.0,1784545086411.039,1710.646,60.0,503.039,,2273.685
e-15,1784545084187.3682,1784545085848,1784545085909.0,1784545086411.0396,1660.632,61.0,502.04,,2223.671
e-16,1784545084237.3555,1784545085848,1784545085909.0,1784545086411.0398,1610.645,61.0,502.04,,2173.684
e-17,1784545084287.3562,1784545085848,1784545085909.0,1784545086411.0403,1560.644,61.0,502.04,,2123.684
e-18,1784545084337.3608,1784545085848,1784545085909.0,1784545086411.0405,1510.639,61.0,502.041,,2073.68
