event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784582989275.5286,1784582991636,1784582991666.0,1784582992591.6726,2360.471,30.0,925.673,,3316.144
e-1,1784582989325.5825,1784582991636,1784582991687.0,1784582992591.6768,2310.417,51.0,904.677,,3266.094
e-2,1784582989375.5789,1784582991636,1784582991688.0,1784582992591.6782,2260.421,52.0,903.678,,3216.099
e-3,1784582989425.5955,1784582991636,1784582991688.0,1784582992591.6792,2210.405,52.0,903.679,,3166.084
e-4,1784582989475.5957,1784582991636,1784582991688.0,1784582992591.6802,2160.404,52.0,903.68,,3116.084
e-5,1784582989525.575,1784582991636,1784582991688.0,1784582992591.6814,2110.425,52.0,903.681,,3066.106
e-6,1784582989575.5798,1784582991636,1784582991689.0,1784582992591.6824,2060.42,53.0,902.682,,3016.103
e-7,1784582989625.5789,1784582991636,1784582991689.0,1784582992591.689,2010.421,53.0,902.689,,2966.11
e-8,1784582989675.5752,1784582991636,1784582991689.0,1784582992591.6904,1960.425,53.0,902.69,,2916.115
e-9,1784582989725.5967,1784582991636,1784582991689.0,1784582992591.6917,1910.403,53.0,902.692,,2866.095
e-10,1784582989775.583,1784582991636,1784582991690.0,1784582992591.6924,1860.417,54.0,901.692,,2816.109
e-11,1784582989825.6108,1784582991636,1784582991690.0,1784582992591.693,1810.389,54.0,901.693,,2766.082
e-12,1784582989875.5789,1784582991636,1784582991690.0,1784582992591.6936,1760.421,54.0,901.694,,2716.115
e-13,1784582989925.5798,1784582991636,1784582991690.0,1784582992591.6943,1710.42,54.0,901.694,,2666.115
e-14,1784582989975.592,1784582991636,1784582991691.0,1784582992591.7004,1660.408,55.0,900.7,,2616.108
e-15,1784582990025.5815,1784582991636,1784582991691.0,1784582992591.7012,1610.418,55.0,900.701,,2566.12
e-16,1784582990075.587,1784582991636,1784582991691.0,1784582992591.7017,1560.413,55.0,900.702,,2516.115
e-17,1784582990125.5815,1784582991636,1784582991691.0,1784582992591.7026,1510.418,55.0,900.703,,2466.121
e-18,1784582990175.586,1784582991636,1784582991692.0,1784582992591.7031,1460.414,56.0,899.703,,2416.117
e-19,1784582990225.5781,1784582991636,1784582991692.0,1784582992591.708,1410.422,56.0,899.708,,2366.13
e-20,1784582990275.5823,1784582991636,1784582991692.0,1784582992591.7087,1360.418,56.0,899.709,,2316.126
e-21,1784582990325.579,1784582991636,1784582991692.0,1784582992591.7092,1310.421,56.0,899.709,,2266.13
e-22,1784582990375.585,1784582991636,1784582991693.0,1784582992591.71,1260.415,57.0,898.71,,2216.125
e-23,1784582990425.5784,1784582991636,1784582991693.0,1784582992591.7278,1210.422,57.0,898.728,,2166.149
e-24,1784582990475.5925,1784582991636,1784582991693.0,1784582992591.7285,1160.407,57.0,898.729,,2116.136
e-25,1784582990525.5808,1784582991636,1784582991693.0,1784582992591.7297,1110.419,57.0,898.73,,2066.149
e-26,1784582990575.6626,1784582991636,1784582991693.0,1784582992591.7305,1060.337,57.0,898.73,,2016.068
e-27,1784582990625.579,1784582991636,1784582991694.0,1784582992591.731,1010.421,58.0,897.731,,1966.152
e-28,1784582990675.5752,1784582991636,1784582991694.0,1784582992591.7317,960.425,58.0,897.732,,1916.156
e-29,1784582990725.5876,1784582991636,1784582991694.0,1784582992591.7324,910.412,58.0,897.732,,1866.145
e-30,1784582990775.576,1784582991636,1784582991694.0,1784582992591.7332,860.424,58.0,897.733,,1816.157
e-31,1784582990825.5837,1784582991636,1784582991694.0,1784582992591.734,810.416,58.0,897.734,,1766.15
e-32,1784582990875.577,1784582991636,1784582991695.0,1784582992591.7344,760.423,59.0,896.734,,1716.157
e-33,1784582990925.5793,1784582991636,1784582991695.0,1784582992591.7358,710.421,59.0,896.736,,1666.156
e-34,1784582990975.5752,1784582991636,1784582991695.0,1784582992591.7366,660.425,59.0,896.737,,1616.161
e-35,1784582991025.5754,1784582991636,1784582991695.0,1784582992591.7415,610.425,59.0,896.741,,1566.166
e-36,1784582991075.5723,1784582991636,1784582991696.0,1784582992591.7422,560.428,60.0,895.742,,1516.17
e-37,1784582991125.575,1784582991636,1784582991696.0,1784582992591.743,510.425,60.0,895.743,,1466.168
e-38,1784582991175.576,1784582991636,1784582991696.0,1784582992591.7437,460.424,60.0,895.744,,1416.168
e-39,1784582991225.5713,1784582991636,1784582991696.0,1784582992591.7444,410.429,60.0,895.744,,1366.173
e-40,1784582991275.577,1784582991636,1784582991696.0,1784582992591.7517,360.423,60.0,895.752,,1316.175
e-41,1784582991325.5742,1784582991636,1784582991696.0,1784582992591.763,310.426,60.0,895.763,,1266.189
e-42,1784582991375.5825,1784582991636,1784582991697.0,1784582992591.7637,260.417,61.0,894.764,,1216.181
e-43,1784582991425.5798,1784582991636,1784582991697.0,1784582992591.7688,210.42,61.0,894.769,,1166.189
e-44,1784582991475.5808,1784582991636,1784582991697.0,1784582992591.7695,160.419,61.0,894.77,,1116.189
e-45,1784582991525.5808,1784582991636,1784582991697.0,1784582992591.77,110.419,61.0,894.77,,1066.189
e-46,1784582991575.5789,1784582991636,1784582991697.0,1784582992591.7708,60.421,61.0,894.771,,1016.192
e-47,1784582991625.5781,1784582992628,1784582992636.0,1784582993672.827,1002.422,8.0,1036.827,,2047.249
e-48,1784582991675.5676,1784582992628,1784582992636.0,1784582993672.8293,952.432,8.0,1036.829,,1997.262
e-49,1784582991725.5796,1784582992628,1784582992636.0,1784582993672.83,902.42,8.0,1036.83,,1947.25
e-50,1784582991775.5806,1784582992628,1784582992637.0,1784582993672.8306,852.419,9.0,1035.831,,1897.25
e-51,1784582991825.583,1784582992628,1784582992637.0,1784582993672.831,802.417,9.0,1035.831,,1847.248
e-52,1784582991875.583,1784582992628,1784582992637.0,1784582993672.8315,752.417,9.0,1035.832,,1797.249
