event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784591723493.1628,1784591725875,1784591725907.0,1784591726547.638,2381.837,32.0,640.638,,3054.475
e-1,1784591723543.6167,1784591725875,1784591725933.0,1784591726547.6416,2331.383,58.0,614.642,,3004.025
e-2,1784591723593.2246,1784591725875,1784591725934.0,1784591726547.6428,2281.775,59.0,613.643,,2954.418
e-3,1784591723643.266,1784591725875,1784591725934.0,1784591726547.6436,2231.734,59.0,613.644,,2904.377
e-4,1784591723693.2207,1784591725875,1784591725935.0,1784591726547.6448,2181.779,60.0,612.645,,2854.424
e-5,1784591723743.2236,1784591725875,1784591725935.0,1784591726547.646,2131.776,60.0,612.646,,2804.422
e-6,1784591723793.2185,1784591725875,1784591725935.0,1784591726547.6646,2081.781,60.0,612.665,,2754.446
e-7,1784591723843.2185,1784591725875,1784591725935.0,1784591726547.6697,2031.781,60.0,612.67,,2704.451
e-8,1784591723893.2178,1784591725875,1784591725936.0,1784591726547.671,1981.782,61.0,611.671,,2654.453
e-9,1784591723943.2175,1784591725875,1784591725936.0,1784591726547.6719,1931.782,61.0,611.672,,2604.454
e-10,1784591723993.2197,1784591725875,1784591725936.0,1784591726547.6726,1881.78,61.0,611.673,,2554.453
e-11,1784591724043.2263,1784591725875,1784591725937.0,1784591726547.673,1831.774,62.0,610.673,,2504.447
e-12,1784591724093.549,1784591725875,1784591725937.0,1784591726547.6792,1781.451,62.0,610.679,,2454.13
e-13,1784591724143.226,1784591725875,1784591725937.0,1784591726547.6985,1731.774,62.0,610.698,,2404.472
e-14,1784591724193.2197,1784591725875,1784591725937.0,1784591726547.7046,1681.78,62.0,610.705,,2354.485
e-15,1784591724243.225,1784591725875,1784591725938.0,1784591726547.8376,1631.775,63.0,609.838,,2304.613
e-16,1784591724293.2268,1784591725875,1784591725938.0,1784591726547.841,1581.773,63.0,609.841,,2254.614
e-17,1784591724343.2307,1784591725875,1784591725938.0,1784591726547.8433,1531.769,63.0,609.843,,2204.613
e-18,1784591724393.2249,1784591725875,1784591725938.0,1784591726547.8442,1481.775,63.0,609.844,,2154.619
e-19,1784591724443.2344,1784591725875,1784591725939.0,1784591726547.861,1431.766,64.0,608.861,,2104.627
e-20,1784591724493.221,1784591725875,1784591725939.0,1784591726547.9824,1381.779,64.0,608.982,,2054.761
e-21,1784591724543.2285,1784591725875,1784591725939.0,1784591726547.9844,1331.771,64.0,608.984,,2004.756
e-22,1784591724593.2354,1784591725875,1784591725939.0,1784591726547.9856,1281.765,64.0,608.986,,1954.75
e-23,1784591724643.225,1784591725875,1784591725940.0,1784591726547.9863,1231.775,65.0,607.986,,1904.761
e-24,1784591724693.229,1784591725875,1784591725940.0,1784591726547.9873,1181.771,65.0,607.987,,1854.758
e-25,1784591724743.2275,1784591725875,1784591725940.0,1784591726547.9888,1131.772,65.0,607.989,,1804.761
e-26,1784591724793.2302,1784591725875,1784591725940.0,1784591726548.0032,1081.77,65.0,608.003,,1754.773
e-27,1784591724843.2393,1784591725875,1784591725941.0,1784591726548.066,1031.761,66.0,607.066,,1704.827
e-28,1784591724893.2297,1784591725875,1784591725941.0,1784591726548.0676,981.77,66.0,607.068,,1654.838
e-29,1784591724943.2239,1784591725875,1784591725941.0,1784591726548.0686,931.776,66.0,607.069,,1604.845
e-30,1784591724993.2236,1784591725875,1784591725941.0,1784591726548.0693,881.776,66.0,607.069,,1554.846
e-31,1784591725043.223,1784591725875,1784591725942.0,1784591726548.109,831.777,67.0,606.109,,1504.886
e-32,1784591725093.221,1784591725875,1784591725942.0,1784591726548.11,781.779,67.0,606.11,,1454.889
e-33,1784591725143.2256,1784591725875,1784591725942.0,1784591726548.1116,731.774,67.0,606.112,,1404.886
e-34,1784591725193.2295,1784591725875,1784591725942.0,1784591726548.1125,681.771,67.0,606.113,,1354.883
e-35,1784591725243.2388,1784591725875,1784591725943.0,1784591726548.164,631.761,68.0,605.164,,1304.925
e-36,1784591725293.2297,1784591725875,1784591725943.0,1784591726548.1655,581.77,68.0,605.166,,1254.936
e-37,1784591725343.2256,1784591725875,1784591725943.0,1784591726548.2139,531.774,68.0,605.214,,1204.988
e-38,1784591725393.2217,1784591725875,1784591725943.0,1784591726548.2146,481.778,68.0,605.215,,1154.993
e-39,1784591725443.2231,1784591725875,1784591725944.0,1784591726548.215,431.777,69.0,604.215,,1104.992
e-40,1784591725493.2207,1784591725875,1784591725944.0,1784591726548.3037,381.779,69.0,604.304,,1055.083
e-41,1784591725543.2292,1784591725875,1784591725944.0,1784591726548.3064,331.771,69.0,604.306,,1005.077
e-42,1784591725593.2327,1784591725875,1784591725944.0,1784591726548.3074,281.767,69.0,604.307,,955.075
e-43,1784591725643.2236,1784591725875,1784591725945.0,1784591726548.3467,231.776,70.0,603.347,,905.123
e-44,1784591725693.2202,1784591725875,1784591725945.0,1784591726548.3477,181.78,70.0,603.348,,855.127
e-45,1784591725743.218,1784591725875,1784591725945.0,1784591726548.3484,131.782,70.0,603.348,,805.13
e-46,1784591725793.2249,1784591725875,1784591725945.0,1784591726548.4036,81.775,70.0,603.404,,755.179
e-47,1784591725843.225,1784591725875,1784591725946.0,1784591726548.4045,31.775,71.0,602.405,,705.179
e-48,1784591725893.2307,1784591726894,1784591726901.0,1784591727528.6545,1000.769,7.0,627.655,,1635.424
e-49,1784591725943.2273,1784591726894,1784591726902.0,1784591727528.6572,950.773,8.0,626.657,,1585.43
e-50,1784591725993.2285,1784591726894,1784591726902.0,1784591727528.658,900.771,8.0,626.658,,1535.429
e-51,1784591726043.2366,1784591726894,1784591726902.0,1784591727528.6587,850.763,8.0,626.659,,1485.422
e-52,1784591726093.2258,1784591726894,1784591726902.0,1784591727528.6592,800.774,8.0,626.659,,1435.433
e-53,1784591726143.2239,1784591726894,1784591726902.0,1784591727528.6604,750.776,8.0,626.66,,1385.437
e-54,1784591726193.2278,1784591726894,1784591726902.0,1784591727528.661,700.772,8.0,626.661,,1335.433
e-55,1784591726243.2249,1784591726894,1784591726902.0,1784591727528.6614,650.775,8.0,626.661,,1285.437
e-56,1784591726293.2266,1784591726894,1784591726902.0,1784591727528.6619,600.773,8.0,626.662,,1235.435
e-57,1784591726343.2349,1784591726894,1784591726902.0,1784591727528.6758,550.765,8.0,626.676,,1185.441
e-58,1784591726393.2312,1784591726894,1784591726902.0,1784591727528.6765,500.769,8.0,626.677,,1135.445
e-59,1784591726443.222,1784591726894,1784591726903.0,1784591727528.6926,450.778,9.0,625.693,,1085.471
e-60,1784591726493.23,1784591726894,1784591726903.0,1784591727528.6934,400.77,9.0,625.693,,1035.463
e-61,1784591726543.2334,1784591726894,1784591726903.0,1784591727528.6938,350.767,9.0,625.694,,985.46
e-62,1784591726593.2222,1784591726894,1784591726903.0,1784591727528.6943,300.778,9.0,625.694,,935.472
e-63,1784591726643.225,1784591726894,1784591726903.0,1784591727528.7783,250.775,9.0,625.778,,885.553
e-64,1784591726693.2146,1784591726894,1784591726903.0,1784591727528.7788,200.785,9.0,625.779,,835.564
e-65,1784591726743.2278,1784591726894,1784591726903.0,1784591727528.7798,150.772,9.0,625.78,,785.552
e-66,1784591726793.2317,1784591726894,1784591726903.0,1784591727528.785,100.768,9.0,625.785,,735.553
e-67,1784591726843.2273,1784591726894,1784591726903.0,1784591727528.7854,50.773,9.0,625.785,,685.558
e-68,1784591726893.2341,1784591726894,1784591726903.0,1784591727528.799,0.766,9.0,625.799,,635.565
e-69,1784591726943.227,1784591727946,1784591727952.0,1784591728583.535,1002.773,6.0,631.535,,1640.308
e-70,1784591726993.2256,1784591727946,1784591727953.0,1784591728583.5376,952.774,7.0,630.538,,1590.312
e-71,1784591727043.2275,1784591727946,1784591727953.0,1784591728583.538,902.772,7.0,630.538,,1540.311
e-72,1784591727093.2214,1784591727946,1784591727953.0,1784591728583.5388,852.779,7.0,630.539,,1490.317
e-73,1784591727143.219,1784591727946,1784591727953.0,1784591728583.5393,802.781,7.0,630.539,,1440.32
e-74,1784591727193.232,1784591727946,1784591727953.0,1784591728583.5398,752.768,7.0,630.54,,1390.308
e-75,1784591727243.2288,1784591727946,1784591727954.0,1784591728583.5405,702.771,8.0,629.541,,1340.312
e-76,1784591727293.2249,1784591727946,1784591727954.0,1784591728583.776,652.775,8.0,629.776,,1290.551
e-77,1784591727343.22,1784591727946,1784591727954.0,1784591728583.7808,602.78,8.0,629.781,,1240.561
e-78,1784591727393.2268,1784591727946,1784591727954.0,1784591728583.7942,552.773,8.0,629.794,,1190.567
e-79,1784591727443.2222,1784591727946,1784591727954.0,1784591728583.7952,502.778,8.0,629.795,,1140.573
e-80,1784591727493.229,1784591727946,1784591727954.0,1784591728583.796,452.771,8.0,629.796,,1090.567
e-81,1784591727543.2224,1784591727946,1784591727955.0,1784591728583.7966,402.778,9.0,628.797,,1040.574
e-82,1784591727593.226,1784591727946,1784591727955.0,1784591728583.7976,352.774,9.0,628.798,,990.572
e-83,1784591727643.2156,1784591727946,1784591727955.0,1784591728583.798,302.784,9.0,628.798,,940.583
e-84,1784591727693.2163,1784591727946,1784591727955.0,1784591728583.7988,252.784,9.0,628.799,,890.583
e-85,1784591727743.235,1784591727946,1784591727955.0,1784591728583.7996,202.765,9.0,628.8,,840.564
e-86,1784591727793.2466,1784591727946,1784591727955.0,1784591728583.8003,152.753,9.0,628.8,,790.554
e-87,1784591727843.2258,1784591727946,1784591727956.0,1784591728583.8008,102.774,10.0,627.801,,740.575
e-88,1784591727893.2383,1784591727946,1784591727956.0,1784591728583.8015,52.762,10.0,627.802,,690.563
e-89,1784591727943.2205,1784591727946,1784591727956.0,1784591728583.802,2.78,10.0,627.802,,640.582
e-90,1784591727993.227,1784591728996,1784591729002.0,1784591729632.3765,1002.773,6.0,630.376,,1639.149
e-91,1784591728043.2258,1784591728996,1784591729002.0,1784591729632.3787,952.774,6.0,630.379,,1589.153
e-92,1784591728093.2256,1784591728996,1784591729002.0,1784591729632.3794,902.774,6.0,630.379,,1539.154
e-93,1784591728143.228,1784591728996,1784591729002.0,1784591729632.3806,852.772,6.0,630.381,,1489.153
e-94,1784591728193.2202,1784591728996,1784591729003.0,1784591729632.381,802.78,7.0,629.381,,1439.161
e-95,1784591728243.2268,1784591728996,1784591729003.0,1784591729632.3892,752.773,7.0,629.389,,1389.162
e-96,1784591728293.2246,1784591728996,1784591729003.0,1784591729632.3894,702.775,7.0,629.389,,1339.165
e-97,1784591728343.2231,1784591728996,1784591729003.0,1784591729632.3896,652.777,7.0,629.39,,1289.167
e-98,1784591728393.2441,1784591728996,1784591729003.0,1784591729632.4001,602.756,7.0,629.4,,1239.156
e-99,1784591728443.2214,1784591728996,1784591729004.0,1784591729632.4026,552.779,8.0,628.403,,1189.181
e-100,1784591728493.2212,1784591728996,1784591729004.0,1784591729632.4028,502.779,8.0,628.403,,1139.182
e-101,1784591728543.2258,1784591728996,1784591729004.0,1784591729632.403,452.774,8.0,628.403,,1089.177
e-102,1784591728593.2214,1784591728996,1784591729004.0,1784591729632.4033,402.779,8.0,628.403,,1039.182
e-103,1784591728643.2227,1784591728996,1784591729004.0,1784591729632.4036,352.777,8.0,628.404,,989.181
e-104,1784591728693.2156,1784591728996,1784591729005.0,1784591729632.4038,302.784,9.0,627.404,,939.188
e-105,1784591728743.2354,1784591728996,1784591729005.0,1784591729632.404,252.765,9.0,627.404,,889.169
e-106,1784591728793.2275,1784591728996,1784591729005.0,1784591729632.53,202.772,9.0,627.53,,839.302
e-107,1784591728843.2444,1784591728996,1784591729005.0,1784591729632.5322,152.756,9.0,627.532,,789.288
e-108,1784591728893.2375,1784591728996,1784591729005.0,1784591729632.5332,102.762,9.0,627.533,,739.296
e-109,1784591728943.2163,1784591728996,1784591729006.0,1784591729632.5356,52.784,10.0,626.536,,689.319
e-110,1784591728993.245,1784591728996,1784591729006.0,1784591729632.5361,2.755,10.0,626.536,,639.291
e-111,1784591729043.2275,1784591730045,1784591730052.0,1784591730692.5762,1001.772,7.0,640.576,,1649.349
e-112,1784591729093.2256,1784591730045,1784591730064.0,1784591730692.5796,951.774,19.0,628.58,,1599.354
