event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784573551053.6565,1784573553554,1784573553588.0,1784573554007.725,2500.344,34.0,419.725,,2954.069
e-1,1784573551103.7434,1784573553554,1784573553606.0,1784573554007.7288,2450.257,52.0,401.729,,2903.985
e-2,1784573551153.7175,1784573553554,1784573553606.0,1784573554007.73,2400.282,52.0,401.73,,2854.012
e-3,1784573551203.732,1784573553554,1784573553606.0,1784573554007.7307,2350.268,52.0,401.731,,2803.999
e-4,1784573551253.7668,1784573553554,1784573553606.0,1784573554007.7317,2300.233,52.0,401.732,,2753.965
e-5,1784573551303.7214,1784573553554,1784573553606.0,1784573554007.7327,2250.279,52.0,401.733,,2704.011
e-6,1784573551353.7192,1784573553554,1784573553606.0,1784573554007.7334,2200.281,52.0,401.733,,2654.014
e-7,1784573551403.7185,1784573553554,1784573553606.0,1784573554007.7385,2150.281,52.0,401.739,,2604.02
e-8,1784573551453.7207,1784573553554,1784573553607.0,1784573554007.7395,2100.279,53.0,400.74,,2554.019
e-9,1784573551503.721,1784573553554,1784573553607.0,1784573554007.7407,2050.279,53.0,400.741,,2504.02
e-10,1784573551553.723,1784573553554,1784573553607.0,1784573554007.7563,2000.277,53.0,400.756,,2454.033
e-11,1784573551603.7168,1784573553554,1784573553607.0,1784573554007.757,1950.283,53.0,400.757,,2404.04
e-12,1784573551653.7212,1784573553554,1784573553607.0,1784573554007.763,1900.279,53.0,400.763,,2354.042
e-13,1784573551704.166,1784573553554,1784573553607.0,1784573554007.7637,1849.834,53.0,400.764,,2303.598
e-14,1784573551753.7256,1784573553554,1784573553607.0,1784573554007.7708,1800.274,53.0,400.771,,2254.045
e-15,1784573551804.0513,1784573553554,1784573553607.0,1784573554007.7712,1749.949,53.0,400.771,,2203.72
e-16,1784573551853.7273,1784573553554,1784573553608.0,1784573554008.7004,1700.273,54.0,400.7,,2154.973
e-17,1784573551903.721,1784573553554,1784573553608.0,1784573554008.7034,1650.279,54.0,400.703,,2104.982
e-18,1784573551953.7205,1784573553554,1784573553608.0,1784573554008.704,1600.28,54.0,400.704,,2054.984
e-19,1784573552003.7197,1784573553554,1784573553608.0,1784573554008.7048,1550.28,54.0,400.705,,2004.985
e-20,1784573552053.7317,1784573553554,1784573553608.0,1784573554008.7053,1500.268,54.0,400.705,,1954.974
e-21,1784573552103.723,1784573553554,1784573553608.0,1784573554008.7058,1450.277,54.0,400.706,,1904.983
e-22,1784573552153.7285,1784573553554,1784573553608.0,1784573554008.7063,1400.271,54.0,400.706,,1854.978
e-23,1784573552203.7273,1784573553554,1784573553608.0,1784573554008.7068,1350.273,54.0,400.707,,1804.979
e-24,1784573552253.7358,1784573553554,1784573553609.0,1784573554008.7075,1300.264,55.0,399.708,,1754.972
e-25,1784573552303.72,1784573553554,1784573553609.0,1784573554008.7085,1250.28,55.0,399.708,,1704.989
e-26,1784573552353.721,1784573553554,1784573553609.0,1784573554008.709,1200.279,55.0,399.709,,1654.988
e-27,1784573552403.7263,1784573553554,1784573553609.0,1784573554008.7092,1150.274,55.0,399.709,,1604.983
e-28,1784573552453.7224,1784573553554,1784573553609.0,1784573554008.71,1100.278,55.0,399.71,,1554.988
e-29,1784573552503.7222,1784573553554,1784573553609.0,1784573554008.7102,1050.278,55.0,399.71,,1504.988
e-30,1784573552553.72,1784573553554,1784573553609.0,1784573554008.7107,1000.28,55.0,399.711,,1454.991
e-31,1784573552603.7178,1784573553554,1784573553609.0,1784573554008.7112,950.282,55.0,399.711,,1404.993
e-32,1784573552653.7212,1784573553554,1784573553609.0,1784573554008.7117,900.279,55.0,399.712,,1354.99
e-33,1784573552703.7244,1784573553554,1784573553610.0,1784573554008.7126,850.276,56.0,398.713,,1304.988
e-34,1784573552753.7192,1784573553554,1784573553610.0,1784573554008.7131,800.281,56.0,398.713,,1254.994
