event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784541723568.0022,1784541726074,1784541726105.0,1784541727065.0618,2505.998,31.0,960.062,,3497.06
e-1,1784541723618.0737,1784541726074,1784541726128.0,1784541727065.066,2455.926,54.0,937.066,,3446.992
e-2,1784541723668.0776,1784541726074,1784541726129.0,1784541727065.067,2405.922,55.0,936.067,,3396.989
e-3,1784541723718.5408,1784541726074,1784541726129.0,1784541727065.0676,2355.459,55.0,936.068,,3346.527
e-4,1784541723768.069,1784541726074,1784541726129.0,1784541727065.0684,2305.931,55.0,936.068,,3296.999
e-5,1784541723818.0671,1784541726074,1784541726130.0,1784541727065.0762,2255.933,56.0,935.076,,3247.009
e-6,1784541723868.0627,1784541726074,1784541726130.0,1784541727065.077,2205.937,56.0,935.077,,3197.014
e-7,1784541723918.063,1784541726074,1784541726130.0,1784541727065.083,2155.937,56.0,935.083,,3147.02
e-8,1784541723968.067,1784541726074,1784541726130.0,1784541727065.0842,2105.933,56.0,935.084,,3097.017
e-9,1784541724018.064,1784541726074,1784541726130.0,1784541727065.0854,2055.936,56.0,935.085,,3047.021
e-10,1784541724068.067,1784541726074,1784541726131.0,1784541727065.086,2005.933,57.0,934.086,,2997.019
e-11,1784541724118.0862,1784541726074,1784541726131.0,1784541727065.0864,1955.914,57.0,934.086,,2947.0
e-12,1784541724168.0574,1784541726074,1784541726131.0,1784541727065.0872,1905.943,57.0,934.087,,2897.03
e-13,1784541724218.0652,1784541726074,1784541726131.0,1784541727065.0876,1855.935,57.0,934.088,,2847.022
e-14,1784541724268.066,1784541726074,1784541726132.0,1784541727065.0923,1805.934,58.0,933.092,,2797.026
e-15,1784541724319.3457,1784541726074,1784541726132.0,1784541727065.1094,1754.654,58.0,933.109,,2745.764
e-16,1784541724368.5432,1784541726074,1784541726132.0,1784541727065.1099,1705.457,58.0,933.11,,2696.567
e-17,1784541724418.0706,1784541726074,1784541726132.0,1784541727065.1108,1655.929,58.0,933.111,,2647.04
