event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-0-60000,1784525304204.5352,1784525305055,1784525308020.0,1784525308120.011,850.465,2965.0,100.011,1784524648020.0,3915.476
ss-1-60000,1784525305704.5283,1784525306105,1784525308028.0,1784525308120.015,400.472,1923.0,92.015,1784524648028.0,2415.487
ss-10-60000,1784525301404.5305,1784525301956,1784525308028.0,1784525308120.0159,551.469,6072.0,92.016,1784524648028.0,6715.485
ss-11-60000,1784525302904.5298,1784525303005,1784525308028.0,1784525308120.0164,100.47,5023.0,92.016,1784524648028.0,5215.487
ss-12-60000,1784525289304.5479,1784525289506,1784525308028.0,1784525308120.0173,201.452,18522.0,92.017,1784524648028.0,18815.469
ss-13-60000,1784525304454.5264,1784525305055,1784525308028.0,1784525308120.018,600.474,2973.0,92.018,1784524648028.0,3665.492
ss-14-60000,1784525305354.5251,1784525306105,1784525308028.0,1784525308120.0188,750.475,1923.0,92.019,1784524648028.0,2765.494
ss-15-60000,1784525302304.539,1784525303005,1784525308028.0,1784525308120.0234,700.461,5023.0,92.023,1784524648028.0,5815.484
ss-16-60000,1784525305154.5256,1784525306105,1784525308028.0,1784525308120.025,950.474,1923.0,92.025,1784524648028.0,2965.499
ss-17-60000,1784525302704.531,1784525303005,1784525308028.0,1784525308120.0474,300.469,5023.0,92.047,1784524648028.0,5415.516
ss-18-60000,1784525299804.5344,1784525299856,1784525308028.0,1784525308120.0479,51.466,8172.0,92.048,1784524648028.0,8315.513
ss-19-60000,1784525304504.5276,1784525305055,1784525308028.0,1784525308120.0486,550.472,2973.0,92.049,1784524648028.0,3615.521
ss-2-60000,1784525303954.5483,1784525304006,1784525308029.0,1784525308120.0493,51.452,4023.0,91.049,1784524648029.0,4165.501
ss-20-60000,1784525293904.5278,1784525294656,1784525308029.0,1784525308120.05,751.472,13373.0,91.05,1784524648029.0,14215.522
ss-21-60000,1784525301804.5254,1784525301956,1784525308029.0,1784525308120.0505,151.475,6073.0,91.051,1784524648029.0,6315.525
ss-22-60000,1784525292204.5476,1784525292607,1784525308029.0,1784525308120.0513,402.452,15422.0,91.051,1784524648029.0,15915.504
ss-23-60000,1784525286954.5269,1784525287456,1784525308029.0,1784525308120.0518,501.473,20573.0,91.052,1784524648029.0,21165.525
