event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-0-60000,1784607201294.3748,1784607201399,1784607243710.0,1784607243845.4343,104.625,42311.0,135.434,1784606583710.0,42551.06
ss-1-60000,1784607202794.3755,1784607203497,1784607243719.0,1784607243845.4377,702.625,40222.0,126.438,1784606583719.0,41051.062
ss-10-60000,1784607198494.3757,1784607199296,1784607243719.0,1784607243845.4385,801.624,44423.0,126.438,1784606583719.0,45351.063
ss-11-60000,1784607199994.3726,1784607200347,1784607243719.0,1784607243845.439,352.627,43372.0,126.439,1784606583719.0,43851.066
ss-12-60000,1784607186394.3762,1784607186696,1784607243719.0,1784607243845.4397,301.624,57023.0,126.44,1784606583719.0,57451.063
ss-13-60000,1784607201544.375,1784607202446,1784607243719.0,1784607243845.4404,901.625,41273.0,126.44,1784606583719.0,42301.065
ss-14-60000,1784607202444.381,1784607202446,1784607243719.0,1784607243845.441,1.619,41273.0,126.441,1784606583719.0,41401.06
ss-15-60000,1784607199394.3708,1784607200347,1784607243719.0,1784607243845.4531,952.629,43372.0,126.453,1784606583719.0,44451.082
ss-16-60000,1784607202244.371,1784607202446,1784607243719.0,1784607243845.5667,201.629,41273.0,126.567,1784606583719.0,41601.196
ss-17-60000,1784607199794.3806,1784607200347,1784607243719.0,1784607243845.5676,552.619,43372.0,126.568,1784606583719.0,44051.187
ss-18-60000,1784607196894.3677,1784607197197,1784607243720.0,1784607243845.5684,302.632,46523.0,125.568,1784606583720.0,46951.201
ss-19-60000,1784607201594.372,1784607202446,1784607243720.0,1784607243845.5686,851.628,41274.0,125.569,1784606583720.0,42251.197
ss-2-60000,1784607201044.3691,1784607201399,1784607243720.0,1784607243845.5696,354.631,42321.0,125.57,1784606583720.0,42801.2
ss-20-60000,1784607190994.3755,1784607191947,1784607243720.0,1784607243845.5698,952.625,51773.0,125.57,1784606583720.0,52851.194
ss-21-60000,1784607198894.367,1784607199296,1784607243720.0,1784607243845.5703,401.633,44424.0,125.57,1784606583720.0,44951.203
