event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-0-60000,1784586884240.59,1784586884992,1784586887903.0,1784586888153.8357,751.41,2911.0,250.836,1784586227903.0,3913.246
ss-1-60000,1784586885740.5977,1784586886042,1784586887909.0,1784586888153.8389,301.402,1867.0,244.839,1784586227909.0,2413.241
ss-10-60000,1784586881440.5923,1784586881842,1784586887909.0,1784586888153.8398,401.408,6067.0,244.84,1784586227909.0,6713.248
ss-11-60000,1784586882940.6,1784586883942,1784586887909.0,1784586888153.8406,1001.4,3967.0,244.841,1784586227909.0,5213.24
ss-12-60000,1784586869340.5918,1784586874625,1784586887909.0,1784586888153.8416,5284.408,13284.0,244.842,1784586227909.0,18813.25
ss-13-60000,1784586884490.592,1784586884992,1784586887909.0,1784586888153.8423,501.408,2917.0,244.842,1784586227909.0,3663.25
ss-14-60000,1784586885390.5889,1784586886042,1784586887909.0,1784586888153.9568,651.411,1867.0,244.957,1784586227909.0,2763.368
ss-15-60000,1784586882340.5933,1784586882892,1784586887909.0,1784586888153.965,551.407,5017.0,244.965,1784586227909.0,5813.372
ss-16-60000,1784586885190.5952,1784586886042,1784586887909.0,1784586888153.967,851.405,1867.0,244.967,1784586227909.0,2963.372
ss-17-60000,1784586882740.5923,1784586882892,1784586887909.0,1784586888153.9688,151.408,5017.0,244.969,1784586227909.0,5413.376
ss-18-60000,1784586879840.5906,1784586880792,1784586887909.0,1784586888153.9695,951.409,7117.0,244.969,1784586227909.0,8313.379
ss-19-60000,1784586884540.5847,1784586884992,1784586887909.0,1784586888153.9705,451.415,2917.0,244.97,1784586227909.0,3613.386
ss-2-60000,1784586883990.5967,1784586884992,1784586887909.0,1784586888153.9717,1001.403,2917.0,244.972,1784586227909.0,4163.375
ss-20-60000,1784586873940.6218,1784586874625,1784586887909.0,1784586888153.9727,684.378,13284.0,244.973,1784586227909.0,14213.351
ss-21-60000,1784586881840.5957,1784586881842,1784586887909.0,1784586888153.9883,1.404,6067.0,244.988,1784586227909.0,6313.393
ss-22-60000,1784586872240.612,1784586874625,1784586887909.0,1784586888153.9895,2384.388,13284.0,244.99,1784586227909.0,15913.377
ss-23-60000,1784586866990.5903,1784586874625,1784586887909.0,1784586888154.0298,7634.41,13284.0,245.03,1784586227909.0,21163.439
ss-24-60000,1784586882790.5935,1784586882892,1784586887910.0,1784586888154.031,101.406,5018.0,244.031,1784586227910.0,5363.438
ss-25-60000,1784586880190.6013,1784586880792,1784586887910.0,1784586888154.0513,601.399,7118.0,244.051,1784586227910.0,7963.45
ss-26-60000,1784586881390.6091,1784586881842,1784586887910.0,1784586888154.0522,451.391,6068.0,244.052,1784586227910.0,6763.443
ss-27-60000,1784586883690.5972,1784586883942,1784586887910.0,1784586888154.0532,251.403,3968.0,244.053,1784586227910.0,4463.456
ss-28-60000,1784586885640.5923,1784586886042,1784586887910.0,1784586888154.0537,401.408,1868.0,244.054,1784586227910.0,2513.461
ss-29-60000,1784586876190.5923,1784586876692,1784586887910.0,1784586888154.062,501.408,11218.0,244.062,1784586227910.0,11963.47
ss-3-60000,1784586881190.5894,1784586881842,1784586887910.0,1784586888154.0627,651.411,6068.0,244.063,1784586227910.0,6963.473
ss-30-60000,1784586882990.598,1784586883942,1784586887910.0,1784586888154.0637,951.402,3968.0,244.064,1784586227910.0,5163.466
ss-31-60000,1784586883790.5913,1784586883942,1784586887910.0,1784586888154.0645,151.409,3968.0,244.064,1784586227910.0,4363.473
ss-32-60000,1784586885240.598,1784586886042,1784586887910.0,1784586888154.1296,801.402,1868.0,244.13,1784586227910.0,2913.532
