event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-0-60000,1784610534755.2,1784610534907,1784610576584.0,1784610576778.0469,151.8,41677.0,194.047,1784609916584.0,42022.847
ss-1-60000,1784610536255.1985,1784610537007,1784610576592.0,1784610576778.0508,751.802,39585.0,186.051,1784609916592.0,40522.852
ss-10-60000,1784610531955.189,1784610532808,1784610576593.0,1784610576778.0515,852.811,43785.0,185.052,1784609916593.0,44822.863
ss-11-60000,1784610533455.1965,1784610533857,1784610576593.0,1784610576778.0522,401.803,42736.0,185.052,1784609916593.0,43322.856
ss-12-60000,1784610519855.1777,1784610520207,1784610576593.0,1784610576778.0532,351.822,56386.0,185.053,1784609916593.0,56922.875
ss-13-60000,1784610535005.1895,1784610535957,1784610576593.0,1784610576778.054,951.811,40636.0,185.054,1784609916593.0,41772.865
ss-14-60000,1784610535905.208,1784610535957,1784610576593.0,1784610576778.055,51.792,40636.0,185.055,1784609916593.0,40872.847
ss-15-60000,1784610532855.1853,1784610533857,1784610576593.0,1784610576778.07,1001.815,42736.0,185.07,1784609916593.0,43922.885
ss-16-60000,1784610535705.1875,1784610535957,1784610576593.0,1784610576778.0715,251.812,40636.0,185.072,1784609916593.0,41072.884
ss-17-60000,1784610533255.1733,1784610533857,1784610576594.0,1784610576778.0725,601.827,42737.0,184.073,1784609916594.0,43522.899
ss-18-60000,1784610530355.189,1784610530708,1784610576594.0,1784610576778.073,352.811,45886.0,184.073,1784609916594.0,46422.884
ss-19-60000,1784610535055.206,1784610535957,1784610576594.0,1784610576778.0735,901.794,40637.0,184.073,1784609916594.0,41722.867
ss-2-60000,1784610534505.1892,1784610534907,1784610576594.0,1784610576778.0742,401.811,41687.0,184.074,1784609916594.0,42272.885
ss-20-60000,1784610524455.1885,1784610525457,1784610576594.0,1784610576778.0745,1001.812,51137.0,184.074,1784609916594.0,52322.886
ss-21-60000,1784610532355.1956,1784610532808,1784610576594.0,1784610576778.075,452.804,43786.0,184.075,1784609916594.0,44422.879
ss-22-60000,1784610522755.1938,1784610523357,1784610576595.0,1784610576778.0757,601.806,53238.0,183.076,1784609916595.0,54022.882
ss-23-60000,1784610517505.1882,1784610518107,1784610576595.0,1784610576778.1243,601.812,58488.0,183.124,1784609916595.0,59272.936
ss-24-60000,1784610533305.1897,1784610533857,1784610576595.0,1784610576778.1262,551.81,42738.0,183.126,1784609916595.0,43472.937
ss-25-60000,1784610530705.1804,1784610530708,1784610576595.0,1784610576778.1382,2.82,45887.0,183.138,1784609916595.0,46072.958
ss-26-60000,1784610531905.192,1784610532808,1784610576595.0,1784610576778.139,902.808,43787.0,183.139,1784609916595.0,44872.947
ss-27-60000,1784610534205.1838,1784610534907,1784610576596.0,1784610576778.1548,701.816,41689.0,182.155,1784609916596.0,42572.971
ss-28-60000,1784610536155.1804,1784610537007,1784610576596.0,1784610576778.1555,851.82,39589.0,182.156,1784609916596.0,40622.975
ss-29-60000,1784610526705.1907,1784610527558,1784610576596.0,1784610576778.233,852.809,49038.0,182.233,1784609916596.0,50073.042
ss-3-60000,1784610531707.4321,1784610531757,1784610576596.0,1784610576778.2349,49.568,44839.0,182.235,1784609916596.0,45070.803
ss-30-60000,1784610533505.2058,1784610533857,1784610576596.0,1784610576778.2358,351.794,42739.0,182.236,1784609916596.0,43273.03
ss-31-60000,1784610534305.1868,1784610534907,1784610576596.0,1784610576778.237,601.813,41689.0,182.237,1784609916596.0,42473.05
ss-32-60000,1784610535755.1855,1784610535957,1784610576596.0,1784610576778.2378,201.814,40639.0,182.238,1784609916596.0,41023.052
ss-33-60000,1784610533555.1875,1784610533857,1784610576596.0,1784610576778.239,301.812,42739.0,182.239,1784609916596.0,43223.052
ss-34-60000,1784610534255.185,1784610534907,1784610576597.0,1784610576778.3123,651.815,41690.0,181.312,1784609916597.0,42523.127
ss-35-60000,1784610534005.185,1784610534907,1784610576597.0,1784610576778.313,901.815,41690.0,181.313,1784609916597.0,42773.128
ss-36-60000,1784610532455.189,1784610532808,1784610576597.0,1784610576778.3142,352.811,43789.0,181.314,1784609916597.0,44323.125
ss-37-60000,1784610529255.203,1784610529657,1784610576597.0,1784610576778.3147,401.797,46940.0,181.315,1784609916597.0,47523.112
ss-38-60000,1784610536305.1873,1784610537007,1784610576597.0,1784610576778.3218,701.813,39590.0,181.322,1784609916597.0,40473.135
ss-39-60000,1784610534455.1877,1784610534907,1784610576597.0,1784610576778.331,451.812,41690.0,181.331,1784609916597.0,42323.143
ss-4-60000,1784610535605.1853,1784610535957,1784610576597.0,1784610576778.4468,351.815,40640.0,181.447,1784609916597.0,41173.261
ss-40-60000,1784610530455.1868,1784610530708,1784610576597.0,1784610576778.45,252.813,45889.0,181.45,1784609916597.0,46323.263
ss-41-60000,1784610530555.1838,1784610530708,1784610576597.0,1784610576778.4639,152.816,45889.0,181.464,1784609916597.0,46223.28
ss-42-60000,1784610533155.1948,1784610533857,1784610576598.0,1784610576778.4883,701.805,42741.0,180.488,1784609916598.0,43623.293
ss-43-60000,1784610533905.1946,1784610534907,1784610576598.0,1784610576778.4893,1001.805,41691.0,180.489,1784609916598.0,42873.295
ss-44-60000,1784610530405.1887,1784610530708,1784610576598.0,1784610576778.49,302.811,45890.0,180.49,1784609916598.0,46373.301
ss-45-60000,1784610524805.2031,1784610525457,1784610576598.0,1784610576778.4907,651.797,51141.0,180.491,1784609916598.0,51973.288
ss-46-60000,1784610534055.1926,1784610534907,1784610576598.0,1784610576778.5244,851.807,41691.0,180.524,1784609916598.0,42723.332
ss-47-60000,1784610531605.1926,1784610531757,1784610576598.0,1784610576778.526,151.807,44841.0,180.526,1784609916598.0,45173.333
ss-48-60000,1784610533855.1987,1784610533857,1784610576598.0,1784610576778.5352,1.801,42741.0,180.535,1784609916598.0,42923.336
ss-49-60000,1784610536105.1843,1784610537007,1784610576598.0,1784610576778.5405,901.816,39591.0,180.541,1784609916598.0,40673.356
ss-5-60000,1784610535455.1873,1784610535957,1784610576599.0,1784610576778.5415,501.813,40642.0,179.542,1784609916599.0,41323.354
ss-50-60000,1784610534805.203,1784610534907,1784610576599.0,1784610576778.5483,101.797,41692.0,179.548,1784609916599.0,41973.345
