event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-0-60000,1784578078834.7117,1784578078935,1784578082444.0,1784578082534.6584,100.288,3509.0,90.658,1784577422444.0,3699.947
ss-1-60000,1784578080334.7083,1784578080986,1784578082454.0,1784578082534.6626,651.292,1468.0,80.663,1784577422454.0,2199.954
ss-10-60000,1784578076034.712,1784578076836,1784578082454.0,1784578082534.6638,801.288,5618.0,80.664,1784577422454.0,6499.952
ss-11-60000,1784578077534.714,1784578077886,1784578082454.0,1784578082534.6646,351.286,4568.0,80.665,1784577422454.0,4999.95
ss-12-60000,1784578063934.712,1784578064286,1784578082454.0,1784578082534.6655,351.288,18168.0,80.666,1784577422454.0,18599.954
ss-13-60000,1784578079084.716,1784578079937,1784578082455.0,1784578082534.6665,852.284,2518.0,79.667,1784577422455.0,3449.95
ss-14-60000,1784578079984.683,1784578080986,1784578082455.0,1784578082534.6675,1001.317,1469.0,79.667,1784577422455.0,2549.984
ss-15-60000,1784578076934.7036,1784578077886,1784578082455.0,1784578082534.6775,951.296,4569.0,79.677,1784577422455.0,5599.974
ss-16-60000,1784578079784.7131,1784578079937,1784578082455.0,1784578082534.679,152.287,2518.0,79.679,1784577422455.0,2749.966
ss-17-60000,1784578077334.706,1784578077886,1784578082455.0,1784578082534.68,551.294,4569.0,79.68,1784577422455.0,5199.974
ss-18-60000,1784578074434.715,1784578074785,1784578082455.0,1784578082534.6804,350.285,7670.0,79.68,1784577422455.0,8099.965
ss-19-60000,1784578079134.7322,1784578079937,1784578082455.0,1784578082534.681,802.268,2518.0,79.681,1784577422455.0,3399.949
ss-2-60000,1784578078584.7168,1784578078935,1784578082455.0,1784578082534.682,350.283,3520.0,79.682,1784577422455.0,3949.965
ss-20-60000,1784578068534.7095,1784578069536,1784578082456.0,1784578082534.6824,1001.291,12920.0,78.682,1784577422456.0,13999.973
ss-21-60000,1784578076434.7222,1784578076836,1784578082456.0,1784578082534.6829,401.278,5620.0,78.683,1784577422456.0,6099.961
ss-22-60000,1784578066834.7205,1784578067436,1784578082456.0,1784578082534.6836,601.28,15020.0,78.684,1784577422456.0,15699.963
ss-23-60000,1784578061584.717,1784578062187,1784578082456.0,1784578082534.684,602.283,20269.0,78.684,1784577422456.0,20949.967
ss-24-60000,1784578077384.7087,1784578077886,1784578082456.0,1784578082534.6848,501.291,4570.0,78.685,1784577422456.0,5149.976
ss-25-60000,1784578074784.7144,1784578075786,1784578082456.0,1784578082534.6963,1001.286,6670.0,78.696,1784577422456.0,7749.982
ss-26-60000,1784578075984.711,1784578076836,1784578082456.0,1784578082534.7673,851.289,5620.0,78.767,1784577422456.0,6550.056
ss-27-60000,1784578078284.7146,1784578078935,1784578082456.0,1784578082534.7686,650.285,3521.0,78.769,1784577422456.0,4250.054
ss-28-60000,1784578080234.7058,1784578080986,1784578082456.0,1784578082534.769,751.294,1470.0,78.769,1784577422456.0,2300.063
ss-29-60000,1784578070784.7166,1784578071636,1784578082456.0,1784578082534.7698,851.283,10820.0,78.77,1784577422456.0,11750.053
ss-3-60000,1784578075784.712,1784578075786,1784578082456.0,1784578082534.7708,1.288,6670.0,78.771,1784577422456.0,6750.059
ss-30-60000,1784578077584.712,1784578077886,1784578082457.0,1784578082534.7712,301.288,4571.0,77.771,1784577422457.0,4950.059
ss-31-60000,1784578078384.7026,1784578078935,1784578082457.0,1784578082534.7722,550.297,3522.0,77.772,1784577422457.0,4150.07
ss-32-60000,1784578079834.7112,1784578079937,1784578082457.0,1784578082534.773,102.289,2520.0,77.773,1784577422457.0,2700.062
ss-33-60000,1784578077634.7175,1784578077886,1784578082457.0,1784578082534.7742,251.282,4571.0,77.774,1784577422457.0,4900.057
ss-34-60000,1784578078334.7114,1784578078935,1784578082457.0,1784578082534.7747,600.289,3522.0,77.775,1784577422457.0,4200.063
ss-35-60000,1784578078084.707,1784578078935,1784578082457.0,1784578082534.7754,850.293,3522.0,77.775,1784577422457.0,4450.068
ss-36-60000,1784578076534.7217,1784578076836,1784578082457.0,1784578082534.7761,301.278,5621.0,77.776,1784577422457.0,6000.054
ss-37-60000,1784578073334.7227,1784578073737,1784578082458.0,1784578082534.7844,402.277,8721.0,76.784,1784577422458.0,9200.062
ss-38-60000,1784578080386.9084,1784578080986,1784578082458.0,1784578082534.7852,599.092,1472.0,76.785,1784577422458.0,2147.877
ss-39-60000,1784578078534.7192,1784578078935,1784578082458.0,1784578082534.7866,400.281,3523.0,76.787,1784577422458.0,4000.067
ss-4-60000,1784578079684.7117,1784578079937,1784578082458.0,1784578082534.7874,252.288,2521.0,76.787,1784577422458.0,2850.076
ss-40-60000,1784578074534.729,1784578074785,1784578082458.0,1784578082534.7878,250.271,7673.0,76.788,1784577422458.0,8000.059
ss-41-60000,1784578074634.7207,1784578074785,1784578082458.0,1784578082534.7886,150.279,7673.0,76.789,1784577422458.0,7900.068
ss-42-60000,1784578077234.711,1784578077886,1784578082458.0,1784578082534.7893,651.289,4572.0,76.789,1784577422458.0,5300.078
ss-43-60000,1784578077984.7195,1784578078935,1784578082458.0,1784578082534.7937,950.281,3523.0,76.794,1784577422458.0,4550.074
ss-44-60000,1784578074484.718,1784578074785,1784578082458.0,1784578082534.7947,300.282,7673.0,76.795,1784577422458.0,8050.077
ss-45-60000,1784578068884.7122,1784578069536,1784578082458.0,1784578082534.7954,651.288,12922.0,76.795,1784577422458.0,13650.083
ss-46-60000,1784578078134.7104,1784578078935,1784578082459.0,1784578082534.8083,800.29,3524.0,75.808,1784577422459.0,4400.098
ss-47-60000,1784578075684.7139,1784578075786,1784578082459.0,1784578082534.809,101.286,6673.0,75.809,1784577422459.0,6850.095
ss-48-60000,1784578077934.7131,1784578078935,1784578082459.0,1784578082534.8096,1000.287,3524.0,75.81,1784577422459.0,4600.096
ss-49-60000,1784578080184.709,1784578080986,1784578082459.0,1784578082534.871,801.291,1473.0,75.871,1784577422459.0,2350.162
ss-5-60000,1784578079534.7053,1784578079937,1784578082459.0,1784578082534.8718,402.295,2522.0,75.872,1784577422459.0,3000.167
ss-50-60000,1784578078884.7253,1784578078935,1784578082459.0,1784578082534.8723,50.275,3524.0,75.872,1784577422459.0,3650.147
ss-51-60000,1784578078434.7048,1784578078935,1784578082459.0,1784578082534.8784,500.295,3524.0,75.878,1784577422459.0,4100.174
ss-52-60000,1784578077834.7073,1784578077886,1784578082459.0,1784578082534.879,51.293,4573.0,75.879,1784577422459.0,4700.172
ss-53-60000,1784578076484.702,1784578076836,1784578082459.0,1784578082534.8794,351.298,5623.0,75.879,1784577422459.0,6050.177
ss-54-60000,1784578075734.7046,1784578075786,1784578082459.0,1784578082534.88,51.295,6673.0,75.88,1784577422459.0,6800.175
ss-55-60000,1784578054734.7107,1784578054836,1784578082459.0,1784578082534.8801,101.289,27623.0,75.88,1784577422459.0,27800.169
ss-56-60000,1784578064534.715,1784578065336,1784578082460.0,1784578082534.8806,801.285,17124.0,74.881,1784577422460.0,18000.166
ss-57-60000,1784578079034.712,1784578079937,1784578082460.0,1784578082534.882,902.288,2523.0,74.882,1784577422460.0,3500.17
ss-58-60000,1784578079434.7131,1784578079937,1784578082460.0,1784578082534.8826,502.287,2523.0,74.883,1784577422460.0,3100.169
ss-59-60000,1784578078984.7192,1784578079937,1784578082460.0,1784578082534.9966,952.281,2523.0,74.997,1784577422460.0,3550.277
ss-6-60000,1784578076334.7214,1784578076836,1784578082460.0,1784578082535.0002,501.279,5624.0,75.0,1784577422460.0,6200.279
ss-60-60000,1784578078734.713,1784578078935,1784578082460.0,1784578082535.029,200.287,3525.0,75.029,1784577422460.0,3800.316
ss-61-60000,1784578076834.7148,1784578076836,1784578082460.0,1784578082535.0352,1.285,5624.0,75.035,1784577422460.0,5700.32
ss-62-60000,1784578074284.716,1784578074785,1784578082460.0,1784578082535.0366,500.284,7675.0,75.037,1784577422460.0,8250.321
ss-63-60000,1784578077134.7312,1784578077886,1784578082460.0,1784578082535.0376,751.269,4574.0,75.038,1784577422460.0,5400.306
ss-64-60000,1784578077084.734,1784578077886,1784578082460.0,1784578082535.0388,801.266,4574.0,75.039,1784577422460.0,5450.305
ss-65-60000,1784578075584.7122,1784578075786,1784578082460.0,1784578082535.0398,201.288,6674.0,75.04,1784577422460.0,6950.328
ss-66-60000,1784578079185.8948,1784578079937,1784578082460.0,1784578082535.1128,751.105,2523.0,75.113,1784577422460.0,3349.218
ss-67-60000,1784578080084.7148,1784578080986,1784578082461.0,1784578082535.1143,901.285,1475.0,74.114,1784577422461.0,2450.399
ss-68-60000,1784578071484.7056,1784578071636,1784578082461.0,1784578082535.1155,151.294,10825.0,74.115,1784577422461.0,11050.41
ss-69-60000,1784578067434.7085,1784578067436,1784578082461.0,1784578082535.1162,1.292,15025.0,74.116,1784577422461.0,15100.408
ss-7-60000,1784578078034.7102,1784578078935,1784578082461.0,1784578082535.1167,900.29,3526.0,74.117,1784577422461.0,4500.406
ss-70-60000,1784578079484.714,1784578079937,1784578082461.0,1784578082535.118,452.286,2524.0,74.118,1784577422461.0,3050.404
ss-71-60000,1784578063034.6985,1784578063237,1784578082461.0,1784578082535.1243,202.302,19224.0,74.124,1784577422461.0,19500.426
ss-72-60000,1784578079634.71,1784578079937,1784578082461.0,1784578082535.125,302.29,2524.0,74.125,1784577422461.0,2900.415
ss-73-60000,1784578053834.7107,1784578054836,1784578082461.0,1784578082535.1292,1001.289,27625.0,74.129,1784577422461.0,28700.418
ss-74-60000,1784578080134.7065,1784578080986,1784578082461.0,1784578082535.13,851.293,1475.0,74.13,1784577422461.0,2400.423
