event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-0-0,1784539019387.1653,1784539019539,1784539023023.0,1784539023107.212,151.835,3484.0,84.212,1784538963023.0,3720.047
tc-1-0,1784539020887.1672,1784539021639,1784539023031.0,1784539023107.2153,751.833,1392.0,76.215,1784538963031.0,2220.048
tc-10-0,1784539016587.163,1784539017440,1784539023031.0,1784539023107.2163,852.837,5591.0,76.216,1784538963031.0,6520.053
tc-11-0,1784539018087.1584,1784539018489,1784539023031.0,1784539023107.2168,401.842,4542.0,76.217,1784538963031.0,5020.058
tc-12-0,1784539004487.1667,1784539004889,1784539023031.0,1784539023107.2285,401.833,18142.0,76.229,1784538963031.0,18620.062
tc-13-0,1784539019637.17,1784539020589,1784539023032.0,1784539023107.229,951.83,2443.0,75.229,1784538963032.0,3470.059
tc-14-0,1784539020537.1682,1784539020589,1784539023032.0,1784539023107.2295,51.832,2443.0,75.229,1784538963032.0,2570.061
tc-15-0,1784539017487.1643,1784539018489,1784539023032.0,1784539023107.2336,1001.836,4543.0,75.234,1784538963032.0,5620.069
tc-16-0,1784539020337.162,1784539020589,1784539023032.0,1784539023107.235,251.838,2443.0,75.235,1784538963032.0,2770.073
tc-17-0,1784539017887.165,1784539018489,1784539023032.0,1784539023107.296,601.835,4543.0,75.296,1784538963032.0,5220.131
tc-18-0,1784539014987.1736,1784539015339,1784539023032.0,1784539023107.2983,351.826,7693.0,75.298,1784538963032.0,8120.125
tc-19-0,1784539019687.17,1784539020589,1784539023032.0,1784539023107.299,901.83,2443.0,75.299,1784538963032.0,3420.129
tc-2-0,1784539019137.168,1784539019539,1784539023032.0,1784539023107.3083,401.832,3493.0,75.308,1784538963032.0,3970.14
tc-20-0,1784539009087.1558,1784539010090,1784539023032.0,1784539023107.3086,1002.844,12942.0,75.309,1784538963032.0,14020.153
tc-21-0,1784539016987.1663,1784539017440,1784539023032.0,1784539023107.3093,452.834,5592.0,75.309,1784538963032.0,6120.143
tc-22-0,1784539007387.1638,1784539008041,1784539023033.0,1784539023107.3098,653.836,14992.0,74.31,1784538963033.0,15720.146
tc-23-0,1784539002137.1707,1784539002789,1784539023033.0,1784539023107.3528,651.829,20244.0,74.353,1784538963033.0,20970.182
tc-24-0,1784539017937.1763,1784539018489,1784539023033.0,1784539023107.354,551.824,4544.0,74.354,1784538963033.0,5170.178
tc-25-0,1784539015337.156,1784539015339,1784539023033.0,1784539023107.3865,1.844,7694.0,74.386,1784538963033.0,7770.23
tc-26-0,1784539016537.1675,1784539017440,1784539023033.0,1784539023107.3875,902.833,5593.0,74.387,1784538963033.0,6570.22
tc-27-0,1784539018837.1577,1784539019539,1784539023033.0,1784539023107.4038,701.842,3494.0,74.404,1784538963033.0,4270.246
tc-28-0,1784539020787.1653,1784539021639,1784539023033.0,1784539023107.4045,851.835,1394.0,74.405,1784538963033.0,2320.239
tc-29-0,1784539011337.1692,1784539012189,1784539023033.0,1784539023107.4192,851.831,10844.0,74.419,1784538963033.0,11770.25
tc-3-0,1784539016337.1667,1784539016389,1784539023033.0,1784539023107.4197,51.833,6644.0,74.42,1784538963033.0,6770.253
tc-30-0,1784539018137.1582,1784539018489,1784539023033.0,1784539023107.4722,351.842,4544.0,74.472,1784538963033.0,4970.314
tc-31-0,1784539018937.1794,1784539019539,1784539023034.0,1784539023107.4797,601.821,3495.0,73.48,1784538963034.0,4170.3
tc-32-0,1784539020387.1619,1784539020589,1784539023034.0,1784539023107.549,201.838,2445.0,73.549,1784538963034.0,2720.387
tc-33-0,1784539018187.1714,1784539018489,1784539023034.0,1784539023107.5505,301.829,4545.0,73.551,1784538963034.0,4920.379
tc-34-0,1784539018887.174,1784539019539,1784539023034.0,1784539023107.5513,651.826,3495.0,73.551,1784538963034.0,4220.377
tc-35-0,1784539018637.1711,1784539019539,1784539023034.0,1784539023107.5625,901.829,3495.0,73.562,1784538963034.0,4470.391
tc-36-0,1784539017087.169,1784539017440,1784539023034.0,1784539023107.5632,352.831,5594.0,73.563,1784538963034.0,6020.394
tc-37-0,1784539013887.1638,1784539014290,1784539023034.0,1784539023107.5637,402.836,8744.0,73.564,1784538963034.0,9220.4
tc-38-0,1784539020937.16,1784539021639,1784539023034.0,1784539023107.6333,701.84,1395.0,73.633,1784538963034.0,2170.473
tc-39-0,1784539019087.1575,1784539019539,1784539023034.0,1784539023107.635,451.843,3495.0,73.635,1784538963034.0,4020.478
tc-4-0,1784539020237.1619,1784539020589,1784539023034.0,1784539023107.6357,351.838,2445.0,73.636,1784538963034.0,2870.474
tc-40-0,1784539015087.1624,1784539015339,1784539023035.0,1784539023107.6812,251.838,7696.0,72.681,1784538963035.0,8020.519
tc-41-0,1784539015187.1804,1784539015339,1784539023035.0,1784539023107.6816,151.82,7696.0,72.682,1784538963035.0,7920.501
tc-42-0,1784539017787.1594,1784539018489,1784539023035.0,1784539023107.7458,701.841,4546.0,72.746,1784538963035.0,5320.586
tc-43-0,1784539018537.1638,1784539019539,1784539023035.0,1784539023107.7466,1001.836,3496.0,72.747,1784538963035.0,4570.583
tc-44-0,1784539015037.1758,1784539015339,1784539023035.0,1784539023107.747,301.824,7696.0,72.747,1784538963035.0,8070.571
tc-45-0,1784539009437.163,1784539010090,1784539023035.0,1784539023107.7476,652.837,12945.0,72.748,1784538963035.0,13670.584
tc-46-0,1784539018687.1628,1784539019539,1784539023035.0,1784539023107.752,851.837,3496.0,72.752,1784538963035.0,4420.589
tc-47-0,1784539016237.1707,1784539016389,1784539023035.0,1784539023107.7524,151.829,6646.0,72.752,1784538963035.0,6870.582
tc-48-0,1784539018487.1653,1784539018489,1784539023035.0,1784539023107.7756,1.835,4546.0,72.776,1784538963035.0,4620.61
tc-49-0,1784539020737.1638,1784539021639,1784539023035.0,1784539023107.7761,901.836,1396.0,72.776,1784538963035.0,2370.612
tc-5-0,1784539020087.157,1784539020589,1784539023035.0,1784539023107.912,501.843,2446.0,72.912,1784538963035.0,3020.755
tc-50-0,1784539019437.1694,1784539019539,1784539023036.0,1784539023107.914,101.831,3497.0,71.914,1784538963036.0,3670.745
tc-51-0,1784539018987.1558,1784539019539,1784539023036.0,1784539023107.915,551.844,3497.0,71.915,1784538963036.0,4120.759
tc-52-0,1784539018387.1753,1784539018489,1784539023036.0,1784539023107.9158,101.825,4547.0,71.916,1784538963036.0,4720.74
