event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-0-0,1784568257740.1377,1784568258092,1784568261774.0,1784568261888.3481,351.862,3682.0,114.348,1784568201774.0,4148.21
tc-1-0,1784568259240.1462,1784568260192,1784568261780.0,1784568261888.3513,951.854,1588.0,108.351,1784568201780.0,2648.205
tc-10-0,1784568254940.1443,1784568254943,1784568261780.0,1784568261888.352,2.856,6837.0,108.352,1784568201780.0,6948.208
tc-11-0,1784568256440.1484,1784568257044,1784568261780.0,1784568261888.3528,603.852,4736.0,108.353,1784568201780.0,5448.204
tc-12-0,1784568242840.1396,1784568243394,1784568261780.0,1784568261888.3535,553.86,18386.0,108.354,1784568201780.0,19048.214
tc-13-0,1784568257990.1572,1784568258092,1784568261780.0,1784568261888.354,101.843,3688.0,108.354,1784568201780.0,3898.197
tc-14-0,1784568258890.1448,1784568259143,1784568261780.0,1784568261888.3542,252.855,2637.0,108.354,1784568201780.0,2998.209
tc-15-0,1784568255840.1487,1784568255993,1784568261780.0,1784568261888.3677,152.851,5787.0,108.368,1784568201780.0,6048.219
tc-16-0,1784568258690.1428,1784568259143,1784568261780.0,1784568261888.3687,452.857,2637.0,108.369,1784568201780.0,3198.226
tc-17-0,1784568256240.155,1784568257044,1784568261780.0,1784568261888.3696,803.845,4736.0,108.37,1784568201780.0,5648.215
tc-18-0,1784568253340.1343,1784568253893,1784568261780.0,1784568261888.3699,552.866,7887.0,108.37,1784568201780.0,8548.236
tc-19-0,1784568258040.159,1784568258092,1784568261780.0,1784568261888.37,51.841,3688.0,108.37,1784568201780.0,3848.211
tc-2-0,1784568257490.133,1784568258092,1784568261780.0,1784568261888.3706,601.867,3688.0,108.371,1784568201780.0,4398.238
tc-20-0,1784568247440.1428,1784568247592,1784568261780.0,1784568261888.3708,151.857,14188.0,108.371,1784568201780.0,14448.228
tc-21-0,1784568255340.1448,1784568255993,1784568261780.0,1784568261888.371,652.855,5787.0,108.371,1784568201780.0,6548.226
tc-22-0,1784568245740.1365,1784568246542,1784568261780.0,1784568261888.3713,801.864,15238.0,108.371,1784568201780.0,16148.235
tc-23-0,1784568240490.1467,1784568241293,1784568261781.0,1784568261888.434,802.853,20488.0,107.434,1784568201781.0,21398.287
tc-24-0,1784568256290.1511,1784568257044,1784568261781.0,1784568261888.4373,753.849,4737.0,107.437,1784568201781.0,5598.286
tc-25-0,1784568253690.1428,1784568253893,1784568261781.0,1784568261888.4485,202.857,7888.0,107.448,1784568201781.0,8198.306
tc-26-0,1784568254890.143,1784568254943,1784568261781.0,1784568261888.449,52.857,6838.0,107.449,1784568201781.0,6998.306
tc-27-0,1784568257190.149,1784568258092,1784568261781.0,1784568261888.5483,901.851,3689.0,107.548,1784568201781.0,4698.399
tc-28-0,1784568259140.1611,1784568259143,1784568261781.0,1784568261888.549,2.839,2638.0,107.549,1784568201781.0,2748.388
tc-29-0,1784568249690.1401,1784568249693,1784568261781.0,1784568261888.6152,2.86,12088.0,107.615,1784568201781.0,12198.475
tc-3-0,1784568254690.1575,1784568254943,1784568261781.0,1784568261888.6206,252.843,6838.0,107.621,1784568201781.0,7198.463
tc-30-0,1784568256490.143,1784568257044,1784568261781.0,1784568261888.6523,553.857,4737.0,107.652,1784568201781.0,5398.509
tc-31-0,1784568257290.1667,1784568258092,1784568261781.0,1784568261888.6553,801.833,3689.0,107.655,1784568201781.0,4598.489
tc-32-0,1784568258740.1423,1784568259143,1784568261781.0,1784568261889.171,402.858,2638.0,108.171,1784568201781.0,3149.029
tc-33-0,1784568256540.1445,1784568257044,1784568261781.0,1784568261889.1726,503.855,4737.0,108.173,1784568201781.0,5349.028
tc-34-0,1784568257240.145,1784568258092,1784568261781.0,1784568261889.1733,851.855,3689.0,108.173,1784568201781.0,4649.028
tc-35-0,1784568256990.147,1784568257044,1784568261781.0,1784568261889.1736,53.853,4737.0,108.174,1784568201781.0,4899.027
tc-36-0,1784568255440.172,1784568255993,1784568261781.0,1784568261889.174,552.828,5788.0,108.174,1784568201781.0,6449.002
tc-37-0,1784568252240.159,1784568252843,1784568261781.0,1784568261889.1746,602.841,8938.0,108.175,1784568201781.0,9649.016
tc-38-0,1784568259290.1416,1784568260192,1784568261781.0,1784568261889.175,901.858,1589.0,108.175,1784568201781.0,2599.033
tc-39-0,1784568257443.5632,1784568258092,1784568261781.0,1784568261889.176,648.437,3689.0,108.176,1784568201781.0,4445.613
tc-4-0,1784568258590.145,1784568259143,1784568261781.0,1784568261889.1765,552.855,2638.0,108.177,1784568201781.0,3299.031
tc-40-0,1784568253440.1448,1784568253893,1784568261781.0,1784568261889.177,452.855,7888.0,108.177,1784568201781.0,8449.032
tc-41-0,1784568253540.1404,1784568253893,1784568261781.0,1784568261889.1775,352.86,7888.0,108.177,1784568201781.0,8349.037
tc-42-0,1784568256140.14,1784568257044,1784568261782.0,1784568261889.1804,903.86,4738.0,107.18,1784568201782.0,5749.041
tc-43-0,1784568256890.1433,1784568257044,1784568261782.0,1784568261889.181,153.857,4738.0,107.181,1784568201782.0,4999.038
tc-44-0,1784568253390.1204,1784568253893,1784568261782.0,1784568261889.1812,502.88,7889.0,107.181,1784568201782.0,8499.061
tc-45-0,1784568247790.1423,1784568248642,1784568261782.0,1784568261889.1816,851.858,13140.0,107.182,1784568201782.0,14099.039
tc-46-0,1784568257040.1501,1784568257044,1784568261782.0,1784568261889.185,3.85,4738.0,107.185,1784568201782.0,4849.035
tc-47-0,1784568254590.1519,1784568254943,1784568261782.0,1784568261889.1855,352.848,6839.0,107.186,1784568201782.0,7299.034
tc-48-0,1784568256840.1519,1784568257044,1784568261782.0,1784568261889.1858,203.848,4738.0,107.186,1784568201782.0,5049.034
tc-49-0,1784568259090.1401,1784568259143,1784568261782.0,1784568261889.1863,52.86,2639.0,107.186,1784568201782.0,2799.046
tc-5-0,1784568258440.1333,1784568259143,1784568261782.0,1784568261889.1865,702.867,2639.0,107.187,1784568201782.0,3449.053
tc-50-0,1784568257790.145,1784568258092,1784568261782.0,1784568261889.1868,301.855,3690.0,107.187,1784568201782.0,4099.042
tc-51-0,1784568257340.1572,1784568258092,1784568261782.0,1784568261889.1873,751.843,3690.0,107.187,1784568201782.0,4549.03
tc-52-0,1784568256740.1433,1784568257044,1784568261782.0,1784568261889.1875,303.857,4738.0,107.188,1784568201782.0,5149.044
tc-53-0,1784568255390.1494,1784568255993,1784568261782.0,1784568261889.1877,602.851,5789.0,107.188,1784568201782.0,6499.038
tc-54-0,1784568254640.1577,1784568254943,1784568261782.0,1784568261889.1882,302.842,6839.0,107.188,1784568201782.0,7249.031
tc-55-0,1784568233640.146,1784568233943,1784568261782.0,1784568261889.191,302.854,27839.0,107.191,1784568201782.0,28249.045
tc-56-0,1784568243440.1426,1784568244443,1784568261782.0,1784568261889.1912,1002.857,17339.0,107.191,1784568201782.0,18449.049
tc-57-0,1784568257940.1384,1784568258092,1784568261782.0,1784568261889.1926,151.862,3690.0,107.193,1784568201782.0,3949.054
tc-58-0,1784568258340.1377,1784568259143,1784568261782.0,1784568261889.193,802.862,2639.0,107.193,1784568201782.0,3549.055
tc-59-0,1784568257890.1404,1784568258092,1784568261782.0,1784568261889.1934,201.86,3690.0,107.193,1784568201782.0,3999.053
tc-6-0,1784568255240.146,1784568255993,1784568261782.0,1784568261889.1936,752.854,5789.0,107.194,1784568201782.0,6649.048
tc-60-0,1784568257640.1418,1784568258092,1784568261782.0,1784568261889.1938,451.858,3690.0,107.194,1784568201782.0,4249.052
tc-61-0,1784568255740.139,1784568255993,1784568261783.0,1784568261889.194,252.861,5790.0,106.194,1784568201783.0,6149.055
tc-62-0,1784568253190.1394,1784568253893,1784568261783.0,1784568261889.1946,702.861,7890.0,106.195,1784568201783.0,8699.055
tc-63-0,1784568256040.1436,1784568257044,1784568261783.0,1784568261889.1948,1003.856,4739.0,106.195,1784568201783.0,5849.051
tc-64-0,1784568255990.1445,1784568255993,1784568261783.0,1784568261889.195,2.855,5790.0,106.195,1784568201783.0,5899.051
tc-65-0,1784568254490.1394,1784568254943,1784568261783.0,1784568261889.1956,452.861,6840.0,106.196,1784568201783.0,7399.056
tc-66-0,1784568258090.1543,1784568258092,1784568261783.0,1784568261889.2856,1.846,3691.0,106.286,1784568201783.0,3799.131
tc-67-0,1784568258990.1409,1784568259143,1784568261783.0,1784568261889.4397,152.859,2640.0,106.44,1784568201783.0,2899.299
tc-68-0,1784568250390.1338,1784568250743,1784568261783.0,1784568261889.4412,352.866,11040.0,106.441,1784568201783.0,11499.307
tc-69-0,1784568246340.139,1784568246542,1784568261783.0,1784568261889.4417,201.861,15241.0,106.442,1784568201783.0,15549.303
tc-7-0,1784568256940.1497,1784568257044,1784568261783.0,1784568261889.442,103.85,4739.0,106.442,1784568201783.0,4949.292
tc-70-0,1784568258390.1326,1784568259143,1784568261783.0,1784568261889.4424,752.867,2640.0,106.442,1784568201783.0,3499.31
tc-71-0,1784568241940.1338,1784568242342,1784568261783.0,1784568261889.4485,401.866,19441.0,106.448,1784568201783.0,19949.315
tc-72-0,1784568258540.1404,1784568259143,1784568261783.0,1784568261889.4631,602.86,2640.0,106.463,1784568201783.0,3349.323
tc-73-0,1784568232740.14,1784568232893,1784568261783.0,1784568261889.537,152.86,28890.0,106.537,1784568201783.0,29149.397
tc-74-0,1784568259040.1445,1784568259143,1784568261783.0,1784568261889.556,102.855,2640.0,106.556,1784568201783.0,2849.411
tc-75-0,1784568257690.1423,1784568258092,1784568261783.0,1784568261889.5918,401.858,3691.0,106.592,1784568201783.0,4199.449
tc-76-0,1784568259190.1392,1784568260192,1784568261783.0,1784568261889.5925,1001.861,1591.0,106.593,1784568201783.0,2699.453
tc-77-0,1784568252740.1392,1784568252843,1784568261783.0,1784568261889.5986,102.861,8940.0,106.599,1784568201783.0,9149.459
tc-78-0,1784568251140.1426,1784568251793,1784568261783.0,1784568261889.6577,652.857,9990.0,106.658,1784568201783.0,10749.515
tc-79-0,1784568243590.1418,1784568244443,1784568261783.0,1784568261889.6597,852.858,17340.0,106.66,1784568201783.0,18299.518
tc-8-0,1784568253890.1526,1784568253893,1784568261783.0,1784568261889.666,2.847,7890.0,106.666,1784568201783.0,7999.513
tc-80-0,1784568252790.1511,1784568252843,1784568261783.0,1784568261889.6858,52.849,8940.0,106.686,1784568201783.0,9099.535
tc-81-0,1784568258790.1423,1784568259143,1784568261783.0,1784568261889.745,352.858,2640.0,106.745,1784568201783.0,3099.603
tc-82-0,1784568258240.1465,1784568259143,1784568261784.0,1784568261889.7463,902.854,2641.0,105.746,1784568201784.0,3649.6
tc-83-0,1784568255590.1816,1784568255993,1784568261784.0,1784568261889.747,402.818,5791.0,105.747,1784568201784.0,6299.565
tc-84-0,1784568254290.1458,1784568254943,1784568261784.0,1784568261889.7476,652.854,6841.0,105.748,1784568201784.0,7599.602
tc-85-0,1784568255790.1436,1784568255993,1784568261784.0,1784568261889.7524,202.856,5791.0,105.752,1784568201784.0,6099.609
tc-86-0,1784568251790.1406,1784568251793,1784568261784.0,1784568261889.8127,2.859,9991.0,105.813,1784568201784.0,10099.672
tc-87-0,1784568258140.1462,1784568259143,1784568261784.0,1784568261889.8184,1002.854,2641.0,105.818,1784568201784.0,3749.672
tc-88-0,1784568251740.1433,1784568251793,1784568261784.0,1784568261889.8188,52.857,9991.0,105.819,1784568201784.0,10149.676
tc-89-0,1784568258840.1414,1784568259143,1784568261784.0,1784568261889.8193,302.859,2641.0,105.819,1784568201784.0,3049.678
tc-9-0,1784568258940.1406,1784568259143,1784568261784.0,1784568261889.9343,202.859,2641.0,105.934,1784568201784.0,2949.794
tc-90-0,1784568257590.14,1784568258092,1784568261784.0,1784568261889.935,501.86,3692.0,105.935,1784568201784.0,4299.795
tc-91-0,1784568258640.1387,1784568259143,1784568261784.0,1784568261889.9355,502.861,2641.0,105.936,1784568201784.0,3249.797
tc-92-0,1784568258190.1484,1784568259143,1784568261784.0,1784568261890.0142,952.852,2641.0,106.014,1784568201784.0,3699.866
tc-93-0,1784568254990.1538,1784568255993,1784568261784.0,1784568261890.0154,1002.846,5791.0,106.015,1784568201784.0,6899.862
tc-94-0,1784568255540.1467,1784568255993,1784568261784.0,1784568261890.016,452.853,5791.0,106.016,1784568201784.0,6349.869
tc-95-0,1784568251390.1438,1784568251793,1784568261784.0,1784568261890.0164,402.856,9991.0,106.016,1784568201784.0,10499.873
tc-96-0,1784568255090.1538,1784568255993,1784568261784.0,1784568261890.0168,902.846,5791.0,106.017,1784568201784.0,6799.863
tc-97-0,1784568258290.141,1784568259143,1784568261784.0,1784568261890.0632,852.859,2641.0,106.063,1784568201784.0,3599.922
tc-98-0,1784568251090.1484,1784568251793,1784568261784.0,1784568261890.0674,702.852,9991.0,106.067,1784568201784.0,10799.919
tc-99-0,1784568243940.16,1784568244443,1784568261784.0,1784568261890.0679,502.84,17341.0,106.068,1784568201784.0,17949.908
tc-0-60000,1784568283640.1423,1784568284344,1784568292376.0,1784568292427.8064,703.858,8032.0,51.806,1784568172376.0,8787.664
tc-1-60000,1784568277990.14,1784568278042,1784568292376.0,1784568292427.8206,51.86,14334.0,51.821,1784568172376.0,14437.681
tc-10-60000,1784568284340.1497,1784568284344,1784568292376.0,1784568292427.8215,3.85,8032.0,51.822,1784568172376.0,8087.672
tc-11-60000,1784568283340.1533,1784568284344,1784568292376.0,1784568292427.822,1003.847,8032.0,51.822,1784568172376.0,9087.669
