event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-0-0,1784614989248.7617,1784614989451,1784615031742.0,1784615031855.223,202.238,42291.0,113.223,1784614971742.0,42606.461
tc-1-0,1784614990748.7507,1784614991500,1784615031752.0,1784615031855.2266,751.249,40252.0,103.227,1784614971752.0,41106.476
tc-10-0,1784614986448.7556,1784614987352,1784615031752.0,1784615031855.2275,903.244,44400.0,103.228,1784614971752.0,45406.472
tc-11-0,1784614987948.757,1784614988400,1784615031753.0,1784615031855.2283,451.243,43353.0,102.228,1784614971753.0,43906.471
tc-12-0,1784614974348.7559,1784614974752,1784615031753.0,1784615031855.2292,403.244,57001.0,102.229,1784614971753.0,57506.473
tc-13-0,1784614989498.7493,1784614990499,1784615031753.0,1784615031855.23,1000.251,41254.0,102.23,1784614971753.0,42356.481
tc-14-0,1784614990398.763,1784614990499,1784615031753.0,1784615031855.2305,100.237,41254.0,102.23,1784614971753.0,41456.468
tc-15-0,1784614987348.7559,1784614987352,1784615031753.0,1784615031855.2363,3.244,44401.0,102.236,1784614971753.0,44506.48
tc-16-0,1784614990198.7534,1784614990499,1784615031753.0,1784615031855.2385,300.247,41254.0,102.239,1784614971753.0,41656.485
tc-17-0,1784614987748.7554,1784614988400,1784615031754.0,1784615031855.2395,651.245,43354.0,101.24,1784614971754.0,44106.484
tc-18-0,1784614984848.766,1784614985252,1784615031754.0,1784615031855.24,403.234,46502.0,101.24,1784614971754.0,47006.474
tc-19-0,1784614989548.765,1784614990499,1784615031754.0,1784615031855.2402,950.235,41255.0,101.24,1784614971754.0,42306.475
tc-2-0,1784614988998.753,1784614989451,1784615031754.0,1784615031855.2407,452.247,42303.0,101.241,1784614971754.0,42856.488
tc-20-0,1784614978948.754,1784614978951,1784615031754.0,1784615031855.2524,2.246,52803.0,101.252,1784614971754.0,52906.499
tc-21-0,1784614986848.776,1784614987352,1784615031755.0,1784615031855.2532,503.224,44403.0,100.253,1784614971755.0,45006.477
