event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-0-0,1784575046309.1292,1784575046511,1784575056901.0,1784575056989.7065,201.871,10390.0,88.707,1784574996901.0,10680.577
tc-1-0,1784575047809.1355,1784575048610,1784575056913.0,1784575056989.71,800.865,8303.0,76.71,1784574996913.0,9180.574
tc-10-0,1784575043509.1475,1784575044411,1784575056913.0,1784575056989.711,901.853,12502.0,76.711,1784574996913.0,13480.563
tc-11-0,1784575045009.1348,1784575045461,1784575056913.0,1784575056989.7117,451.865,11452.0,76.712,1784574996913.0,11980.577
tc-12-0,1784575031409.1362,1784575031811,1784575056913.0,1784575056989.7126,401.864,25102.0,76.713,1784574996913.0,25580.576
tc-13-0,1784575046559.1265,1784575047562,1784575056913.0,1784575056989.7134,1002.874,9351.0,76.713,1784574996913.0,10430.587
tc-14-0,1784575047459.1404,1784575047562,1784575056913.0,1784575056989.7139,102.86,9351.0,76.714,1784574996913.0,9530.573
tc-15-0,1784575044409.1362,1784575044411,1784575056913.0,1784575056989.7185,1.864,12502.0,76.719,1784574996913.0,12580.582
tc-16-0,1784575047259.1433,1784575047562,1784575056913.0,1784575056989.7312,302.857,9351.0,76.731,1784574996913.0,9730.588
tc-17-0,1784575044809.1445,1784575045461,1784575056913.0,1784575056989.7324,651.855,11452.0,76.732,1784574996913.0,12180.588
tc-18-0,1784575041909.151,1784575042312,1784575056913.0,1784575056989.7327,402.849,14601.0,76.733,1784574996913.0,15080.582
tc-19-0,1784575046609.142,1784575047562,1784575056914.0,1784575056989.7373,952.858,9352.0,75.737,1784574996914.0,10380.595
tc-2-0,1784575046059.1406,1784575046511,1784575056914.0,1784575056989.7375,451.859,10403.0,75.738,1784574996914.0,10930.597
tc-20-0,1784575036009.1377,1784575036012,1784575056914.0,1784575056989.738,2.862,20902.0,75.738,1784574996914.0,20980.6
tc-21-0,1784575043909.1362,1784575044411,1784575056914.0,1784575056989.7383,501.864,12503.0,75.738,1784574996914.0,13080.602
tc-22-0,1784575034309.1382,1784575034962,1784575056914.0,1784575056989.7388,652.862,21952.0,75.739,1784574996914.0,22680.601
tc-23-0,1784575029059.1318,1784575029711,1784575056914.0,1784575056989.7393,651.868,27203.0,75.739,1784574996914.0,27930.607
tc-24-0,1784575044859.102,1784575045461,1784575056914.0,1784575056989.7397,601.898,11453.0,75.74,1784574996914.0,12130.638
tc-25-0,1784575042259.165,1784575042312,1784575056914.0,1784575056989.7402,52.835,14602.0,75.74,1784574996914.0,14730.575
tc-26-0,1784575043459.1191,1784575044411,1784575056914.0,1784575056989.7405,951.881,12503.0,75.74,1784574996914.0,13530.621
tc-27-0,1784575045759.1316,1784575046511,1784575056914.0,1784575056989.741,751.868,10403.0,75.741,1784574996914.0,11230.609
tc-28-0,1784575047709.1338,1784575048610,1784575056914.0,1784575056989.7412,900.866,8304.0,75.741,1784574996914.0,9280.607
tc-29-0,1784575038259.1348,1784575039161,1784575056914.0,1784575056989.7417,901.865,17753.0,75.742,1784574996914.0,18730.607
tc-3-0,1784575043259.1458,1784575043362,1784575056914.0,1784575056989.7495,102.854,13552.0,75.75,1784574996914.0,13730.604
tc-30-0,1784575045059.1333,1784575045461,1784575056914.0,1784575056989.75,401.867,11453.0,75.75,1784574996914.0,11930.617
tc-31-0,1784575045859.133,1784575046511,1784575056914.0,1784575056989.8071,651.867,10403.0,75.807,1784574996914.0,11130.674
tc-32-0,1784575047309.133,1784575047562,1784575056914.0,1784575056989.8079,252.867,9352.0,75.808,1784574996914.0,9680.675
tc-33-0,1784575045109.1306,1784575045461,1784575056914.0,1784575056989.809,351.869,11453.0,75.809,1784574996914.0,11880.678
tc-34-0,1784575045809.131,1784575046511,1784575056915.0,1784575056989.8096,701.869,10404.0,74.81,1784574996915.0,11180.678
tc-35-0,1784575045559.1304,1784575046511,1784575056915.0,1784575056989.8098,951.87,10404.0,74.81,1784574996915.0,11430.679
tc-36-0,1784575044009.545,1784575044411,1784575056915.0,1784575056989.861,401.455,12504.0,74.861,1784574996915.0,12980.316
tc-37-0,1784575040809.1423,1784575041261,1784575056915.0,1784575056989.8623,451.858,15654.0,74.862,1784574996915.0,16180.72
tc-38-0,1784575047859.187,1784575048610,1784575056915.0,1784575056989.8628,750.813,8305.0,74.863,1784574996915.0,9130.676
tc-39-0,1784575046009.137,1784575046511,1784575056915.0,1784575056989.8638,501.863,10404.0,74.864,1784574996915.0,10980.727
tc-4-0,1784575047159.1365,1784575047562,1784575056915.0,1784575056989.864,402.864,9353.0,74.864,1784574996915.0,9830.728
tc-40-0,1784575042009.4094,1784575042312,1784575056915.0,1784575056989.8645,302.591,14603.0,74.865,1784574996915.0,14980.455
tc-41-0,1784575042109.1426,1784575042312,1784575056915.0,1784575056989.8647,202.857,14603.0,74.865,1784574996915.0,14880.722
tc-42-0,1784575044709.1282,1784575045461,1784575056915.0,1784575056989.871,751.872,11454.0,74.871,1784574996915.0,12280.743
tc-43-0,1784575045459.1375,1784575045461,1784575056915.0,1784575056989.8716,1.863,11454.0,74.872,1784574996915.0,11530.734
tc-44-0,1784575041959.1313,1784575042312,1784575056915.0,1784575056989.872,352.869,14603.0,74.872,1784574996915.0,15030.741
tc-45-0,1784575036359.13,1784575037062,1784575056915.0,1784575056989.9685,702.87,19853.0,74.969,1784574996915.0,20630.839
tc-46-0,1784575045609.1294,1784575046511,1784575056915.0,1784575056989.9744,901.871,10404.0,74.974,1784574996915.0,11380.845
tc-47-0,1784575043159.108,1784575043362,1784575056915.0,1784575056989.9749,202.892,13553.0,74.975,1784574996915.0,13830.867
tc-48-0,1784575045409.133,1784575045461,1784575056915.0,1784575056989.9753,51.867,11454.0,74.975,1784574996915.0,11580.842
tc-49-0,1784575047659.1355,1784575048610,1784575056915.0,1784575056989.9758,950.865,8305.0,74.976,1784574996915.0,9330.84
tc-5-0,1784575047009.1404,1784575047562,1784575056915.0,1784575056989.976,552.86,9353.0,74.976,1784574996915.0,9980.836
tc-50-0,1784575046359.1304,1784575046511,1784575056915.0,1784575056989.9763,151.87,10404.0,74.976,1784574996915.0,10630.846
tc-51-0,1784575045909.1277,1784575046511,1784575056916.0,1784575056989.9768,601.872,10405.0,73.977,1784574996916.0,11080.849
tc-52-0,1784575045309.1267,1784575045461,1784575056916.0,1784575056989.977,151.873,11455.0,73.977,1784574996916.0,11680.85
tc-53-0,1784575043959.1262,1784575044411,1784575056916.0,1784575056989.9775,451.874,12505.0,73.978,1784574996916.0,13030.851
tc-54-0,1784575043210.8823,1784575043362,1784575056916.0,1784575056989.9778,151.118,13554.0,73.978,1784574996916.0,13779.095
tc-55-0,1784575022209.137,1784575022365,1784575056916.0,1784575056990.0176,155.863,34551.0,74.018,1784574996916.0,34780.881
tc-56-0,1784575032009.138,1784575032862,1784575056916.0,1784575056990.0186,852.862,24054.0,74.019,1784574996916.0,24980.881
tc-57-0,1784575046509.1287,1784575046511,1784575056916.0,1784575056990.0198,1.871,10405.0,74.02,1784574996916.0,10480.891
tc-58-0,1784575046909.1375,1784575047562,1784575056916.0,1784575056990.0315,652.863,9354.0,74.031,1784574996916.0,10080.894
tc-59-0,1784575046459.1277,1784575046511,1784575056916.0,1784575056990.032,51.872,10405.0,74.032,1784574996916.0,10530.904
tc-6-0,1784575043809.1626,1784575044411,1784575056916.0,1784575056990.0325,601.837,12505.0,74.032,1784574996916.0,13180.87
tc-60-0,1784575046209.13,1784575046511,1784575056916.0,1784575056990.0327,301.87,10405.0,74.033,1784574996916.0,10780.903
tc-61-0,1784575044309.134,1784575044411,1784575056916.0,1784575056990.0874,101.866,12505.0,74.087,1784574996916.0,12680.953
tc-62-0,1784575041759.134,1784575042312,1784575056916.0,1784575056990.0881,552.866,14604.0,74.088,1784574996916.0,15230.954
tc-63-0,1784575044609.1467,1784575045461,1784575056916.0,1784575056990.0886,851.853,11455.0,74.089,1784574996916.0,12380.942
tc-64-0,1784575044559.1343,1784575045461,1784575056916.0,1784575056990.089,901.866,11455.0,74.089,1784574996916.0,12430.955
tc-65-0,1784575043059.1443,1784575043362,1784575056916.0,1784575056990.0894,302.856,13554.0,74.089,1784574996916.0,13930.945
tc-66-0,1784575046659.139,1784575047562,1784575056916.0,1784575056990.1787,902.861,9354.0,74.179,1784574996916.0,10331.04
tc-67-0,1784575047559.1404,1784575047562,1784575056916.0,1784575056990.1794,2.86,9354.0,74.179,1784574996916.0,9431.039
tc-68-0,1784575038959.1348,1784575039161,1784575056916.0,1784575056990.1802,201.865,17755.0,74.18,1784574996916.0,18031.045
tc-69-0,1784575034909.1365,1784575034962,1784575056917.0,1784575056990.1807,52.864,21955.0,73.181,1784574996917.0,22081.044
tc-7-0,1784575045509.132,1784575046511,1784575056917.0,1784575056990.2725,1001.868,10406.0,73.272,1784574996917.0,11481.14
tc-70-0,1784575046959.1333,1784575047562,1784575056917.0,1784575056990.2732,602.867,9355.0,73.273,1784574996917.0,10031.14
tc-71-0,1784575030509.1338,1784575030762,1784575056917.0,1784575056990.2734,252.866,26155.0,73.273,1784574996917.0,26481.14
tc-72-0,1784575047109.1465,1784575047562,1784575056917.0,1784575056990.274,452.854,9355.0,73.274,1784574996917.0,9881.127
tc-73-0,1784575021309.136,1784575021313,1784575056917.0,1784575056990.2742,3.864,35604.0,73.274,1784574996917.0,35681.138
tc-74-0,1784575047609.1367,1784575048610,1784575056917.0,1784575056990.2744,1000.863,8307.0,73.274,1784574996917.0,9381.138
tc-75-0,1784575046259.1414,1784575046511,1784575056917.0,1784575056990.275,251.859,10406.0,73.275,1784574996917.0,10731.134
tc-76-0,1784575047759.149,1784575048610,1784575056917.0,1784575056990.2751,850.851,8307.0,73.275,1784574996917.0,9231.126
tc-77-0,1784575041309.1372,1784575042312,1784575056917.0,1784575056990.282,1002.863,14605.0,73.282,1784574996917.0,15681.145
tc-78-0,1784575039709.1318,1784575040211,1784575056917.0,1784575056990.324,501.868,16706.0,73.324,1784574996917.0,17281.192
tc-79-0,1784575032159.133,1784575032862,1784575056917.0,1784575056990.3257,702.867,24055.0,73.326,1784574996917.0,24831.193
tc-8-0,1784575042459.132,1784575043362,1784575056917.0,1784575056990.384,902.868,13555.0,73.384,1784574996917.0,14531.252
tc-80-0,1784575041359.1318,1784575042312,1784575056917.0,1784575056990.385,952.868,14605.0,73.385,1784574996917.0,15631.253
tc-81-0,1784575047359.1284,1784575047562,1784575056917.0,1784575056990.3855,202.872,9355.0,73.385,1784574996917.0,9631.257
tc-82-0,1784575046809.1294,1784575047562,1784575056917.0,1784575056990.3857,752.871,9355.0,73.386,1784574996917.0,10181.256
tc-83-0,1784575044160.658,1784575044411,1784575056917.0,1784575056990.3862,250.342,12506.0,73.386,1784574996917.0,12829.728
tc-84-0,1784575042859.1401,1784575043362,1784575056917.0,1784575056990.3865,502.86,13555.0,73.386,1784574996917.0,14131.246
tc-85-0,1784575044359.1338,1784575044411,1784575056917.0,1784575056990.6353,51.866,12506.0,73.635,1784574996917.0,12631.501
tc-86-0,1784575040359.13,1784575041261,1784575056917.0,1784575056990.6362,901.87,15656.0,73.636,1784574996917.0,16631.506
tc-87-0,1784575046709.1323,1784575047562,1784575056917.0,1784575056990.6416,852.868,9355.0,73.642,1784574996917.0,10281.509
tc-88-0,1784575040309.1323,1784575041261,1784575056918.0,1784575056990.6423,951.868,15657.0,72.642,1784574996918.0,16681.51
tc-89-0,1784575047409.1318,1784575047562,1784575056918.0,1784575056990.6426,152.868,9356.0,72.643,1784574996918.0,9581.511
tc-9-0,1784575047509.5442,1784575047562,1784575056918.0,1784575056990.643,52.456,9356.0,72.643,1784574996918.0,9481.099
tc-90-0,1784575046159.134,1784575046511,1784575056918.0,1784575056990.6436,351.866,10407.0,72.644,1784574996918.0,10831.51
tc-91-0,1784575047209.1357,1784575047562,1784575056918.0,1784575056990.6438,352.864,9356.0,72.644,1784574996918.0,9781.508
tc-92-0,1784575046759.1353,1784575047562,1784575056918.0,1784575056990.6443,802.865,9356.0,72.644,1784574996918.0,10231.509
tc-93-0,1784575043559.1365,1784575044411,1784575056918.0,1784575056990.645,851.864,12507.0,72.645,1784574996918.0,13431.509
tc-94-0,1784575044109.1335,1784575044411,1784575056918.0,1784575056990.6455,301.866,12507.0,72.646,1784574996918.0,12881.512
tc-95-0,1784575039959.1318,1784575040211,1784575056918.0,1784575056990.6458,251.868,16707.0,72.646,1784574996918.0,17031.514
tc-96-0,1784575043659.138,1784575044411,1784575056918.0,1784575056990.6462,751.862,12507.0,72.646,1784574996918.0,13331.508
tc-97-0,1784575046859.1428,1784575047562,1784575056918.0,1784575056990.6465,702.857,9356.0,72.646,1784574996918.0,10131.504
tc-98-0,1784575039659.1357,1784575040211,1784575056918.0,1784575056990.647,551.864,16707.0,72.647,1784574996918.0,17331.511
tc-99-0,1784575032509.1348,1784575032862,1784575056918.0,1784575056990.6472,352.865,24056.0,72.647,1784574996918.0,24481.512
tc-0-60000,1784575072209.132,1784575072762,1784575080103.0,1784575080139.8354,552.868,7341.0,36.835,1784574960103.0,7930.703
tc-1-60000,1784575066559.1375,1784575067512,1784575080103.0,1784575080139.8513,952.863,12591.0,36.851,1784574960103.0,13580.714
tc-10-60000,1784575072909.1372,1784575073811,1784575080103.0,1784575080139.8525,901.863,6292.0,36.853,1784574960103.0,7230.715
tc-11-60000,1784575071909.1414,1784575072762,1784575080103.0,1784575080139.8535,852.859,7341.0,36.854,1784574960103.0,8230.712
tc-12-60000,1784575073109.132,1784575073811,1784575080103.0,1784575080139.8542,701.868,6292.0,36.854,1784574960103.0,7030.722
tc-13-60000,1784575077609.1313,1784575078011,1784575080103.0,1784575080140.479,401.869,2092.0,37.479,1784574960103.0,2531.348
tc-14-60000,1784575072809.1328,1784575073811,1784575080103.0,1784575080140.4807,1001.867,6292.0,37.481,1784574960103.0,7331.348
tc-15-60000,1784575076709.1394,1784575076961,1784575080103.0,1784575080140.4817,251.861,3142.0,37.482,1784574960103.0,3431.342
tc-16-60000,1784575070809.136,1784575071711,1784575080103.0,1784575080140.4822,901.864,8392.0,37.482,1784574960103.0,9331.346
tc-17-60000,1784575065409.1382,1784575065411,1784575080103.0,1784575080140.4854,1.862,14692.0,37.485,1784574960103.0,14731.347
tc-18-60000,1784575076009.1472,1784575076961,1784575080104.0,1784575080140.486,951.853,3143.0,36.486,1784574960104.0,4131.339
tc-19-60000,1784575075309.1338,1784575075912,1784575080104.0,1784575080140.4868,602.866,4192.0,36.487,1784574960104.0,4831.353
tc-2-60000,1784575071059.131,1784575071711,1784575080104.0,1784575080140.5242,651.869,8393.0,36.524,1784574960104.0,9081.393
tc-20-60000,1784575077059.1387,1784575078011,1784575080104.0,1784575080140.5261,951.861,2093.0,36.526,1784574960104.0,3081.387
tc-21-60000,1784575075159.1377,1784575075912,1784575080104.0,1784575080140.527,752.862,4192.0,36.527,1784574960104.0,4981.389
tc-22-60000,1784575064009.132,1784575064362,1784575080104.0,1784575080140.528,352.868,15742.0,36.528,1784574960104.0,16131.396
tc-23-60000,1784575077359.1338,1784575078011,1784575080104.0,1784575080140.5288,651.866,2093.0,36.529,1784574960104.0,2781.395
tc-24-60000,1784575075059.133,1784575075912,1784575080104.0,1784575080140.5298,852.867,4192.0,36.53,1784574960104.0,5081.397
tc-25-60000,1784575077809.134,1784575078011,1784575080104.0,1784575080140.5303,201.866,2093.0,36.53,1784574960104.0,2331.396
tc-26-60000,1784575075609.1445,1784575075912,1784575080104.0,1784575080140.531,302.855,4192.0,36.531,1784574960104.0,4531.386
tc-27-60000,1784575077709.1382,1784575078011,1784575080104.0,1784575080140.532,301.862,2093.0,36.532,1784574960104.0,2431.394
tc-28-60000,1784575075859.14,1784575075912,1784575080104.0,1784575080140.5327,52.86,4192.0,36.533,1784574960104.0,4281.393
tc-29-60000,1784575076609.1409,1784575076961,1784575080104.0,1784575080140.5334,351.859,3143.0,36.533,1784574960104.0,3531.393
tc-3-60000,1784575069709.1328,1784575070661,1784575080104.0,1784575080140.5342,951.867,9443.0,36.534,1784574960104.0,10431.401
tc-30-60000,1784575068409.1409,1784575068561,1784575080104.0,1784575080140.535,151.859,11543.0,36.535,1784574960104.0,11731.394
tc-31-60000,1784575074809.1274,1784575074861,1784575080104.0,1784575080140.5356,51.873,5243.0,36.536,1784574960104.0,5331.408
tc-32-60000,1784575077659.1345,1784575078011,1784575080104.0,1784575080140.5364,351.865,2093.0,36.536,1784574960104.0,2481.402
tc-33-60000,1784575076809.133,1784575076961,1784575080104.0,1784575080140.651,151.867,3143.0,36.651,1784574960104.0,3331.518
tc-34-60000,1784575074609.1338,1784575074861,1784575080105.0,1784575080140.6526,251.866,5244.0,35.653,1784574960105.0,5531.519
tc-35-60000,1784575075459.1348,1784575075912,1784575080105.0,1784575080140.6733,452.865,4193.0,35.673,1784574960105.0,4681.539
tc-36-60000,1784575072109.1343,1784575072762,1784575080105.0,1784575080140.6743,652.866,7343.0,35.674,1784574960105.0,8031.54
tc-37-60000,1784575055559.1333,1784575055961,1784575080105.0,1784575080140.675,401.867,24144.0,35.675,1784574960105.0,24581.542
tc-38-60000,1784575075409.142,1784575075912,1784575080105.0,1784575080140.6758,502.858,4193.0,35.676,1784574960105.0,4731.534
tc-39-60000,1784575069209.1345,1784575069612,1784575080105.0,1784575080140.6765,402.865,10493.0,35.677,1784574960105.0,10931.542
tc-4-60000,1784575075709.142,1784575075912,1784575080105.0,1784575080140.677,202.858,4193.0,35.677,1784574960105.0,4431.535
tc-40-60000,1784575070959.146,1784575071711,1784575080105.0,1784575080140.6777,751.854,8394.0,35.678,1784574960105.0,9181.532
tc-41-60000,1784575075009.1343,1784575075912,1784575080105.0,1784575080140.6887,902.866,4193.0,35.689,1784574960105.0,5131.554
tc-42-60000,1784575074409.14,1784575074861,1784575080105.0,1784575080140.6895,451.86,5244.0,35.689,1784574960105.0,5731.55
tc-43-60000,1784575056309.1404,1784575057011,1784575080105.0,1784575080140.69,701.86,23094.0,35.69,1784574960105.0,23831.55
tc-44-60000,1784575077859.138,1784575078011,1784575080105.0,1784575080140.6904,151.862,2094.0,35.69,1784574960105.0,2281.552
tc-45-60000,1784575057609.1323,1784575058061,1784575080105.0,1784575080140.8904,451.868,22044.0,35.89,1784574960105.0,22531.758
tc-46-60000,1784575070109.1377,1784575070661,1784575080105.0,1784575080140.894,551.862,9444.0,35.894,1784574960105.0,10031.756
