event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-0-0,1784527205462.1802,1784527205764,1784527246852.0,1784527246996.1968,301.82,41088.0,144.197,1784527186852.0,41534.017
tc-1-0,1784527206962.1873,1784527207864,1784527246860.0,1784527246996.2012,901.813,38996.0,136.201,1784527186860.0,40034.014
tc-10-0,1784527202662.1782,1784527203665,1784527246861.0,1784527246996.2021,1002.822,43196.0,135.202,1784527186861.0,44334.024
tc-11-0,1784527204162.1797,1784527204714,1784527246861.0,1784527246996.2031,551.82,42147.0,135.203,1784527186861.0,42834.023
tc-12-0,1784527190562.1848,1784527191065,1784527246861.0,1784527246996.204,502.815,55796.0,135.204,1784527186861.0,56434.019
tc-13-0,1784527205712.1807,1784527205764,1784527246861.0,1784527246996.205,51.819,41097.0,135.205,1784527186861.0,41284.024
tc-14-0,1784527206612.18,1784527206814,1784527246861.0,1784527246996.2058,201.82,40047.0,135.206,1784527186861.0,40384.026
tc-15-0,1784527203562.1755,1784527203665,1784527246861.0,1784527246996.2114,102.824,43196.0,135.211,1784527186861.0,43434.036
tc-16-0,1784527206412.1833,1784527206814,1784527246861.0,1784527246996.2134,401.817,40047.0,135.213,1784527186861.0,40584.03
tc-17-0,1784527203962.1907,1784527204714,1784527246862.0,1784527246996.2148,751.809,42148.0,134.215,1784527186862.0,43034.024
tc-18-0,1784527201062.1858,1784527201564,1784527246862.0,1784527246996.2158,501.814,45298.0,134.216,1784527186862.0,45934.03
tc-19-0,1784527205762.1777,1784527205764,1784527246862.0,1784527246996.2307,1.822,41098.0,134.231,1784527186862.0,41234.053
tc-2-0,1784527205212.1743,1784527205764,1784527246862.0,1784527246996.2317,551.826,41098.0,134.232,1784527186862.0,41784.057
tc-20-0,1784527195162.1753,1784527195264,1784527246862.0,1784527246996.2551,101.825,51598.0,134.255,1784527186862.0,51834.08
tc-21-0,1784527203062.1833,1784527203665,1784527246862.0,1784527246996.256,602.817,43197.0,134.256,1784527186862.0,43934.073
tc-22-0,1784527193462.185,1784527194213,1784527246863.0,1784527246996.2568,750.815,52650.0,133.257,1784527186863.0,53534.072
tc-23-0,1784527188212.1785,1784527188965,1784527246863.0,1784527246996.2576,752.822,57898.0,133.258,1784527186863.0,58784.079
tc-24-0,1784527204012.1875,1784527204714,1784527246863.0,1784527246996.2588,701.812,42149.0,133.259,1784527186863.0,42984.071
tc-25-0,1784527201412.1936,1784527201564,1784527246863.0,1784527246996.2595,151.806,45299.0,133.26,1784527186863.0,45584.066
tc-26-0,1784527202612.176,1784527202615,1784527246863.0,1784527246996.2605,2.824,44248.0,133.26,1784527186863.0,44384.084
tc-27-0,1784527204912.1814,1784527205764,1784527246863.0,1784527246996.2983,851.819,41099.0,133.298,1784527186863.0,42084.117
tc-28-0,1784527206862.1826,1784527207864,1784527246863.0,1784527246996.2993,1001.817,38999.0,133.299,1784527186863.0,40134.117
tc-29-0,1784527197412.2043,1784527198414,1784527246863.0,1784527246996.3064,1001.796,48449.0,133.306,1784527186863.0,49584.102
tc-3-0,1784527202412.1807,1784527202615,1784527246863.0,1784527246996.3071,202.819,44248.0,133.307,1784527186863.0,44584.126
tc-30-0,1784527204212.182,1784527204714,1784527246864.0,1784527246996.4448,501.818,42150.0,132.445,1784527186864.0,42784.263
tc-31-0,1784527205012.181,1784527205764,1784527246864.0,1784527246996.4604,751.819,41100.0,132.46,1784527186864.0,41984.28
tc-32-0,1784527206462.176,1784527206814,1784527246864.0,1784527246996.4614,351.824,40050.0,132.461,1784527186864.0,40534.285
tc-33-0,1784527204262.1887,1784527204714,1784527246864.0,1784527246996.4631,451.811,42150.0,132.463,1784527186864.0,42734.274
tc-34-0,1784527204962.1833,1784527205764,1784527246864.0,1784527246996.479,801.817,41100.0,132.479,1784527186864.0,42034.296
tc-35-0,1784527204712.1838,1784527204714,1784527246864.0,1784527246996.48,1.816,42150.0,132.48,1784527186864.0,42284.296
tc-36-0,1784527203162.1804,1784527203665,1784527246864.0,1784527246996.4812,502.82,43199.0,132.481,1784527186864.0,43834.301
tc-37-0,1784527199962.1826,1784527200515,1784527246865.0,1784527246996.4822,552.817,46350.0,131.482,1784527186865.0,47034.3
tc-38-0,1784527207012.1758,1784527207864,1784527246865.0,1784527246996.483,851.824,39001.0,131.483,1784527186865.0,39984.307
tc-39-0,1784527205162.1707,1784527205764,1784527246865.0,1784527246996.491,601.829,41101.0,131.491,1784527186865.0,41834.32
tc-4-0,1784527206312.1804,1784527206814,1784527246865.0,1784527246996.4917,501.82,40051.0,131.492,1784527186865.0,40684.311
tc-40-0,1784527201162.178,1784527201564,1784527246865.0,1784527246996.5178,401.822,45301.0,131.518,1784527186865.0,45834.34
tc-41-0,1784527201262.1838,1784527201564,1784527246865.0,1784527246996.5637,301.816,45301.0,131.564,1784527186865.0,45734.38
tc-42-0,1784527203862.1726,1784527204714,1784527246865.0,1784527246996.5698,851.827,42151.0,131.57,1784527186865.0,43134.397
tc-43-0,1784527204612.1921,1784527204714,1784527246865.0,1784527246996.629,101.808,42151.0,131.629,1784527186865.0,42384.437
tc-44-0,1784527201112.1804,1784527201564,1784527246866.0,1784527246996.6304,451.82,45302.0,130.63,1784527186866.0,45884.45
tc-45-0,1784527195512.1772,1784527196314,1784527246866.0,1784527246996.6316,801.823,50552.0,130.632,1784527186866.0,51484.454
tc-46-0,1784527204762.18,1784527205764,1784527246866.0,1784527246996.6492,1001.82,41102.0,130.649,1784527186866.0,42234.469
tc-47-0,1784527202312.1807,1784527202615,1784527246866.0,1784527246996.6501,302.819,44251.0,130.65,1784527186866.0,44684.469
tc-48-0,1784527204562.1812,1784527204714,1784527246866.0,1784527246996.6511,151.819,42152.0,130.651,1784527186866.0,42434.47
tc-49-0,1784527206812.1794,1784527206814,1784527246866.0,1784527246996.6577,1.821,40052.0,130.658,1784527186866.0,40184.478
tc-5-0,1784527206162.181,1784527206814,1784527246866.0,1784527246996.6873,651.819,40052.0,130.687,1784527186866.0,40834.506
tc-50-0,1784527205512.185,1784527205764,1784527246866.0,1784527246996.6882,251.815,41102.0,130.688,1784527186866.0,41484.503
tc-51-0,1784527205062.1892,1784527205764,1784527246867.0,1784527246996.6892,701.811,41103.0,129.689,1784527186867.0,41934.5
tc-52-0,1784527204462.1865,1784527204714,1784527246867.0,1784527246996.69,251.813,42153.0,129.69,1784527186867.0,42534.503
tc-53-0,1784527203112.1702,1784527203665,1784527246867.0,1784527246996.739,552.83,43202.0,129.739,1784527186867.0,43884.569
tc-54-0,1784527202362.1963,1784527202615,1784527246867.0,1784527246996.7397,252.804,44252.0,129.74,1784527186867.0,44634.543
tc-55-0,1784527181362.2002,1784527181616,1784527246867.0,1784527246996.7407,253.8,65251.0,129.741,1784527186867.0,65634.541
tc-56-0,1784527191162.1738,1784527192115,1784527246867.0,1784527246996.7412,952.826,54752.0,129.741,1784527186867.0,55834.567
tc-57-0,1784527205662.1812,1784527205764,1784527246867.0,1784527246996.7554,101.819,41103.0,129.755,1784527186867.0,41334.574
tc-58-0,1784527206062.1785,1784527206814,1784527246867.0,1784527246996.7625,751.822,40053.0,129.762,1784527186867.0,40934.584
tc-59-0,1784527205612.1746,1784527205764,1784527246867.0,1784527246996.8796,151.825,41103.0,129.88,1784527186867.0,41384.705
tc-6-0,1784527202962.185,1784527203665,1784527246868.0,1784527246996.8813,702.815,43203.0,128.881,1784527186868.0,44034.696
tc-60-0,1784527205362.1816,1784527205764,1784527246868.0,1784527246996.8828,401.818,41104.0,128.883,1784527186868.0,41634.701
tc-61-0,1784527203462.1729,1784527203665,1784527246868.0,1784527246996.8838,202.827,43203.0,128.884,1784527186868.0,43534.711
tc-62-0,1784527200912.1824,1784527201564,1784527246868.0,1784527246996.8848,651.818,45304.0,128.885,1784527186868.0,46084.702
tc-63-0,1784527203762.1829,1784527204714,1784527246868.0,1784527246996.8857,951.817,42154.0,128.886,1784527186868.0,43234.703
tc-64-0,1784527203712.1794,1784527204714,1784527246868.0,1784527246996.9385,1001.821,42154.0,128.938,1784527186868.0,43284.759
tc-65-0,1784527202212.1843,1784527202615,1784527246868.0,1784527246996.9402,402.816,44253.0,128.94,1784527186868.0,44784.756
tc-66-0,1784527205812.1853,1784527206814,1784527246868.0,1784527246997.0295,1001.815,40054.0,129.03,1784527186868.0,41184.844
tc-67-0,1784527206712.1743,1784527206814,1784527246869.0,1784527246997.0308,101.826,40055.0,128.031,1784527186869.0,40284.856
tc-68-0,1784527198112.1775,1784527198414,1784527246869.0,1784527246997.0322,301.823,48455.0,128.032,1784527186869.0,48884.855
tc-69-0,1784527194062.1907,1784527194213,1784527246869.0,1784527246997.0337,150.809,52656.0,128.034,1784527186869.0,52934.843
tc-7-0,1784527204662.1877,1784527204714,1784527246869.0,1784527246997.0613,51.812,42155.0,128.061,1784527186869.0,42334.874
tc-70-0,1784527206112.1824,1784527206814,1784527246869.0,1784527246997.0623,701.818,40055.0,128.062,1784527186869.0,40884.88
tc-71-0,1784527189662.1814,1784527190014,1784527246869.0,1784527246997.081,351.819,56855.0,128.081,1784527186869.0,57334.9
tc-72-0,1784527206262.177,1784527206814,1784527246869.0,1784527246997.0818,551.823,40055.0,128.082,1784527186869.0,40734.905
tc-73-0,1784527180462.1912,1784527180565,1784527246869.0,1784527246997.131,102.809,66304.0,128.131,1784527186869.0,66534.94
tc-74-0,1784527206762.1792,1784527206814,1784527246870.0,1784527246997.1326,51.821,40056.0,127.133,1784527186870.0,40234.953
tc-75-0,1784527205412.1765,1784527205764,1784527246870.0,1784527246997.133,351.823,41106.0,127.133,1784527186870.0,41584.957
tc-76-0,1784527206912.1787,1784527207864,1784527246870.0,1784527246997.241,951.821,39006.0,127.241,1784527186870.0,40085.062
tc-77-0,1784527200462.1863,1784527200515,1784527246870.0,1784527246997.252,52.814,46355.0,127.252,1784527186870.0,46535.066
tc-78-0,1784527198862.1829,1784527199465,1784527246870.0,1784527246997.253,602.817,47405.0,127.253,1784527186870.0,48135.07
tc-79-0,1784527191312.1726,1784527192115,1784527246870.0,1784527246997.2551,802.827,54755.0,127.255,1784527186870.0,55685.083
tc-8-0,1784527201612.1826,1784527202615,1784527246870.0,1784527246997.2563,1002.817,44255.0,127.256,1784527186870.0,45385.074
tc-80-0,1784527200512.1873,1784527200515,1784527246870.0,1784527246997.2573,2.813,46355.0,127.257,1784527186870.0,46485.07
tc-81-0,1784527206512.1768,1784527206814,1784527246870.0,1784527246997.2732,301.823,40056.0,127.273,1784527186870.0,40485.096
tc-82-0,1784527205962.1775,1784527206814,1784527246871.0,1784527246997.2742,851.823,40057.0,126.274,1784527186871.0,41035.097
tc-83-0,1784527203312.1748,1784527203665,1784527246871.0,1784527246997.275,352.825,43206.0,126.275,1784527186871.0,43685.1
tc-84-0,1784527202012.183,1784527202615,1784527246871.0,1784527246997.3142,602.817,44256.0,126.314,1784527186871.0,44985.131
tc-85-0,1784527203512.175,1784527203665,1784527246871.0,1784527246997.3667,152.825,43206.0,126.367,1784527186871.0,43485.192
tc-86-0,1784527199512.1826,1784527200515,1784527246871.0,1784527246997.3682,1002.817,46356.0,126.368,1784527186871.0,47485.186
tc-87-0,1784527205862.1802,1784527206814,1784527246871.0,1784527246997.3867,951.82,40057.0,126.387,1784527186871.0,41135.207
tc-88-0,1784527199462.1868,1784527199465,1784527246871.0,1784527246997.3875,2.813,47406.0,126.387,1784527186871.0,47535.201
