timestamp_ms,topic,lag
1784623474047,bench-w3-latency-input,0
1784623481049,bench-w3-latency-input,0
1784623481049,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,203
1784623487957,bench-w3-latency-input,101
1784623487957,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,203
1784623495056,bench-w3-latency-input,101
1784623495056,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,204
1784623501871,bench-w3-latency-input,101
1784623501871,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,203
1784623508799,bench-w3-latency-input,101
1784623508799,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,102
1784623515710,bench-w3-latency-input,0
1784623515710,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,102
1784623522595,bench-w3-latency-input,101
1784623522595,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,203
1784623529406,bench-w3-latency-input,101
1784623529406,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,203
1784623536318,bench-w3-latency-input,0
1784623536318,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623543157,bench-w3-latency-input,0
1784623543157,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623550046,bench-w3-latency-input,0
1784623550046,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623556891,bench-w3-latency-input,0
1784623556891,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623563777,bench-w3-latency-input,0
1784623563777,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623570715,bench-w3-latency-input,0
1784623570715,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623577539,bench-w3-latency-input,0
1784623577539,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623584424,bench-w3-latency-input,0
1784623584424,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623591304,bench-w3-latency-input,0
1784623591304,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623598221,bench-w3-latency-input,0
1784623598221,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623605117,bench-w3-latency-input,0
1784623605117,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623611985,bench-w3-latency-input,0
1784623611985,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623618889,bench-w3-latency-input,0
1784623618889,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623625756,bench-w3-latency-input,0
1784623625756,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623632611,bench-w3-latency-input,0
1784623632611,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623639474,bench-w3-latency-input,0
1784623639474,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623646369,bench-w3-latency-input,0
1784623646369,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623653245,bench-w3-latency-input,0
1784623653245,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623660132,bench-w3-latency-input,0
1784623660132,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623666896,bench-w3-latency-input,0
1784623666896,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623673775,bench-w3-latency-input,0
1784623673775,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
1784623680610,bench-w3-latency-input,0
1784623680610,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial1-tumbling-count-store-repartition,0
