engine,workload,failure_mode,trials,passed_trials,median_p99_total_ms,median_p99_t1_t0_ms,median_p99_t2_t1_ms,median_p99_t3_t2_ms
flink,identity,broker,1,1,2323.333,1489.048,125.0,1065.306
flink,identity,broker_kill,5,5,2442.643,1454.591,99.0,1120.593
flink,identity,changelog,1,1,2568.458,1798.46,115.0,1075.387
flink,identity,changelog_restore,5,5,2321.526,1445.075,96.0,1078.62
flink,identity,jvm,1,1,10917.44,1862.086,10305.0,1118.757
flink,identity,jvm_kill,5,5,11071.154,1458.636,10191.0,1071.656
flink,identity,kraft,1,1,2342.289,1596.31,78.0,1104.319
flink,identity,kraft_failover,5,5,2331.281,1401.791,110.0,1061.554
flink,identity,node,1,1,10376.616,1825.041,9556.0,1139.172
flink,identity,node_loss,5,5,11334.636,1416.772,10465.0,1071.617
flink,identity,s3,1,1,10793.615,1606.144,10106.0,1036.746
flink,identity,s3_throttling,5,5,10751.446,1412.119,9544.0,10442.666
kafka_streams,identity,broker,1,1,2063.339,1594.694,61.0,834.607
kafka_streams,identity,broker_kill,5,5,2558.769,1413.392,67.0,1118.016
kafka_streams,identity,changelog,1,1,1997.848,1543.82,59.0,437.479
kafka_streams,identity,changelog_restore,5,5,2413.475,1410.638,64.0,968.012
kafka_streams,identity,jvm,1,1,43540.175,1474.199,42373.0,1136.974
kafka_streams,identity,jvm_kill,5,5,44663.921,1419.843,43554.0,1088.912
kafka_streams,identity,kraft,1,1,2901.506,1591.074,279.0,1077.924
kafka_streams,identity,kraft_failover,5,5,2116.25,1392.793,62.0,978.77
kafka_streams,identity,node,1,1,43184.776,1472.06,42202.0,1046.782
kafka_streams,identity,node_loss,5,5,44050.919,1428.633,42939.0,1073.455
kafka_streams,identity,s3,1,1,2036.042,1521.352,71.0,1032.651
kafka_streams,identity,s3_throttling,5,5,2385.796,1449.905,61.0,1039.135
flink,sliding_sum,broker,1,1,21878.263,1002.769,20850.0,786.26
flink,sliding_sum,broker_kill,5,5,21731.719,1001.808,21095.0,778.269
flink,sliding_sum,changelog,1,1,21806.153,1001.477,20828.0,915.736
flink,sliding_sum,changelog_restore,5,5,21876.046,1002.388,21077.0,999.302
flink,sliding_sum,jvm,1,1,19563.717,1001.683,18071.0,985.676
flink,sliding_sum,jvm_kill,5,5,22177.133,1001.595,21123.0,935.761
flink,sliding_sum,kraft,1,1,22012.82,1002.163,20870.0,815.582
flink,sliding_sum,kraft_failover,5,5,21901.447,1002.633,21151.0,965.611
flink,sliding_sum,node,1,1,236635.271,1002.351,235339.0,937.362
flink,sliding_sum,node_loss,5,5,22006.105,1002.07,21066.0,1050.26
flink,sliding_sum,s3,1,1,21726.781,1001.802,20943.0,958.156
