event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784415119808.518,1784415122297,1784415122325.0,1784415123131.236,2488.482,28.0,806.236,,3322.718
e-1,1784415119857.986,1784415122297,1784415122343.0,1784415123131.24,2439.014,46.0,788.24,,3273.254
e-2,1784415119907.9685,1784415122297,1784415122343.0,1784415123131.2422,2389.031,46.0,788.242,,3223.274
e-3,1784415119957.9553,1784415122297,1784415122344.0,1784415123131.2434,2339.045,47.0,787.243,,3173.288
e-4,1784415120007.965,1784415122297,1784415122344.0,1784415123131.2444,2289.035,47.0,787.244,,3123.279
e-5,1784415120057.987,1784415122297,1784415122344.0,1784415123131.2456,2239.013,47.0,787.246,,3073.259
e-6,1784415120107.9683,1784415122297,1784415122344.0,1784415123131.2463,2189.032,47.0,787.246,,3023.278
e-7,1784415120157.9546,1784415122297,1784415122344.0,1784415123131.2524,2139.045,47.0,787.252,,2973.298
e-8,1784415120207.98,1784415122297,1784415122345.0,1784415123131.2537,2089.02,48.0,786.254,,2923.274
e-9,1784415120257.959,1784415122297,1784415122345.0,1784415123131.255,2039.041,48.0,786.255,,2873.296
e-10,1784415120307.9656,1784415122297,1784415122345.0,1784415123131.2554,1989.034,48.0,786.255,,2823.29
e-11,1784415120357.9727,1784415122297,1784415122345.0,1784415123131.256,1939.027,48.0,786.256,,2773.283
e-12,1784415120407.9924,1784415122297,1784415122345.0,1784415123131.2566,1889.008,48.0,786.257,,2723.264
e-13,1784415120457.9822,1784415122297,1784415122345.0,1784415123131.2634,1839.018,48.0,786.263,,2673.281
e-14,1784415120507.9795,1784415122297,1784415122346.0,1784415123131.2642,1789.021,49.0,785.264,,2623.285
e-15,1784415120557.986,1784415122297,1784415122346.0,1784415123131.2646,1739.014,49.0,785.265,,2573.279
e-16,1784415120607.973,1784415122297,1784415122346.0,1784415123131.2651,1689.027,49.0,785.265,,2523.292
e-17,1784415120657.9717,1784415122297,1784415122346.0,1784415123131.2659,1639.028,49.0,785.266,,2473.294
e-18,1784415120707.965,1784415122297,1784415122346.0,1784415123131.2842,1589.035,49.0,785.284,,2423.319
e-19,1784415120757.9548,1784415122297,1784415122347.0,1784415123131.2847,1539.045,50.0,784.285,,2373.33
e-20,1784415120807.9521,1784415122297,1784415122347.0,1784415123131.285,1489.048,50.0,784.285,,2323.333
e-21,1784415120857.9521,1784415122297,1784415122347.0,1784415123131.2893,1439.048,50.0,784.289,,2273.337
e-22,1784415120907.9612,1784415122297,1784415122347.0,1784415123131.2898,1389.039,50.0,784.29,,2223.329
e-23,1784415120957.9448,1784415122297,1784415122347.0,1784415123131.29,1339.055,50.0,784.29,,2173.345
e-24,1784415121007.9656,1784415122297,1784415122347.0,1784415123131.2905,1289.034,50.0,784.291,,2123.325
e-25,1784415121057.9707,1784415122297,1784415122347.0,1784415123131.2915,1239.029,50.0,784.292,,2073.321
e-26,1784415121107.954,1784415122297,1784415122348.0,1784415123131.2917,1189.046,51.0,783.292,,2023.338
e-27,1784415121157.951,1784415122297,1784415122348.0,1784415123131.2922,1139.049,51.0,783.292,,1973.341
e-28,1784415121207.9722,1784415122297,1784415122348.0,1784415123131.2925,1089.028,51.0,783.292,,1923.32
e-29,1784415121257.9497,1784415122297,1784415122348.0,1784415123131.293,1039.05,51.0,783.293,,1873.343
e-30,1784415121307.9482,1784415122297,1784415122348.0,1784415123131.2932,989.052,51.0,783.293,,1823.345
e-31,1784415121357.9358,1784415122297,1784415122348.0,1784415123131.2937,939.064,51.0,783.294,,1773.358
e-32,1784415121407.9502,1784415122297,1784415122348.0,1784415123131.294,889.05,51.0,783.294,,1723.344
e-33,1784415121457.9834,1784415122297,1784415122349.0,1784415123131.295,839.017,52.0,782.295,,1673.312
e-34,1784415121507.974,1784415122297,1784415122349.0,1784415123131.2983,789.026,52.0,782.298,,1623.324
e-35,1784415121557.942,1784415122297,1784415122349.0,1784415123131.2988,739.058,52.0,782.299,,1573.357
e-36,1784415121607.9646,1784415122297,1784415122349.0,1784415123131.2993,689.035,52.0,782.299,,1523.335
e-37,1784415121657.9846,1784415122297,1784415122349.0,1784415123131.2998,639.015,52.0,782.3,,1473.315
e-38,1784415121707.985,1784415122297,1784415122349.0,1784415123131.424,589.015,52.0,782.424,,1423.439
e-39,1784415121757.9746,1784415122297,1784415122349.0,1784415123131.4253,539.025,52.0,782.425,,1373.451
e-40,1784415121807.9746,1784415122297,1784415122349.0,1784415123131.4255,489.025,52.0,782.426,,1323.451
e-41,1784415121857.9795,1784415122297,1784415122350.0,1784415123131.4268,439.021,53.0,781.427,,1273.447
e-42,1784415121907.9795,1784415122297,1784415122350.0,1784415123131.4272,389.021,53.0,781.427,,1223.448
e-43,1784415121957.9766,1784415122297,1784415122350.0,1784415123131.4277,339.023,53.0,781.428,,1173.451
e-44,1784415122008.0144,1784415122297,1784415122350.0,1784415123131.428,288.986,53.0,781.428,,1123.414
e-45,1784415122057.9607,1784415122297,1784415122350.0,1784415123131.4285,239.039,53.0,781.428,,1073.468
e-46,1784415122107.9407,1784415122297,1784415122350.0,1784415123131.4363,189.059,53.0,781.436,,1023.496
e-47,1784415122157.9875,1784415122297,1784415122350.0,1784415123131.4368,139.012,53.0,781.437,,973.449
e-48,1784415122207.9688,1784415122297,1784415122350.0,1784415123131.437,89.031,53.0,781.437,,923.468
e-49,1784415122257.9395,1784415122297,1784415122350.0,1784415123131.4375,39.061,53.0,781.438,,873.498
e-50,1784415122307.9753,1784415123310,1784415123338.0,1784415124096.7373,1002.025,28.0,758.737,,1788.762
e-51,1784415122357.9724,1784415123310,1784415123340.0,1784415124096.7407,952.028,30.0,756.741,,1738.768
e-52,1784415122408.6592,1784415123310,1784415123341.0,1784415124096.742,901.341,31.0,755.742,,1688.083
e-53,1784415122457.943,1784415123310,1784415123341.0,1784415124096.7434,852.057,31.0,755.743,,1638.8
