event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784546943675.5276,1784546946094,1784546946118.0,1784546946982.2258,2418.472,24.0,864.226,,3306.698
e-1,1784546943725.533,1784546946094,1784546946135.0,1784546946982.229,2368.467,41.0,847.229,,3256.696
e-2,1784546943775.5603,1784546946094,1784546946136.0,1784546946982.3027,2318.44,42.0,846.303,,3206.742
e-3,1784546943825.5488,1784546946094,1784546946136.0,1784546946982.353,2268.451,42.0,846.353,,3156.804
e-4,1784546943875.54,1784546946094,1784546946136.0,1784546946982.434,2218.46,42.0,846.434,,3106.894
e-5,1784546943925.5244,1784546946094,1784546946136.0,1784546946982.435,2168.476,42.0,846.435,,3056.911
e-6,1784546943975.5303,1784546946094,1784546946136.0,1784546946982.5728,2118.47,42.0,846.573,,3007.042
e-7,1784546944025.5215,1784546946094,1784546946136.0,1784546946982.5784,2068.479,42.0,846.578,,2957.057
e-8,1784546944075.533,1784546946094,1784546946137.0,1784546946982.5947,2018.467,43.0,845.595,,2907.062
e-9,1784546944125.522,1784546946094,1784546946137.0,1784546946982.7556,1968.478,43.0,845.756,,2857.234
e-10,1784546944175.5383,1784546946094,1784546946137.0,1784546946982.7566,1918.462,43.0,845.757,,2807.218
e-11,1784546944225.5278,1784546946094,1784546946137.0,1784546946982.761,1868.472,43.0,845.761,,2757.233
e-12,1784546944275.5342,1784546946094,1784546946137.0,1784546946982.7612,1818.466,43.0,845.761,,2707.227
e-13,1784546944325.5237,1784546946094,1784546946137.0,1784546946982.8381,1768.476,43.0,845.838,,2657.314
e-14,1784546944375.5298,1784546946094,1784546946138.0,1784546946982.8733,1718.47,44.0,844.873,,2607.344
e-15,1784546944425.5435,1784546946094,1784546946138.0,1784546946982.9333,1668.457,44.0,844.933,,2557.39
e-16,1784546944475.563,1784546946094,1784546946138.0,1784546946983.0547,1618.437,44.0,845.055,,2507.492
e-17,1784546944525.5657,1784546946094,1784546946139.0,1784546946983.1467,1568.434,45.0,844.147,,2457.581
e-18,1784546944575.5435,1784546946094,1784546946139.0,1784546946983.1475,1518.457,45.0,844.147,,2407.604
e-19,1784546944625.542,1784546946094,1784546946139.0,1784546946983.1477,1468.458,45.0,844.148,,2357.606
e-20,1784546944676.0483,1784546946094,1784546946139.0,1784546946983.2366,1417.952,45.0,844.237,,2307.188
e-21,1784546944725.531,1784546946094,1784546946139.0,1784546946983.2373,1368.469,45.0,844.237,,2257.706
e-22,1784546944775.551,1784546946094,1784546946139.0,1784546946983.601,1318.449,45.0,844.601,,2208.05
e-23,1784546944825.543,1784546946094,1784546946139.0,1784546946983.6018,1268.457,45.0,844.602,,2158.059
e-24,1784546944875.532,1784546946094,1784546946139.0,1784546946983.6023,1218.468,45.0,844.602,,2108.07
e-25,1784546944925.534,1784546946094,1784546946139.0,1784546946983.603,1168.466,45.0,844.603,,2058.069
e-26,1784546944975.5374,1784546946094,1784546946140.0,1784546946983.6035,1118.463,46.0,843.604,,2008.066
e-27,1784546945025.548,1784546946094,1784546946140.0,1784546946983.6038,1068.452,46.0,843.604,,1958.056
e-28,1784546945075.5503,1784546946094,1784546946140.0,1784546946983.6042,1018.45,46.0,843.604,,1908.054
e-29,1784546945125.5667,1784546946094,1784546946140.0,1784546946983.6047,968.433,46.0,843.605,,1858.038
e-30,1784546945175.562,1784546946094,1784546946140.0,1784546946983.6174,918.438,46.0,843.617,,1808.055
e-31,1784546945225.5444,1784546946094,1784546946140.0,1784546946983.668,868.456,46.0,843.668,,1758.124
e-32,1784546945275.5522,1784546946094,1784546946140.0,1784546946983.6729,818.448,46.0,843.673,,1708.121
e-33,1784546945325.5298,1784546946094,1784546946140.0,1784546946983.7449,768.47,46.0,843.745,,1658.215
e-34,1784546945375.5366,1784546946094,1784546946140.0,1784546946983.8152,718.463,46.0,843.815,,1608.279
e-35,1784546945425.5317,1784546946094,1784546946141.0,1784546946983.8213,668.468,47.0,842.821,,1558.29
e-36,1784546945475.5266,1784546946094,1784546946141.0,1784546946983.8574,618.473,47.0,842.857,,1508.331
e-37,1784546945525.5188,1784546946094,1784546946141.0,1784546946983.9429,568.481,47.0,842.943,,1458.424
e-38,1784546945575.5327,1784546946094,1784546946141.0,1784546946983.9436,518.467,47.0,842.944,,1408.411
e-39,1784546945625.5378,1784546946094,1784546946141.0,1784546946983.9688,468.462,47.0,842.969,,1358.431
e-40,1784546945675.5286,1784546946094,1784546946141.0,1784546946984.0303,418.471,47.0,843.03,,1308.502
e-41,1784546945725.5312,1784546946094,1784546946141.0,1784546946984.067,368.469,47.0,843.067,,1258.536
e-42,1784546945775.5503,1784546946094,1784546946141.0,1784546946984.1519,318.45,47.0,843.152,,1208.602
e-43,1784546945825.5376,1784546946094,1784546946141.0,1784546946984.1565,268.462,47.0,843.156,,1158.619
e-44,1784546945875.5366,1784546946094,1784546946142.0,1784546946984.2083,218.463,48.0,842.208,,1108.672
e-45,1784546945925.5708,1784546946094,1784546946142.0,1784546946984.2485,168.429,48.0,842.249,,1058.678
e-46,1784546945975.5293,1784546946094,1784546946142.0,1784546946984.2957,118.471,48.0,842.296,,1008.766
e-47,1784546946025.5361,1784546946094,1784546946142.0,1784546946984.2964,68.464,48.0,842.296,,958.76
e-48,1784546946075.5312,1784546947079,1784546947087.0,1784546947935.683,1003.469,8.0,848.683,,1860.152
e-49,1784546946125.555,1784546947079,1784546947092.0,1784546947935.6865,953.445,13.0,843.687,,1810.132
e-50,1784546946175.5327,1784546947079,1784546947092.0,1784546947935.6877,903.467,13.0,843.688,,1760.155
e-51,1784546946225.5435,1784546947079,1784546947092.0,1784546947935.6887,853.457,13.0,843.689,,1710.145
e-52,1784546946275.5696,1784546947079,1784546947092.0,1784546947935.6897,803.43,13.0,843.69,,1660.12
e-53,1784546946325.5315,1784546947079,1784546947093.0,1784546947935.6921,753.469,14.0,842.692,,1610.161
e-54,1784546946375.5322,1784546947079,1784546947093.0,1784546947935.6929,703.468,14.0,842.693,,1560.161
e-55,1784546946425.5452,1784546947079,1784546947093.0,1784546947935.716,653.455,14.0,842.716,,1510.171
e-56,1784546946475.5288,1784546947079,1784546947093.0,1784546947935.7173,603.471,14.0,842.717,,1460.188
e-57,1784546946525.5288,1784546947079,1784546947093.0,1784546947935.7354,553.471,14.0,842.735,,1410.207
e-58,1784546946575.538,1784546947079,1784546947093.0,1784546947935.7366,503.462,14.0,842.737,,1360.198
e-59,1784546946625.535,1784546947079,1784546947093.0,1784546947935.7375,453.465,14.0,842.738,,1310.203
e-60,1784546946675.5754,1784546947079,1784546947093.0,1784546947935.7383,403.425,14.0,842.738,,1260.163
e-61,1784546946725.5623,1784546947079,1784546947093.0,1784546947935.739,353.438,14.0,842.739,,1210.177
e-62,1784546946775.5364,1784546947079,1784546947093.0,1784546947935.74,303.464,14.0,842.74,,1160.204
e-63,1784546946825.5269,1784546947079,1784546947093.0,1784546947935.9705,253.473,14.0,842.97,,1110.444
e-64,1784546946875.5356,1784546947079,1784546947093.0,1784546947935.9736,203.464,14.0,842.974,,1060.438
e-65,1784546946925.54,1784546947079,1784546947093.0,1784546947935.9756,153.46,14.0,842.976,,1010.436
e-66,1784546946975.5383,1784546947079,1784546947094.0,1784546947935.9766,103.462,15.0,841.977,,960.438
e-67,1784546947025.53,1784546947079,1784546947094.0,1784546947935.9775,53.47,15.0,841.978,,910.448
e-68,1784546947075.531,1784546947079,1784546947094.0,1784546947936.2798,3.469,15.0,842.28,,860.749
e-69,1784546947125.5325,1784546948127,1784546948137.0,1784546948943.6538,1001.468,10.0,806.654,,1818.121
e-70,1784546947175.5332,1784546948127,1784546948137.0,1784546948943.6575,951.467,10.0,806.657,,1768.124
e-71,1784546947225.533,1784546948127,1784546948137.0,1784546948943.6584,901.467,10.0,806.658,,1718.125
e-72,1784546947275.5374,1784546948127,1784546948137.0,1784546948943.6592,851.463,10.0,806.659,,1668.122
e-73,1784546947325.5308,1784546948127,1784546948137.0,1784546948943.66,801.469,10.0,806.66,,1618.129
e-74,1784546947375.5396,1784546948127,1784546948137.0,1784546948943.6606,751.46,10.0,806.661,,1568.121
e-75,1784546947425.5378,1784546948127,1784546948137.0,1784546948943.6616,701.462,10.0,806.662,,1518.124
e-76,1784546947475.5645,1784546948127,1784546948137.0,1784546948943.662,651.436,10.0,806.662,,1468.098
e-77,1784546947525.5251,1784546948127,1784546948138.0,1784546948943.665,601.475,11.0,805.665,,1418.14
e-78,1784546947575.538,1784546948127,1784546948138.0,1784546948943.6926,551.462,11.0,805.693,,1368.155
e-79,1784546947625.565,1784546948127,1784546948138.0,1784546948943.693,501.435,11.0,805.693,,1318.128
e-80,1784546947675.5378,1784546948127,1784546948138.0,1784546948943.6936,451.462,11.0,805.694,,1268.156
e-81,1784546947725.5332,1784546948127,1784546948138.0,1784546948943.694,401.467,11.0,805.694,,1218.161
e-82,1784546947775.524,1784546948127,1784546948138.0,1784546948943.6946,351.476,11.0,805.695,,1168.171
e-83,1784546947825.5261,1784546948127,1784546948138.0,1784546948943.695,301.474,11.0,805.695,,1118.169
e-84,1784546947875.5361,1784546948127,1784546948139.0,1784546948943.6997,251.464,12.0,804.7,,1068.164
e-85,1784546947925.541,1784546948127,1784546948139.0,1784546948943.7073,201.459,12.0,804.707,,1018.166
e-86,1784546947975.5288,1784546948127,1784546948139.0,1784546948943.7078,151.471,12.0,804.708,,968.179
e-87,1784546948025.5444,1784546948127,1784546948139.0,1784546948944.1016,101.456,12.0,805.102,,918.557
e-88,1784546948075.5442,1784546948127,1784546948139.0,1784546948944.105,51.456,12.0,805.105,,868.561
e-89,1784546948125.573,1784546949127,1784546949135.0,1784546949914.8435,1001.427,8.0,779.844,,1789.271
e-90,1784546948175.5364,1784546949127,1784546949135.0,1784546949914.8457,951.464,8.0,779.846,,1739.309
e-91,1784546948225.5286,1784546949127,1784546949135.0,1784546949914.8464,901.471,8.0,779.846,,1689.318
e-92,1784546948275.5654,1784546949127,1784546949135.0,1784546949914.8472,851.435,8.0,779.847,,1639.282
e-93,1784546948325.5657,1784546949127,1784546949135.0,1784546949914.8489,801.434,8.0,779.849,,1589.283
e-94,1784546948375.5662,1784546949127,1784546949135.0,1784546949914.8494,751.434,8.0,779.849,,1539.283
e-95,1784546948425.5657,1784546949127,1784546949135.0,1784546949914.8499,701.434,8.0,779.85,,1489.284
e-96,1784546948475.6194,1784546949127,1784546949136.0,1784546949914.8672,651.381,9.0,778.867,,1439.248
e-97,1784546948525.5217,1784546949127,1784546949136.0,1784546949914.8677,601.478,9.0,778.868,,1389.346
e-98,1784546948575.5657,1784546949127,1784546949136.0,1784546949914.8684,551.434,9.0,778.868,,1339.303
e-99,1784546948625.5288,1784546949127,1784546949136.0,1784546949914.8816,501.471,9.0,778.882,,1289.353
e-100,1784546948675.5776,1784546949127,1784546949136.0,1784546949914.8823,451.422,9.0,778.882,,1239.305
e-101,1784546948725.57,1784546949127,1784546949136.0,1784546949914.8945,401.43,9.0,778.895,,1189.324
e-102,1784546948775.5283,1784546949127,1784546949136.0,1784546949914.8953,351.472,9.0,778.895,,1139.367
e-103,1784546948825.5269,1784546949127,1784546949136.0,1784546949914.901,301.473,9.0,778.901,,1089.374
e-104,1784546948875.5273,1784546949127,1784546949136.0,1784546949914.9014,251.473,9.0,778.901,,1039.374
e-105,1784546948925.5486,1784546949127,1784546949137.0,1784546949915.0696,201.451,10.0,778.07,,989.521
e-106,1784546948975.5276,1784546949127,1784546949137.0,1784546949915.073,151.472,10.0,778.073,,939.545
e-107,1784546949025.527,1784546949127,1784546949137.0,1784546949915.074,101.473,10.0,778.074,,889.547
e-108,1784546949075.561,1784546949127,1784546949137.0,1784546949915.0752,51.439,10.0,778.075,,839.514
e-109,1784546949125.5361,1784546950131,1784546950138.0,1784546950916.0134,1005.464,7.0,778.013,,1790.477
e-110,1784546949175.5564,1784546950131,1784546950138.0,1784546950916.0166,955.444,7.0,778.017,,1740.46
e-111,1784546949225.5352,1784546950131,1784546950138.0,1784546950916.0176,905.465,7.0,778.018,,1690.482
e-112,1784546949275.527,1784546950131,1784546950138.0,1784546950916.018,855.473,7.0,778.018,,1640.491
e-113,1784546949325.5283,1784546950131,1784546950138.0,1784546950916.0188,805.472,7.0,778.019,,1590.49
