event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784423669720.2603,1784423672519,1784423672546.0,1784423673288.799,2798.74,27.0,742.799,,3568.539
e-1,1784423669769.4565,1784423672519,1784423672555.0,1784423673288.8025,2749.543,36.0,733.802,,3519.346
e-2,1784423669819.4312,1784423672519,1784423672556.0,1784423673288.8042,2699.569,37.0,732.804,,3469.373
e-3,1784423669869.4436,1784423672519,1784423672556.0,1784423673288.8052,2649.556,37.0,732.805,,3419.362
e-4,1784423669919.4324,1784423672519,1784423672556.0,1784423673288.806,2599.568,37.0,732.806,,3369.374
e-5,1784423669969.437,1784423672519,1784423672556.0,1784423673288.807,2549.563,37.0,732.807,,3319.37
e-6,1784423670019.4302,1784423672519,1784423672556.0,1784423673288.8076,2499.57,37.0,732.808,,3269.377
e-7,1784423670069.4375,1784423672519,1784423672556.0,1784423673288.8125,2449.562,37.0,732.812,,3219.375
e-8,1784423670119.4302,1784423672519,1784423672556.0,1784423673288.8135,2399.57,37.0,732.813,,3169.383
e-9,1784423670169.4326,1784423672519,1784423672556.0,1784423673288.8147,2349.567,37.0,732.815,,3119.382
e-10,1784423670219.4475,1784423672519,1784423672556.0,1784423673288.8284,2299.552,37.0,732.828,,3069.381
e-11,1784423670269.4626,1784423672519,1784423672556.0,1784423673288.829,2249.537,37.0,732.829,,3019.366
e-12,1784423670319.7532,1784423672519,1784423672556.0,1784423673288.8296,2199.247,37.0,732.83,,2969.076
e-13,1784423670369.423,1784423672519,1784423672556.0,1784423673288.8623,2149.577,37.0,732.862,,2919.439
e-14,1784423670419.4546,1784423672519,1784423672556.0,1784423673288.863,2099.545,37.0,732.863,,2869.408
e-15,1784423670469.447,1784423672519,1784423672557.0,1784423673288.8635,2049.553,38.0,731.864,,2819.417
e-16,1784423670519.9673,1784423672519,1784423672557.0,1784423673288.9685,1999.033,38.0,731.969,,2769.001
e-17,1784423670569.4475,1784423672519,1784423672557.0,1784423673288.9717,1949.552,38.0,731.972,,2719.524
e-18,1784423670619.4521,1784423672519,1784423672557.0,1784423673288.9724,1899.548,38.0,731.972,,2669.52
e-19,1784423670669.8728,1784423672519,1784423672557.0,1784423673288.9963,1849.127,38.0,731.996,,2619.124
e-20,1784423670720.5396,1784423672519,1784423672557.0,1784423673288.997,1798.46,38.0,731.997,,2568.458
e-21,1784423670769.4421,1784423672519,1784423672557.0,1784423673289.021,1749.558,38.0,732.021,,2519.579
e-22,1784423670820.3264,1784423672519,1784423672557.0,1784423673289.0215,1698.674,38.0,732.021,,2468.695
