stream-state-bench-flink-kafka-3  | ===> User
stream-state-bench-flink-kafka-3  | uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)
stream-state-bench-flink-kafka-3  | ===> Setting default values of environment variables if not already set.
stream-state-bench-flink-kafka-3  | ===> Configuring ...
stream-state-bench-flink-kafka-3  | Running in KRaft mode...
stream-state-bench-flink-kafka-3  | ===> Launching ... 
stream-state-bench-flink-kafka-3  | ===> Using provided cluster id MkU3OEVBNTcwNTJENDM2Qk ...
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:19,900] INFO Registered `kafka:type=kafka.Log4jController` MBean (kafka.utils.Log4jControllerRegistration$)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,006] INFO Registered signal handlers for TERM, INT, HUP (org.apache.kafka.common.utils.LoggingSignalHandler)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,007] INFO [ControllerServer id=3] Starting controller (kafka.server.ControllerServer)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,108] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,125] INFO [SocketServer listenerType=CONTROLLER, nodeId=3] Created data-plane acceptor and processors for endpoint : ListenerName(CONTROLLER) (kafka.network.SocketServer)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,129] INFO authorizerStart completed for endpoint CONTROLLER. Endpoint is now READY. (org.apache.kafka.server.network.EndpointReadyFutures)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,129] INFO [SharedServer id=3] Starting SharedServer (kafka.server.SharedServer)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,151] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,152] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Reloading from producer snapshot and rebuilding producer state from offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,152] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Producer state recovery took 0ms for snapshot load and 0ms for segment recovery from offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,182] INFO [RaftLog partition=__cluster_metadata-0] Initialized snapshots with IDs [] from /tmp/kafka-logs/__cluster_metadata-0 (org.apache.kafka.raft.internals.KafkaRaftLog)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,186] INFO [raft-expiration-reaper]: Starting (org.apache.kafka.raft.TimingWheelExpirationService$ExpiredOperationReaper)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,188] INFO [RaftManager id=3] Reading KRaft snapshot and log as part of the initialization (org.apache.kafka.raft.KafkaRaftClient)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,189] INFO [RaftManager id=3] Starting voters are VoterSet(voters={1=VoterNode(voterKey=ReplicaKey(id=1, directoryId=<undefined>), listeners=Endpoints(endpoints={ListenerName(CONTROLLER)=kafka-1/<unresolved>:9093}), supportedKRaftVersion=SupportedVersionRange[min_version:0, max_version:0]), 2=VoterNode(voterKey=ReplicaKey(id=2, directoryId=<undefined>), listeners=Endpoints(endpoints={ListenerName(CONTROLLER)=kafka-2/<unresolved>:9093}), supportedKRaftVersion=SupportedVersionRange[min_version:0, max_version:0]), 3=VoterNode(voterKey=ReplicaKey(id=3, directoryId=<undefined>), listeners=Endpoints(endpoints={ListenerName(CONTROLLER)=kafka-3/<unresolved>:9093}), supportedKRaftVersion=SupportedVersionRange[min_version:0, max_version:0])}) (org.apache.kafka.raft.KafkaRaftClient)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,191] INFO [RaftManager id=3] Starting request manager with static voters: [kafka-1:9093 (id: 1 rack: null isFenced: false), kafka-2:9093 (id: 2 rack: null isFenced: false), kafka-3:9093 (id: 3 rack: null isFenced: false)] (org.apache.kafka.raft.KafkaRaftClient)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,193] INFO [RaftManager id=3] Attempting durable transition to UnattachedState(epoch=0, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1, 2, 3], electionTimeoutMs=1364, highWatermark=Optional.empty) from null (org.apache.kafka.raft.QuorumState)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,202] INFO [RaftManager id=3] Completed transition to UnattachedState(epoch=0, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1, 2, 3], electionTimeoutMs=1364, highWatermark=Optional.empty) from null (org.apache.kafka.raft.QuorumState)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,204] INFO [kafka-3-raft-outbound-request-thread]: Starting (org.apache.kafka.raft.KafkaNetworkChannel$SendThread)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,204] INFO [kafka-3-raft-io-thread]: Starting (org.apache.kafka.raft.KafkaRaftClientDriver)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,210] INFO [MetadataLoader id=3] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,210] INFO [RaftManager id=3] Registered the listener org.apache.kafka.image.loader.MetadataLoader@1295660304 (org.apache.kafka.raft.KafkaRaftClient)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,211] INFO [ControllerServer id=3] Waiting for controller quorum voters future (kafka.server.ControllerServer)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,211] INFO [ControllerServer id=3] Finished waiting for controller quorum voters future (kafka.server.ControllerServer)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,219] INFO [RaftManager id=3] Registered the listener org.apache.kafka.controller.QuorumController$QuorumMetaLogListener@1102407440 (org.apache.kafka.raft.KafkaRaftClient)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,220] INFO [controller-3-ThrottledChannelReaper-Fetch]: Starting (org.apache.kafka.server.quota.ClientQuotaManager$ThrottledChannelReaper)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,220] INFO [controller-3-ThrottledChannelReaper-Produce]: Starting (org.apache.kafka.server.quota.ClientQuotaManager$ThrottledChannelReaper)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,221] INFO [controller-3-ThrottledChannelReaper-Request]: Starting (org.apache.kafka.server.quota.ClientQuotaManager$ThrottledChannelReaper)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,221] INFO [controller-3-ThrottledChannelReaper-ControllerMutation]: Starting (org.apache.kafka.server.quota.ClientQuotaManager$ThrottledChannelReaper)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,224] INFO [ExpirationReaper-3-AlterAcls]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,231] INFO [ControllerServer id=3] Waiting for the controller metadata publishers to be installed (kafka.server.ControllerServer)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,231] INFO [ControllerServer id=3] Finished waiting for the controller metadata publishers to be installed (kafka.server.ControllerServer)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,231] INFO [MetadataLoader id=3] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,232] INFO [SocketServer listenerType=CONTROLLER, nodeId=3] Enabling request processing. (kafka.network.SocketServer)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,233] INFO Awaiting socket connections on 0.0.0.0:9093. (kafka.network.DataPlaneAcceptor)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,284] INFO [controller-3-to-controller-registration-channel-manager]: Starting (org.apache.kafka.server.NodeToControllerRequestThread)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,284] INFO [ControllerServer id=3] Waiting for all of the authorizer futures to be completed (kafka.server.ControllerServer)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,284] INFO [ControllerServer id=3] Finished waiting for all of the authorizer futures to be completed (kafka.server.ControllerServer)
stream-state-bench-flink-kafka-3  | [2026-07-20 20:38:20,284] INFO [ControllerServer id=3] Waiting for all of the SocketServer Acceptors to be started (kafka.server.ControllerServer)
