event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784569364380.7126,1784569366906,1784569366933.0,1784569367702.2048,2525.287,27.0,769.205,,3321.492
e-1,1784569364431.5571,1784569366906,1784569366948.0,1784569367702.2085,2474.443,42.0,754.208,,3270.651
e-2,1784569364480.8042,1784569366906,1784569366948.0,1784569367702.2095,2425.196,42.0,754.209,,3221.405
e-3,1784569364530.8003,1784569366906,1784569366949.0,1784569367702.21,2375.2,43.0,753.21,,3171.41
e-4,1784569364580.769,1784569366906,1784569366949.0,1784569367702.2107,2325.231,43.0,753.211,,3121.442
e-5,1784569364630.7715,1784569366906,1784569366950.0,1784569367702.2117,2275.229,44.0,752.212,,3071.44
e-6,1784569364680.7761,1784569366906,1784569366950.0,1784569367702.2295,2225.224,44.0,752.229,,3021.453
e-7,1784569364730.7778,1784569366906,1784569366950.0,1784569367702.234,2175.222,44.0,752.234,,2971.456
e-8,1784569364780.7737,1784569366906,1784569366950.0,1784569367702.239,2125.226,44.0,752.239,,2921.465
e-9,1784569364830.7732,1784569366906,1784569366950.0,1784569367702.24,2075.227,44.0,752.24,,2871.467
e-10,1784569364880.7717,1784569366906,1784569366950.0,1784569367702.2405,2025.228,44.0,752.24,,2821.469
e-11,1784569364930.7727,1784569366906,1784569366950.0,1784569367702.241,1975.227,44.0,752.241,,2771.468
e-12,1784569364980.7747,1784569366906,1784569366950.0,1784569367702.2415,1925.225,44.0,752.241,,2721.467
e-13,1784569365031.1152,1784569366906,1784569366951.0,1784569367702.242,1874.885,45.0,751.242,,2671.127
e-14,1784569365080.8572,1784569366906,1784569366951.0,1784569367702.2512,1825.143,45.0,751.251,,2621.394
e-15,1784569365130.786,1784569366906,1784569366951.0,1784569367702.2517,1775.214,45.0,751.252,,2571.466
e-16,1784569365180.7769,1784569366906,1784569366951.0,1784569367702.2712,1725.223,45.0,751.271,,2521.494
e-17,1784569365230.7815,1784569366906,1784569366951.0,1784569367702.2717,1675.219,45.0,751.272,,2471.49
e-18,1784569365280.7803,1784569366906,1784569366951.0,1784569367702.294,1625.22,45.0,751.294,,2421.514
e-19,1784569365331.689,1784569366906,1784569366951.0,1784569367702.2944,1574.311,45.0,751.294,,2370.605
e-20,1784569365380.7732,1784569366906,1784569366951.0,1784569367702.2988,1525.227,45.0,751.299,,2321.526
e-21,1784569365430.7812,1784569366906,1784569366952.0,1784569367702.303,1475.219,46.0,750.303,,2271.522
e-22,1784569365480.7803,1784569366906,1784569366952.0,1784569367702.347,1425.22,46.0,750.347,,2221.567
e-23,1784569365530.7744,1784569366906,1784569366952.0,1784569367702.3887,1375.226,46.0,750.389,,2171.614
e-24,1784569365580.7773,1784569366906,1784569366952.0,1784569367702.3896,1325.223,46.0,750.39,,2121.612
e-25,1784569365631.1682,1784569366906,1784569366952.0,1784569367702.391,1274.832,46.0,750.391,,2071.223
e-26,1784569365680.7937,1784569366906,1784569366952.0,1784569367702.4329,1225.206,46.0,750.433,,2021.639
e-27,1784569365730.777,1784569366906,1784569366952.0,1784569367702.4338,1175.223,46.0,750.434,,1971.657
e-28,1784569365780.7688,1784569366906,1784569366952.0,1784569367702.4734,1125.231,46.0,750.473,,1921.705
e-29,1784569365830.777,1784569366906,1784569366953.0,1784569367702.474,1075.223,47.0,749.474,,1871.697
e-30,1784569365880.7727,1784569366906,1784569366953.0,1784569367702.4749,1025.227,47.0,749.475,,1821.702
e-31,1784569365930.775,1784569366906,1784569366953.0,1784569367702.5789,975.225,47.0,749.579,,1771.804
e-32,1784569365980.7734,1784569366906,1784569366953.0,1784569367702.5798,925.227,47.0,749.58,,1721.806
e-33,1784569366030.7776,1784569366906,1784569366953.0,1784569367702.5808,875.222,47.0,749.581,,1671.803
e-34,1784569366080.778,1784569366906,1784569366953.0,1784569367702.5815,825.222,47.0,749.582,,1621.803
e-35,1784569366130.7734,1784569366906,1784569366953.0,1784569367702.5896,775.227,47.0,749.59,,1571.816
e-36,1784569366180.7827,1784569366906,1784569366953.0,1784569367702.6875,725.217,47.0,749.688,,1521.905
e-37,1784569366230.7817,1784569366906,1784569366954.0,1784569367702.6907,675.218,48.0,748.691,,1471.909
e-38,1784569366280.7727,1784569366906,1784569366954.0,1784569367702.6917,625.227,48.0,748.692,,1421.919
e-39,1784569366330.7715,1784569366906,1784569366954.0,1784569367702.7078,575.229,48.0,748.708,,1371.936
e-40,1784569366380.7727,1784569366906,1784569366954.0,1784569367702.7087,525.227,48.0,748.709,,1321.936
e-41,1784569366430.7725,1784569366906,1784569366954.0,1784569367702.729,475.228,48.0,748.729,,1271.957
e-42,1784569366480.765,1784569366906,1784569366954.0,1784569367702.7297,425.235,48.0,748.73,,1221.965
e-43,1784569366530.7715,1784569366906,1784569366954.0,1784569367702.7712,375.229,48.0,748.771,,1172.0
e-44,1784569366580.7698,1784569366906,1784569366954.0,1784569367702.7722,325.23,48.0,748.772,,1122.002
e-45,1784569366630.7769,1784569366906,1784569366954.0,1784569367702.773,275.223,48.0,748.773,,1071.996
e-46,1784569366680.773,1784569366906,1784569366955.0,1784569367702.7737,225.227,49.0,747.774,,1022.001
e-47,1784569366730.7717,1784569366906,1784569366955.0,1784569367702.8477,175.228,49.0,747.848,,972.076
e-48,1784569366780.769,1784569366906,1784569366955.0,1784569367702.8494,125.231,49.0,747.849,,922.08
e-49,1784569366830.771,1784569366906,1784569366955.0,1784569367702.85,75.229,49.0,747.85,,872.079
e-50,1784569366880.7722,1784569366906,1784569366955.0,1784569367702.863,25.228,49.0,747.863,,822.091
e-51,1784569366930.7708,1784569367934,1784569367941.0,1784569368652.7556,1003.229,7.0,711.756,,1721.985
e-52,1784569366980.771,1784569367934,1784569367945.0,1784569368652.7595,953.229,11.0,707.76,,1671.989
e-53,1784569367030.7747,1784569367934,1784569367945.0,1784569368652.762,903.225,11.0,707.762,,1621.987
e-54,1784569367080.7725,1784569367934,1784569367945.0,1784569368652.7627,853.228,11.0,707.763,,1571.99
e-55,1784569367130.7744,1784569367934,1784569367945.0,1784569368652.7637,803.226,11.0,707.764,,1521.989
