event_id,t0_ms,t1_ms,t2_ms,t3_ms,t1_t0_ms,t2_t1_ms,t3_t2_ms,latency_ms
e-0,1784186099415.084,1784186102337,1784186102359.0,1784186103097.7651,2921.916,22.0,738.765,3682.681
e-1,1784186099465.587,1784186102337,1784186102371.0,1784186103097.767,2871.413,34.0,726.767,3632.18
e-2,1784186099514.473,1784186102337,1784186102372.0,1784186103097.7676,2822.527,35.0,725.768,3583.295
e-3,1784186099564.469,1784186102337,1784186102372.0,1784186103097.768,2772.531,35.0,725.768,3533.299
e-4,1784186099614.4717,1784186102337,1784186102372.0,1784186103097.7683,2722.528,35.0,725.768,3483.297
e-5,1784186099664.478,1784186102337,1784186102372.0,1784186103097.7688,2672.522,35.0,725.769,3433.291
e-6,1784186099714.5186,1784186102337,1784186102372.0,1784186103097.769,2622.481,35.0,725.769,3383.25
e-7,1784186099764.491,1784186102337,1784186102372.0,1784186103097.7725,2572.509,35.0,725.772,3333.281
e-8,1784186099814.4846,1784186102337,1784186102373.0,1784186103097.7727,2522.515,36.0,724.773,3283.288
e-9,1784186099864.5076,1784186102337,1784186102373.0,1784186103097.7734,2472.492,36.0,724.773,3233.266
e-10,1784186099914.5874,1784186102337,1784186102373.0,1784186103097.7737,2422.413,36.0,724.774,3183.186
e-11,1784186099964.8018,1784186102337,1784186102373.0,1784186103097.774,2372.198,36.0,724.774,3132.972
e-12,1784186100014.5088,1784186102337,1784186102373.0,1784186103097.7776,2322.491,36.0,724.778,3083.269
e-13,1784186100065.5886,1784186102337,1784186102373.0,1784186103097.7808,2271.411,36.0,724.781,3032.192
e-14,1784186100114.4717,1784186102337,1784186102373.0,1784186103097.781,2222.528,36.0,724.781,2983.309
e-15,1784186100164.4736,1784186102337,1784186102373.0,1784186103097.7893,2172.526,36.0,724.789,2933.316
e-16,1784186100214.4824,1784186102337,1784186102374.0,1784186103097.7896,2122.518,37.0,723.79,2883.307
e-17,1784186100264.4846,1784186102337,1784186102374.0,1784186103097.7898,2072.515,37.0,723.79,2833.305
e-18,1784186100314.535,1784186102337,1784186102374.0,1784186103097.79,2022.465,37.0,723.79,2783.255
e-19,1784186100364.529,1784186102337,1784186102374.0,1784186103097.849,1972.471,37.0,723.849,2733.32
e-20,1784186100414.5242,1784186102337,1784186102374.0,1784186103097.851,1922.476,37.0,723.851,2683.327
e-21,1784186100464.557,1784186102337,1784186102374.0,1784186103097.8516,1872.443,37.0,723.852,2633.295
e-22,1784186100514.4783,1784186102337,1784186102375.0,1784186103097.852,1822.522,38.0,722.852,2583.374
e-23,1784186100564.4873,1784186102337,1784186102375.0,1784186103097.8523,1772.513,38.0,722.852,2533.365
e-24,1784186100617.6648,1784186102337,1784186102375.0,1784186103097.8528,1719.335,38.0,722.853,2480.188
e-25,1784186100664.4905,1784186102337,1784186102375.0,1784186103097.863,1672.51,38.0,722.863,2433.373
e-26,1784186100714.4702,1784186102337,1784186102376.0,1784186103097.8635,1622.53,39.0,721.864,2383.393
e-27,1784186100764.535,1784186102337,1784186102376.0,1784186103097.8638,1572.465,39.0,721.864,2333.329
e-28,1784186100814.4744,1784186102337,1784186102376.0,1784186103097.8643,1522.526,39.0,721.864,2283.39
e-29,1784186100864.4712,1784186102337,1784186102376.0,1784186103097.8645,1472.529,39.0,721.865,2233.393
e-30,1784186100914.4878,1784186102337,1784186102376.0,1784186103097.8682,1422.512,39.0,721.868,2183.38
e-31,1784186100964.5862,1784186102337,1784186102376.0,1784186103097.8684,1372.414,39.0,721.868,2133.282
e-32,1784186101014.4634,1784186102337,1784186102376.0,1784186103097.9163,1322.537,39.0,721.916,2083.453
e-33,1784186101064.458,1784186102337,1784186102376.0,1784186103097.9177,1272.542,39.0,721.918,2033.46
e-34,1784186101114.5366,1784186102337,1784186102377.0,1784186103097.926,1222.463,40.0,720.926,1983.389
e-35,1784186101164.4893,1784186102337,1784186102377.0,1784186103097.9265,1172.511,40.0,720.927,1933.437
e-36,1784186101214.5242,1784186102337,1784186102377.0,1784186103097.9268,1122.476,40.0,720.927,1883.403
e-37,1784186101264.4749,1784186102337,1784186102377.0,1784186103097.9368,1072.525,40.0,720.937,1833.462
e-38,1784186101314.4563,1784186102337,1784186102377.0,1784186103097.9373,1022.544,40.0,720.937,1783.481
e-39,1784186101364.5579,1784186102337,1784186102377.0,1784186103097.9375,972.442,40.0,720.938,1733.38
e-40,1784186101414.4756,1784186102337,1784186102377.0,1784186103097.938,922.524,40.0,720.938,1683.462
e-41,1784186101464.605,1784186102337,1784186102377.0,1784186103097.979,872.395,40.0,720.979,1633.374
e-42,1784186101514.4446,1784186102337,1784186102378.0,1784186103097.9812,822.555,41.0,719.981,1583.537
e-43,1784186101564.4443,1784186102337,1784186102378.0,1784186103097.9822,772.556,41.0,719.982,1533.538
e-44,1784186101614.4548,1784186102337,1784186102378.0,1784186103097.993,722.545,41.0,719.993,1483.538
e-45,1784186101664.4587,1784186102337,1784186102378.0,1784186103097.9937,672.541,41.0,719.994,1433.535
e-46,1784186101714.463,1784186102337,1784186102378.0,1784186103098.0034,622.537,41.0,720.003,1383.541
