event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784556032959.0125,1784556035345,1784556035368.0,1784556035657.2388,2385.988,23.0,289.239,,2698.226
e-1,1784556033009.1338,1784556035345,1784556035383.0,1784556035657.2441,2335.866,38.0,274.244,,2648.11
e-2,1784556033059.069,1784556035345,1784556035384.0,1784556035657.2458,2285.931,39.0,273.246,,2598.177
e-3,1784556033109.0728,1784556035345,1784556035384.0,1784556035657.247,2235.927,39.0,273.247,,2548.174
e-4,1784556033159.0654,1784556035345,1784556035384.0,1784556035657.2483,2185.935,39.0,273.248,,2498.183
e-5,1784556033209.067,1784556035345,1784556035384.0,1784556035657.2498,2135.933,39.0,273.25,,2448.183
e-6,1784556033259.067,1784556035345,1784556035384.0,1784556035657.251,2085.933,39.0,273.251,,2398.184
e-7,1784556033309.0725,1784556035345,1784556035384.0,1784556035657.2578,2035.927,39.0,273.258,,2348.185
e-8,1784556033359.0671,1784556035345,1784556035384.0,1784556035657.2595,1985.933,39.0,273.26,,2298.192
e-9,1784556033409.0654,1784556035345,1784556035384.0,1784556035657.2605,1935.935,39.0,273.26,,2248.195
e-10,1784556033459.071,1784556035345,1784556035384.0,1784556035657.2778,1885.929,39.0,273.278,,2198.207
e-11,1784556033509.0742,1784556035345,1784556035385.0,1784556035657.2788,1835.926,40.0,272.279,,2148.205
e-12,1784556033559.0725,1784556035345,1784556035385.0,1784556035657.2795,1785.927,40.0,272.28,,2098.207
e-13,1784556033609.0696,1784556035345,1784556035385.0,1784556035657.28,1735.93,40.0,272.28,,2048.21
e-14,1784556033659.069,1784556035345,1784556035385.0,1784556035657.2888,1685.931,40.0,272.289,,1998.22
e-15,1784556033709.0752,1784556035345,1784556035385.0,1784556035657.2898,1635.925,40.0,272.29,,1948.215
e-16,1784556033759.0674,1784556035345,1784556035385.0,1784556035657.3042,1585.933,40.0,272.304,,1898.237
e-17,1784556033809.077,1784556035345,1784556035385.0,1784556035657.3054,1535.923,40.0,272.305,,1848.229
e-18,1784556033859.0715,1784556035345,1784556035385.0,1784556035657.306,1485.928,40.0,272.306,,1798.234
e-19,1784556033909.0664,1784556035345,1784556035385.0,1784556035657.3066,1435.934,40.0,272.307,,1748.24
e-20,1784556033959.0667,1784556035345,1784556035385.0,1784556035657.3074,1385.933,40.0,272.307,,1698.241
e-21,1784556034009.0703,1784556035345,1784556035386.0,1784556035657.308,1335.93,41.0,271.308,,1648.238
e-22,1784556034059.075,1784556035345,1784556035386.0,1784556035657.3752,1285.925,41.0,271.375,,1598.3
e-23,1784556034109.0725,1784556035345,1784556035386.0,1784556035657.3765,1235.927,41.0,271.376,,1548.304
e-24,1784556034159.0752,1784556035345,1784556035386.0,1784556035657.3845,1185.925,41.0,271.385,,1498.309
e-25,1784556034209.0813,1784556035345,1784556035386.0,1784556035657.386,1135.919,41.0,271.386,,1448.305
e-26,1784556034259.0642,1784556035345,1784556035386.0,1784556035657.4185,1085.936,41.0,271.418,,1398.354
e-27,1784556034309.0764,1784556035345,1784556035387.0,1784556035657.4192,1035.924,42.0,270.419,,1348.343
e-28,1784556034359.0776,1784556035345,1784556035387.0,1784556035657.4202,985.922,42.0,270.42,,1298.343
e-29,1784556034409.0693,1784556035345,1784556035387.0,1784556035657.4563,935.931,42.0,270.456,,1248.387
e-30,1784556034459.0757,1784556035345,1784556035387.0,1784556035657.457,885.924,42.0,270.457,,1198.381
e-31,1784556034509.0806,1784556035345,1784556035387.0,1784556035657.5173,835.919,42.0,270.517,,1148.437
e-32,1784556034559.0674,1784556035345,1784556035387.0,1784556035657.518,785.933,42.0,270.518,,1098.451
e-33,1784556034609.0735,1784556035345,1784556035387.0,1784556035657.526,735.927,42.0,270.526,,1048.452
e-34,1784556034659.071,1784556035345,1784556035574.0,1784556036568.0225,685.929,229.0,994.022,,1908.951
e-35,1784556034709.0688,1784556035345,1784556035576.0,1784556036568.0251,635.931,231.0,992.025,,1858.956
e-36,1784556034759.0762,1784556035345,1784556035576.0,1784556036568.026,585.924,231.0,992.026,,1808.95
e-37,1784556034809.0735,1784556035345,1784556035576.0,1784556036568.0261,535.927,231.0,992.026,,1758.953
e-38,1784556034859.076,1784556035345,1784556035576.0,1784556036568.0266,485.924,231.0,992.027,,1708.951
e-39,1784556034909.0703,1784556035345,1784556035577.0,1784556036568.027,435.93,232.0,991.027,,1658.957
e-40,1784556034959.0676,1784556035345,1784556035577.0,1784556036568.0276,385.932,232.0,991.028,,1608.96
e-41,1784556035009.0708,1784556035345,1784556035577.0,1784556036568.0288,335.929,232.0,991.029,,1558.958
e-42,1784556035059.0723,1784556035345,1784556035577.0,1784556036568.0293,285.928,232.0,991.029,,1508.957
e-43,1784556035109.0698,1784556035345,1784556035577.0,1784556036568.0295,235.93,232.0,991.03,,1458.96
e-44,1784556035159.0818,1784556035345,1784556035577.0,1784556036568.0298,185.918,232.0,991.03,,1408.948
e-45,1784556035209.0693,1784556035345,1784556035577.0,1784556036568.03,135.931,232.0,991.03,,1358.961
