event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784534432193.8792,1784534434579,1784534434596.0,1784534435524.459,2385.121,17.0,928.459,,3330.58
e-1,1784534432243.9436,1784534434579,1784534434611.0,1784534435524.4639,2335.056,32.0,913.464,,3280.52
e-2,1784534432293.9414,1784534434579,1784534434611.0,1784534435524.465,2285.059,32.0,913.465,,3230.524
e-3,1784534432344.7424,1784534434579,1784534434612.0,1784534435524.4658,2234.258,33.0,912.466,,3179.723
e-4,1784534432393.937,1784534434579,1784534434613.0,1784534435524.4666,2185.063,34.0,911.467,,3130.53
e-5,1784534432443.9365,1784534434579,1784534434613.0,1784534435524.4675,2135.063,34.0,911.468,,3080.531
e-6,1784534432493.9404,1784534434579,1784534434613.0,1784534435524.4683,2085.06,34.0,911.468,,3030.528
e-7,1784534432543.938,1784534434579,1784534434613.0,1784534435524.4736,2035.062,34.0,911.474,,2980.536
e-8,1784534432593.9395,1784534434579,1784534434613.0,1784534435524.475,1985.061,34.0,911.475,,2930.536
e-9,1784534432643.939,1784534434579,1784534434613.0,1784534435524.4763,1935.061,34.0,911.476,,2880.537
e-10,1784534432693.9397,1784534434579,1784534434614.0,1784534435524.4773,1885.06,35.0,910.477,,2830.538
e-11,1784534432743.9402,1784534434579,1784534434614.0,1784534435524.478,1835.06,35.0,910.478,,2780.538
e-12,1784534432793.9404,1784534434579,1784534434614.0,1784534435524.4788,1785.06,35.0,910.479,,2730.538
e-13,1784534432843.9424,1784534434579,1784534434614.0,1784534435524.4797,1735.058,35.0,910.48,,2680.537
e-14,1784534432894.0615,1784534434579,1784534434614.0,1784534435524.4873,1684.938,35.0,910.487,,2630.426
e-15,1784534432943.9438,1784534434579,1784534434614.0,1784534435524.488,1635.056,35.0,910.488,,2580.544
e-16,1784534432993.9373,1784534434579,1784534434614.0,1784534435524.4888,1585.063,35.0,910.489,,2530.552
e-17,1784534433043.9504,1784534434579,1784534434615.0,1784534435524.4897,1535.05,36.0,909.49,,2480.539
e-18,1784534433093.9436,1784534434579,1784534434615.0,1784534435524.4905,1485.056,36.0,909.49,,2430.547
e-19,1784534433143.9417,1784534434579,1784534434615.0,1784534435524.4912,1435.058,36.0,909.491,,2380.55
e-20,1784534433193.9417,1784534434579,1784534434615.0,1784534435524.4917,1385.058,36.0,909.492,,2330.55
e-21,1784534433243.9397,1784534434579,1784534434615.0,1784534435524.4924,1335.06,36.0,909.492,,2280.553
e-22,1784534433293.9417,1784534434579,1784534434615.0,1784534435524.493,1285.058,36.0,909.493,,2230.551
e-23,1784534433343.942,1784534434579,1784534434615.0,1784534435524.4937,1235.058,36.0,909.494,,2180.552
e-24,1784534433393.9412,1784534434579,1784534434616.0,1784534435524.4944,1185.059,37.0,908.494,,2130.553
e-25,1784534433443.9468,1784534434579,1784534434616.0,1784534435524.523,1135.053,37.0,908.523,,2080.576
e-26,1784534433493.941,1784534434579,1784534434616.0,1784534435524.524,1085.059,37.0,908.524,,2030.583
e-27,1784534433544.0107,1784534434579,1784534434616.0,1784534435524.5244,1034.989,37.0,908.524,,1980.514
e-28,1784534433593.9485,1784534434579,1784534434616.0,1784534435524.525,985.052,37.0,908.525,,1930.576
e-29,1784534433643.9448,1784534434579,1784534434616.0,1784534435524.5256,935.055,37.0,908.526,,1880.581
e-30,1784534433693.9375,1784534434579,1784534434617.0,1784534435524.5261,885.062,38.0,907.526,,1830.589
e-31,1784534433743.9373,1784534434579,1784534434617.0,1784534435524.5266,835.063,38.0,907.527,,1780.589
e-32,1784534433793.938,1784534434579,1784534434617.0,1784534435524.5273,785.062,38.0,907.527,,1730.589
e-33,1784534433843.9392,1784534434579,1784534434617.0,1784534435524.5283,735.061,38.0,907.528,,1680.589
e-34,1784534433893.9429,1784534434579,1784534434617.0,1784534435524.5479,685.057,38.0,907.548,,1630.605
e-35,1784534433943.9426,1784534434579,1784534434617.0,1784534435524.5542,635.057,38.0,907.554,,1580.612
e-36,1784534433993.944,1784534434579,1784534434618.0,1784534435524.555,585.056,39.0,906.555,,1530.611
e-37,1784534434043.9417,1784534434579,1784534434618.0,1784534435524.5557,535.058,39.0,906.556,,1480.614
e-38,1784534434093.9485,1784534434579,1784534434618.0,1784534435524.5562,485.052,39.0,906.556,,1430.608
e-39,1784534434143.947,1784534434579,1784534434618.0,1784534435524.557,435.053,39.0,906.557,,1380.61
e-40,1784534434193.9473,1784534434579,1784534434618.0,1784534435524.5576,385.053,39.0,906.558,,1330.61
e-41,1784534434243.9404,1784534434579,1784534434619.0,1784534435524.5647,335.06,40.0,905.565,,1280.624
e-42,1784534434293.9436,1784534434579,1784534434619.0,1784534435524.5654,285.056,40.0,905.565,,1230.622
e-43,1784534434343.9426,1784534434579,1784534434619.0,1784534435524.5662,235.057,40.0,905.566,,1180.624
e-44,1784534434393.9434,1784534434579,1784534434619.0,1784534435524.5667,185.057,40.0,905.567,,1130.623
e-45,1784534434443.9495,1784534434579,1784534434619.0,1784534435524.5674,135.051,40.0,905.567,,1080.618
e-46,1784534434493.941,1784534434579,1784534434620.0,1784534435524.5679,85.059,41.0,904.568,,1030.627
e-47,1784534434543.9404,1784534434579,1784534434620.0,1784534435524.5686,35.06,41.0,904.569,,980.628
e-48,1784534434593.9434,1784534435597,1784534435607.0,1784534436501.1223,1003.057,10.0,894.122,,1907.179
e-49,1784534434643.95,1784534435597,1784534435610.0,1784534436501.1255,953.05,13.0,891.125,,1857.176
e-50,1784534434693.9392,1784534435597,1784534435610.0,1784534436501.1262,903.061,13.0,891.126,,1807.187
e-51,1784534434743.9468,1784534435597,1784534435610.0,1784534436501.1267,853.053,13.0,891.127,,1757.18
e-52,1784534434793.9407,1784534435597,1784534435610.0,1784534436501.1272,803.059,13.0,891.127,,1707.187
e-53,1784534434843.9397,1784534435597,1784534435610.0,1784534436501.1287,753.06,13.0,891.129,,1657.189
e-54,1784534434893.9417,1784534435597,1784534435610.0,1784534436501.1292,703.058,13.0,891.129,,1607.188
e-55,1784534434943.9473,1784534435597,1784534435610.0,1784534436501.1296,653.053,13.0,891.13,,1557.182
e-56,1784534434993.948,1784534435597,1784534435610.0,1784534436501.1301,603.052,13.0,891.13,,1507.182
e-57,1784534435043.9443,1784534435597,1784534435611.0,1784534436501.1423,553.056,14.0,890.142,,1457.198
e-58,1784534435093.9478,1784534435597,1784534435611.0,1784534436501.1433,503.052,14.0,890.143,,1407.196
e-59,1784534435143.9473,1784534435597,1784534435611.0,1784534436501.1438,453.053,14.0,890.144,,1357.197
e-60,1784534435193.9443,1784534435597,1784534435611.0,1784534436501.1577,403.056,14.0,890.158,,1307.213
e-61,1784534435243.9424,1784534435597,1784534435611.0,1784534436501.1584,353.058,14.0,890.158,,1257.216
e-62,1784534435293.9412,1784534435597,1784534435611.0,1784534436501.6433,303.059,14.0,890.643,,1207.702
e-63,1784534435343.939,1784534435597,1784534435611.0,1784534436501.6465,253.061,14.0,890.646,,1157.708
e-64,1784534435394.216,1784534435597,1784534435611.0,1784534436501.6477,202.784,14.0,890.648,,1107.432
e-65,1784534435443.9512,1784534435597,1784534435611.0,1784534436501.6494,153.049,14.0,890.649,,1057.698
e-66,1784534435493.9473,1784534435597,1784534435611.0,1784534436501.6501,103.053,14.0,890.65,,1007.703
e-67,1784534435543.9385,1784534435597,1784534435612.0,1784534436501.651,53.062,15.0,889.651,,957.712
e-68,1784534435593.9375,1784534435597,1784534435612.0,1784534436501.6516,3.062,15.0,889.652,,907.714
e-69,1784534435643.951,1784534436647,1784534436653.0,1784534437471.2131,1003.049,6.0,818.213,,1827.262
