event_id,t0_ms,t1_ms,t2_ms,t3_ms,t1_t0_ms,t2_t1_ms,t3_t2_ms,latency_ms
e-0,1784185753793.8667,1784185756407,1784185756428.0,1784185757507.067,2613.133,21.0,1079.067,3713.2
e-1,1784185753843.3381,1784185756407,1784185756442.0,1784185757507.0693,2563.662,35.0,1065.069,3663.731
e-2,1784185753893.3445,1784185756407,1784185756442.0,1784185757507.0706,2513.656,35.0,1065.071,3613.726
e-3,1784185753943.3096,1784185756407,1784185756442.0,1784185757507.071,2463.69,35.0,1065.071,3563.761
e-4,1784185753993.372,1784185756407,1784185756442.0,1784185757507.0713,2413.628,35.0,1065.071,3513.699
e-5,1784185754043.3347,1784185756407,1784185756442.0,1784185757507.0718,2363.665,35.0,1065.072,3463.737
e-6,1784185754093.3672,1784185756407,1784185756443.0,1784185757507.072,2313.633,36.0,1064.072,3413.705
e-7,1784185754143.3677,1784185756407,1784185756443.0,1784185757507.077,2263.632,36.0,1064.077,3363.709
e-8,1784185754193.3313,1784185756407,1784185756443.0,1784185757507.0774,2213.669,36.0,1064.077,3313.746
e-9,1784185754243.347,1784185756407,1784185756443.0,1784185757507.0898,2163.653,36.0,1064.09,3263.743
e-10,1784185754293.3457,1784185756407,1784185756443.0,1784185757507.09,2113.654,36.0,1064.09,3213.744
e-11,1784185754343.3396,1784185756407,1784185756443.0,1784185757507.0906,2063.66,36.0,1064.091,3163.751
e-12,1784185754393.3027,1784185756407,1784185756443.0,1784185757507.0908,2013.697,36.0,1064.091,3113.788
e-13,1784185754445.6174,1784185756407,1784185756443.0,1784185757507.096,1961.383,36.0,1064.096,3061.479
e-14,1784185754493.364,1784185756407,1784185756444.0,1784185757507.0962,1913.636,37.0,1063.096,3013.732
e-15,1784185754543.3557,1784185756407,1784185756444.0,1784185757507.0964,1863.644,37.0,1063.096,2963.741
e-16,1784185754593.3564,1784185756407,1784185756444.0,1784185757507.0967,1813.644,37.0,1063.097,2913.74
e-17,1784185754643.3584,1784185756407,1784185756444.0,1784185757507.0972,1763.642,37.0,1063.097,2863.739
e-18,1784185754693.326,1784185756407,1784185756444.0,1784185757507.0974,1713.674,37.0,1063.097,2813.771
e-19,1784185754743.3682,1784185756407,1784185756444.0,1784185757507.0977,1663.632,37.0,1063.098,2763.729
e-20,1784185754793.3413,1784185756407,1784185756445.0,1784185757507.098,1613.659,38.0,1062.098,2713.757
