event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784534061243.947,1784534063761,1784534063785.0,1784534064668.5996,2517.053,24.0,883.6,,3424.653
e-1,1784534061294.0083,1784534063761,1784534063799.0,1784534064668.603,2466.992,38.0,869.603,,3374.595
e-2,1784534061344.0117,1784534063761,1784534063799.0,1784534064668.604,2416.988,38.0,869.604,,3324.592
e-3,1784534061394.0159,1784534063761,1784534063800.0,1784534064668.6047,2366.984,39.0,868.605,,3274.589
e-4,1784534061444.0076,1784534063761,1784534063800.0,1784534064668.6052,2316.992,39.0,868.605,,3224.598
e-5,1784534061494.189,1784534063761,1784534063801.0,1784534064668.6118,2266.811,40.0,867.612,,3174.423
e-6,1784534061544.0107,1784534063761,1784534063801.0,1784534064668.6125,2216.989,40.0,867.613,,3124.602
e-7,1784534061594.0125,1784534063761,1784534063801.0,1784534064668.6172,2166.988,40.0,867.617,,3074.605
e-8,1784534061644.0142,1784534063761,1784534063801.0,1784534064668.6182,2116.986,40.0,867.618,,3024.604
e-9,1784534061694.0164,1784534063761,1784534063801.0,1784534064668.6191,2066.984,40.0,867.619,,2974.603
e-10,1784534061744.0134,1784534063761,1784534063801.0,1784534064668.6323,2016.987,40.0,867.632,,2924.619
e-11,1784534061794.011,1784534063761,1784534063801.0,1784534064668.633,1966.989,40.0,867.633,,2874.622
e-12,1784534061844.0134,1784534063761,1784534063801.0,1784534064668.6335,1916.987,40.0,867.634,,2824.62
e-13,1784534061894.0127,1784534063761,1784534063802.0,1784534064668.634,1866.987,41.0,866.634,,2774.621
e-14,1784534061944.0154,1784534063761,1784534063802.0,1784534064668.638,1816.985,41.0,866.638,,2724.623
e-15,1784534061994.013,1784534063761,1784534063802.0,1784534064668.6384,1766.987,41.0,866.638,,2674.625
e-16,1784534062044.0706,1784534063761,1784534063802.0,1784534064668.639,1716.929,41.0,866.639,,2624.568
e-17,1784534062094.016,1784534063761,1784534063802.0,1784534064668.6394,1666.984,41.0,866.639,,2574.623
e-18,1784534062144.0125,1784534063761,1784534063802.0,1784534064668.64,1616.988,41.0,866.64,,2524.627
e-19,1784534062194.009,1784534063761,1784534063802.0,1784534064668.6404,1566.991,41.0,866.64,,2474.631
e-20,1784534062244.0142,1784534063761,1784534063802.0,1784534064668.7842,1516.986,41.0,866.784,,2424.77
