event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784387031674.471,1784387034280,1784387034307.0,1784387035340.2832,2605.529,27.0,1033.283,,3665.812
e-1,1784387031726.5503,1784387034280,1784387034323.0,1784387035340.286,2553.45,43.0,1017.286,,3613.736
e-2,1784387031773.8774,1784387034280,1784387034323.0,1784387035340.287,2506.123,43.0,1017.287,,3566.41
e-3,1784387031823.8816,1784387034280,1784387034324.0,1784387035340.288,2456.118,44.0,1016.288,,3516.406
e-4,1784387031873.8389,1784387034280,1784387034325.0,1784387035340.2888,2406.161,45.0,1015.289,,3466.45
e-5,1784387031923.874,1784387034280,1784387034325.0,1784387035340.3064,2356.126,45.0,1015.306,,3416.432
e-6,1784387031973.8784,1784387034280,1784387034325.0,1784387035340.3074,2306.122,45.0,1015.307,,3366.429
e-7,1784387032023.8687,1784387034280,1784387034325.0,1784387035340.4106,2256.131,45.0,1015.411,,3316.542
e-8,1784387032073.8813,1784387034280,1784387034325.0,1784387035340.9868,2206.119,45.0,1015.987,,3267.105
e-9,1784387032123.8665,1784387034280,1784387034325.0,1784387035340.989,2156.134,45.0,1015.989,,3217.123
e-10,1784387032173.8765,1784387034280,1784387034325.0,1784387035340.9895,2106.124,45.0,1015.99,,3167.113
e-11,1784387032223.8918,1784387034280,1784387034326.0,1784387035340.9902,2056.108,46.0,1014.99,,3117.098
e-12,1784387032274.554,1784387034280,1784387034326.0,1784387035340.991,2005.446,46.0,1014.991,,3066.437
e-13,1784387032323.8792,1784387034280,1784387034326.0,1784387035341.0022,1956.121,46.0,1015.002,,3017.123
e-14,1784387032373.88,1784387034280,1784387034326.0,1784387035341.003,1906.12,46.0,1015.003,,2967.123
e-15,1784387032423.8987,1784387034280,1784387034326.0,1784387035341.0034,1856.101,46.0,1015.003,,2917.105
e-16,1784387032474.3093,1784387034280,1784387034326.0,1784387035341.004,1805.691,46.0,1015.004,,2866.695
e-17,1784387032523.9033,1784387034280,1784387034326.0,1784387035341.005,1756.097,46.0,1015.005,,2817.102
e-18,1784387032573.8967,1784387034280,1784387034326.0,1784387035341.0054,1706.103,46.0,1015.005,,2767.109
e-19,1784387032623.8745,1784387034280,1784387034327.0,1784387035341.0059,1656.125,47.0,1014.006,,2717.131
e-20,1784387032673.8557,1784387034280,1784387034327.0,1784387035341.0066,1606.144,47.0,1014.007,,2667.151
e-21,1784387032723.873,1784387034280,1784387034327.0,1784387035341.007,1556.127,47.0,1014.007,,2617.134
e-22,1784387032773.8718,1784387034280,1784387034327.0,1784387035341.0076,1506.128,47.0,1014.008,,2567.136
e-23,1784387032823.8674,1784387034280,1784387034327.0,1784387035341.0083,1456.133,47.0,1014.008,,2517.141
e-24,1784387032873.8716,1784387034280,1784387034327.0,1784387035341.009,1406.128,47.0,1014.009,,2467.137
e-25,1784387032923.8726,1784387034280,1784387034327.0,1784387035341.01,1356.127,47.0,1014.01,,2417.137
e-26,1784387032973.8674,1784387034280,1784387034327.0,1784387035341.0105,1306.133,47.0,1014.01,,2367.143
e-27,1784387033023.8674,1784387034280,1784387034327.0,1784387035341.011,1256.133,47.0,1014.011,,2317.144
e-28,1784387033073.871,1784387034280,1784387034328.0,1784387035341.0115,1206.129,48.0,1013.011,,2267.14
e-29,1784387033123.8757,1784387034280,1784387034328.0,1784387035341.012,1156.124,48.0,1013.012,,2217.136
e-30,1784387033173.8718,1784387034280,1784387034328.0,1784387035341.017,1106.128,48.0,1013.017,,2167.145
e-31,1784387033223.8567,1784387034280,1784387034328.0,1784387035341.0176,1056.143,48.0,1013.018,,2117.161
e-32,1784387033273.8816,1784387034280,1784387034328.0,1784387035341.018,1006.118,48.0,1013.018,,2067.136
e-33,1784387033323.8728,1784387034280,1784387034328.0,1784387035341.019,956.127,48.0,1013.019,,2017.146
e-34,1784387033373.883,1784387034280,1784387034329.0,1784387035341.0327,906.117,49.0,1012.033,,1967.15
e-35,1784387033423.882,1784387034280,1784387034329.0,1784387035341.0334,856.118,49.0,1012.033,,1917.151
e-36,1784387033473.8906,1784387034280,1784387034329.0,1784387035341.034,806.109,49.0,1012.034,,1867.143
e-37,1784387033523.877,1784387034280,1784387034329.0,1784387035341.0344,756.123,49.0,1012.034,,1817.157
e-38,1784387033573.8828,1784387034280,1784387034329.0,1784387035341.035,706.117,49.0,1012.035,,1767.152
e-39,1784387033623.8716,1784387034280,1784387034329.0,1784387035341.0396,656.128,49.0,1012.04,,1717.168
e-40,1784387033673.8762,1784387034280,1784387034329.0,1784387035341.04,606.124,49.0,1012.04,,1667.164
e-41,1784387033723.8704,1784387034280,1784387034329.0,1784387035341.041,556.13,49.0,1012.041,,1617.171
e-42,1784387033773.8557,1784387034280,1784387034329.0,1784387035341.0417,506.144,49.0,1012.042,,1567.186
e-43,1784387033823.8848,1784387034280,1784387034330.0,1784387035341.0793,456.115,50.0,1011.079,,1517.195
e-44,1784387033873.8474,1784387034280,1784387034330.0,1784387035341.0798,406.153,50.0,1011.08,,1467.232
e-45,1784387033923.8447,1784387034280,1784387034330.0,1784387035341.0803,356.155,50.0,1011.08,,1417.236
e-46,1784387033973.8442,1784387034280,1784387034330.0,1784387035341.1167,306.156,50.0,1011.117,,1367.272
e-47,1784387034023.847,1784387034280,1784387034330.0,1784387035341.1172,256.153,50.0,1011.117,,1317.27
e-48,1784387034073.8435,1784387034280,1784387034331.0,1784387035341.159,206.156,51.0,1010.159,,1267.315
e-49,1784387034123.855,1784387034280,1784387034331.0,1784387035341.1594,156.145,51.0,1010.159,,1217.304
e-50,1784387034173.8506,1784387034280,1784387034331.0,1784387035341.2454,106.149,51.0,1010.245,,1167.395
e-51,1784387034223.8523,1784387034280,1784387034331.0,1784387035341.2458,56.148,51.0,1010.246,,1117.394
e-52,1784387034273.8784,1784387035277,1784387035300.0,1784387036277.304,1003.122,23.0,977.304,,2003.426
e-53,1784387034323.9153,1784387035277,1784387035302.0,1784387036277.3086,953.085,25.0,975.309,,1953.393
e-54,1784387034373.8835,1784387035277,1784387035302.0,1784387036277.31,903.116,25.0,975.31,,1903.427
e-55,1784387034423.8564,1784387035277,1784387035302.0,1784387036277.3108,853.144,25.0,975.311,,1853.454
e-56,1784387034473.856,1784387035277,1784387035302.0,1784387036277.322,803.144,25.0,975.322,,1803.466
e-57,1784387034523.8555,1784387035277,1784387035302.0,1784387036277.3228,753.145,25.0,975.323,,1753.467
e-58,1784387034573.8591,1784387035277,1784387035302.0,1784387036277.3232,703.141,25.0,975.323,,1703.464
e-59,1784387034623.8464,1784387035277,1784387035303.0,1784387036277.3237,653.154,26.0,974.324,,1653.477
e-60,1784387034673.8457,1784387035277,1784387035303.0,1784387036277.3242,603.154,26.0,974.324,,1603.479
e-61,1784387034723.8586,1784387035277,1784387035303.0,1784387036277.3247,553.141,26.0,974.325,,1553.466
e-62,1784387034773.8562,1784387035277,1784387035303.0,1784387036277.3252,503.144,26.0,974.325,,1503.469
e-63,1784387034823.8718,1784387035277,1784387035303.0,1784387036277.3381,453.128,26.0,974.338,,1453.466
e-64,1784387034873.858,1784387035277,1784387035303.0,1784387036277.3386,403.142,26.0,974.339,,1403.481
e-65,1784387034923.8474,1784387035277,1784387035303.0,1784387036277.6472,353.153,26.0,974.647,,1353.8
e-66,1784387034973.8584,1784387035277,1784387035303.0,1784387036277.648,303.142,26.0,974.648,,1303.79
e-67,1784387035023.8584,1784387035277,1784387035304.0,1784387036277.6484,253.142,27.0,973.648,,1253.79
e-68,1784387035073.863,1784387035277,1784387035304.0,1784387036277.6487,203.137,27.0,973.649,,1203.786
e-69,1784387035123.8687,1784387035277,1784387035304.0,1784387036277.6494,153.131,27.0,973.649,,1153.781
