event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784560596808.242,1784560599199,1784560599221.0,1784560599498.4219,2390.758,22.0,277.422,,2690.18
e-1,1784560596858.3064,1784560599199,1784560599421.0,1784560600423.2944,2340.694,222.0,1002.294,,3564.988
e-2,1784560596908.3022,1784560599199,1784560599423.0,1784560600423.298,2290.698,224.0,1000.298,,3514.996
e-3,1784560596958.3113,1784560599199,1784560599423.0,1784560600423.299,2240.689,224.0,1000.299,,3464.988
e-4,1784560597008.304,1784560599199,1784560599423.0,1784560600423.3,2190.696,224.0,1000.3,,3414.996
e-5,1784560597058.3052,1784560599199,1784560599423.0,1784560600423.301,2140.695,224.0,1000.301,,3364.996
e-6,1784560597108.2944,1784560599199,1784560599424.0,1784560600423.3018,2090.706,225.0,999.302,,3315.007
e-7,1784560597158.2998,1784560599199,1784560599424.0,1784560600423.3064,2040.7,225.0,999.306,,3265.007
e-8,1784560597208.3015,1784560599199,1784560599424.0,1784560600423.3076,1990.698,225.0,999.308,,3215.006
e-9,1784560597258.3052,1784560599199,1784560599424.0,1784560600423.3086,1940.695,225.0,999.309,,3165.003
e-10,1784560597308.3137,1784560599199,1784560599424.0,1784560600423.309,1890.686,225.0,999.309,,3114.995
e-11,1784560597359.539,1784560599199,1784560599424.0,1784560600423.3096,1839.461,225.0,999.31,,3063.771
e-12,1784560597408.3008,1784560599199,1784560599425.0,1784560600423.31,1790.699,226.0,998.31,,3015.009
e-13,1784560597458.3147,1784560599199,1784560599425.0,1784560600423.324,1740.685,226.0,998.324,,2965.009
e-14,1784560597508.313,1784560599199,1784560599425.0,1784560600423.3306,1690.687,226.0,998.331,,2915.018
e-15,1784560597558.3237,1784560599199,1784560599425.0,1784560600424.2942,1640.676,226.0,999.294,,2865.97
e-16,1784560597608.3054,1784560599199,1784560599425.0,1784560600424.2957,1590.695,226.0,999.296,,2815.99
e-17,1784560597658.304,1784560599199,1784560599425.0,1784560600424.2966,1540.696,226.0,999.297,,2765.993
e-18,1784560597708.3052,1784560599199,1784560599426.0,1784560600424.2974,1490.695,227.0,998.297,,2715.992
e-19,1784560597758.7217,1784560599199,1784560599426.0,1784560600424.2979,1440.278,227.0,998.298,,2665.576
e-20,1784560597808.3206,1784560599199,1784560599426.0,1784560600424.2983,1390.679,227.0,998.298,,2615.978
e-21,1784560597858.3198,1784560599199,1784560599426.0,1784560600424.2988,1340.68,227.0,998.299,,2565.979
e-22,1784560597908.3127,1784560599199,1784560599426.0,1784560600424.2993,1290.687,227.0,998.299,,2515.987
e-23,1784560597958.312,1784560599199,1784560599426.0,1784560600424.2998,1240.688,227.0,998.3,,2465.988
e-24,1784560598008.311,1784560599199,1784560599427.0,1784560600424.3003,1190.689,228.0,997.3,,2415.989
e-25,1784560598058.3093,1784560599199,1784560599427.0,1784560600424.3013,1140.691,228.0,997.301,,2365.992
e-26,1784560598108.3027,1784560599199,1784560599427.0,1784560600424.3018,1090.697,228.0,997.302,,2315.999
e-27,1784560598158.3127,1784560599199,1784560599427.0,1784560600424.3022,1040.687,228.0,997.302,,2265.99
e-28,1784560598208.3125,1784560599199,1784560599427.0,1784560600424.3027,990.688,228.0,997.303,,2215.99
e-29,1784560598258.3164,1784560599199,1784560599427.0,1784560600424.3032,940.684,228.0,997.303,,2165.987
e-30,1784560598308.3132,1784560599199,1784560599427.0,1784560600424.3074,890.687,228.0,997.307,,2115.994
e-31,1784560598358.3066,1784560599199,1784560599428.0,1784560600424.3079,840.693,229.0,996.308,,2066.001
e-32,1784560598408.3027,1784560599199,1784560599428.0,1784560600424.3083,790.697,229.0,996.308,,2016.006
e-33,1784560598458.3052,1784560599199,1784560599428.0,1784560600424.309,740.695,229.0,996.309,,1966.004
e-34,1784560598508.3037,1784560599199,1784560599428.0,1784560600424.3096,690.696,229.0,996.31,,1916.006
e-35,1784560598558.3008,1784560599199,1784560599428.0,1784560600424.3184,640.699,229.0,996.318,,1866.018
e-36,1784560598608.2954,1784560599199,1784560599428.0,1784560600424.3193,590.705,229.0,996.319,,1816.024
e-37,1784560598658.3037,1784560599199,1784560599428.0,1784560600424.32,540.696,229.0,996.32,,1766.016
e-38,1784560598708.3064,1784560599199,1784560599429.0,1784560600424.3208,490.694,230.0,995.321,,1716.014
e-39,1784560598758.2993,1784560599199,1784560599429.0,1784560600424.3213,440.701,230.0,995.321,,1666.022
e-40,1784560598808.3,1784560599199,1784560599429.0,1784560600424.322,390.7,230.0,995.322,,1616.022
e-41,1784560598858.3047,1784560599199,1784560599429.0,1784560600424.3232,340.695,230.0,995.323,,1566.019
e-42,1784560598908.3054,1784560599199,1784560599429.0,1784560600424.324,290.695,230.0,995.324,,1516.019
e-43,1784560598958.3074,1784560599199,1784560599429.0,1784560600424.3247,240.693,230.0,995.325,,1466.017
