event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-41-60000,1784421482261.2393,1784421482813,1784421488134.0,1784421488835.3806,551.761,5321.0,701.381,1784420828134.0,6574.141
ss-19-60000,1784421486761.274,1784421487013,1784421488155.0,1784421488835.3862,251.726,1142.0,680.386,1784420828155.0,2074.112
ss-7-60000,1784421485661.2542,1784421485964,1784421488155.0,1784421488835.389,302.746,2191.0,680.389,1784420828155.0,3174.135
ss-54-60000,1784421483361.257,1784421483864,1784421488156.0,1784421488835.3904,502.743,4292.0,679.39,1784420828156.0,5474.133
ss-24-60000,1784421485011.2476,1784421485964,1784421488156.0,1784421488835.3916,952.752,2192.0,679.392,1784420828156.0,3824.144
ss-39-60000,1784421486161.253,1784421487013,1784421488156.0,1784421488835.3928,851.747,1143.0,679.393,1784420828156.0,2674.14
ss-12-60000,1784421471561.23,1784421472314,1784421488156.0,1784421488835.394,752.77,15842.0,679.394,1784420828156.0,17274.164
ss-2-60000,1784421486211.247,1784421487013,1784421488156.0,1784421488835.401,801.753,1143.0,679.401,1784420828156.0,2624.154
ss-21-60000,1784421484061.2456,1784421484914,1784421488156.0,1784421488835.4023,852.754,3242.0,679.402,1784420828156.0,4774.157
ss-72-60000,1784421487261.2515,1784421488063,1784421488157.0,1784421488835.4036,801.749,94.0,678.404,1784420828157.0,1574.152
ss-14-60000,1784421487611.2415,1784421488063,1784421488157.0,1784421488835.4045,451.759,94.0,678.405,1784420828157.0,1224.163
ss-91-60000,1784421487361.223,1784421488063,1784421488157.0,1784421488835.4053,701.777,94.0,678.405,1784420828157.0,1474.182
ss-98-60000,1784421479811.2546,1784421480713,1784421488157.0,1784421488835.406,901.745,7444.0,678.406,1784420828157.0,9024.151
ss-16-60000,1784421487411.221,1784421488063,1784421488158.0,1784421488835.4229,651.779,95.0,677.423,1784420828158.0,1424.202
ss-28-60000,1784421487861.237,1784421488063,1784421488158.0,1784421488835.4238,201.763,95.0,677.424,1784420828158.0,974.187
ss-79-60000,1784421472311.2358,1784421472314,1784421488158.0,1784421488835.4246,2.764,15844.0,677.425,1784420828158.0,16524.189
ss-31-60000,1784421486011.2544,1784421487013,1784421488158.0,1784421488835.4329,1001.746,1145.0,677.433,1784420828158.0,2824.178
ss-50-60000,1784421486511.2542,1784421487013,1784421488158.0,1784421488835.434,501.746,1145.0,677.434,1784420828158.0,2324.18
ss-63-60000,1784421484761.2483,1784421484914,1784421488159.0,1784421488835.4348,152.752,3245.0,676.435,1784420828159.0,4074.187
ss-51-60000,1784421486061.2378,1784421487013,1784421488159.0,1784421488835.4355,951.762,1146.0,676.436,1784420828159.0,2774.198
ss-99-60000,1784421472661.2363,1784421473363,1784421488159.0,1784421488835.4434,701.764,14796.0,676.443,1784420828159.0,16174.207
ss-35-60000,1784421485711.257,1784421485964,1784421488159.0,1784421488835.4443,252.743,2195.0,676.444,1784420828159.0,3124.187
ss-70-60000,1784421487111.224,1784421488063,1784421488159.0,1784421488835.445,951.776,96.0,676.445,1784420828159.0,1724.221
ss-90-60000,1784421486311.2412,1784421487013,1784421488159.0,1784421488835.446,701.759,1146.0,676.446,1784420828159.0,2524.205
ss-9-60000,1784421487661.2656,1784421488063,1784421488160.0,1784421488835.792,401.734,97.0,675.792,1784420828160.0,1174.526
ss-64-60000,1784421484711.2544,1784421484914,1784421488160.0,1784421488835.797,202.746,3246.0,675.797,1784420828160.0,4124.543
ss-80-60000,1784421481511.2354,1784421481764,1784421488160.0,1784421488835.811,252.765,6396.0,675.811,1784420828160.0,7324.576
ss-59-60000,1784421486611.2476,1784421487013,1784421488160.0,1784421488835.8118,401.752,1147.0,675.812,1784420828160.0,2224.564
ss-45-60000,1784421476511.2693,1784421476514,1784421488160.0,1784421488835.813,2.731,11646.0,675.813,1784420828160.0,12324.544
ss-48-60000,1784421485561.2563,1784421485964,1784421488160.0,1784421488835.8145,402.744,2196.0,675.814,1784420828160.0,3274.558
