event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-41-60000,1784535967188.5264,1784535967190,1784535973570.0,1784535974325.5535,1.474,6380.0,755.553,1784535313570.0,7137.027
ss-19-60000,1784535971688.5374,1784535972440,1784535973584.0,1784535974325.5579,751.463,1144.0,741.558,1784535313584.0,2637.021
ss-7-60000,1784535970588.5244,1784535971391,1784535973584.0,1784535974325.5593,802.476,2193.0,741.559,1784535313584.0,3737.035
ss-54-60000,1784535968288.529,1784535969290,1784535973585.0,1784535974325.5605,1001.471,4295.0,740.561,1784535313585.0,6037.031
ss-24-60000,1784535969938.5283,1784535970340,1784535973585.0,1784535974325.5615,401.472,3245.0,740.562,1784535313585.0,4387.033
ss-39-60000,1784535971088.523,1784535971391,1784535973585.0,1784535974325.5625,302.477,2194.0,740.562,1784535313585.0,3237.04
ss-12-60000,1784535956488.549,1784535956890,1784535973585.0,1784535974325.5635,401.451,16695.0,740.563,1784535313585.0,17837.014
ss-2-60000,1784535971138.538,1784535971391,1784535973585.0,1784535974325.5698,252.462,2194.0,740.57,1784535313585.0,3187.032
ss-21-60000,1784535968988.5276,1784535969290,1784535973585.0,1784535974325.5713,301.472,4295.0,740.571,1784535313585.0,5337.044
ss-72-60000,1784535972188.5344,1784535972440,1784535973585.0,1784535974325.5725,251.466,1145.0,740.573,1784535313585.0,2137.038
ss-14-60000,1784535972538.5405,1784535973490,1784535973585.0,1784535974325.5806,951.459,95.0,740.581,1784535313585.0,1787.04
ss-91-60000,1784535972288.5288,1784535972440,1784535973586.0,1784535974325.597,151.471,1146.0,739.597,1784535313586.0,2037.068
ss-98-60000,1784535964738.5398,1784535965140,1784535973586.0,1784535974325.5977,401.46,8446.0,739.598,1784535313586.0,9587.058
ss-16-60000,1784535972338.5261,1784535972440,1784535973586.0,1784535974325.5981,101.474,1146.0,739.598,1784535313586.0,1987.072
ss-28-60000,1784535972788.5295,1784535973490,1784535973587.0,1784535974325.5989,701.47,97.0,738.599,1784535313587.0,1537.069
ss-79-60000,1784535957238.545,1784535957890,1784535973587.0,1784535974325.5994,651.455,15697.0,738.599,1784535313587.0,17087.054
ss-31-60000,1784535970938.5378,1784535971391,1784535973587.0,1784535974325.604,452.462,2196.0,738.604,1784535313587.0,3387.066
ss-50-60000,1784535971438.5317,1784535972440,1784535973587.0,1784535974325.605,1001.468,1147.0,738.605,1784535313587.0,2887.073
ss-63-60000,1784535969688.5195,1784535970340,1784535973587.0,1784535974325.7104,651.48,3247.0,738.71,1784535313587.0,4637.191
ss-51-60000,1784535970988.5876,1784535971391,1784535973587.0,1784535974325.7139,402.412,2196.0,738.714,1784535313587.0,3337.126
ss-99-60000,1784535957588.5247,1784535957890,1784535973587.0,1784535974325.7146,301.475,15697.0,738.715,1784535313587.0,16737.19
ss-35-60000,1784535970638.5327,1784535971391,1784535973588.0,1784535974325.7153,752.467,2197.0,737.715,1784535313588.0,3687.183
ss-70-60000,1784535972038.537,1784535972440,1784535973588.0,1784535974325.7283,401.463,1148.0,737.728,1784535313588.0,2287.191
ss-90-60000,1784535971238.5405,1784535971391,1784535973588.0,1784535974325.7297,152.459,2197.0,737.73,1784535313588.0,3087.189
ss-9-60000,1784535972588.5269,1784535973490,1784535973588.0,1784535974325.746,901.473,98.0,737.746,1784535313588.0,1737.219
ss-64-60000,1784535969638.5288,1784535970340,1784535973588.0,1784535974325.7483,701.471,3248.0,737.748,1784535313588.0,4687.219
ss-80-60000,1784535966438.522,1784535967190,1784535973588.0,1784535974325.8188,751.478,6398.0,737.819,1784535313588.0,7887.297
ss-59-60000,1784535971538.5344,1784535972440,1784535973588.0,1784535974325.8208,901.466,1148.0,737.821,1784535313588.0,2787.286
ss-45-60000,1784535961438.533,1784535962069,1784535973589.0,1784535974325.8987,630.467,11520.0,736.899,1784535313589.0,12887.366
ss-48-60000,1784535970488.5261,1784535971391,1784535973589.0,1784535974325.901,902.474,2198.0,736.901,1784535313589.0,3837.375
ss-58-60000,1784535971988.527,1784535972440,1784535973589.0,1784535974325.9016,451.473,1149.0,736.902,1784535313589.0,2337.375
ss-29-60000,1784535963338.5286,1784535964093,1784535973589.0,1784535974325.9026,754.471,9496.0,736.903,1784535313589.0,10987.374
ss-84-60000,1784535967938.5254,1784535968241,1784535973589.0,1784535974325.9033,302.475,5348.0,736.903,1784535313589.0,6387.378
ss-74-60000,1784535972688.5308,1784535973490,1784535973589.0,1784535974325.9045,801.469,99.0,736.905,1784535313589.0,1637.374
ss-38-60000,1784535972938.5251,1784535973490,1784535973589.0,1784535974325.9053,551.475,99.0,736.905,1784535313589.0,1387.38
ss-1-60000,1784535972888.53,1784535973490,1784535973590.0,1784535974325.906,601.47,100.0,735.906,1784535313590.0,1437.376
ss-23-60000,1784535954138.527,1784535954790,1784535973590.0,1784535974325.9143,651.473,18800.0,735.914,1784535313590.0,20187.387
ss-75-60000,1784535971338.5293,1784535971391,1784535973590.0,1784535974325.9258,52.471,2199.0,735.926,1784535313590.0,2987.396
