event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-41-60000,1784418475167.512,1784418475270,1784418481659.0,1784418482587.715,102.488,6389.0,928.715,1784417821659.0,7420.203
ss-19-60000,1784418479667.5342,1784418480469,1784418481671.0,1784418482587.7185,801.466,1202.0,916.719,1784417821671.0,2920.184
ss-7-60000,1784418478567.5193,1784418479469,1784418481671.0,1784418482587.72,901.481,2202.0,916.72,1784417821671.0,4020.201
ss-54-60000,1784418476267.4846,1784418476320,1784418481671.0,1784418482587.721,52.515,5351.0,916.721,1784417821671.0,6320.236
ss-24-60000,1784418477917.5212,1784418478420,1784418481671.0,1784418482587.7214,502.479,3251.0,916.721,1784417821671.0,4670.2
ss-39-60000,1784418479067.5203,1784418479469,1784418481671.0,1784418482587.7227,401.48,2202.0,916.723,1784417821671.0,3520.202
ss-12-60000,1784418464467.5618,1784418464870,1784418481671.0,1784418482587.7236,402.438,16801.0,916.724,1784417821671.0,18120.162
ss-2-60000,1784418479117.5208,1784418479469,1784418481672.0,1784418482587.7297,351.479,2203.0,915.73,1784417821672.0,3470.209
ss-21-60000,1784418476967.5464,1784418477370,1784418481672.0,1784418482587.7305,402.454,4302.0,915.73,1784417821672.0,5620.184
ss-72-60000,1784418480167.5134,1784418480469,1784418481672.0,1784418482587.736,301.487,1203.0,915.736,1784417821672.0,2420.223
ss-14-60000,1784418480517.5193,1784418481519,1784418481672.0,1784418482587.7476,1001.481,153.0,915.748,1784417821672.0,2070.228
ss-91-60000,1784418480267.512,1784418480469,1784418481672.0,1784418482587.748,201.488,1203.0,915.748,1784417821672.0,2320.236
ss-98-60000,1784418472717.5154,1784418473170,1784418481672.0,1784418482587.7485,452.485,8502.0,915.749,1784417821672.0,9870.233
ss-16-60000,1784418480317.5193,1784418480469,1784418481672.0,1784418482587.7488,151.481,1203.0,915.749,1784417821672.0,2270.229
ss-28-60000,1784418480767.5117,1784418481519,1784418481672.0,1784418482587.7493,751.488,153.0,915.749,1784417821672.0,1820.238
ss-79-60000,1784418465217.5117,1784418465921,1784418481673.0,1784418482587.7498,703.488,15752.0,914.75,1784417821673.0,17370.238
ss-31-60000,1784418478917.5146,1784418479469,1784418481674.0,1784418482587.7527,551.485,2205.0,913.753,1784417821674.0,3670.238
ss-50-60000,1784418479418.6536,1784418479469,1784418481674.0,1784418482587.7532,50.346,2205.0,913.753,1784417821674.0,3169.1
ss-63-60000,1784418477667.516,1784418478420,1784418481674.0,1784418482587.7537,752.484,3254.0,913.754,1784417821674.0,4920.238
ss-51-60000,1784418478967.5215,1784418479469,1784418481674.0,1784418482587.754,501.479,2205.0,913.754,1784417821674.0,3620.232
ss-99-60000,1784418465567.5103,1784418465921,1784418481674.0,1784418482587.7544,353.49,15753.0,913.754,1784417821674.0,17020.244
ss-35-60000,1784418478617.523,1784418479469,1784418481674.0,1784418482588.5706,851.477,2205.0,914.571,1784417821674.0,3971.048
ss-70-60000,1784418480017.5364,1784418480469,1784418481674.0,1784418482588.572,451.464,1205.0,914.572,1784417821674.0,2571.036
ss-90-60000,1784418479217.5308,1784418479469,1784418481674.0,1784418482588.5725,251.469,2205.0,914.573,1784417821674.0,3371.042
ss-9-60000,1784418480567.5183,1784418481519,1784418481674.0,1784418482588.573,951.482,155.0,914.573,1784417821674.0,2021.055
ss-64-60000,1784418477617.5178,1784418478420,1784418481675.0,1784418482588.5742,802.482,3255.0,913.574,1784417821675.0,4971.056
ss-80-60000,1784418474417.536,1784418475270,1784418481675.0,1784418482588.575,852.464,6405.0,913.575,1784417821675.0,8171.039
ss-59-60000,1784418479517.5383,1784418480469,1784418481675.0,1784418482588.5752,951.462,1206.0,913.575,1784417821675.0,3071.037
ss-45-60000,1784418469417.5222,1784418470069,1784418481675.0,1784418482588.5757,651.478,11606.0,913.576,1784417821675.0,13171.053
ss-48-60000,1784418478467.5269,1784418479469,1784418481675.0,1784418482588.5762,1001.473,2206.0,913.576,1784417821675.0,4121.049
ss-58-60000,1784418479967.5427,1784418480469,1784418481675.0,1784418482588.5764,501.457,1206.0,913.576,1784417821675.0,2621.034
ss-29-60000,1784418471317.5303,1784418472168,1784418481675.0,1784418482588.577,850.47,9507.0,913.577,1784417821675.0,11271.047
ss-84-60000,1784418475917.5125,1784418476320,1784418481675.0,1784418482588.58,402.488,5355.0,913.58,1784417821675.0,6671.068
ss-74-60000,1784418480667.5222,1784418481519,1784418481675.0,1784418482588.5806,851.478,156.0,913.581,1784417821675.0,1921.058
ss-38-60000,1784418480917.5093,1784418481519,1784418481676.0,1784418482588.581,601.491,157.0,912.581,1784417821676.0,1671.072
ss-1-60000,1784418480867.5164,1784418481519,1784418481676.0,1784418482588.5813,651.484,157.0,912.581,1784417821676.0,1721.065
ss-23-60000,1784418462117.5256,1784418462820,1784418481676.0,1784418482588.5815,702.474,18856.0,912.582,1784417821676.0,20471.056
ss-75-60000,1784418479317.5176,1784418479469,1784418481676.0,1784418482588.582,151.482,2207.0,912.582,1784417821676.0,3271.064
ss-33-60000,1784418478167.5103,1784418478420,1784418481676.0,1784418482588.583,252.49,3256.0,912.583,1784417821676.0,4421.073
ss-4-60000,1784418480217.516,1784418480469,1784418481676.0,1784418482588.5854,251.484,1207.0,912.585,1784417821676.0,2371.069
ss-6-60000,1784418476867.5273,1784418477370,1784418481676.0,1784418482588.586,502.473,4306.0,912.586,1784417821676.0,5721.059
ss-0-60000,1784418479367.5073,1784418479469,1784418481676.0,1784418482588.5872,101.493,2207.0,912.587,1784417821676.0,3221.08
ss-10-60000,1784418476567.5264,1784418477370,1784418481676.0,1784418482588.588,802.474,4306.0,912.588,1784417821676.0,6021.062
ss-47-60000,1784418476217.5085,1784418476320,1784418481676.0,1784418482588.5884,102.491,5356.0,912.588,1784417821676.0,6371.08
ss-65-60000,1784418476117.5234,1784418476320,1784418481677.0,1784418482588.5886,202.477,5357.0,911.589,1784417821677.0,6471.065
ss-71-60000,1784418463567.541,1784418463869,1784418481677.0,1784418482588.5894,301.459,17808.0,911.589,1784417821677.0,19021.048
ss-43-60000,1784418478517.5327,1784418479469,1784418481677.0,1784418482588.5896,951.467,2208.0,911.59,1784417821677.0,4071.057
ss-86-60000,1784418473417.5237,1784418474220,1784418481677.0,1784418482588.59,802.476,7457.0,911.59,1784417821677.0,9171.066
ss-61-60000,1784418477367.5151,1784418477370,1784418481677.0,1784418482588.5903,2.485,4307.0,911.59,1784417821677.0,5221.075
ss-57-60000,1784418479567.5315,1784418480469,1784418481677.0,1784418482588.5908,901.469,1208.0,911.591,1784417821677.0,3021.059
ss-26-60000,1784418476517.533,1784418477370,1784418481677.0,1784418482588.5913,852.467,4307.0,911.591,1784417821677.0,6071.058
ss-83-60000,1784418477217.5173,1784418477370,1784418481677.0,1784418482588.5916,152.483,4307.0,911.592,1784417821677.0,5371.074
ss-68-60000,1784418472017.5215,1784418472168,1784418481677.0,1784418482588.5945,150.479,9509.0,911.594,1784417821677.0,10571.073
ss-55-60000,1784418455267.5176,1784418455669,1784418481677.0,1784418482588.5952,401.482,26008.0,911.595,1784417821677.0,27321.078
ss-77-60000,1784418474367.5388,1784418475270,1784418481678.0,1784418482588.596,902.461,6408.0,910.596,1784417821678.0,8221.057
ss-20-60000,1784418469067.517,1784418470069,1784418481678.0,1784418482588.5964,1001.483,11609.0,910.596,1784417821678.0,13521.079
ss-3-60000,1784418476317.5522,1784418476320,1784418481678.0,1784418482588.5967,2.448,5358.0,910.597,1784417821678.0,6271.044
ss-81-60000,1784418480417.5154,1784418480469,1784418481678.0,1784418482588.5972,51.485,1209.0,910.597,1784417821678.0,2171.082
ss-17-60000,1784418477867.5115,1784418478420,1784418481678.0,1784418482588.5974,552.489,3258.0,910.597,1784417821678.0,4721.086
ss-15-60000,1784418477467.526,1784418478420,1784418481678.0,1784418482588.5977,952.474,3258.0,910.598,1784417821678.0,5121.072
ss-44-60000,1784418475018.8674,1784418475270,1784418481678.0,1784418482588.5981,251.133,6408.0,910.598,1784417821678.0,7569.731
ss-18-60000,1784418474967.5151,1784418475270,1784418481678.0,1784418482588.5984,302.485,6408.0,910.598,1784417821678.0,7621.083
ss-96-60000,1784418476717.5344,1784418477370,1784418481678.0,1784418482588.601,652.466,4308.0,910.601,1784417821678.0,5871.067
