event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-41-60000,1784576539001.5938,1784576539053,1784576545459.0,1784576546507.287,51.406,6406.0,1048.287,1784575885459.0,7505.693
ss-19-60000,1784576543501.6006,1784576544303,1784576545476.0,1784576546507.2925,801.399,1173.0,1031.292,1784575885476.0,3005.692
ss-7-60000,1784576542401.6064,1784576543253,1784576545476.0,1784576546507.3015,851.394,2223.0,1031.302,1784575885476.0,4105.695
ss-54-60000,1784576540101.5986,1784576540103,1784576545477.0,1784576546507.303,1.401,5374.0,1030.303,1784575885477.0,6405.704
ss-24-60000,1784576541751.5977,1784576542203,1784576545477.0,1784576546507.304,451.402,3274.0,1030.304,1784575885477.0,4755.706
ss-39-60000,1784576542901.602,1784576543253,1784576545477.0,1784576546507.3052,351.398,2224.0,1030.305,1784575885477.0,3605.703
ss-12-60000,1784576528301.606,1784576528604,1784576545477.0,1784576546507.3064,302.394,16873.0,1030.306,1784575885477.0,18205.7
ss-2-60000,1784576542951.6018,1784576543253,1784576545478.0,1784576546507.3137,301.398,2225.0,1029.314,1784575885478.0,3555.712
ss-21-60000,1784576540801.6045,1784576541157,1784576545478.0,1784576546507.3152,355.396,4321.0,1029.315,1784575885478.0,5705.711
ss-72-60000,1784576544001.6047,1784576544303,1784576545478.0,1784576546507.3164,301.395,1175.0,1029.316,1784575885478.0,2505.712
ss-14-60000,1784576544351.617,1784576545352,1784576545478.0,1784576546507.3174,1000.383,126.0,1029.317,1784575885478.0,2155.7
ss-91-60000,1784576544101.6016,1784576544303,1784576545478.0,1784576546507.318,201.398,1175.0,1029.318,1784575885478.0,2405.717
ss-98-60000,1784576536551.6096,1784576536953,1784576545478.0,1784576546507.3188,401.39,8525.0,1029.319,1784575885478.0,9955.709
ss-16-60000,1784576544151.6025,1784576544303,1784576545478.0,1784576546507.3196,151.397,1175.0,1029.32,1784575885478.0,2355.717
ss-28-60000,1784576544601.6018,1784576545352,1784576545479.0,1784576546507.3203,750.398,127.0,1028.32,1784575885479.0,1905.719
ss-79-60000,1784576529051.6047,1784576529653,1784576545479.0,1784576546507.321,601.395,15826.0,1028.321,1784575885479.0,17455.716
ss-31-60000,1784576542751.6013,1784576543253,1784576545479.0,1784576546507.3262,501.399,2226.0,1028.326,1784575885479.0,3755.725
ss-50-60000,1784576543251.609,1784576543253,1784576545479.0,1784576546507.3435,1.391,2226.0,1028.344,1784575885479.0,3255.735
ss-63-60000,1784576541501.6055,1784576542203,1784576545479.0,1784576546507.3445,701.395,3276.0,1028.344,1784575885479.0,5005.739
ss-51-60000,1784576542801.6028,1784576543253,1784576545479.0,1784576546507.3452,451.397,2226.0,1028.345,1784575885479.0,3705.742
ss-99-60000,1784576529401.6157,1784576529653,1784576545479.0,1784576546507.346,251.384,15826.0,1028.346,1784575885479.0,17105.73
ss-35-60000,1784576542451.6038,1784576543253,1784576545479.0,1784576546507.3508,801.396,2226.0,1028.351,1784575885479.0,4055.747
ss-70-60000,1784576543851.6067,1784576544303,1784576545480.0,1784576546507.3555,451.393,1177.0,1027.355,1784575885480.0,2655.749
ss-90-60000,1784576543051.6062,1784576543253,1784576545480.0,1784576546507.3562,201.394,2227.0,1027.356,1784575885480.0,3455.75
ss-9-60000,1784576544401.6028,1784576545352,1784576545480.0,1784576546507.3567,950.397,128.0,1027.357,1784575885480.0,2105.754
ss-64-60000,1784576541451.6045,1784576542203,1784576545480.0,1784576546507.3582,751.396,3277.0,1027.358,1784575885480.0,5055.754
ss-80-60000,1784576538251.607,1784576539053,1784576545480.0,1784576546507.3594,801.393,6427.0,1027.359,1784575885480.0,8255.752
ss-59-60000,1784576543351.596,1784576544303,1784576545480.0,1784576546507.4214,951.404,1177.0,1027.421,1784575885480.0,3155.825
ss-45-60000,1784576533251.6033,1784576533804,1784576545480.0,1784576546507.4229,552.397,11676.0,1027.423,1784575885480.0,13255.82
ss-48-60000,1784576542301.6108,1784576543253,1784576545481.0,1784576546507.4236,951.389,2228.0,1026.424,1784575885481.0,4205.813
ss-58-60000,1784576543801.6052,1784576544303,1784576545481.0,1784576546507.424,501.395,1178.0,1026.424,1784575885481.0,2705.819
ss-29-60000,1784576535151.6035,1784576535903,1784576545481.0,1784576546507.4246,751.396,9578.0,1026.425,1784575885481.0,11355.821
ss-84-60000,1784576539751.6008,1784576540103,1784576545481.0,1784576546507.425,351.399,5378.0,1026.425,1784575885481.0,6755.824
ss-74-60000,1784576544501.603,1784576545352,1784576545481.0,1784576546507.4258,850.397,129.0,1026.426,1784575885481.0,2005.823
ss-38-60000,1784576544751.6084,1784576545352,1784576545481.0,1784576546507.4346,600.392,129.0,1026.435,1784575885481.0,1755.826
ss-1-60000,1784576544701.606,1784576545352,1784576545481.0,1784576546507.477,650.394,129.0,1026.477,1784575885481.0,1805.871
ss-23-60000,1784576525951.6057,1784576526553,1784576545481.0,1784576546507.4778,601.394,18928.0,1026.478,1784575885481.0,20555.872
ss-75-60000,1784576543151.5981,1784576543253,1784576545482.0,1784576546507.4783,101.402,2229.0,1025.478,1784575885482.0,3355.88
ss-33-60000,1784576542001.6038,1784576542203,1784576545482.0,1784576546507.4795,201.396,3279.0,1025.479,1784575885482.0,4505.876
ss-4-60000,1784576544051.6038,1784576544303,1784576545482.0,1784576546507.5183,251.396,1179.0,1025.518,1784575885482.0,2455.915
ss-6-60000,1784576540701.6064,1784576541157,1784576545482.0,1784576546507.62,455.394,4325.0,1025.62,1784575885482.0,5806.014
ss-0-60000,1784576543201.6013,1784576543253,1784576545482.0,1784576546507.6223,51.399,2229.0,1025.622,1784575885482.0,3306.021
ss-10-60000,1784576540401.6042,1784576541157,1784576545482.0,1784576546507.623,755.396,4325.0,1025.623,1784575885482.0,6106.019
ss-47-60000,1784576540051.6045,1784576540103,1784576545482.0,1784576546507.6238,51.396,5379.0,1025.624,1784575885482.0,6456.019
ss-65-60000,1784576539951.595,1784576540103,1784576545483.0,1784576546507.6836,151.405,5380.0,1024.684,1784575885483.0,6556.089
ss-71-60000,1784576527401.604,1784576527553,1784576545483.0,1784576546507.684,151.396,17930.0,1024.684,1784575885483.0,19106.08
ss-43-60000,1784576542351.605,1784576543253,1784576545483.0,1784576546507.7263,901.395,2230.0,1024.726,1784575885483.0,4156.121
