event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-41-60000,1784514637863.322,1784514638066,1784514644563.0,1784514645477.1436,202.678,6497.0,914.144,1784513984563.0,7613.822
ss-19-60000,1784514642363.313,1784514643316,1784514644578.0,1784514645477.149,952.687,1262.0,899.149,1784513984578.0,3113.836
ss-7-60000,1784514641263.3186,1784514642265,1784514644579.0,1784514645477.1511,1001.681,2314.0,898.151,1784513984579.0,4213.833
ss-54-60000,1784514638963.3328,1784514639116,1784514644579.0,1784514645477.1526,152.667,5463.0,898.153,1784513984579.0,6513.82
ss-24-60000,1784514640613.3352,1784514641216,1784514644579.0,1784514645477.1538,602.665,3363.0,898.154,1784513984579.0,4863.819
ss-39-60000,1784514641763.3257,1784514642265,1784514644579.0,1784514645477.155,501.674,2314.0,898.155,1784513984579.0,3713.829
ss-12-60000,1784514627163.3125,1784514627566,1784514644579.0,1784514645477.1565,402.688,17013.0,898.156,1784513984579.0,18313.844
ss-2-60000,1784514641813.3264,1784514642265,1784514644580.0,1784514645477.1624,451.674,2315.0,897.162,1784513984580.0,3663.836
ss-21-60000,1784514639663.3218,1784514640165,1784514644580.0,1784514645477.164,501.678,4415.0,897.164,1784513984580.0,5813.842
ss-72-60000,1784514642863.3184,1784514643316,1784514644580.0,1784514645477.1653,452.682,1264.0,897.165,1784513984580.0,2613.847
ss-14-60000,1784514643213.3486,1784514643316,1784514644580.0,1784514645477.166,102.651,1264.0,897.166,1784513984580.0,2263.817
ss-91-60000,1784514642963.316,1784514643316,1784514644581.0,1784514645477.167,352.684,1265.0,896.167,1784513984581.0,2513.851
ss-98-60000,1784514635413.2905,1784514635966,1784514644581.0,1784514645477.1677,552.709,8615.0,896.168,1784513984581.0,10063.877
ss-16-60000,1784514643013.3418,1784514643316,1784514644581.0,1784514645477.1685,302.658,1265.0,896.168,1784513984581.0,2463.827
ss-28-60000,1784514643463.3235,1784514644365,1784514644582.0,1784514645477.1692,901.677,217.0,895.169,1784513984582.0,2013.846
ss-79-60000,1784514627913.3198,1784514628616,1784514644582.0,1784514645477.1702,702.68,15966.0,895.17,1784513984582.0,17563.85
ss-31-60000,1784514641613.3174,1784514642265,1784514644582.0,1784514645477.171,651.683,2317.0,895.171,1784513984582.0,3863.854
ss-50-60000,1784514642113.3264,1784514642265,1784514644582.0,1784514645477.1716,151.674,2317.0,895.172,1784513984582.0,3363.845
ss-63-60000,1784514640363.3174,1784514641216,1784514644582.0,1784514645477.1726,852.683,3366.0,895.173,1784513984582.0,5113.855
