event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-88-60000,1784532946871.4094,1784532947823,1784532955280.0,1784532956397.0718,951.591,7457.0,1117.072,1784532295280.0,9525.662
ss-4-60000,1784532953721.417,1784532954123,1784532955295.0,1784532956397.076,401.583,1172.0,1102.076,1784532295295.0,2675.659
ss-6-60000,1784532950371.419,1784532950973,1784532955295.0,1784532956397.0771,601.581,4322.0,1102.077,1784532295295.0,6025.658
ss-17-60000,1784532951371.421,1784532952024,1784532955296.0,1784532956397.0784,652.579,3272.0,1101.078,1784532295296.0,5025.657
ss-71-60000,1784532937071.4165,1784532937323,1784532955296.0,1784532956397.0793,251.583,17973.0,1101.079,1784532295296.0,19325.663
ss-23-60000,1784532935621.4214,1784532936273,1784532955296.0,1784532956397.0808,651.579,19023.0,1101.081,1784532295296.0,20775.659
ss-29-60000,1784532944821.4172,1784532945723,1784532955296.0,1784532956397.0815,901.583,9573.0,1101.082,1784532295296.0,11575.664
ss-65-60000,1784532949621.413,1784532949923,1784532955296.0,1784532956397.0864,301.587,5373.0,1101.086,1784532295296.0,6775.673
ss-31-60000,1784532952421.4226,1784532953072,1784532955296.0,1784532956397.088,650.577,2224.0,1101.088,1784532295296.0,3975.665
ss-8-60000,1784532949021.4153,1784532949923,1784532955297.0,1784532956397.0955,901.585,5374.0,1100.095,1784532295297.0,7375.68
ss-60-60000,1784532952771.4146,1784532953072,1784532955297.0,1784532956397.0964,300.585,2225.0,1100.096,1784532295297.0,3625.682
ss-57-60000,1784532953071.409,1784532953072,1784532955297.0,1784532956397.0977,0.591,2225.0,1100.098,1784532295297.0,3325.689
ss-33-60000,1784532951671.4192,1784532952024,1784532955297.0,1784532956397.0984,352.581,3273.0,1100.098,1784532295297.0,4725.679
ss-40-60000,1784532948571.4258,1784532948873,1784532955297.0,1784532956397.099,301.574,6424.0,1100.099,1784532295297.0,7825.673
ss-63-60000,1784532951171.4116,1784532952024,1784532955298.0,1784532956397.0996,852.588,3274.0,1099.1,1784532295298.0,5225.688
ss-20-60000,1784532942571.4146,1784532942574,1784532955298.0,1784532956397.1,2.585,12724.0,1099.1,1784532295298.0,13825.686
ss-84-60000,1784532949421.4136,1784532949923,1784532955298.0,1784532956397.101,501.586,5375.0,1099.101,1784532295298.0,6975.688
ss-67-60000,1784532954121.4226,1784532954123,1784532955298.0,1784532956397.1162,1.577,1175.0,1099.116,1784532295298.0,2275.694
ss-28-60000,1784532954271.4167,1784532955172,1784532955298.0,1784532956397.117,900.583,126.0,1099.117,1784532295298.0,2125.7
ss-55-60000,1784532928771.4185,1784532928923,1784532955298.0,1784532956397.1177,151.582,26375.0,1099.118,1784532295298.0,27625.699
ss-24-60000,1784532951421.4219,1784532952024,1784532955299.0,1784532956397.1223,602.578,3275.0,1098.122,1784532295299.0,4975.7
ss-13-60000,1784532953121.4126,1784532954123,1784532955299.0,1784532956397.123,1001.587,1176.0,1098.123,1784532295299.0,3275.71
ss-5-60000,1784532953571.416,1784532954123,1784532955299.0,1784532956397.1235,551.584,1176.0,1098.124,1784532295299.0,2825.708
ss-82-60000,1784532953371.4102,1784532954123,1784532955299.0,1784532956397.124,751.59,1176.0,1098.124,1784532295299.0,3025.714
ss-80-60000,1784532947921.4175,1784532948873,1784532955299.0,1784532956397.1248,951.583,6426.0,1098.125,1784532295299.0,8475.707
ss-42-60000,1784532951271.4285,1784532952024,1784532955299.0,1784532956397.1255,752.572,3275.0,1098.125,1784532295299.0,5125.697
ss-46-60000,1784532952171.4233,1784532953072,1784532955299.0,1784532956397.2053,900.577,2227.0,1098.205,1784532295299.0,4225.782
ss-32-60000,1784532953871.4138,1784532954123,1784532955300.0,1784532956397.2065,251.586,1177.0,1097.207,1784532295300.0,2525.793
ss-37-60000,1784532947371.4172,1784532947823,1784532955300.0,1784532956397.207,451.583,7477.0,1097.207,1784532295300.0,9025.79
ss-44-60000,1784532948521.4216,1784532948873,1784532955300.0,1784532956397.2075,351.578,6427.0,1097.208,1784532295300.0,7875.786
ss-94-60000,1784532950671.4229,1784532950973,1784532955300.0,1784532956397.2078,301.577,4327.0,1097.208,1784532295300.0,5725.785
ss-59-60000,1784532953021.414,1784532953072,1784532955300.0,1784532956397.2083,50.586,2228.0,1097.208,1784532295300.0,3375.794
ss-75-60000,1784532952821.414,1784532953072,1784532955301.0,1784532956397.2087,250.586,2229.0,1096.209,1784532295301.0,3575.795
ss-66-60000,1784532953221.4211,1784532954123,1784532955301.0,1784532956397.259,901.579,1178.0,1096.259,1784532295301.0,3175.838
ss-61-60000,1784532950871.4219,1784532950973,1784532955301.0,1784532956397.2598,101.578,4328.0,1096.26,1784532295301.0,5525.838
ss-74-60000,1784532954171.5435,1784532955172,1784532955301.0,1784532956397.2603,1000.457,129.0,1096.26,1784532295301.0,2225.717
ss-25-60000,1784532948821.4211,1784532948873,1784532955301.0,1784532956397.3984,51.579,6428.0,1096.398,1784532295301.0,7575.977
ss-81-60000,1784532953921.4187,1784532954123,1784532955302.0,1784532956397.4004,201.581,1179.0,1095.4,1784532295302.0,2475.982
ss-0-60000,1784532952871.4146,1784532953072,1784532955302.0,1784532956397.401,200.585,2230.0,1095.401,1784532295302.0,3525.986
ss-30-60000,1784532951621.4177,1784532952024,1784532955302.0,1784532956397.4014,402.582,3278.0,1095.401,1784532295302.0,4775.984
