event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-41-60000,1784579209711.7236,1784579209863,1784579216373.0,1784579217012.2144,151.276,6510.0,639.214,1784578556373.0,7300.491
ss-19-60000,1784579214211.729,1784579215114,1784579216388.0,1784579217012.2175,902.271,1274.0,624.218,1784578556388.0,2800.489
ss-7-60000,1784579213111.7239,1784579214063,1784579216388.0,1784579217012.2188,951.276,2325.0,624.219,1784578556388.0,3900.495
ss-54-60000,1784579210811.7395,1784579210913,1784579216388.0,1784579217012.234,101.26,5475.0,624.234,1784578556388.0,6200.494
ss-24-60000,1784579212461.7217,1784579213014,1784579216389.0,1784579217012.2349,552.278,3375.0,623.235,1784578556389.0,4550.513
ss-39-60000,1784579213611.7188,1784579214063,1784579216389.0,1784579217012.2358,451.281,2326.0,623.236,1784578556389.0,3400.517
ss-12-60000,1784579199011.7231,1784579199414,1784579216389.0,1784579217012.242,402.277,16975.0,623.242,1784578556389.0,18000.519
ss-2-60000,1784579213661.7249,1784579214063,1784579216389.0,1784579217012.2466,401.275,2326.0,623.247,1784578556389.0,3350.522
ss-21-60000,1784579211511.7214,1784579211963,1784579216389.0,1784579217012.2656,451.279,4426.0,623.266,1784578556389.0,5500.544
ss-72-60000,1784579214711.729,1784579215114,1784579216389.0,1784579217012.2668,402.271,1275.0,623.267,1784578556389.0,2300.538
ss-14-60000,1784579215061.7207,1784579215114,1784579216390.0,1784579217012.2673,52.279,1276.0,622.267,1784578556390.0,1950.547
ss-91-60000,1784579214811.7212,1784579215114,1784579216390.0,1784579217012.3008,302.279,1276.0,622.301,1784578556390.0,2200.58
ss-98-60000,1784579207261.7258,1784579207764,1784579216390.0,1784579217012.3015,502.274,8626.0,622.302,1784578556390.0,9750.576
ss-16-60000,1784579214861.7256,1784579215114,1784579216390.0,1784579217012.3074,252.274,1276.0,622.307,1784578556390.0,2150.582
ss-28-60000,1784579215311.731,1784579216164,1784579216390.0,1784579217012.3164,852.269,226.0,622.316,1784578556390.0,1700.585
ss-79-60000,1784579199761.7246,1784579200464,1784579216391.0,1784579217012.3354,702.275,15927.0,621.335,1784578556391.0,17250.611
ss-31-60000,1784579213461.7417,1784579214063,1784579216391.0,1784579217012.3533,601.258,2328.0,621.353,1784578556391.0,3550.612
ss-50-60000,1784579213961.731,1784579214063,1784579216391.0,1784579217012.358,101.269,2328.0,621.358,1784578556391.0,3050.627
ss-63-60000,1784579212211.7314,1784579213014,1784579216391.0,1784579217012.4055,802.269,3377.0,621.406,1784578556391.0,4800.674
ss-51-60000,1784579213511.7185,1784579214063,1784579216391.0,1784579217012.4216,551.281,2328.0,621.422,1784578556391.0,3500.703
ss-99-60000,1784579200111.7292,1784579200464,1784579216391.0,1784579217012.422,352.271,15927.0,621.422,1784578556391.0,16900.693
ss-35-60000,1784579213161.7244,1784579214063,1784579216391.0,1784579217012.436,901.276,2328.0,621.436,1784578556391.0,3850.712
ss-70-60000,1784579214561.7144,1784579215114,1784579216391.0,1784579217012.4849,552.286,1277.0,621.485,1784578556391.0,2450.771
ss-90-60000,1784579213761.7246,1784579214063,1784579216392.0,1784579217012.492,301.275,2329.0,620.492,1784578556392.0,3250.767
ss-9-60000,1784579215111.7231,1784579215114,1784579216392.0,1784579217012.4927,2.277,1278.0,620.493,1784578556392.0,1900.77
ss-64-60000,1784579212161.7288,1784579213014,1784579216392.0,1784579217012.515,852.271,3378.0,620.515,1784578556392.0,4850.786
ss-80-60000,1784579208961.7214,1784579209863,1784579216392.0,1784579217012.5442,901.279,6529.0,620.544,1784578556392.0,8050.823
ss-59-60000,1784579214061.7231,1784579214063,1784579216392.0,1784579217012.5884,1.277,2329.0,620.588,1784578556392.0,2950.865
ss-45-60000,1784579203961.7231,1784579204691,1784579216392.0,1784579217012.589,729.277,11701.0,620.589,1784578556392.0,13050.866
ss-48-60000,1784579213011.732,1784579213014,1784579216392.0,1784579217012.5896,2.268,3378.0,620.59,1784578556392.0,4000.858
ss-58-60000,1784579214511.7185,1784579215114,1784579216393.0,1784579217012.5898,602.281,1279.0,619.59,1784578556393.0,2500.871
ss-29-60000,1784579205861.722,1784579206763,1784579216393.0,1784579217012.6262,901.278,9630.0,619.626,1784578556393.0,11150.904
ss-84-60000,1784579210461.7205,1784579210913,1784579216393.0,1784579217012.6267,451.28,5480.0,619.627,1784578556393.0,6550.906
ss-74-60000,1784579215211.7253,1784579216164,1784579216393.0,1784579217012.637,952.275,229.0,619.637,1784578556393.0,1800.912
ss-38-60000,1784579215461.7312,1784579216164,1784579216393.0,1784579217012.6375,702.269,229.0,619.637,1784578556393.0,1550.906
ss-1-60000,1784579215411.7231,1784579216164,1784579216393.0,1784579217012.6772,752.277,229.0,619.677,1784578556393.0,1600.954
ss-23-60000,1784579196661.7168,1784579197314,1784579216393.0,1784579217012.678,652.283,19079.0,619.678,1784578556393.0,20350.961
ss-75-60000,1784579213861.7283,1784579214063,1784579216393.0,1784579217012.6877,201.272,2330.0,619.688,1784578556393.0,3150.959
ss-33-60000,1784579212711.7266,1784579213014,1784579216394.0,1784579217012.7114,302.273,3380.0,618.711,1784578556394.0,4300.985
ss-4-60000,1784579214761.7222,1784579215114,1784579216394.0,1784579217012.863,352.278,1280.0,618.863,1784578556394.0,2251.141
ss-6-60000,1784579211411.734,1784579211963,1784579216394.0,1784579217012.866,551.266,4431.0,618.866,1784578556394.0,5601.132
ss-0-60000,1784579213911.722,1784579214063,1784579216394.0,1784579217012.868,151.278,2331.0,618.868,1784578556394.0,3101.146
ss-10-60000,1784579211111.7266,1784579211963,1784579216394.0,1784579217012.869,851.273,4431.0,618.869,1784578556394.0,5901.142
ss-47-60000,1784579210761.7334,1784579210913,1784579216394.0,1784579217012.8835,151.267,5481.0,618.884,1784578556394.0,6251.15
ss-65-60000,1784579210661.736,1784579210913,1784579216394.0,1784579217012.8843,251.264,5481.0,618.884,1784578556394.0,6351.148
ss-71-60000,1784579198111.7234,1784579198363,1784579216394.0,1784579217012.8853,251.277,18031.0,618.885,1784578556394.0,18901.162
