event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-88-60000,1784571679417.6697,1784571680321,1784571687772.0,1784571688841.8625,903.33,7451.0,1069.863,1784571027772.0,9424.193
ss-4-60000,1784571686267.6719,1784571686520,1784571687788.0,1784571688841.8667,252.328,1268.0,1053.867,1784571027788.0,2574.195
ss-6-60000,1784571682917.6704,1784571683419,1784571687789.0,1784571688841.8682,501.33,4370.0,1052.868,1784571027789.0,5924.198
ss-17-60000,1784571683917.6753,1784571684419,1784571687789.0,1784571688841.8699,501.325,3370.0,1052.87,1784571027789.0,4924.195
ss-71-60000,1784571669617.665,1784571669820,1784571687789.0,1784571688841.871,202.335,17969.0,1052.871,1784571027789.0,19224.206
ss-23-60000,1784571668167.6826,1784571668770,1784571687789.0,1784571688841.8728,602.317,19019.0,1052.873,1784571027789.0,20674.19
ss-29-60000,1784571677367.6719,1784571678221,1784571687789.0,1784571688841.8738,853.328,9568.0,1052.874,1784571027789.0,11474.202
ss-65-60000,1784571682167.6472,1784571682370,1784571687790.0,1784571688841.8792,202.353,5420.0,1051.879,1784571027790.0,6674.232
ss-31-60000,1784571684967.6863,1784571685469,1784571687790.0,1784571688841.8806,501.314,2321.0,1051.881,1784571027790.0,3874.194
ss-8-60000,1784571681571.3865,1784571682370,1784571687790.0,1784571688841.8892,798.614,5420.0,1051.889,1784571027790.0,7270.503
ss-60-60000,1784571685317.6724,1784571685469,1784571687790.0,1784571688841.8904,151.328,2321.0,1051.89,1784571027790.0,3524.218
ss-57-60000,1784571685617.672,1784571686520,1784571687790.0,1784571688841.8918,902.328,1270.0,1051.892,1784571027790.0,3224.22
ss-33-60000,1784571684217.6694,1784571684419,1784571687791.0,1784571688841.8926,201.331,3372.0,1050.893,1784571027791.0,4624.223
ss-40-60000,1784571681117.665,1784571681369,1784571687791.0,1784571688841.8936,251.335,6422.0,1050.894,1784571027791.0,7724.229
ss-63-60000,1784571683717.6685,1784571684419,1784571687791.0,1784571688841.8943,701.332,3372.0,1050.894,1784571027791.0,5124.226
ss-20-60000,1784571675117.6716,1784571676120,1784571687791.0,1784571688841.8948,1002.328,11671.0,1050.895,1784571027791.0,13724.223
ss-84-60000,1784571681967.6873,1784571682370,1784571687791.0,1784571688841.896,402.313,5421.0,1050.896,1784571027791.0,6874.209
ss-67-60000,1784571686667.6829,1784571687570,1784571687792.0,1784571688841.8972,902.317,222.0,1049.897,1784571027792.0,2174.214
ss-28-60000,1784571686817.6768,1784571687570,1784571687792.0,1784571688841.8984,752.323,222.0,1049.898,1784571027792.0,2024.222
