event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-41-60000,1784397412275.2227,1784397412628,1784397425749.0,1784397426364.858,352.777,13121.0,615.858,1784396765749.0,14089.635
ss-19-60000,1784397416775.2185,1784397416827,1784397425758.0,1784397426364.8623,51.781,8931.0,606.862,1784396765758.0,9589.644
ss-7-60000,1784397415675.1914,1784397415777,1784397425758.0,1784397426364.864,101.809,9981.0,606.864,1784396765758.0,10689.673
ss-54-60000,1784397413375.2087,1784397413678,1784397425759.0,1784397426364.865,302.791,12081.0,605.865,1784396765759.0,12989.656
ss-24-60000,1784397415025.2231,1784397415777,1784397425759.0,1784397426364.8657,751.777,9982.0,605.866,1784396765759.0,11339.643
ss-39-60000,1784397416175.2134,1784397416827,1784397425759.0,1784397426364.8665,651.787,8932.0,605.866,1784396765759.0,10189.653
ss-12-60000,1784397401575.214,1784397402126,1784397425759.0,1784397426364.8672,550.786,23633.0,605.867,1784396765759.0,24789.653
ss-2-60000,1784397416225.1904,1784397416827,1784397425759.0,1784397426364.8733,601.81,8932.0,605.873,1784396765759.0,10139.683
ss-21-60000,1784397414075.1965,1784397414727,1784397425759.0,1784397426364.8745,651.803,11032.0,605.875,1784396765759.0,12289.678
ss-72-60000,1784397417275.2297,1784397417877,1784397425759.0,1784397426364.8752,601.77,7882.0,605.875,1784396765759.0,9089.646
ss-14-60000,1784397417625.1965,1784397417877,1784397425759.0,1784397426364.8757,251.803,7882.0,605.876,1784396765759.0,8739.679
ss-91-60000,1784397417375.1926,1784397417877,1784397425759.0,1784397426364.8762,501.807,7882.0,605.876,1784396765759.0,8989.684
ss-98-60000,1784397409825.225,1784397410528,1784397425759.0,1784397426364.8767,702.775,15231.0,605.877,1784396765759.0,16539.652
ss-16-60000,1784397417425.1973,1784397417877,1784397425759.0,1784397426364.877,451.803,7882.0,605.877,1784396765759.0,8939.68
ss-28-60000,1784397417875.2227,1784397417877,1784397425759.0,1784397426364.8774,1.777,7882.0,605.877,1784396765759.0,8489.655
ss-79-60000,1784397402325.1943,1784397403177,1784397425759.0,1784397426364.878,851.806,22582.0,605.878,1784396765759.0,24039.684
ss-31-60000,1784397416025.1995,1784397416827,1784397425760.0,1784397426364.8823,801.801,8933.0,604.882,1784396765760.0,10339.683
ss-50-60000,1784397416525.1895,1784397416827,1784397425760.0,1784397426364.8828,301.811,8933.0,604.883,1784396765760.0,9839.693
ss-63-60000,1784397414775.2134,1784397415777,1784397425760.0,1784397426364.8833,1001.787,9983.0,604.883,1784396765760.0,11589.67
ss-51-60000,1784397416075.195,1784397416827,1784397425760.0,1784397426364.8835,751.805,8933.0,604.884,1784396765760.0,10289.688
ss-99-60000,1784397402675.1958,1784397403177,1784397425760.0,1784397426364.884,501.804,22583.0,604.884,1784396765760.0,23689.688
ss-35-60000,1784397415725.197,1784397415777,1784397425760.0,1784397426364.8845,51.803,9983.0,604.885,1784396765760.0,10639.688
ss-70-60000,1784397417125.2136,1784397417877,1784397425760.0,1784397426364.885,751.786,7883.0,604.885,1784396765760.0,9239.671
