event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-41-60000,1784558354435.3035,1784558354737,1784558361172.0,1784558362006.6597,301.697,6435.0,834.66,1784557701172.0,7571.356
ss-19-60000,1784558358935.3066,1784558358937,1784558361187.0,1784558362006.8975,1.693,2250.0,819.897,1784557701187.0,3071.591
ss-7-60000,1784558357835.3018,1784558357888,1784558361187.0,1784558362006.9001,52.698,3299.0,819.9,1784557701187.0,4171.598
ss-54-60000,1784558355535.2976,1784558355787,1784558361188.0,1784558362007.149,251.702,5401.0,819.149,1784557701188.0,6471.851
ss-24-60000,1784558357185.2979,1784558357888,1784558361188.0,1784558362007.1504,702.702,3300.0,819.15,1784557701188.0,4821.853
ss-39-60000,1784558358335.3047,1784558358937,1784558361188.0,1784558362007.1516,601.695,2251.0,819.152,1784557701188.0,3671.847
ss-12-60000,1784558343735.3044,1784558344287,1784558361188.0,1784558362007.1523,551.696,16901.0,819.152,1784557701188.0,18271.848
ss-2-60000,1784558358385.3015,1784558358937,1784558361188.0,1784558362007.158,551.698,2251.0,819.158,1784557701188.0,3621.856
ss-21-60000,1784558356235.3044,1784558356837,1784558361188.0,1784558362007.4111,601.696,4351.0,819.411,1784557701188.0,5772.107
ss-72-60000,1784558359435.3062,1784558359987,1784558361188.0,1784558362007.4126,551.694,1201.0,819.413,1784557701188.0,2572.106
ss-14-60000,1784558359785.302,1784558359987,1784558361188.0,1784558362007.4136,201.698,1201.0,819.414,1784557701188.0,2222.112
ss-91-60000,1784558359535.3013,1784558359987,1784558361189.0,1784558362007.414,451.699,1202.0,818.414,1784557701189.0,2472.113
ss-98-60000,1784558351985.2998,1784558352638,1784558361190.0,1784558362007.4146,652.7,8552.0,817.415,1784557701190.0,10022.115
ss-16-60000,1784558359585.2966,1784558359987,1784558361190.0,1784558362007.486,401.703,1203.0,817.486,1784557701190.0,2422.189
ss-28-60000,1784558360035.302,1784558361037,1784558361190.0,1784558362007.4866,1001.698,153.0,817.487,1784557701190.0,1972.185
ss-79-60000,1784558344485.2917,1784558345338,1784558361190.0,1784558362007.788,852.708,15852.0,817.788,1784557701190.0,17522.496
ss-31-60000,1784558358185.3228,1784558358937,1784558361190.0,1784558362007.7966,751.677,2253.0,817.797,1784557701190.0,3822.474
ss-50-60000,1784558358685.3223,1784558358937,1784558361190.0,1784558362007.7974,251.678,2253.0,817.797,1784557701190.0,3322.475
ss-63-60000,1784558356935.3042,1784558357888,1784558361190.0,1784558362007.7979,952.696,3302.0,817.798,1784557701190.0,5072.494
ss-51-60000,1784558358235.3176,1784558358937,1784558361191.0,1784558362007.7986,701.682,2254.0,816.799,1784557701191.0,3772.481
ss-99-60000,1784558344835.3848,1784558345338,1784558361191.0,1784558362007.7988,502.615,15853.0,816.799,1784557701191.0,17172.414
ss-35-60000,1784558357885.311,1784558357888,1784558361191.0,1784558362007.8,2.689,3303.0,816.8,1784557701191.0,4122.489
ss-70-60000,1784558359285.3057,1784558359987,1784558361191.0,1784558362007.8035,701.694,1204.0,816.803,1784557701191.0,2722.498
ss-90-60000,1784558358485.3108,1784558358937,1784558361191.0,1784558362007.8042,451.689,2254.0,816.804,1784557701191.0,3522.493
ss-9-60000,1784558359835.2966,1784558359987,1784558361191.0,1784558362007.805,151.703,1204.0,816.805,1784557701191.0,2172.508
ss-64-60000,1784558356885.304,1784558357888,1784558361191.0,1784558362007.8066,1002.696,3303.0,816.807,1784557701191.0,5122.503
ss-80-60000,1784558353685.3115,1784558353687,1784558361192.0,1784558362007.8086,1.688,7505.0,815.809,1784557701192.0,8322.497
ss-59-60000,1784558358785.3315,1784558358937,1784558361192.0,1784558362007.8093,151.668,2255.0,815.809,1784557701192.0,3222.478
ss-45-60000,1784558348685.2932,1784558349488,1784558361192.0,1784558362007.8098,802.707,11704.0,815.81,1784557701192.0,13322.517
ss-48-60000,1784558357735.3035,1784558357888,1784558361192.0,1784558362007.8105,152.697,3304.0,815.811,1784557701192.0,4272.507
ss-58-60000,1784558359235.3013,1784558359987,1784558361192.0,1784558362007.8115,751.699,1205.0,815.812,1784557701192.0,2772.51
ss-29-60000,1784558350585.3003,1784558351588,1784558361192.0,1784558362007.8123,1002.7,9604.0,815.812,1784557701192.0,11422.512
ss-84-60000,1784558355185.3062,1784558355787,1784558361192.0,1784558362008.0115,601.694,5405.0,816.011,1784557701192.0,6822.705
ss-74-60000,1784558359935.2983,1784558359987,1784558361193.0,1784558362008.013,51.702,1206.0,815.013,1784557701193.0,2072.715
ss-38-60000,1784558360185.301,1784558361037,1784558361193.0,1784558362008.0134,851.699,156.0,815.013,1784557701193.0,1822.712
ss-1-60000,1784558360135.3003,1784558361037,1784558361193.0,1784558362008.014,901.7,156.0,815.014,1784557701193.0,1872.714
ss-23-60000,1784558341385.3154,1784558342187,1784558361193.0,1784558362008.0146,801.685,19006.0,815.015,1784557701193.0,20622.699
ss-75-60000,1784558358585.298,1784558358937,1784558361193.0,1784558362008.0151,351.702,2256.0,815.015,1784557701193.0,3422.717
ss-33-60000,1784558357435.3105,1784558357888,1784558361193.0,1784558362008.016,452.689,3305.0,815.016,1784557701193.0,4572.706
ss-4-60000,1784558359485.3035,1784558359987,1784558361193.0,1784558362008.0168,501.697,1206.0,815.017,1784557701193.0,2522.713
ss-6-60000,1784558356135.2986,1784558356837,1784558361193.0,1784558362008.017,701.701,4356.0,815.017,1784557701193.0,5872.719
ss-0-60000,1784558358635.31,1784558358937,1784558361194.0,1784558362008.0186,301.69,2257.0,814.019,1784557701194.0,3372.708
ss-10-60000,1784558355835.3074,1784558356837,1784558361194.0,1784558362008.0195,1001.693,4357.0,814.02,1784557701194.0,6172.712
ss-47-60000,1784558355485.299,1784558355787,1784558361194.0,1784558362008.02,301.701,5407.0,814.02,1784557701194.0,6522.721
ss-65-60000,1784558355385.5957,1784558355787,1784558361194.0,1784558362008.0203,401.404,5407.0,814.02,1784557701194.0,6622.425
ss-71-60000,1784558342835.296,1784558343237,1784558361194.0,1784558362008.021,401.704,17957.0,814.021,1784557701194.0,19172.725
ss-43-60000,1784558357785.3008,1784558357888,1784558361194.0,1784558362008.0215,102.699,3306.0,814.021,1784557701194.0,4222.721
ss-86-60000,1784558352685.3188,1784558353687,1784558361194.0,1784558362008.0608,1001.681,7507.0,814.061,1784557701194.0,9322.742
ss-61-60000,1784558356635.3071,1784558356837,1784558361194.0,1784558362008.0615,201.693,4357.0,814.062,1784557701194.0,5372.754
ss-57-60000,1784558358835.2998,1784558358937,1784558361194.0,1784558362008.062,101.7,2257.0,814.062,1784557701194.0,3172.762
ss-26-60000,1784558355785.307,1784558355787,1784558361195.0,1784558362008.0625,1.693,5408.0,813.062,1784557701195.0,6222.756
ss-83-60000,1784558356485.3235,1784558356837,1784558361195.0,1784558362008.063,351.677,4358.0,813.063,1784557701195.0,5522.74
ss-68-60000,1784558351285.2974,1784558351588,1784558361195.0,1784558362008.0664,302.703,9607.0,813.066,1784557701195.0,10722.769
ss-55-60000,1784558334535.2996,1784558334837,1784558361195.0,1784558362008.0679,301.7,26358.0,813.068,1784557701195.0,27472.768
