event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-41-0,1784413292848.9565,1784413293351,1784413299745.0,1784413300423.0159,502.043,6394.0,678.016,1784413239745.0,7574.059
tc-19-0,1784413297348.9846,1784413297583,1784413299758.0,1784413300423.0193,234.015,2175.0,665.019,1784413239758.0,3074.035
tc-9-0,1784413298248.9944,1784413298602,1784413299758.0,1784413300423.021,353.006,1156.0,665.021,1784413239758.0,2174.027
tc-64-0,1784413295298.9524,1784413295452,1784413299758.0,1784413300423.0261,153.048,4306.0,665.026,1784413239758.0,5124.074
tc-80-0,1784413292098.96,1784413292302,1784413299758.0,1784413300423.027,203.04,7456.0,665.027,1784413239758.0,8324.067
tc-59-0,1784413297198.98,1784413297583,1784413299758.0,1784413300423.0276,384.02,2175.0,665.028,1784413239758.0,3224.048
tc-45-0,1784413287098.9502,1784413288101,1784413299759.0,1784413300423.0283,1002.05,11658.0,664.028,1784413239759.0,13324.078
tc-48-0,1784413296148.9585,1784413296501,1784413299759.0,1784413300423.0327,352.042,3258.0,664.033,1784413239759.0,4274.074
tc-58-0,1784413297648.9614,1784413298602,1784413299759.0,1784413300423.0334,953.039,1157.0,664.033,1784413239759.0,2774.072
tc-29-0,1784413288998.9678,1784413289152,1784413299759.0,1784413300423.034,153.032,10607.0,664.034,1784413239759.0,11424.066
tc-84-0,1784413293599.806,1784413294401,1784413299759.0,1784413300423.0342,801.194,5358.0,664.034,1784413239759.0,6823.228
tc-74-0,1784413298348.987,1784413298602,1784413299759.0,1784413300423.0347,253.013,1157.0,664.035,1784413239759.0,2074.048
tc-38-0,1784413298598.9795,1784413298602,1784413299759.0,1784413300423.035,3.021,1157.0,664.035,1784413239759.0,1824.055
tc-1-0,1784413298548.99,1784413298602,1784413299759.0,1784413300423.0352,53.01,1157.0,664.035,1784413239759.0,1874.045
tc-75-0,1784413296998.9336,1784413297583,1784413299759.0,1784413300423.0354,584.066,2176.0,664.035,1784413239759.0,3424.102
tc-23-0,1784413279798.9438,1784413280752,1784413299759.0,1784413300423.045,953.056,19007.0,664.045,1784413239759.0,20624.101
tc-33-0,1784413295848.9531,1784413296501,1784413299759.0,1784413300423.0454,652.047,3258.0,664.045,1784413239759.0,4574.092
tc-0-0,1784413297049.0195,1784413297583,1784413299760.0,1784413300423.0457,533.98,2177.0,663.046,1784413239760.0,3374.026
tc-4-0,1784413297898.9863,1784413298602,1784413299760.0,1784413300423.0461,703.014,1158.0,663.046,1784413239760.0,2524.06
tc-6-0,1784413294548.9563,1784413295452,1784413299760.0,1784413300423.0464,903.044,4308.0,663.046,1784413239760.0,5874.09
tc-10-0,1784413294248.9468,1784413294401,1784413299760.0,1784413300423.0466,152.053,5359.0,663.047,1784413239760.0,6174.1
tc-47-0,1784413293898.9795,1784413294401,1784413299760.0,1784413300423.0469,502.021,5359.0,663.047,1784413239760.0,6524.067
tc-52-0,1784413296048.9612,1784413296501,1784413299760.0,1784413300423.047,452.039,3259.0,663.047,1784413239760.0,4374.086
tc-36-0,1784413294748.9612,1784413295452,1784413299760.0,1784413300423.0505,703.039,4308.0,663.051,1784413239760.0,5674.089
tc-60-0,1784413296948.9644,1784413297583,1784413299760.0,1784413300423.051,634.036,2177.0,663.051,1784413239760.0,3474.087
tc-56-0,1784413282748.955,1784413282852,1784413299760.0,1784413300423.0513,103.045,16908.0,663.051,1784413239760.0,17674.096
tc-37-0,1784413291548.958,1784413292302,1784413299760.0,1784413300423.0518,753.042,7458.0,663.052,1784413239760.0,8874.094
tc-32-0,1784413298048.979,1784413298602,1784413299760.0,1784413300423.0571,553.021,1158.0,663.057,1784413239760.0,2374.078
tc-27-0,1784413296498.9644,1784413296501,1784413299761.0,1784413300423.0576,2.036,3260.0,662.058,1784413239761.0,3924.093
tc-22-0,1784413285048.9817,1784413286002,1784413299761.0,1784413300423.0579,953.018,13759.0,662.058,1784413239761.0,15374.076
tc-49-0,1784413298398.991,1784413298602,1784413299761.0,1784413300423.0603,203.009,1159.0,662.06,1784413239761.0,2024.069
tc-78-0,1784413290448.9563,1784413291251,1784413299762.0,1784413300423.09,802.044,8511.0,661.09,1784413239762.0,9974.134
tc-25-0,1784413292998.9646,1784413293351,1784413299762.0,1784413300423.0928,352.035,6411.0,661.093,1784413239762.0,7424.128
tc-92-0,1784413297498.9822,1784413297583,1784413299762.0,1784413300423.0955,84.018,2179.0,661.095,1784413239762.0,2924.113
tc-30-0,1784413295798.9617,1784413296501,1784413299762.0,1784413300423.118,702.038,3261.0,661.118,1784413239762.0,4624.156
tc-42-0,1784413295448.9739,1784413295452,1784413299762.0,1784413300423.1182,3.026,4310.0,661.118,1784413239762.0,4974.144
tc-82-0,1784413297548.9622,1784413297583,1784413299762.0,1784413300423.1184,34.038,2179.0,661.118,1784413239762.0,2874.156
tc-67-0,1784413298298.975,1784413298602,1784413299762.0,1784413300423.119,303.025,1160.0,661.119,1784413239762.0,2124.144
tc-66-0,1784413297398.9778,1784413297583,1784413299762.0,1784413300423.1243,184.022,2179.0,661.124,1784413239762.0,3024.146
tc-94-0,1784413294848.9585,1784413295452,1784413299762.0,1784413300423.1396,603.042,4310.0,661.14,1784413239762.0,5574.181
tc-95-0,1784413290698.9834,1784413291251,1784413299762.0,1784413300423.14,552.017,8511.0,661.14,1784413239762.0,9724.156
tc-18-0,1784413292648.9556,1784413293351,1784413299762.0,1784413300423.1477,702.044,6411.0,661.148,1784413239762.0,7774.192
tc-44-0,1784413292698.955,1784413293351,1784413299763.0,1784413300423.1846,652.045,6412.0,660.185,1784413239763.0,7724.229
tc-81-0,1784413298098.9778,1784413298602,1784413299763.0,1784413300423.1848,503.022,1161.0,660.185,1784413239763.0,2324.207
tc-3-0,1784413293998.9856,1784413294401,1784413299763.0,1784413300423.1882,402.014,5362.0,660.188,1784413239763.0,6424.203
tc-20-0,1784413286748.9546,1784413287051,1784413299763.0,1784413300423.1912,302.045,12712.0,660.191,1784413239763.0,13674.237
tc-26-0,1784413294198.9822,1784413294401,1784413299763.0,1784413300423.1914,202.018,5362.0,660.191,1784413239763.0,6224.209
tc-65-0,1784413293798.9836,1784413294401,1784413299763.0,1784413300423.1917,602.016,5362.0,660.192,1784413239763.0,6624.208
tc-43-0,1784413296198.9924,1784413296501,1784413299763.0,1784413300423.1992,302.008,3262.0,660.199,1784413239763.0,4224.207
tc-86-0,1784413291098.9702,1784413291251,1784413299763.0,1784413300423.2065,152.03,8512.0,660.207,1784413239763.0,9324.236
tc-61-0,1784413295048.9639,1784413295452,1784413299763.0,1784413300423.218,403.036,4311.0,660.218,1784413239763.0,5374.254
tc-71-0,1784413281250.7708,1784413281802,1784413299763.0,1784413300423.2183,551.229,17961.0,660.218,1784413239763.0,19172.448
tc-57-0,1784413297248.9785,1784413297583,1784413299763.0,1784413300423.2292,334.021,2180.0,660.229,1784413239763.0,3174.251
tc-77-0,1784413292048.9507,1784413292302,1784413299763.0,1784413300423.23,253.049,7461.0,660.23,1784413239763.0,8374.279
tc-68-0,1784413289698.9692,1784413290201,1784413299764.0,1784413300423.2346,502.031,9563.0,659.235,1784413239764.0,10724.265
tc-55-0,1784413272948.9888,1784413273401,1784413299764.0,1784413300423.262,452.011,26363.0,659.262,1784413239764.0,27474.273
tc-17-0,1784413295548.9717,1784413296501,1784413299764.0,1784413300423.2625,952.028,3263.0,659.262,1784413239764.0,4874.291
tc-15-0,1784413295148.9656,1784413295452,1784413299764.0,1784413300423.2627,303.034,4312.0,659.263,1784413239764.0,5274.297
tc-96-0,1784413294398.9792,1784413294401,1784413299764.0,1784413300423.2632,2.021,5363.0,659.263,1784413239764.0,6024.284
tc-90-0,1784413296898.9885,1784413297583,1784413299764.0,1784413300423.273,684.011,2181.0,659.273,1784413239764.0,3524.284
tc-70-0,1784413297698.9973,1784413298602,1784413299764.0,1784413300423.2754,903.003,1162.0,659.275,1784413239764.0,2724.278
tc-35-0,1784413296298.971,1784413296501,1784413299764.0,1784413300423.3103,202.029,3263.0,659.31,1784413239764.0,4124.339
tc-51-0,1784413296648.985,1784413297583,1784413299764.0,1784413300423.3108,934.015,2181.0,659.311,1784413239764.0,3774.326
tc-50-0,1784413297099.018,1784413297583,1784413299764.0,1784413300423.3757,483.982,2181.0,659.376,1784413239764.0,3324.358
tc-31-0,1784413296598.9924,1784413297583,1784413299765.0,1784413300423.376,984.008,2182.0,658.376,1784413239765.0,3824.384
tc-16-0,1784413297998.9822,1784413298602,1784413299765.0,1784413300423.377,603.018,1163.0,658.377,1784413239765.0,2424.395
tc-98-0,1784413290398.9788,1784413291251,1784413299765.0,1784413300423.3772,852.021,8514.0,658.377,1784413239765.0,10024.398
tc-14-0,1784413298198.957,1784413298602,1784413299765.0,1784413300423.3796,403.043,1163.0,658.38,1784413239765.0,2224.423
tc-21-0,1784413294648.9563,1784413295452,1784413299765.0,1784413300423.4807,803.044,4313.0,658.481,1784413239765.0,5774.524
tc-2-0,1784413296798.982,1784413297583,1784413299765.0,1784413300423.4824,784.018,2182.0,658.482,1784413239765.0,3624.5
tc-39-0,1784413296749.0562,1784413297583,1784413299765.0,1784413300423.4832,833.944,2182.0,658.483,1784413239765.0,3674.427
tc-93-0,1784413294298.967,1784413294401,1784413299765.0,1784413300423.49,102.033,5364.0,658.49,1784413239765.0,6124.523
tc-89-0,1784413298148.9614,1784413298602,1784413299765.0,1784413300423.4902,453.039,1163.0,658.49,1784413239765.0,2274.529
tc-34-0,1784413296548.964,1784413297583,1784413299765.0,1784413300423.4907,1034.036,2182.0,658.491,1784413239765.0,3874.527
