event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-41-0,1784540559110.7185,1784540559362,1784540565666.0,1784540566760.191,251.281,6304.0,1094.191,1784540505666.0,7649.472
tc-19-0,1784540563610.7954,1784540564563,1784540565681.0,1784540566760.1953,952.205,1118.0,1079.195,1784540505681.0,3149.4
tc-9-0,1784540564510.7136,1784540564563,1784540565681.0,1784540566760.197,52.286,1118.0,1079.197,1784540505681.0,2249.483
tc-64-0,1784540561560.708,1784540562515,1784540565682.0,1784540566760.1985,954.292,3167.0,1078.198,1784540505682.0,5199.49
tc-80-0,1784540558360.7146,1784540559362,1784540565682.0,1784540566760.1997,1001.285,6320.0,1078.2,1784540505682.0,8399.485
tc-59-0,1784540563460.71,1784540563561,1784540565682.0,1784540566760.201,100.29,2121.0,1078.201,1784540505682.0,3299.491
tc-45-0,1784540553360.7083,1784540554113,1784540565682.0,1784540566760.2017,752.292,11569.0,1078.202,1784540505682.0,13399.493
tc-48-0,1784540562410.7202,1784540562515,1784540565682.0,1784540566760.2148,104.28,3167.0,1078.215,1784540505682.0,4349.495
tc-58-0,1784540563910.7144,1784540564563,1784540565682.0,1784540566760.2163,652.286,1119.0,1078.216,1784540505682.0,2849.502
tc-29-0,1784540555260.724,1784540556214,1784540565682.0,1784540566760.2178,953.276,9468.0,1078.218,1784540505682.0,11499.494
tc-84-0,1784540559860.718,1784540560412,1784540565682.0,1784540566760.2185,551.282,5270.0,1078.219,1784540505682.0,6899.5
tc-74-0,1784540564610.7175,1784540565613,1784540565682.0,1784540566760.2192,1002.282,69.0,1078.219,1784540505682.0,2149.502
tc-38-0,1784540564860.7114,1784540565613,1784540565682.0,1784540566760.2354,752.289,69.0,1078.235,1784540505682.0,1899.524
tc-1-0,1784540564810.7166,1784540565613,1784540565682.0,1784540566760.236,802.283,69.0,1078.236,1784540505682.0,1949.52
tc-75-0,1784540563260.707,1784540563561,1784540565682.0,1784540566760.2366,300.293,2121.0,1078.237,1784540505682.0,3499.53
tc-23-0,1784540546060.7275,1784540546763,1784540565683.0,1784540566760.237,702.272,18920.0,1077.237,1784540505683.0,20699.51
tc-52-0,1784540562310.7188,1784540562515,1784540565683.0,1784540566760.2375,204.281,3168.0,1077.238,1784540505683.0,4449.519
tc-36-0,1784540561010.924,1784540561463,1784540565683.0,1784540566760.2385,452.076,4220.0,1077.239,1784540505683.0,5749.314
tc-60-0,1784540563210.71,1784540563561,1784540565683.0,1784540566760.247,350.29,2122.0,1077.247,1784540505683.0,3549.537
tc-56-0,1784540549010.7095,1784540549912,1784540565684.0,1784540566760.2478,901.291,15772.0,1076.248,1784540505684.0,17749.538
tc-37-0,1784540557810.7168,1784540558313,1784540565684.0,1784540566760.5305,502.283,7371.0,1076.531,1784540505684.0,8949.814
tc-32-0,1784540564310.7327,1784540564563,1784540565684.0,1784540566760.5342,252.267,1121.0,1076.534,1784540505684.0,2449.802
tc-27-0,1784540562760.7117,1784540563561,1784540565684.0,1784540566760.5352,800.288,2123.0,1076.535,1784540505684.0,3999.823
tc-22-0,1784540551310.731,1784540552012,1784540565684.0,1784540566760.5361,701.269,13672.0,1076.536,1784540505684.0,15449.805
tc-49-0,1784540564660.712,1784540565613,1784540565684.0,1784540566760.537,952.288,71.0,1076.537,1784540505684.0,2099.825
tc-78-0,1784540556710.7126,1784540557263,1784540565684.0,1784540566760.5393,552.287,8421.0,1076.539,1784540505684.0,10049.827
tc-25-0,1784540559260.734,1784540559362,1784540565684.0,1784540566760.552,101.266,6322.0,1076.552,1784540505684.0,7499.818
tc-92-0,1784540563760.7114,1784540564563,1784540565684.0,1784540566760.6504,802.289,1121.0,1076.65,1784540505684.0,2999.939
tc-30-0,1784540562060.713,1784540562515,1784540565684.0,1784540566760.6516,454.287,3169.0,1076.652,1784540505684.0,4699.939
tc-42-0,1784540561710.712,1784540562515,1784540565684.0,1784540566760.6526,804.288,3169.0,1076.653,1784540505684.0,5049.941
tc-82-0,1784540563810.717,1784540564563,1784540565684.0,1784540566760.6533,752.283,1121.0,1076.653,1784540505684.0,2949.936
tc-67-0,1784540564560.7131,1784540564563,1784540565685.0,1784540566760.6548,2.287,1122.0,1075.655,1784540505685.0,2199.942
tc-66-0,1784540563660.7126,1784540564563,1784540565685.0,1784540566760.6558,902.287,1122.0,1075.656,1784540505685.0,3099.943
tc-94-0,1784540561110.731,1784540561463,1784540565685.0,1784540566760.6648,352.269,4222.0,1075.665,1784540505685.0,5649.934
tc-95-0,1784540556960.723,1784540557263,1784540565685.0,1784540566760.666,302.277,8422.0,1075.666,1784540505685.0,9799.943
tc-18-0,1784540558910.715,1784540559362,1784540565685.0,1784540566760.6667,451.285,6323.0,1075.667,1784540505685.0,7849.952
tc-44-0,1784540558960.7114,1784540559362,1784540565685.0,1784540566760.7656,401.289,6323.0,1075.766,1784540505685.0,7800.054
tc-81-0,1784540564360.7183,1784540564563,1784540565685.0,1784540566760.7822,202.282,1122.0,1075.782,1784540505685.0,2400.064
tc-3-0,1784540560260.7146,1784540560412,1784540565685.0,1784540566760.7832,151.285,5273.0,1075.783,1784540505685.0,6500.069
tc-20-0,1784540553010.73,1784540553064,1784540565685.0,1784540566761.0269,53.27,12621.0,1076.027,1784540505685.0,13750.297
tc-26-0,1784540560460.714,1784540561463,1784540565686.0,1784540566761.0283,1002.286,4223.0,1075.028,1784540505686.0,6300.314
tc-61-0,1784540561310.7112,1784540561463,1784540565686.0,1784540566761.03,152.289,4223.0,1075.03,1784540505686.0,5450.319
tc-86-0,1784540557360.6748,1784540558313,1784540565686.0,1784540566761.0308,952.325,7373.0,1075.031,1784540505686.0,9400.356
tc-65-0,1784540560060.7175,1784540560412,1784540565686.0,1784540566761.0317,351.282,5274.0,1075.032,1784540505686.0,6700.314
tc-47-0,1784540560160.7185,1784540560412,1784540565686.0,1784540566761.0327,251.281,5274.0,1075.033,1784540505686.0,6600.314
tc-33-0,1784540562110.712,1784540562515,1784540565686.0,1784540566761.034,404.288,3171.0,1075.034,1784540505686.0,4650.322
tc-0-0,1784540563310.7102,1784540563561,1784540565686.0,1784540566761.0347,250.29,2125.0,1075.035,1784540505686.0,3450.324
tc-4-0,1784540564160.7117,1784540564563,1784540565686.0,1784540566761.0356,402.288,1123.0,1075.036,1784540505686.0,2600.324
tc-6-0,1784540560810.71,1784540561463,1784540565687.0,1784540566761.0364,652.29,4224.0,1074.036,1784540505687.0,5950.326
tc-10-0,1784540560510.712,1784540561463,1784540565687.0,1784540566761.037,952.288,4224.0,1074.037,1784540505687.0,6250.325
