event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-41-0,1784402245187.7852,1784402245589,1784402251991.0,1784402252320.2415,401.215,6402.0,329.241,1784402191991.0,7132.456
tc-19-0,1784402249687.8076,1784402249790,1784402252006.0,1784402252320.2468,102.192,2216.0,314.247,1784402192006.0,2632.439
tc-9-0,1784402250587.784,1784402250840,1784402252006.0,1784402252320.2498,252.216,1166.0,314.25,1784402192006.0,1732.466
tc-64-0,1784402247637.7822,1784402247689,1784402252007.0,1784402252320.2517,51.218,4318.0,313.252,1784402192007.0,4682.469
tc-80-0,1784402244437.7825,1784402244539,1784402252007.0,1784402252320.2527,101.218,7468.0,313.253,1784402192007.0,7882.47
tc-59-0,1784402249537.7815,1784402249790,1784402252007.0,1784402252320.254,252.219,2217.0,313.254,1784402192007.0,2782.472
tc-45-0,1784402239437.7827,1784402240339,1784402252008.0,1784402252320.255,901.217,11669.0,312.255,1784402192008.0,12882.472
tc-48-0,1784402248487.7842,1784402248739,1784402252008.0,1784402252320.2612,251.216,3269.0,312.261,1784402192008.0,3832.477
tc-58-0,1784402249987.7825,1784402250840,1784402252008.0,1784402252320.2627,852.218,1168.0,312.263,1784402192008.0,2332.48
tc-29-0,1784402241337.7886,1784402241390,1784402252008.0,1784402252320.2642,52.211,10618.0,312.264,1784402192008.0,10982.476
tc-84-0,1784402245937.787,1784402246639,1784402252008.0,1784402252320.265,701.213,5369.0,312.265,1784402192008.0,6382.478
tc-74-0,1784402250687.785,1784402250840,1784402252009.0,1784402252320.2656,152.215,1169.0,311.266,1784402192009.0,1632.481
tc-38-0,1784402250937.7864,1784402251890,1784402252009.0,1784402252320.2742,952.214,119.0,311.274,1784402192009.0,1382.488
tc-1-0,1784402250887.7915,1784402251890,1784402252009.0,1784402252320.275,1002.208,119.0,311.275,1784402192009.0,1432.483
tc-75-0,1784402249337.7864,1784402249790,1784402252009.0,1784402252320.2756,452.214,2219.0,311.276,1784402192009.0,2982.489
tc-23-0,1784402232137.8086,1784402232990,1784402252009.0,1784402252320.2764,852.191,19019.0,311.276,1784402192009.0,20182.468
tc-33-0,1784402248187.7903,1784402248739,1784402252010.0,1784402252320.2773,551.21,3271.0,310.277,1784402192010.0,4132.487
tc-0-0,1784402249387.7864,1784402249790,1784402252010.0,1784402252320.2783,402.214,2220.0,310.278,1784402192010.0,2932.492
tc-4-0,1784402250237.798,1784402250840,1784402252010.0,1784402252320.279,602.202,1170.0,310.279,1784402192010.0,2082.481
