event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-41-0,1784557583779.001,1784557584132,1784557590638.0,1784557591322.6685,352.999,6506.0,684.668,1784557530638.0,7543.667
tc-19-0,1784557588279.0078,1784557588331,1784557590652.0,1784557591322.6714,51.992,2321.0,670.671,1784557530652.0,3043.664
tc-9-0,1784557589179.0012,1784557589383,1784557590652.0,1784557591322.6724,203.999,1269.0,670.672,1784557530652.0,2143.671
tc-64-0,1784557586229.0037,1784557586232,1784557590653.0,1784557591322.673,2.996,4421.0,669.673,1784557530653.0,5093.669
tc-80-0,1784557583028.999,1784557583081,1784557590653.0,1784557591322.6736,52.001,7572.0,669.674,1784557530653.0,8293.675
tc-59-0,1784557588129.036,1784557588331,1784557590653.0,1784557591322.686,201.964,2322.0,669.686,1784557530653.0,3193.65
tc-45-0,1784557578029.0017,1784557578882,1784557590653.0,1784557591322.6868,852.998,11771.0,669.687,1784557530653.0,13293.685
tc-48-0,1784557587079.0017,1784557587281,1784557590653.0,1784557591322.691,201.998,3372.0,669.691,1784557530653.0,4243.689
tc-58-0,1784557588578.9998,1784557589383,1784557590653.0,1784557591322.692,804.0,1270.0,669.692,1784557530653.0,2743.692
tc-29-0,1784557579929.0217,1784557579933,1784557590653.0,1784557591322.6953,3.978,10720.0,669.695,1784557530653.0,11393.674
tc-84-0,1784557584529.0044,1784557585181,1784557590653.0,1784557591322.6956,651.996,5472.0,669.696,1784557530653.0,6793.691
tc-74-0,1784557589279.0037,1784557589383,1784557590653.0,1784557591322.696,103.996,1270.0,669.696,1784557530653.0,2043.692
tc-38-0,1784557589528.9988,1784557590431,1784557590653.0,1784557591322.7222,902.001,222.0,669.722,1784557530653.0,1793.723
tc-1-0,1784557589479.008,1784557590431,1784557590654.0,1784557591322.7224,951.992,223.0,668.722,1784557530654.0,1843.714
