event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-41-0,1784513938480.3523,1784513938782,1784513945178.0,1784513945763.5195,301.648,6396.0,585.52,1784513885178.0,7283.167
tc-19-0,1784513942980.3838,1784513942982,1784513945196.0,1784513945763.5244,1.616,2214.0,567.524,1784513885196.0,2783.141
tc-9-0,1784513943880.381,1784513944033,1784513945196.0,1784513945763.5256,152.619,1163.0,567.526,1784513885196.0,1883.145
tc-64-0,1784513940930.3914,1784513941933,1784513945196.0,1784513945763.5269,1002.609,3263.0,567.527,1784513885196.0,4833.135
tc-80-0,1784513937730.389,1784513937733,1784513945197.0,1784513945763.5276,2.611,7464.0,566.528,1784513885197.0,8033.139
tc-59-0,1784513942830.3892,1784513942982,1784513945197.0,1784513945763.528,151.611,2215.0,566.528,1784513885197.0,2933.139
tc-45-0,1784513932730.3901,1784513933533,1784513945198.0,1784513945763.5444,802.61,11665.0,565.544,1784513885198.0,13033.154
tc-48-0,1784513941780.3882,1784513941933,1784513945198.0,1784513945763.5498,152.612,3265.0,565.55,1784513885198.0,3983.162
tc-58-0,1784513943280.3806,1784513944033,1784513945198.0,1784513945763.5505,752.619,1165.0,565.551,1784513885198.0,2483.17
tc-29-0,1784513934630.3835,1784513935633,1784513945198.0,1784513945763.5513,1002.616,9565.0,565.551,1784513885198.0,11133.168
tc-84-0,1784513939230.3586,1784513939832,1784513945198.0,1784513945763.5518,601.641,5366.0,565.552,1784513885198.0,6533.193
tc-74-0,1784513943980.3801,1784513944033,1784513945198.0,1784513945763.552,52.62,1165.0,565.552,1784513885198.0,1783.172
tc-38-0,1784513944230.3882,1784513945083,1784513945199.0,1784513945763.5525,852.612,116.0,564.552,1784513885199.0,1533.164
tc-1-0,1784513944180.3882,1784513945083,1784513945199.0,1784513945763.5527,902.612,116.0,564.553,1784513885199.0,1583.165
tc-75-0,1784513942630.392,1784513942982,1784513945199.0,1784513945763.5532,351.608,2217.0,564.553,1784513885199.0,3133.161
tc-23-0,1784513925430.3867,1784513926182,1784513945199.0,1784513945763.5535,751.613,19017.0,564.553,1784513885199.0,20333.167
tc-33-0,1784513941480.3877,1784513941933,1784513945199.0,1784513945763.5544,452.612,3266.0,564.554,1784513885199.0,4283.167
tc-0-0,1784513942680.3767,1784513942982,1784513945200.0,1784513945763.5552,301.623,2218.0,563.555,1784513885200.0,3083.178
tc-52-0,1784513941680.388,1784513941933,1784513945200.0,1784513945763.5554,252.612,3267.0,563.555,1784513885200.0,4083.167
tc-36-0,1784513940380.3828,1784513940882,1784513945200.0,1784513945763.5557,501.617,4318.0,563.556,1784513885200.0,5383.173
tc-60-0,1784513942580.385,1784513942982,1784513945200.0,1784513945763.556,401.615,2218.0,563.556,1784513885200.0,3183.171
tc-56-0,1784513928380.388,1784513929332,1784513945200.0,1784513945763.5562,951.612,15868.0,563.556,1784513885200.0,17383.168
tc-37-0,1784513937180.3774,1784513937733,1784513945201.0,1784513945763.5564,552.623,7468.0,562.556,1784513885201.0,8583.179
tc-32-0,1784513943680.3857,1784513944033,1784513945201.0,1784513945763.557,352.614,1168.0,562.557,1784513885201.0,2083.171
tc-27-0,1784513942130.3914,1784513942982,1784513945201.0,1784513945763.5571,851.609,2219.0,562.557,1784513885201.0,3633.166
tc-22-0,1784513930680.3896,1784513931433,1784513945201.0,1784513945763.5574,752.61,13768.0,562.557,1784513885201.0,15083.168
tc-49-0,1784513944030.3818,1784513944033,1784513945201.0,1784513945763.5576,2.618,1168.0,562.558,1784513885201.0,1733.176
tc-78-0,1784513936080.3826,1784513936682,1784513945201.0,1784513945763.5579,601.617,8519.0,562.558,1784513885201.0,9683.175
tc-25-0,1784513938630.3796,1784513938782,1784513945202.0,1784513945763.5618,151.62,6420.0,561.562,1784513885202.0,7133.182
tc-92-0,1784513943130.3857,1784513944033,1784513945202.0,1784513945764.4587,902.614,1169.0,562.459,1784513885202.0,2634.073
tc-30-0,1784513941430.3865,1784513941933,1784513945202.0,1784513945764.4602,502.614,3269.0,562.46,1784513885202.0,4334.074
tc-42-0,1784513941080.3865,1784513941933,1784513945202.0,1784513945764.4607,852.614,3269.0,562.461,1784513885202.0,4684.074
tc-82-0,1784513943180.3838,1784513944033,1784513945202.0,1784513945764.4639,852.616,1169.0,562.464,1784513885202.0,2584.08
tc-67-0,1784513943930.3787,1784513944033,1784513945202.0,1784513945764.4656,102.621,1169.0,562.466,1784513885202.0,1834.087
tc-66-0,1784513943030.3853,1784513944033,1784513945203.0,1784513945764.466,1002.615,1170.0,561.466,1784513885203.0,2734.081
tc-94-0,1784513940480.378,1784513940882,1784513945203.0,1784513945764.4666,401.622,4321.0,561.467,1784513885203.0,5284.089
tc-95-0,1784513936330.3813,1784513936682,1784513945203.0,1784513945764.467,351.619,8521.0,561.467,1784513885203.0,9434.086
tc-18-0,1784513938280.39,1784513938782,1784513945203.0,1784513945764.4673,501.61,6421.0,561.467,1784513885203.0,7484.077
tc-44-0,1784513938330.3926,1784513938782,1784513945203.0,1784513945764.4678,451.607,6421.0,561.468,1784513885203.0,7434.075
tc-81-0,1784513943730.3896,1784513944033,1784513945204.0,1784513945764.4705,302.61,1171.0,560.47,1784513885204.0,2034.081
tc-3-0,1784513939630.3816,1784513939832,1784513945204.0,1784513945764.471,201.618,5372.0,560.471,1784513885204.0,6134.089
tc-20-0,1784513932380.3877,1784513932482,1784513945204.0,1784513945764.4717,101.612,12722.0,560.472,1784513885204.0,13384.084
tc-26-0,1784513939830.3848,1784513939832,1784513945204.0,1784513945764.4722,1.615,5372.0,560.472,1784513885204.0,5934.087
tc-61-0,1784513940680.4023,1784513940882,1784513945204.0,1784513945764.4724,201.598,4322.0,560.472,1784513885204.0,5084.07
tc-86-0,1784513936730.384,1784513937733,1784513945205.0,1784513945764.473,1002.616,7472.0,559.473,1784513885205.0,9034.089
tc-4-0,1784513943530.3833,1784513944033,1784513945205.0,1784513945764.4734,502.617,1172.0,559.473,1784513885205.0,2234.09
tc-6-0,1784513940180.3855,1784513940882,1784513945205.0,1784513945764.4736,701.615,4323.0,559.474,1784513885205.0,5584.088
tc-10-0,1784513939880.3872,1784513940882,1784513945205.0,1784513945764.474,1001.613,4323.0,559.474,1784513885205.0,5884.087
tc-47-0,1784513939530.39,1784513939832,1784513945205.0,1784513945764.4744,301.61,5373.0,559.474,1784513885205.0,6234.084
tc-65-0,1784513939430.3862,1784513939832,1784513945206.0,1784513945764.4749,401.614,5374.0,558.475,1784513885206.0,6334.089
tc-43-0,1784513941830.3857,1784513941933,1784513945206.0,1784513945764.475,102.614,3273.0,558.475,1784513885206.0,3934.089
tc-71-0,1784513926880.3923,1784513927233,1784513945206.0,1784513945764.4756,352.608,17973.0,558.476,1784513885206.0,18884.083
tc-57-0,1784513942880.3853,1784513942982,1784513945206.0,1784513945764.4758,101.615,2224.0,558.476,1784513885206.0,2884.091
tc-77-0,1784513937680.3909,1784513937733,1784513945206.0,1784513945764.477,52.609,7473.0,558.477,1784513885206.0,8084.086
tc-68-0,1784513935330.384,1784513935633,1784513945207.0,1784513945764.4773,302.616,9574.0,557.477,1784513885207.0,10434.093
tc-90-0,1784513942530.3826,1784513942982,1784513945207.0,1784513945764.4775,451.617,2225.0,557.478,1784513885207.0,3234.095
tc-70-0,1784513943330.387,1784513944033,1784513945207.0,1784513945764.478,702.613,1174.0,557.478,1784513885207.0,2434.091
tc-35-0,1784513941930.9456,1784513941933,1784513945207.0,1784513945764.4783,2.054,3274.0,557.478,1784513885207.0,3833.533
tc-51-0,1784513942280.3828,1784513942982,1784513945207.0,1784513945764.4788,701.617,2225.0,557.479,1784513885207.0,3484.096
tc-50-0,1784513942730.3845,1784513942982,1784513945207.0,1784513945764.479,251.615,2225.0,557.479,1784513885207.0,3034.094
tc-31-0,1784513942230.3843,1784513942982,1784513945208.0,1784513945764.4795,751.616,2226.0,556.479,1784513885208.0,3534.095
tc-16-0,1784513943630.3833,1784513944033,1784513945208.0,1784513945764.48,402.617,1175.0,556.48,1784513885208.0,2134.097
tc-98-0,1784513936030.3877,1784513936682,1784513945208.0,1784513945764.4805,651.612,8526.0,556.48,1784513885208.0,9734.093
tc-14-0,1784513943830.378,1784513944033,1784513945208.0,1784513945764.481,202.622,1175.0,556.481,1784513885208.0,1934.103
tc-21-0,1784513940280.3877,1784513940882,1784513945208.0,1784513945764.4812,601.612,4326.0,556.481,1784513885208.0,5484.094
tc-2-0,1784513942430.3828,1784513942982,1784513945209.0,1784513945764.4822,551.617,2227.0,555.482,1784513885209.0,3334.099
tc-39-0,1784513942380.4023,1784513942982,1784513945209.0,1784513945764.4827,601.598,2227.0,555.483,1784513885209.0,3384.08
tc-93-0,1784513939930.384,1784513940882,1784513945209.0,1784513945764.4888,951.616,4327.0,555.489,1784513885209.0,5834.105
tc-89-0,1784513943780.3816,1784513944033,1784513945209.0,1784513945764.4893,252.618,1176.0,555.489,1784513885209.0,1984.108
tc-34-0,1784513942180.383,1784513942982,1784513945209.0,1784513945764.4895,801.617,2227.0,555.49,1784513885209.0,3584.106
tc-76-0,1784513944130.3848,1784513945083,1784513945210.0,1784513945764.4924,952.615,127.0,554.492,1784513885210.0,1634.108
tc-88-0,1784513936680.394,1784513936682,1784513945210.0,1784513945764.4949,1.606,8528.0,554.495,1784513885210.0,9084.101
tc-40-0,1784513938380.387,1784513938782,1784513945210.0,1784513945764.5059,401.613,6428.0,554.506,1784513885210.0,7384.119
tc-97-0,1784513943230.3855,1784513944033,1784513945210.0,1784513945764.5063,802.615,1177.0,554.506,1784513885210.0,2534.121
tc-85-0,1784513940730.3853,1784513940882,1784513945210.0,1784513945764.5066,151.615,4328.0,554.507,1784513885210.0,5034.121
tc-5-0,1784513943380.3794,1784513944033,1784513945210.0,1784513945764.519,652.621,1177.0,554.519,1784513885210.0,2384.14
tc-62-0,1784513938130.3867,1784513938782,1784513945211.0,1784513945764.5195,651.613,6429.0,553.52,1784513885211.0,7634.133
tc-55-0,1784513918580.3794,1784513918835,1784513945211.0,1784513945764.52,254.621,26376.0,553.52,1784513885211.0,27184.141
tc-17-0,1784513941180.391,1784513941933,1784513945211.0,1784513945764.5205,752.609,3278.0,553.521,1784513885211.0,4584.129
tc-15-0,1784513940780.3843,1784513940882,1784513945211.0,1784513945764.521,101.616,4329.0,553.521,1784513885211.0,4984.137
tc-96-0,1784513940030.3906,1784513940882,1784513945211.0,1784513945764.5212,851.609,4329.0,553.521,1784513885211.0,5734.131
tc-53-0,1784513940330.3765,1784513940882,1784513945212.0,1784513945764.5217,551.624,4330.0,552.522,1784513885212.0,5434.145
tc-8-0,1784513938830.3909,1784513939832,1784513945212.0,1784513945764.5247,1001.609,5380.0,552.525,1784513885212.0,6934.134
tc-69-0,1784513931280.3845,1784513931433,1784513945212.0,1784513945764.5251,152.615,13779.0,552.525,1784513885212.0,14484.141
tc-73-0,1784513917680.3938,1784513917832,1784513945212.0,1784513945764.5256,151.606,27380.0,552.526,1784513885212.0,28084.132
tc-83-0,1784513940530.3833,1784513940882,1784513945212.0,1784513945764.526,351.617,4330.0,552.526,1784513885212.0,5234.143
tc-46-0,1784513941980.3838,1784513942982,1784513945212.0,1784513945764.5264,1001.616,2230.0,552.526,1784513885212.0,3784.143
tc-99-0,1784513928880.3872,1784513929332,1784513945213.0,1784513945764.5266,451.613,15881.0,551.527,1784513885213.0,16884.139
tc-63-0,1784513940980.388,1784513941933,1784513945213.0,1784513945764.527,952.612,3280.0,551.527,1784513885213.0,4784.139
tc-79-0,1784513928530.3916,1784513929332,1784513945213.0,1784513945764.5273,801.608,15881.0,551.527,1784513885213.0,17234.136
tc-91-0,1784513943580.3875,1784513944033,1784513945213.0,1784513945764.5276,452.613,1180.0,551.528,1784513885213.0,2184.14
tc-12-0,1784513927780.3875,1784513928282,1784513945213.0,1784513945764.528,501.613,16931.0,551.528,1784513885213.0,17984.141
tc-24-0,1784513941230.384,1784513941933,1784513945214.0,1784513945764.5283,702.616,3281.0,550.528,1784513885214.0,4534.144
tc-11-0,1784513941380.386,1784513941933,1784513945214.0,1784513945764.5288,552.614,3281.0,550.529,1784513885214.0,4384.143
tc-87-0,1784513943080.3843,1784513944033,1784513945214.0,1784513945764.5293,952.616,1181.0,550.529,1784513885214.0,2684.145
tc-13-0,1784513942930.3972,1784513942982,1784513945214.0,1784513945764.5295,51.603,2232.0,550.53,1784513885214.0,2834.132
tc-54-0,1784513939580.379,1784513939832,1784513945214.0,1784513945764.53,251.621,5382.0,550.53,1784513885214.0,6184.151
