event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-88-0,1784529837729.5813,1784529838331,1784529845595.0,1784529846376.8237,601.419,7264.0,781.824,1784529785595.0,8647.242
tc-4-0,1784529844579.5344,1784529845482,1784529845610.0,1784529846376.8281,902.466,128.0,766.828,1784529785610.0,1797.294
tc-96-0,1784529841079.5837,1784529841431,1784529845610.0,1784529846376.8293,351.416,4179.0,766.829,1784529785610.0,5297.246
tc-70-0,1784529844379.5386,1784529844481,1784529845610.0,1784529846376.831,101.461,1129.0,766.831,1784529785610.0,1997.292
tc-33-0,1784529842529.5278,1784529843480,1784529845611.0,1784529846376.833,950.472,2131.0,765.833,1784529785611.0,3847.305
tc-52-0,1784529842729.5283,1784529843480,1784529845611.0,1784529846376.8342,750.472,2131.0,765.834,1784529785611.0,3647.306
tc-69-0,1784529832329.5393,1784529833182,1784529845611.0,1784529846376.8354,852.461,12429.0,765.835,1784529785611.0,14047.296
tc-91-0,1784529844629.5322,1784529845482,1784529845611.0,1784529846376.841,852.468,129.0,765.841,1784529785611.0,1747.309
tc-14-0,1784529844879.575,1784529845482,1784529845611.0,1784529846376.8423,602.425,129.0,765.842,1784529785611.0,1497.267
tc-95-0,1784529837379.5342,1784529838331,1784529845611.0,1784529846376.8438,951.466,7280.0,765.844,1784529785611.0,8997.31
tc-43-0,1784529842879.5415,1784529843480,1784529845612.0,1784529846376.8447,600.458,2132.0,764.845,1784529785612.0,3497.303
tc-98-0,1784529837079.577,1784529837282,1784529845612.0,1784529846376.8455,202.423,8330.0,764.845,1784529785612.0,9297.269
tc-38-0,1784529845279.5247,1784529845482,1784529845612.0,1784529846376.8462,202.475,130.0,764.846,1784529785612.0,1097.322
tc-99-0,1784529829929.5286,1784529830135,1784529845613.0,1784529846376.881,205.471,15478.0,763.881,1784529785613.0,16447.353
tc-7-0,1784529842929.52,1784529843480,1784529845613.0,1784529846376.8823,550.48,2133.0,763.882,1784529785613.0,3447.362
tc-76-0,1784529845179.5496,1784529845482,1784529845613.0,1784529846376.8835,302.45,131.0,763.884,1784529785613.0,1197.334
tc-36-0,1784529841429.5508,1784529842431,1784529845613.0,1784529846376.884,1001.449,3182.0,763.884,1784529785613.0,4947.333
tc-78-0,1784529837129.535,1784529837282,1784529845613.0,1784529846376.8855,152.465,8331.0,763.885,1784529785613.0,9247.351
tc-73-0,1784529818729.5337,1784529818784,1784529845614.0,1784529846376.8865,54.466,26830.0,762.886,1784529785614.0,27647.353
tc-68-0,1784529836379.536,1784529837282,1784529845614.0,1784529846376.8877,902.464,8332.0,762.888,1784529785614.0,9997.352
tc-45-0,1784529833779.5232,1784529834232,1784529845614.0,1784529846376.9197,452.477,11382.0,762.92,1784529785614.0,12597.396
tc-56-0,1784529829429.5254,1784529830135,1784529845614.0,1784529846376.9211,705.475,15479.0,762.921,1784529785614.0,16947.396
tc-16-0,1784529844679.5334,1784529845482,1784529845614.0,1784529846376.9226,802.467,132.0,762.923,1784529785614.0,1697.389
tc-26-0,1784529840879.535,1784529841431,1784529845614.0,1784529846376.9243,551.465,4183.0,762.924,1784529785614.0,5497.389
tc-41-0,1784529839529.5732,1784529840383,1784529845615.0,1784529846376.9324,853.427,5232.0,761.932,1784529785615.0,6847.359
tc-51-0,1784529843329.579,1784529843480,1784529845615.0,1784529846376.933,150.421,2135.0,761.933,1784529785615.0,3047.354
tc-50-0,1784529843779.5798,1784529844481,1784529845615.0,1784529846376.9338,701.42,1134.0,761.934,1784529785615.0,2597.354
tc-93-0,1784529840979.5256,1784529841431,1784529845615.0,1784529846376.9343,451.474,4184.0,761.934,1784529785615.0,5397.409
tc-9-0,1784529844929.5679,1784529845482,1784529845615.0,1784529846376.9348,552.432,133.0,761.935,1784529785615.0,1447.367
tc-34-0,1784529843229.5312,1784529843480,1784529845615.0,1784529846376.9355,250.469,2135.0,761.936,1784529785615.0,3147.404
tc-72-0,1784529844529.5405,1784529845482,1784529845616.0,1784529846376.936,952.459,134.0,760.936,1784529785616.0,1847.396
tc-54-0,1784529840629.5283,1784529841431,1784529845616.0,1784529846376.941,801.472,4185.0,760.941,1784529785616.0,5747.413
tc-85-0,1784529841779.5376,1784529842431,1784529845616.0,1784529846376.9417,651.462,3185.0,760.942,1784529785616.0,4597.404
tc-89-0,1784529844829.5217,1784529845482,1784529845616.0,1784529846376.9429,652.478,134.0,760.943,1784529785616.0,1547.421
tc-30-0,1784529842479.5657,1784529843480,1784529845616.0,1784529846376.9434,1000.434,2136.0,760.943,1784529785616.0,3897.378
tc-0-0,1784529843729.584,1784529844481,1784529845616.0,1784529846376.9438,751.416,1135.0,760.944,1784529785616.0,2647.36
tc-25-0,1784529839679.5442,1784529840383,1784529845617.0,1784529846376.9446,703.456,5234.0,759.945,1784529785617.0,6697.4
tc-66-0,1784529844079.5425,1784529844481,1784529845617.0,1784529846376.945,401.458,1136.0,759.945,1784529785617.0,2297.403
tc-75-0,1784529843679.5408,1784529844481,1784529845617.0,1784529846376.9456,801.459,1136.0,759.946,1784529785617.0,2697.405
tc-28-0,1784529845129.538,1784529845482,1784529845617.0,1784529846376.946,352.462,135.0,759.946,1784529785617.0,1247.408
tc-13-0,1784529843979.5322,1784529844481,1784529845618.0,1784529846376.9468,501.468,1137.0,758.947,1784529785618.0,2397.415
tc-5-0,1784529844429.5847,1784529844481,1784529845618.0,1784529846376.9583,51.415,1137.0,758.958,1784529785618.0,1947.374
tc-24-0,1784529842279.5303,1784529842431,1784529845618.0,1784529846376.959,151.47,3187.0,758.959,1784529785618.0,4097.429
tc-67-0,1784529844979.5369,1784529845482,1784529845618.0,1784529846376.96,502.463,136.0,758.96,1784529785618.0,1397.423
tc-20-0,1784529833429.5315,1784529834232,1784529845618.0,1784529846376.9607,802.469,11386.0,758.961,1784529785618.0,12947.429
tc-84-0,1784529840279.5388,1784529840383,1784529845619.0,1784529846376.9727,103.461,5236.0,757.973,1784529785619.0,6097.434
tc-63-0,1784529842029.5352,1784529842431,1784529845619.0,1784529846376.9736,401.465,3188.0,757.974,1784529785619.0,4347.438
tc-57-0,1784529843929.5393,1784529844481,1784529845619.0,1784529846376.974,551.461,1138.0,757.974,1784529785619.0,2447.435
tc-60-0,1784529843629.5867,1784529844481,1784529845619.0,1784529846376.9749,851.413,1138.0,757.975,1784529785619.0,2747.388
tc-8-0,1784529839879.5334,1784529840383,1784529845619.0,1784529846376.9756,503.467,5236.0,757.976,1784529785619.0,6497.442
tc-65-0,1784529840480.0476,1784529841431,1784529845619.0,1784529846376.976,950.952,4188.0,757.976,1784529785619.0,5896.928
tc-29-0,1784529835679.535,1784529836281,1784529845620.0,1784529846376.9768,601.465,9339.0,756.977,1784529785620.0,10697.442
tc-23-0,1784529826479.5603,1784529827081,1784529845620.0,1784529846376.9773,601.44,18539.0,756.977,1784529785620.0,19897.417
tc-64-0,1784529841979.5742,1784529842431,1784529845620.0,1784529846376.9788,451.426,3189.0,756.979,1784529785620.0,4397.405
tc-49-0,1784529845079.5195,1784529845482,1784529845620.0,1784529846376.9795,402.48,138.0,756.979,1784529785620.0,1297.46
tc-10-0,1784529840929.5266,1784529841431,1784529845620.0,1784529846376.98,501.473,4189.0,756.98,1784529785620.0,5447.453
tc-21-0,1784529841329.5332,1784529841431,1784529845620.0,1784529846376.9846,101.467,4189.0,756.985,1784529785620.0,5047.451
tc-11-0,1784529842429.5366,1784529842431,1784529845621.0,1784529846376.9856,1.463,3190.0,755.986,1784529785621.0,3947.449
tc-47-0,1784529840580.8218,1784529841431,1784529845621.0,1784529846376.9922,850.178,4190.0,755.992,1784529785621.0,5796.17
tc-1-0,1784529845229.5366,1784529845482,1784529845621.0,1784529846376.9927,252.463,139.0,755.993,1784529785621.0,1147.456
tc-39-0,1784529843429.5361,1784529843480,1784529845621.0,1784529846376.9934,50.464,2141.0,755.993,1784529785621.0,2947.457
tc-77-0,1784529838729.5298,1784529839381,1784529845621.0,1784529846377.0166,651.47,6240.0,756.017,1784529785621.0,7647.487
tc-15-0,1784529841829.549,1784529842431,1784529845621.0,1784529846377.0176,601.451,3190.0,756.018,1784529785621.0,4547.469
tc-48-0,1784529842829.531,1784529843480,1784529845621.0,1784529846377.0942,650.469,2141.0,756.094,1784529785621.0,3547.563
tc-90-0,1784529843579.5308,1784529844481,1784529845622.0,1784529846377.095,901.469,1141.0,755.095,1784529785622.0,2797.564
tc-18-0,1784529839329.573,1784529839381,1784529845622.0,1784529846377.096,51.427,6241.0,755.096,1784529785622.0,7047.523
tc-27-0,1784529843179.5332,1784529843480,1784529845622.0,1784529846377.0967,300.467,2142.0,755.097,1784529785622.0,3197.563
tc-35-0,1784529842979.524,1784529843480,1784529845622.0,1784529846377.0972,500.476,2142.0,755.097,1784529785622.0,3397.573
tc-97-0,1784529844279.5742,1784529844481,1784529845622.0,1784529846377.1052,201.426,1141.0,755.105,1784529785622.0,2097.531
tc-81-0,1784529844779.5264,1784529845482,1784529845622.0,1784529846377.106,702.474,140.0,755.106,1784529785622.0,1597.58
tc-61-0,1784529841729.5261,1784529842431,1784529845622.0,1784529846377.1064,701.474,3191.0,755.106,1784529785622.0,4647.58
tc-32-0,1784529844729.5266,1784529845482,1784529845623.0,1784529846377.1072,752.473,141.0,754.107,1784529785623.0,1647.581
tc-44-0,1784529839379.5393,1784529840383,1784529845623.0,1784529846377.1123,1003.461,5240.0,754.112,1784529785623.0,6997.573
tc-46-0,1784529843029.5781,1784529843480,1784529845623.0,1784529846377.1426,450.422,2143.0,754.143,1784529785623.0,3347.564
tc-55-0,1784529819629.5303,1784529819831,1784529845623.0,1784529846377.1433,201.47,25792.0,754.143,1784529785623.0,26747.613
tc-40-0,1784529839429.575,1784529840383,1784529845623.0,1784529846377.1663,953.425,5240.0,754.166,1784529785623.0,6947.591
tc-31-0,1784529843279.538,1784529843480,1784529845623.0,1784529846377.1716,200.462,2143.0,754.172,1784529785623.0,3097.634
tc-71-0,1784529827929.5327,1784529828131,1784529845623.0,1784529846377.1729,201.467,17492.0,754.173,1784529785623.0,18447.64
tc-3-0,1784529840679.5437,1784529841431,1784529845624.0,1784529846377.1736,751.456,4193.0,753.174,1784529785624.0,5697.63
tc-79-0,1784529829579.579,1784529830135,1784529845624.0,1784529846377.174,555.421,15489.0,753.174,1784529785624.0,16797.595
tc-58-0,1784529844329.551,1784529844481,1784529845624.0,1784529846377.2144,151.449,1143.0,753.214,1784529785624.0,2047.663
tc-83-0,1784529841579.5361,1784529842431,1784529845624.0,1784529846377.2148,851.464,3193.0,753.215,1784529785624.0,4797.679
tc-92-0,1784529844179.5254,1784529844481,1784529845624.0,1784529846377.2156,301.475,1143.0,753.216,1784529785624.0,2197.69
tc-86-0,1784529837779.5835,1784529838331,1784529845624.0,1784529846377.216,551.417,7293.0,753.216,1784529785624.0,8597.633
tc-22-0,1784529831729.527,1784529832181,1784529845624.0,1784529846377.2168,451.473,13443.0,753.217,1784529785624.0,14647.69
tc-87-0,1784529844129.5745,1784529844481,1784529845625.0,1784529846377.2173,351.426,1144.0,752.217,1784529785625.0,2247.643
tc-2-0,1784529843479.5474,1784529844481,1784529845625.0,1784529846377.2466,1001.453,1144.0,752.247,1784529785625.0,2897.699
tc-59-0,1784529843879.5396,1784529844481,1784529845625.0,1784529846377.2473,601.46,1144.0,752.247,1784529785625.0,2497.708
tc-94-0,1784529841529.5288,1784529842431,1784529845625.0,1784529846377.2522,901.471,3194.0,752.252,1784529785625.0,4847.723
tc-37-0,1784529838229.5364,1784529838331,1784529845625.0,1784529846377.2527,101.464,7294.0,752.253,1784529785625.0,8147.716
tc-17-0,1784529842229.5383,1784529842431,1784529845625.0,1784529846377.2534,201.462,3194.0,752.253,1784529785625.0,4147.715
tc-6-0,1784529841229.5376,1784529841431,1784529845625.0,1784529846377.254,201.462,4194.0,752.254,1784529785625.0,5147.716
tc-62-0,1784529839179.5742,1784529839381,1784529845626.0,1784529846377.2546,201.426,6245.0,751.255,1784529785626.0,7197.68
tc-12-0,1784529828829.5442,1784529829133,1784529845626.0,1784529846377.264,303.456,16493.0,751.264,1784529785626.0,17547.72
tc-53-0,1784529841379.531,1784529841431,1784529845626.0,1784529846377.2761,51.469,4195.0,751.276,1784529785626.0,4997.745
tc-80-0,1784529838779.5254,1784529839381,1784529845626.0,1784529846377.2769,601.475,6245.0,751.277,1784529785626.0,7597.751
tc-42-0,1784529842129.5312,1784529842431,1784529845626.0,1784529846377.2998,301.469,3195.0,751.3,1784529785626.0,4247.769
tc-82-0,1784529844229.5725,1784529844481,1784529845626.0,1784529846377.3057,251.427,1145.0,751.306,1784529785626.0,2147.733
tc-19-0,1784529844029.5205,1784529844481,1784529845626.0,1784529846377.3115,451.479,1145.0,751.312,1784529785626.0,2347.791
tc-74-0,1784529845029.5361,1784529845482,1784529845626.0,1784529846377.328,452.464,144.0,751.328,1784529785626.0,1347.792
tc-31-60000,1784529872229.545,1784529872431,1784529875637.0,1784529876278.7637,201.455,3206.0,641.764,1784529755637.0,4049.219
tc-40-60000,1784529868379.5293,1784529869281,1784529875639.0,1784529876278.767,901.471,6358.0,639.767,1784529755639.0,7899.238
tc-67-60000,1784529869479.537,1784529870331,1784529875639.0,1784529876279.0103,851.463,5308.0,640.01,1784529755639.0,6799.473
tc-83-60000,1784529874829.5398,1784529875531,1784529875640.0,1784529876279.0112,701.46,109.0,639.011,1784529755640.0,1449.471
tc-63-60000,1784529870179.5317,1784529870331,1784529875640.0,1784529876279.0117,151.468,5309.0,639.012,1784529755640.0,6099.48
tc-76-60000,1784529866079.5369,1784529866181,1784529875640.0,1784529876279.0122,101.463,9459.0,639.012,1784529755640.0,10199.475
tc-87-60000,1784529865479.536,1784529866181,1784529875640.0,1784529876279.0134,701.464,9459.0,639.013,1784529755640.0,10799.478
tc-82-60000,1784529871879.5225,1784529872431,1784529875640.0,1784529876279.0144,551.478,3209.0,639.014,1784529755640.0,4399.492
tc-38-60000,1784529872829.5366,1784529873481,1784529875640.0,1784529876279.015,651.463,2159.0,639.015,1784529755640.0,3449.478
tc-68-60000,1784529871129.5247,1784529871381,1784529875640.0,1784529876279.017,251.475,4259.0,639.017,1784529755640.0,5149.492
tc-75-60000,1784529867479.5715,1784529868232,1784529875641.0,1784529876279.0176,752.428,7409.0,638.018,1784529755641.0,8799.446
tc-62-60000,1784529874979.5398,1784529875531,1784529875641.0,1784529876279.0186,551.46,110.0,638.019,1784529755641.0,1299.479
tc-17-60000,1784529862829.5215,1784529863031,1784529875641.0,1784529876279.0227,201.479,12610.0,638.023,1784529755641.0,13449.501
tc-2-60000,1784529868479.5322,1784529869281,1784529875641.0,1784529876279.0232,801.468,6360.0,638.023,1784529755641.0,7799.491
tc-84-60000,1784529872629.5334,1784529873481,1784529875641.0,1784529876279.0234,851.467,2160.0,638.023,1784529755641.0,3649.49
tc-54-60000,1784529874529.5464,1784529875531,1784529875641.0,1784529876279.024,1001.454,110.0,638.024,1784529755641.0,1749.478
tc-58-60000,1784529874579.5437,1784529875531,1784529875641.0,1784529876279.0244,951.456,110.0,638.024,1784529755641.0,1699.481
tc-71-60000,1784529863329.5735,1784529864081,1784529875641.0,1784529876279.025,751.427,11560.0,638.025,1784529755641.0,12949.451
tc-72-60000,1784529862379.5706,1784529863031,1784529875642.0,1784529876279.0254,651.429,12611.0,637.025,1784529755642.0,13899.455
tc-49-60000,1784529874929.55,1784529875531,1784529875642.0,1784529876279.0256,601.45,111.0,637.026,1784529755642.0,1349.476
tc-66-60000,1784529872329.5344,1784529872431,1784529875642.0,1784529876279.0261,101.466,3211.0,637.026,1784529755642.0,3949.492
tc-18-60000,1784529873429.571,1784529873481,1784529875642.0,1784529876279.0264,51.429,2161.0,637.026,1784529755642.0,2849.455
tc-16-60000,1784529868229.538,1784529868232,1784529875642.0,1784529876279.0266,2.462,7410.0,637.027,1784529755642.0,8049.489
tc-73-60000,1784529873679.5378,1784529874483,1784529875642.0,1784529876279.0295,803.462,1159.0,637.03,1784529755642.0,2599.492
tc-93-60000,1784529872529.5396,1784529873481,1784529875642.0,1784529876279.03,951.46,2161.0,637.03,1784529755642.0,3749.49
tc-45-60000,1784529855029.5657,1784529855831,1784529875642.0,1784529876279.0303,801.434,19811.0,637.03,1784529755642.0,21249.465
tc-11-60000,1784529869329.5347,1784529870331,1784529875643.0,1784529876279.0308,1001.465,5312.0,636.031,1784529755643.0,6949.496
tc-5-60000,1784529867179.542,1784529867230,1784529875643.0,1784529876279.031,50.458,8413.0,636.031,1784529755643.0,9099.489
tc-43-60000,1784529853729.5264,1784529853781,1784529875643.0,1784529876279.0315,51.474,21862.0,636.031,1784529755643.0,22549.505
tc-4-60000,1784529873129.5354,1784529873481,1784529875643.0,1784529876279.032,351.465,2162.0,636.032,1784529755643.0,3149.497
tc-44-60000,1784529875279.5789,1784529875531,1784529875643.0,1784529876279.0322,251.421,112.0,636.032,1784529755643.0,999.453
tc-22-60000,1784529861429.5762,1784529861981,1784529875644.0,1784529876279.0325,551.424,13663.0,635.032,1784529755644.0,14849.456
tc-9-60000,1784529866779.5396,1784529867230,1784529875644.0,1784529876279.033,450.46,8414.0,635.033,1784529755644.0,9499.493
tc-74-60000,1784529861679.5273,1784529861981,1784529875644.0,1784529876279.0332,301.473,13663.0,635.033,1784529755644.0,14599.506
tc-36-60000,1784529869529.573,1784529870331,1784529875644.0,1784529876279.0334,801.427,5313.0,635.033,1784529755644.0,6749.46
tc-34-60000,1784529872029.534,1784529872431,1784529875644.0,1784529876279.0337,401.466,3213.0,635.034,1784529755644.0,4249.5
tc-95-60000,1784529873729.535,1784529874483,1784529875644.0,1784529876279.0369,753.465,1161.0,635.037,1784529755644.0,2549.502
tc-12-60000,1784529870529.5212,1784529871381,1784529875644.0,1784529876279.0374,851.479,4263.0,635.037,1784529755644.0,5749.516
tc-69-60000,1784529870929.5408,1784529871381,1784529875644.0,1784529876279.0376,451.459,4263.0,635.038,1784529755644.0,5349.497
tc-30-60000,1784529865829.52,1784529866181,1784529875645.0,1784529876279.0378,351.48,9464.0,634.038,1784529755645.0,10449.518
tc-65-60000,1784529869929.5771,1784529870331,1784529875645.0,1784529876279.0383,401.423,5314.0,634.038,1784529755645.0,6349.461
tc-27-60000,1784529875129.5857,1784529875531,1784529875645.0,1784529876279.0386,401.414,114.0,634.039,1784529755645.0,1149.453
tc-20-60000,1784529874479.5408,1784529874483,1784529875645.0,1784529876279.04,3.459,1162.0,634.04,1784529755645.0,1799.499
tc-19-60000,1784529872729.5195,1784529873481,1784529875645.0,1784529876279.0403,751.48,2164.0,634.04,1784529755645.0,3549.521
tc-88-60000,1784529871679.541,1784529872431,1784529875645.0,1784529876279.0405,751.459,3214.0,634.041,1784529755645.0,4599.5
tc-1-60000,1784529863979.5237,1784529864081,1784529875645.0,1784529876279.041,101.476,11564.0,634.041,1784529755645.0,12299.517
tc-99-60000,1784529874879.5376,1784529875531,1784529875646.0,1784529876279.0413,651.462,115.0,633.041,1784529755646.0,1399.504
tc-29-60000,1784529874029.5288,1784529874483,1784529875646.0,1784529876279.0513,453.471,1163.0,633.051,1784529755646.0,2249.522
tc-81-60000,1784529870279.5295,1784529870331,1784529875646.0,1784529876279.0515,51.47,5315.0,633.052,1784529755646.0,5999.522
tc-96-60000,1784529872079.575,1784529872431,1784529875646.0,1784529876279.0564,351.425,3215.0,633.056,1784529755646.0,4199.481
tc-42-60000,1784529871829.5273,1784529872431,1784529875646.0,1784529876279.057,601.473,3215.0,633.057,1784529755646.0,4449.53
tc-77-60000,1784529873479.5466,1784529874483,1784529875646.0,1784529876279.0574,1003.453,1163.0,633.057,1784529755646.0,2799.511
tc-8-60000,1784529867429.581,1784529868232,1784529875646.0,1784529876279.0576,802.419,7414.0,633.058,1784529755646.0,8849.477
tc-51-60000,1784529874379.5474,1784529874483,1784529875647.0,1784529876279.0579,103.453,1164.0,632.058,1784529755647.0,1899.51
tc-80-60000,1784529873329.5283,1784529873481,1784529875647.0,1784529876279.0583,151.472,2166.0,632.058,1784529755647.0,2949.53
tc-94-60000,1784529873579.5415,1784529874483,1784529875647.0,1784529876279.0586,903.458,1164.0,632.059,1784529755647.0,2699.517
tc-41-60000,1784529872429.533,1784529872431,1784529875647.0,1784529876279.063,1.467,3216.0,632.063,1784529755647.0,3849.53
tc-60-60000,1784529868829.5352,1784529869281,1784529875647.0,1784529876279.0632,451.465,6366.0,632.063,1784529755647.0,7449.528
tc-6-60000,1784529865329.573,1784529866181,1784529875647.0,1784529876279.0637,851.427,9466.0,632.064,1784529755647.0,10949.491
tc-55-60000,1784529874179.621,1784529874483,1784529875647.0,1784529876279.0642,303.379,1164.0,632.064,1784529755647.0,2099.443
tc-48-60000,1784529866129.528,1784529866181,1784529875647.0,1784529876279.0645,51.472,9466.0,632.064,1784529755647.0,10149.536
tc-97-60000,1784529861329.5745,1784529861981,1784529875648.0,1784529876279.065,651.426,13667.0,631.065,1784529755648.0,14949.49
tc-15-60000,1784529874129.5305,1784529874483,1784529875648.0,1784529876279.0652,353.469,1165.0,631.065,1784529755648.0,2149.535
tc-10-60000,1784529870329.5742,1784529870331,1784529875648.0,1784529876279.0654,1.426,5317.0,631.065,1784529755648.0,5949.491
tc-13-60000,1784529875029.5413,1784529875531,1784529875648.0,1784529876279.066,501.459,117.0,631.066,1784529755648.0,1249.525
tc-56-60000,1784529863479.5222,1784529864081,1784529875648.0,1784529876279.0662,601.478,11567.0,631.066,1784529755648.0,12799.544
tc-92-60000,1784529873879.5337,1784529874483,1784529875648.0,1784529876279.0664,603.466,1165.0,631.066,1784529755648.0,2399.533
tc-39-60000,1784529866629.5256,1784529867230,1784529875648.0,1784529876279.0667,600.474,8418.0,631.067,1784529755648.0,9649.541
tc-21-60000,1784529872579.5286,1784529873481,1784529875649.0,1784529876279.0671,901.471,2168.0,630.067,1784529755649.0,3699.539
tc-14-60000,1784529870229.527,1784529870331,1784529875649.0,1784529876279.0674,101.473,5318.0,630.067,1784529755649.0,6049.54
tc-57-60000,1784529871479.5754,1784529872431,1784529875649.0,1784529876279.071,951.425,3218.0,630.071,1784529755649.0,4799.496
tc-61-60000,1784529868179.5293,1784529868232,1784529875649.0,1784529876279.0715,52.471,7417.0,630.072,1784529755649.0,8099.542
tc-89-60000,1784529874279.5823,1784529874483,1784529875649.0,1784529876279.0745,203.418,1166.0,630.074,1784529755649.0,1999.492
tc-90-60000,1784529869179.5325,1784529869281,1784529875649.0,1784529876279.075,101.468,6368.0,630.075,1784529755649.0,7099.542
tc-23-60000,1784529874779.5322,1784529875531,1784529875649.0,1784529876279.0754,751.468,118.0,630.075,1784529755649.0,1499.543
tc-28-60000,1784529873279.5332,1784529873481,1784529875649.0,1784529876279.0781,201.467,2168.0,630.078,1784529755649.0,2999.545
tc-78-60000,1784529864379.5276,1784529865130,1784529875650.0,1784529876279.0786,750.472,10520.0,629.079,1784529755650.0,11899.551
tc-79-60000,1784529874629.548,1784529875531,1784529875650.0,1784529876279.0789,901.452,119.0,629.079,1784529755650.0,1649.531
tc-33-60000,1784529874229.5813,1784529874483,1784529875650.0,1784529876279.0793,253.419,1167.0,629.079,1784529755650.0,2049.498
tc-59-60000,1784529873379.5466,1784529873481,1784529875650.0,1784529876279.0825,101.453,2169.0,629.083,1784529755650.0,2899.536
tc-98-60000,1784529869079.5295,1784529869281,1784529875650.0,1784529876279.0828,201.47,6369.0,629.083,1784529755650.0,7199.553
tc-25-60000,1784529875229.5474,1784529875531,1784529875650.0,1784529876279.0833,301.453,119.0,629.083,1784529755650.0,1049.536
tc-26-60000,1784529873029.5837,1784529873481,1784529875651.0,1784529876279.0835,451.416,2170.0,628.083,1784529755651.0,3249.5
tc-64-60000,1784529871979.5396,1784529872431,1784529875651.0,1784529876279.0837,451.46,3220.0,628.084,1784529755651.0,4299.544
tc-37-60000,1784529852979.6067,1784529853781,1784529875651.0,1784529876279.0842,801.393,21870.0,628.084,1784529755651.0,23299.478
tc-0-60000,1784529869629.5737,1784529870331,1784529875651.0,1784529876279.0845,701.426,5320.0,628.084,1784529755651.0,6649.511
tc-50-60000,1784529870579.5286,1784529871381,1784529875651.0,1784529876279.0847,801.471,4270.0,628.085,1784529755651.0,5699.556
tc-7-60000,1784529863729.528,1784529864081,1784529875651.0,1784529876279.0852,351.472,11570.0,628.085,1784529755651.0,12549.557
tc-91-60000,1784529875179.5586,1784529875531,1784529875651.0,1784529876279.0854,351.441,120.0,628.085,1784529755651.0,1099.527
tc-46-60000,1784529867529.5317,1784529868232,1784529875651.0,1784529876279.091,702.468,7419.0,628.091,1784529755651.0,8749.559
tc-70-60000,1784529871529.5269,1784529872431,1784529875652.0,1784529876279.0916,901.473,3221.0,627.092,1784529755652.0,4749.565
tc-47-60000,1784529870779.5247,1784529871381,1784529875652.0,1784529876279.0918,601.475,4271.0,627.092,1784529755652.0,5499.567
tc-85-60000,1784529867629.5308,1784529868232,1784529875652.0,1784529876279.0923,602.469,7420.0,627.092,1784529755652.0,8649.562
tc-32-60000,1784529875079.5493,1784529875531,1784529875652.0,1784529876279.0925,451.451,121.0,627.093,1784529755652.0,1199.543
tc-53-60000,1784529874329.5723,1784529874483,1784529875652.0,1784529876279.093,153.428,1169.0,627.093,1784529755652.0,1949.521
tc-24-60000,1784529872479.5403,1784529873481,1784529875652.0,1784529876279.0933,1001.46,2171.0,627.093,1784529755652.0,3799.553
tc-86-60000,1784529874729.538,1784529875531,1784529875652.0,1784529876279.0938,801.462,121.0,627.094,1784529755652.0,1549.556
tc-35-60000,1784529872879.5586,1784529873481,1784529875653.0,1784529876279.094,601.441,2172.0,626.094,1784529755653.0,3399.535
tc-3-60000,1784529867129.5203,1784529867230,1784529875653.0,1784529876279.0942,100.48,8423.0,626.094,1784529755653.0,9149.574
tc-52-60000,1784529874679.5508,1784529875531,1784529875653.0,1784529876279.0947,851.449,122.0,626.095,1784529755653.0,1599.544
tc-91-120000,1784529898529.5278,1784529899381,1784529905668.0,1784529906286.4438,851.472,6287.0,618.444,1784529725668.0,7756.916
tc-81-120000,1784529900529.5728,1784529901480,1784529905668.0,1784529906286.4478,950.427,4188.0,618.448,1784529725668.0,5756.875
tc-73-120000,1784529899579.53,1784529900431,1784529905668.0,1784529906286.4485,851.47,5237.0,618.448,1784529725668.0,6706.918
tc-94-120000,1784529904979.533,1784529905580,1784529905668.0,1784529906286.449,600.467,88.0,618.449,1784529725668.0,1306.916
tc-48-120000,1784529898579.529,1784529899381,1784529905668.0,1784529906286.4497,801.471,6287.0,618.45,1784529725668.0,7706.921
tc-52-120000,1784529903229.5515,1784529903531,1784529905668.0,1784529906286.4504,301.448,2137.0,618.45,1784529725668.0,3056.899
tc-22-120000,1784529899829.5298,1784529900431,1784529905668.0,1784529906286.4666,601.47,5237.0,618.467,1784529725668.0,6456.937
tc-93-120000,1784529898779.5273,1784529899381,1784529905669.0,1784529906286.4673,601.473,6288.0,617.467,1784529725669.0,7506.94
tc-36-120000,1784529904479.576,1784529904532,1784529905669.0,1784529906286.4678,52.424,1137.0,617.468,1784529725669.0,1806.892
tc-21-120000,1784529902729.542,1784529903531,1784529905669.0,1784529906286.4727,801.458,2138.0,617.473,1784529725669.0,3556.931
tc-30-120000,1784529904329.542,1784529904532,1784529905669.0,1784529906286.4731,202.458,1137.0,617.473,1784529725669.0,1956.931
tc-25-120000,1784529896679.5818,1784529897281,1784529905669.0,1784529906286.4739,601.418,8388.0,617.474,1784529725669.0,9606.892
tc-3-120000,1784529899279.5754,1784529899381,1784529905669.0,1784529906286.4746,101.425,6288.0,617.475,1784529725669.0,7006.899
