event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-41-0,1784423333893.0898,1784423334295,1784423340806.0,1784423341082.0527,401.91,6511.0,276.053,1784423280806.0,7188.963
tc-19-0,1784423338393.0908,1784423338495,1784423340816.0,1784423341082.0571,101.909,2321.0,266.057,1784423280816.0,2688.966
tc-9-0,1784423339293.0654,1784423339545,1784423340816.0,1784423341082.059,251.935,1271.0,266.059,1784423280816.0,1788.994
tc-64-0,1784423336343.097,1784423336396,1784423340816.0,1784423341082.06,52.903,4420.0,266.06,1784423280816.0,4738.963
tc-80-0,1784423333143.1,1784423333245,1784423340817.0,1784423341082.061,101.9,7572.0,265.061,1784423280817.0,7938.961
tc-59-0,1784423338243.098,1784423338495,1784423340817.0,1784423341082.0623,251.902,2322.0,265.062,1784423280817.0,2838.964
tc-45-0,1784423328143.06,1784423329046,1784423340817.0,1784423341082.063,902.94,11771.0,265.063,1784423280817.0,12939.003
tc-48-0,1784423337193.0974,1784423337446,1784423340817.0,1784423341082.0684,252.903,3371.0,265.068,1784423280817.0,3888.971
tc-58-0,1784423338693.0898,1784423339545,1784423340817.0,1784423341082.0693,851.91,1272.0,265.069,1784423280817.0,2388.979
tc-29-0,1784423330043.1023,1784423330096,1784423340817.0,1784423341082.0706,52.898,10721.0,265.071,1784423280817.0,11038.968
tc-84-0,1784423334643.0835,1784423335345,1784423340817.0,1784423341082.0713,701.917,5472.0,265.071,1784423280817.0,6438.988
tc-74-0,1784423339393.0955,1784423339545,1784423340817.0,1784423341082.0938,151.905,1272.0,265.094,1784423280817.0,1688.998
tc-38-0,1784423339643.0935,1784423340595,1784423340817.0,1784423341082.0942,951.906,222.0,265.094,1784423280817.0,1439.001
tc-1-0,1784423339593.1118,1784423340595,1784423340817.0,1784423341082.095,1001.888,222.0,265.095,1784423280817.0,1488.983
tc-75-0,1784423338043.0964,1784423338495,1784423340817.0,1784423341082.0955,451.904,2322.0,265.095,1784423280817.0,3038.999
tc-23-0,1784423320843.1135,1784423321695,1784423340817.0,1784423341082.0957,851.886,19122.0,265.096,1784423280817.0,20238.982
tc-33-0,1784423336893.0864,1784423337446,1784423340818.0,1784423341082.0967,552.914,3372.0,264.097,1784423280818.0,4189.01
