event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-41-0,1784566754534.681,1784566755538,1784566760872.0,1784566761184.277,1003.319,5334.0,312.277,1784566700872.0,6649.596
tc-19-0,1784566759034.6755,1784566759637,1784566760889.0,1784566761184.3088,602.324,1252.0,295.309,1784566700889.0,2149.633
tc-9-0,1784566759934.671,1784566760687,1784566760890.0,1784566761184.3105,752.329,203.0,294.311,1784566700890.0,1249.64
tc-64-0,1784566756984.683,1784566757587,1784566760891.0,1784566761184.3118,602.317,3304.0,293.312,1784566700891.0,4199.629
tc-80-0,1784566753784.687,1784566754486,1784566760891.0,1784566761184.3127,701.313,6405.0,293.313,1784566700891.0,7399.626
tc-59-0,1784566758884.6858,1784566759637,1784566760891.0,1784566761184.3142,752.314,1254.0,293.314,1784566700891.0,2299.628
tc-45-0,1784566748784.6838,1784566749385,1784566760891.0,1784566761184.315,600.316,11506.0,293.315,1784566700891.0,12399.631
tc-48-0,1784566757834.6797,1784566758636,1784566760892.0,1784566761184.3215,801.32,2256.0,292.322,1784566700892.0,3349.642
tc-58-0,1784566759334.6829,1784566759637,1784566760892.0,1784566761184.3984,302.317,1255.0,292.398,1784566700892.0,1849.716
tc-52-0,1784566757734.6814,1784566758636,1784566760892.0,1784566761184.402,901.319,2256.0,292.402,1784566700892.0,3449.721
tc-36-0,1784566756434.6873,1784566756586,1784566760892.0,1784566761184.4028,151.313,4306.0,292.403,1784566700892.0,4749.716
tc-60-0,1784566758634.6877,1784566759637,1784566760892.0,1784566761184.4033,1002.312,1255.0,292.403,1784566700892.0,2549.716
tc-56-0,1784566744434.68,1784566745237,1784566760892.0,1784566761184.4038,802.32,15655.0,292.404,1784566700892.0,16749.724
tc-37-0,1784566753234.6829,1784566753486,1784566760893.0,1784566761184.424,251.317,7407.0,291.424,1784566700893.0,7949.741
tc-32-0,1784566759734.6804,1784566760687,1784566760893.0,1784566761184.4246,952.32,206.0,291.425,1784566700893.0,1449.744
tc-27-0,1784566758184.6658,1784566758636,1784566760893.0,1784566761184.4248,451.334,2257.0,291.425,1784566700893.0,2999.759
tc-22-0,1784566746734.6782,1784566747335,1784566760893.0,1784566761184.425,600.322,13558.0,291.425,1784566700893.0,14449.747
tc-49-0,1784566760084.8445,1784566760687,1784566760893.0,1784566761184.5127,602.156,206.0,291.513,1784566700893.0,1099.668
tc-78-0,1784566752134.677,1784566752436,1784566760893.0,1784566761184.513,301.323,8457.0,291.513,1784566700893.0,9049.836
tc-25-0,1784566754684.6765,1784566755538,1784566760893.0,1784566761184.5137,853.323,5355.0,291.514,1784566700893.0,6499.837
tc-92-0,1784566759184.6812,1784566759637,1784566760894.0,1784566761184.514,452.319,1257.0,290.514,1784566700894.0,1999.833
tc-30-0,1784566757485.5361,1784566757587,1784566760894.0,1784566761184.5142,101.464,3307.0,290.514,1784566700894.0,3698.978
tc-42-0,1784566757134.6777,1784566757587,1784566760894.0,1784566761184.518,452.322,3307.0,290.518,1784566700894.0,4049.84
